path,material,location,voltage
./06-06/TS_Cu_Location2_400V-2025-06-06.h5,Cu,2,400
./06-06/TS_Cu_Location4_100V-2025-06-06.h5,Cu,4,100
./06-06/TS_Cu_Location3_300V-2025-06-06.h5,Cu,3,300
./06-06/TS_Al_Location3_400V-2025-06-06.h5,Al,3,400
./06-06/TS_Al_Location2_300V-2025-06-06.h5,Al,2,300
./06-06/TS_Cu_Location4_0V_rerun-2025-06-06.h5,Cu,4,0
./06-06/TS_Al_Location4_200V-2025-06-06.h5,Al,4,200
./06-06/TS_Cu_Location2_500V_rerun-2025-06-06.h5,Cu,2,500
./06-06/TS_Al_Location1_300V-2025-06-06.h5,Al,1,300
./06-06/TS_Cu_Location4_500V-2025-06-06.h5,Cu,4,500
./06-06/TS_Cu_Location3_0V_rerun-2025-06-06.h5,Cu,3,0
./06-06/TS_Al_Location4_0V-2025-06-06.h5,Al,4,0
./06-06/TS_Cu_Location4_0V-2025-06-06.h5,Cu,4,0
./06-06/TS_Al_Location1_0V-2025-06-06.h5,Al,1,0
./06-06/TS_Al_Location2_200V-2025-06-06.h5,Al,2,200
./06-06/TS_Cu_Location2_500V-2025-06-06.h5,Cu,2,500
./06-06/TS_Cu_Location2_400V_rerun-2025-06-06.h5,Cu,2,400
./06-06/TS_Cu_Location3_200V-2025-06-06.h5,Cu,3,200
./06-06/TS_Cu_Location4_400V-2025-06-06.h5,Cu,4,400
./06-06/TS_Cu_Location2_100V-2025-06-06.h5,Cu,2,100
./06-06/TS_Al_Location4_300V-2025-06-06.h5,Al,4,300
./06-06/TS_Al_Location1_200V-2025-06-06.h5,Al,1,200
./06-06/TS_Al_Location3_100V-2025-06-06.h5,Al,3,100
./06-06/TS_Cu_Location3_100V_rerun-2025-06-06.h5,Cu,3,100
./06-06/TS_Cu_Location2_400V_rerun2-2025-06-06.h5,Cu,2,400
./06-06/TS_Al_Location4_400V-2025-06-06.h5,Al,4,400
./06-06/TS_Al_Location2_100V-2025-06-06.h5,Al,2,100
