"E5100A REV3.14"
"DATE: Jul  3 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	6.077523E-02	1.600504E+02
1.18687500000E+04	2.061938E-02	1.636937E+02
1.37375000000E+04	2.104591E-02	1.418387E+02
1.56062500000E+04	9.641784E-03	1.216034E+02
1.74750000000E+04	2.669340E-02	9.232270E+01
1.93437500000E+04	2.788554E-02	1.100085E+02
2.12125000000E+04	3.539410E-02	9.433303E+01
2.30812500000E+04	3.641206E-02	8.955047E+01
2.49500000000E+04	4.200617E-02	9.290328E+01
2.68187500000E+04	5.258082E-02	9.020737E+01
2.86875000000E+04	5.520939E-02	9.332571E+01
3.05562500000E+04	5.820915E-02	9.268712E+01
3.24250000000E+04	5.998365E-02	9.132808E+01
3.42937500000E+04	7.074259E-02	9.135959E+01
3.61625000000E+04	7.342581E-02	8.782172E+01
3.80312500000E+04	7.701831E-02	9.056278E+01
3.99000000000E+04	8.017635E-02	9.115770E+01
4.17687500000E+04	8.702518E-02	9.069570E+01
4.36375000000E+04	8.711571E-02	9.186842E+01
4.55062500000E+04	9.321364E-02	9.172318E+01
4.73750000000E+04	9.966352E-02	8.993584E+01
4.92437500000E+04	1.039786E-01	9.217946E+01
5.11125000000E+04	1.059088E-01	9.248652E+01
5.29812500000E+04	1.106608E-01	9.116843E+01
5.48500000000E+04	1.128940E-01	9.070094E+01
5.67187500000E+04	1.161315E-01	8.984155E+01
5.85875000000E+04	1.236726E-01	9.118842E+01
6.04562500000E+04	1.275808E-01	9.059439E+01
6.23250000000E+04	1.311951E-01	9.113691E+01
6.41937500000E+04	1.344210E-01	9.097875E+01
6.60625000000E+04	1.402286E-01	9.063294E+01
6.79312500000E+04	1.422912E-01	9.130723E+01
6.98000000000E+04	1.458291E-01	9.124100E+01
7.16687500000E+04	1.501133E-01	9.029330E+01
7.35375000000E+04	1.551719E-01	9.081312E+01
7.54062500000E+04	1.586360E-01	9.130843E+01
7.72750000000E+04	1.625059E-01	9.110986E+01
7.91437500000E+04	1.670952E-01	9.159002E+01
8.10125000000E+04	1.710702E-01	9.131271E+01
8.28812500000E+04	1.721317E-01	9.151668E+01
8.47500000000E+04	1.792977E-01	9.117031E+01
8.66187500000E+04	1.837236E-01	9.127962E+01
8.84875000000E+04	1.860900E-01	9.078509E+01
9.03562500000E+04	1.904155E-01	9.102299E+01
9.22250000000E+04	1.921001E-01	9.049120E+01
9.40937500000E+04	1.971080E-01	9.124412E+01
9.59625000000E+04	2.010606E-01	9.009648E+01
9.78312500000E+04	2.055774E-01	9.057514E+01
9.97000000000E+04	2.096559E-01	9.079147E+01
1.01568750000E+05	2.139798E-01	9.070259E+01
1.03437500000E+05	2.168450E-01	9.064762E+01
1.05306250000E+05	2.210504E-01	9.055835E+01
1.07175000000E+05	2.251059E-01	9.092558E+01
1.09043750000E+05	2.296247E-01	9.033817E+01
1.10912500000E+05	2.340152E-01	9.105740E+01
1.12781250000E+05	2.375015E-01	9.007299E+01
1.14650000000E+05	2.401829E-01	9.094151E+01
1.16518750000E+05	2.448021E-01	9.035853E+01
1.18387500000E+05	2.496585E-01	9.070538E+01
1.20256250000E+05	2.529012E-01	9.081500E+01
1.22125000000E+05	2.562798E-01	9.084856E+01
1.23993750000E+05	2.620239E-01	9.091525E+01
1.25862500000E+05	2.656386E-01	9.077441E+01
1.27731250000E+05	2.702440E-01	9.052928E+01
1.29600000000E+05	2.737203E-01	9.065690E+01
1.31468750000E+05	2.770362E-01	9.063657E+01
1.33337500000E+05	2.822648E-01	9.085406E+01
1.35206250000E+05	2.870930E-01	9.078520E+01
1.37075000000E+05	2.894719E-01	9.080583E+01
1.38943750000E+05	2.950445E-01	9.082455E+01
1.40812500000E+05	2.977941E-01	9.086870E+01
1.42681250000E+05	3.016835E-01	9.084469E+01
1.44550000000E+05	3.053850E-01	9.079434E+01
1.46418750000E+05	3.080589E-01	9.083635E+01
1.48287500000E+05	3.155732E-01	9.080109E+01
1.50156250000E+05	3.166208E-01	9.092230E+01
1.52025000000E+05	3.209375E-01	9.080689E+01
1.53893750000E+05	3.233341E-01	9.063115E+01
1.55762500000E+05	3.294639E-01	9.064662E+01
1.57631250000E+05	3.327840E-01	9.044942E+01
1.59500000000E+05	3.343609E-01	9.087117E+01
1.61368750000E+05	3.408663E-01	9.065735E+01
1.63237500000E+05	3.457800E-01	9.078275E+01
1.65106250000E+05	3.477162E-01	9.042064E+01
1.66975000000E+05	3.531248E-01	9.097400E+01
1.68843750000E+05	3.587796E-01	9.058385E+01
1.70712500000E+05	3.606662E-01	9.041836E+01
1.72581250000E+05	3.673817E-01	9.059963E+01
1.74450000000E+05	3.669894E-01	9.076321E+01
1.76318750000E+05	3.729303E-01	9.067169E+01
1.78187500000E+05	3.767700E-01	9.075758E+01
1.80056250000E+05	3.789137E-01	9.062939E+01
1.81925000000E+05	3.842658E-01	9.085226E+01
1.83793750000E+05	3.895149E-01	9.078521E+01
1.85662500000E+05	3.937848E-01	9.080699E+01
1.87531250000E+05	3.965341E-01	9.075577E+01
1.89400000000E+05	3.991258E-01	9.057062E+01
1.91268750000E+05	4.037645E-01	9.041698E+01
1.93137500000E+05	4.097136E-01	9.039407E+01
1.95006250000E+05	4.108287E-01	9.055921E+01
1.96875000000E+05	4.187112E-01	9.076021E+01
1.98743750000E+05	4.229678E-01	9.049045E+01
2.00612500000E+05	4.249782E-01	9.079427E+01
2.02481250000E+05	4.280722E-01	9.057960E+01
2.04350000000E+05	4.347190E-01	9.034621E+01
2.06218750000E+05	4.346478E-01	9.060718E+01
2.08087500000E+05	4.410872E-01	9.056513E+01
2.09956250000E+05	4.447260E-01	9.067306E+01
2.11825000000E+05	4.474561E-01	9.071132E+01
2.13693750000E+05	4.520708E-01	9.043304E+01
2.15562500000E+05	4.566256E-01	9.057755E+01
2.17431250000E+05	4.585967E-01	9.049187E+01
2.19300000000E+05	4.656850E-01	9.069438E+01
2.21168750000E+05	4.668671E-01	9.045606E+01
2.23037500000E+05	4.707516E-01	9.070668E+01
2.24906250000E+05	4.740197E-01	9.033546E+01
2.26775000000E+05	4.795612E-01	9.050517E+01
2.28643750000E+05	4.830676E-01	9.074001E+01
2.30512500000E+05	4.873720E-01	9.074793E+01
2.32381250000E+05	4.920065E-01	9.059776E+01
2.34250000000E+05	4.973412E-01	9.029045E+01
2.36118750000E+05	5.015821E-01	9.056470E+01
2.37987500000E+05	5.038987E-01	9.065720E+01
2.39856250000E+05	5.087166E-01	9.066440E+01
2.41725000000E+05	5.120770E-01	9.041891E+01
2.43593750000E+05	5.176517E-01	9.077493E+01
2.45462500000E+05	5.196783E-01	9.035354E+01
2.47331250000E+05	5.243027E-01	9.075446E+01
2.49200000000E+05	5.283013E-01	9.068105E+01
2.51068750000E+05	5.308528E-01	9.051605E+01
2.52937500000E+05	5.351443E-01	9.062266E+01
2.54806250000E+05	5.412104E-01	9.055511E+01
2.56675000000E+05	5.426407E-01	9.046223E+01
2.58543750000E+05	5.473533E-01	9.073612E+01
2.60412500000E+05	5.513780E-01	9.069758E+01
2.62281250000E+05	5.550323E-01	9.054226E+01
2.64150000000E+05	5.579636E-01	9.060897E+01
