"E5100A REV3.14"
"DATE: Jun 28 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	1.375387E-01	-1.442351E+02
1.18687500000E+04	2.373822E-02	-1.342862E+02
1.37375000000E+04	1.704122E-02	-1.687769E+02
1.56062500000E+04	2.796421E-02	1.258467E+02
1.74750000000E+04	1.916342E-02	9.667757E+01
1.93437500000E+04	2.107445E-02	1.107405E+02
2.12125000000E+04	2.838565E-02	9.508295E+01
2.30812500000E+04	3.801861E-02	1.017713E+02
2.49500000000E+04	5.101314E-02	9.240048E+01
2.68187500000E+04	5.215621E-02	9.080665E+01
2.86875000000E+04	5.669697E-02	9.423183E+01
3.05562500000E+04	5.470084E-02	9.760027E+01
3.24250000000E+04	6.258060E-02	9.205660E+01
3.42937500000E+04	6.947895E-02	9.437226E+01
3.61625000000E+04	7.792503E-02	9.236098E+01
3.80312500000E+04	8.032370E-02	9.350596E+01
3.99000000000E+04	8.340438E-02	9.299567E+01
4.17687500000E+04	8.910102E-02	9.277416E+01
4.36375000000E+04	9.281978E-02	9.247451E+01
4.55062500000E+04	9.975101E-02	9.197133E+01
4.73750000000E+04	9.915211E-02	9.241851E+01
4.92437500000E+04	1.009091E-01	9.194643E+01
5.11125000000E+04	1.080523E-01	9.235161E+01
5.29812500000E+04	1.113961E-01	9.330029E+01
5.48500000000E+04	1.157572E-01	9.121671E+01
5.67187500000E+04	1.191962E-01	8.996988E+01
5.85875000000E+04	1.265563E-01	9.297903E+01
6.04562500000E+04	1.287112E-01	9.288943E+01
6.23250000000E+04	1.336524E-01	9.120114E+01
6.41937500000E+04	1.374132E-01	9.201900E+01
6.60625000000E+04	1.418531E-01	9.237848E+01
6.79312500000E+04	1.445649E-01	9.224104E+01
6.98000000000E+04	1.503761E-01	9.222596E+01
7.16687500000E+04	1.528010E-01	9.145401E+01
7.35375000000E+04	1.576911E-01	9.179964E+01
7.54062500000E+04	1.624651E-01	9.089105E+01
7.72750000000E+04	1.651198E-01	9.180537E+01
7.91437500000E+04	1.690651E-01	9.059406E+01
8.10125000000E+04	1.747998E-01	9.093472E+01
