"E5100A REV3.14"
"DATE: Jun 26 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	1.622626E-01	-1.386545E+02
1.18687500000E+04	2.277317E-01	-1.244588E+02
1.37375000000E+04	2.159540E-01	-1.127136E+02
1.56062500000E+04	6.643495E-02	5.300084E+01
1.74750000000E+04	4.674724E-02	-1.184497E+02
1.93437500000E+04	5.311663E-02	-1.461761E+02
2.12125000000E+04	5.027542E-02	-1.081454E+02
2.30812500000E+04	1.117244E-02	-5.752599E+01
2.49500000000E+04	2.734629E-02	-9.260895E+01
2.68187500000E+04	9.972434E-03	1.073680E+02
2.86875000000E+04	2.568658E-02	-4.454671E+01
3.05562500000E+04	5.892834E-02	-6.898050E+01
3.24250000000E+04	1.379623E-02	-1.511278E+02
3.42937500000E+04	4.549048E-02	-7.766602E+01
3.61625000000E+04	2.987659E-02	1.628915E+01
3.80312500000E+04	3.355047E-02	-9.210188E+01
3.99000000000E+04	1.196217E-02	-1.112571E+02
4.17687500000E+04	4.592432E-02	-7.348399E+01
4.36375000000E+04	2.869033E-02	-5.837158E+01
4.55062500000E+04	1.054274E-02	-2.452287E+01
4.73750000000E+04	2.670207E-02	-5.856412E+01
4.92437500000E+04	5.682354E-03	1.144617E+02
5.11125000000E+04	1.334812E-02	-7.179156E+01
5.29812500000E+04	3.039496E-02	-9.825348E+01
5.48500000000E+04	9.114394E-03	-5.736192E+00
5.67187500000E+04	2.424439E-02	-2.927854E+01
5.85875000000E+04	2.405073E-02	3.657074E+00
6.04562500000E+04	2.980213E-02	-4.459367E+01
6.23250000000E+04	2.537686E-02	3.970940E+00
6.41937500000E+04	3.863309E-02	1.375823E+01
6.60625000000E+04	2.381520E-02	-1.169222E+01
6.79312500000E+04	3.191527E-02	-4.256779E+01
6.98000000000E+04	1.240107E-02	-2.290485E+01
7.16687500000E+04	2.940129E-02	-4.247796E+01
7.35375000000E+04	3.301375E-02	-3.567745E+01
7.54062500000E+04	2.111519E-02	8.433651E-01
7.72750000000E+04	2.271016E-02	-6.783876E+01
7.91437500000E+04	2.580893E-02	-2.624063E+01
8.10125000000E+04	6.343007E-03	-9.186649E+01
8.28812500000E+04	2.304280E-02	-6.756016E+01
8.47500000000E+04	2.620994E-02	-4.374356E+01
8.66187500000E+04	1.417136E-02	-3.579346E+01
8.84875000000E+04	1.284966E-02	3.898128E+00
9.03562500000E+04	1.916178E-02	-4.288969E+01
9.22250000000E+04	1.829205E-02	-5.862496E+01
9.40937500000E+04	2.083908E-02	-1.297327E+02
9.59625000000E+04	8.106604E-03	-4.167871E+01
9.78312500000E+04	1.817624E-02	-4.250428E+01
9.97000000000E+04	1.905003E-02	-7.461472E+01
1.01568750000E+05	2.056727E-02	-7.306992E+01
1.03437500000E+05	2.214080E-02	-6.008046E+01
1.05306250000E+05	2.133671E-02	-6.953098E+01
1.07175000000E+05	1.916247E-02	-7.159127E+01
1.09043750000E+05	1.877048E-02	-3.530053E+01
1.10912500000E+05	2.457892E-02	-9.253036E+01
1.12781250000E+05	2.247966E-02	-6.316009E+01
1.14650000000E+05	1.529111E-02	-7.648189E+01
1.16518750000E+05	1.370723E-02	-7.712648E+01
1.18387500000E+05	1.397482E-02	-6.509771E+01
1.20256250000E+05	1.991342E-02	-6.125957E+01
1.22125000000E+05	2.285717E-02	-5.271486E+01
1.23993750000E+05	1.860843E-02	-3.491864E+01
1.25862500000E+05	1.949521E-02	-5.444796E+01
1.27731250000E+05	2.011156E-02	-6.116987E+01
1.29600000000E+05	1.511941E-02	-7.441615E+01
1.31468750000E+05	2.438204E-02	-8.404683E+01
1.33337500000E+05	2.406915E-02	-9.147251E+01
1.35206250000E+05	2.618529E-02	-6.619800E+01
1.37075000000E+05	2.397418E-02	-5.103583E+01
1.38943750000E+05	2.281699E-02	-4.420312E+01
1.40812500000E+05	3.579601E-02	-4.971115E+01
1.42681250000E+05	2.943409E-02	-7.793022E+01
1.44550000000E+05	2.768097E-02	-6.249669E+01
1.46418750000E+05	2.095492E-02	-5.851658E+01
1.48287500000E+05	2.870247E-02	-7.414930E+01
1.50156250000E+05	3.313920E-02	-7.158475E+01
1.52025000000E+05	3.412695E-02	-5.342205E+01
1.53893750000E+05	2.322447E-02	-6.660266E+01
1.55762500000E+05	2.556477E-02	-6.976096E+01
1.57631250000E+05	1.500598E-02	-7.376723E+01
1.59500000000E+05	2.408775E-02	-9.099916E+01
1.61368750000E+05	1.740234E-02	-7.515418E+01
1.63237500000E+05	2.607207E-02	-8.756633E+01
1.65106250000E+05	2.362575E-02	-9.521294E+01
1.66975000000E+05	2.258602E-02	-8.556861E+01
1.68843750000E+05	3.025861E-02	-5.737991E+01
1.70712500000E+05	3.101057E-02	-6.989507E+01
1.72581250000E+05	2.288501E-02	-6.874445E+01
1.74450000000E+05	2.315819E-02	-8.442587E+01
1.76318750000E+05	2.666003E-02	-8.597600E+01
1.78187500000E+05	2.220394E-02	-6.589482E+01
1.80056250000E+05	2.460917E-02	-7.304696E+01
1.81925000000E+05	2.713704E-02	-7.346065E+01
1.83793750000E+05	2.246423E-02	-7.710760E+01
1.85662500000E+05	1.981277E-02	-6.861264E+01
1.87531250000E+05	3.340908E-02	-7.270447E+01
1.89400000000E+05	2.868170E-02	-6.558492E+01
1.91268750000E+05	2.640693E-02	-8.388278E+01
1.93137500000E+05	3.193565E-02	-6.793353E+01
1.95006250000E+05	2.849975E-02	-7.777750E+01
1.96875000000E+05	2.783158E-02	-7.135533E+01
1.98743750000E+05	2.357430E-02	-8.084470E+01
2.00612500000E+05	2.684570E-02	-8.507127E+01
2.02481250000E+05	2.262979E-02	-8.327325E+01
2.04350000000E+05	2.753139E-02	-6.000313E+01
2.06218750000E+05	3.621718E-02	-7.595077E+01
2.08087500000E+05	2.662862E-02	-7.819637E+01
2.09956250000E+05	2.891335E-02	-8.959496E+01
2.11825000000E+05	3.148502E-02	-7.547381E+01
2.13693750000E+05	3.213118E-02	-7.312551E+01
2.15562500000E+05	3.479786E-02	-7.087218E+01
2.17431250000E+05	3.471594E-02	-9.108549E+01
2.19300000000E+05	3.355246E-02	-7.404790E+01
2.21168750000E+05	2.961826E-02	-7.169283E+01
2.23037500000E+05	2.588230E-02	-7.429572E+01
2.24906250000E+05	3.396723E-02	-7.808722E+01
2.26775000000E+05	3.119519E-02	-9.194018E+01
2.28643750000E+05	3.123296E-02	-8.216767E+01
2.30512500000E+05	2.025635E-02	-8.155952E+01
2.32381250000E+05	3.515789E-02	-7.996032E+01
2.34250000000E+05	2.759577E-02	-8.335442E+01
2.36118750000E+05	3.029491E-02	-7.527869E+01
2.37987500000E+05	3.908193E-02	-8.168516E+01
2.39856250000E+05	3.614896E-02	-7.763235E+01
2.41725000000E+05	3.725416E-02	-8.939294E+01
2.43593750000E+05	3.798741E-02	-8.317932E+01
2.45462500000E+05	3.020860E-02	-8.012634E+01
2.47331250000E+05	3.384380E-02	-6.993148E+01
2.49200000000E+05	3.678623E-02	-8.712991E+01
2.51068750000E+05	3.340917E-02	-8.895205E+01
2.52937500000E+05	3.420595E-02	-7.668301E+01
2.54806250000E+05	2.917942E-02	-8.653987E+01
2.56675000000E+05	3.407335E-02	-8.465292E+01
