"E5100A REV3.14"
"DATE: Jun 26 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	6.017814E-01	-1.366178E+02
1.18687500000E+04	1.593983E-01	1.433715E+02
1.37375000000E+04	1.318019E-01	-1.408779E+02
1.56062500000E+04	1.525502E-01	2.577804E+01
1.74750000000E+04	6.120795E-02	-4.200875E+01
1.93437500000E+04	1.440861E-02	-4.118544E+01
2.12125000000E+04	1.115286E-01	-1.269128E+02
2.30812500000E+04	1.458714E-02	-2.352815E+01
2.49500000000E+04	3.787657E-02	4.306302E+00
2.68187500000E+04	2.371022E-02	2.406659E+01
2.86875000000E+04	4.203717E-02	-8.795541E+01
3.05562500000E+04	3.865918E-02	5.648845E+00
3.24250000000E+04	5.916545E-02	-1.723105E+01
3.42937500000E+04	1.111523E-02	-1.382884E+02
3.61625000000E+04	1.281622E-02	-5.274292E+01
3.80312500000E+04	4.063503E-02	-4.171909E+01
3.99000000000E+04	3.420074E-02	-6.912175E+01
4.17687500000E+04	2.364778E-02	9.176619E+00
4.36375000000E+04	1.403387E-02	-1.414342E+02
4.55062500000E+04	2.686032E-02	-1.953980E+01
4.73750000000E+04	2.214454E-02	-1.037646E+01
4.92437500000E+04	1.952709E-02	-1.977277E+01
5.11125000000E+04	4.123033E-03	2.122003E+01
5.29812500000E+04	2.511538E-02	-6.633506E+00
5.48500000000E+04	8.530635E-03	6.590010E+01
5.67187500000E+04	1.924851E-03	6.100274E+01
5.85875000000E+04	1.553707E-02	-2.643245E+01
6.04562500000E+04	1.986477E-02	2.336995E+01
6.23250000000E+04	2.357227E-03	6.224737E+01
6.41937500000E+04	1.873517E-02	-1.751464E+02
6.60625000000E+04	1.421510E-02	7.605448E+01
6.79312500000E+04	9.398324E-03	-5.515749E+00
6.98000000000E+04	1.344732E-02	9.177424E+01
7.16687500000E+04	1.704016E-02	-2.698328E+01
7.35375000000E+04	1.364084E-02	6.112260E+01
7.54062500000E+04	1.556481E-02	-1.585835E+01
7.72750000000E+04	1.340553E-02	8.973031E+01
7.91437500000E+04	1.675109E-02	4.167389E+01
8.10125000000E+04	1.124507E-02	5.026469E+00
8.28812500000E+04	7.843112E-03	4.141559E+01
8.47500000000E+04	1.419941E-02	3.657217E+01
8.66187500000E+04	8.779733E-03	8.538860E+01
8.84875000000E+04	1.191639E-02	3.200258E+01
9.03562500000E+04	8.558045E-03	2.523890E+01
9.22250000000E+04	9.414845E-03	3.652094E+01
9.40937500000E+04	9.837281E-03	1.304806E+01
9.59625000000E+04	1.788749E-02	2.173728E+01
9.78312500000E+04	2.062683E-02	4.744938E+01
9.97000000000E+04	6.560148E-03	-5.402855E+01
1.01568750000E+05	1.121169E-02	4.757351E+01
1.03437500000E+05	4.462501E-03	1.421251E+01
1.05306250000E+05	9.399750E-03	1.019673E+02
1.07175000000E+05	1.167709E-02	7.639291E+00
1.09043750000E+05	7.733274E-03	4.651307E+01
1.10912500000E+05	1.022736E-02	1.048034E+02
1.12781250000E+05	9.700586E-03	6.631577E+01
1.14650000000E+05	1.391623E-02	6.555696E+01
1.16518750000E+05	9.169845E-03	6.043415E+01
1.18387500000E+05	3.869736E-03	7.097042E+01
1.20256250000E+05	9.655814E-03	2.206350E+01
1.22125000000E+05	1.277401E-02	5.885184E+01
1.23993750000E+05	1.589780E-02	5.646478E+01
1.25862500000E+05	6.198010E-03	1.934275E+01
1.27731250000E+05	1.428542E-02	1.053507E+02
1.29600000000E+05	5.027781E-03	-3.612291E+01
1.31468750000E+05	1.490035E-02	6.645302E+01
1.33337500000E+05	1.368660E-02	7.195006E+01
1.35206250000E+05	1.147805E-02	6.983767E+01
1.37075000000E+05	4.152772E-03	7.952258E+01
1.38943750000E+05	1.263298E-02	5.801379E+01
1.40812500000E+05	7.609795E-03	9.832269E+01
1.42681250000E+05	8.302896E-03	4.645809E+01
1.44550000000E+05	1.629249E-02	6.935191E+01
1.46418750000E+05	1.075169E-02	4.953685E+01
1.48287500000E+05	1.609440E-02	4.742847E+01
1.50156250000E+05	1.639913E-02	7.426810E+01
1.52025000000E+05	8.279630E-03	6.811205E+01
1.53893750000E+05	1.568550E-02	4.020513E+01
1.55762500000E+05	7.663886E-03	2.773266E+01
1.57631250000E+05	1.389930E-02	6.284190E+01
1.59500000000E+05	2.660414E-03	-1.791230E+01
1.61368750000E+05	6.387021E-03	6.150201E+01
1.63237500000E+05	1.338395E-02	4.089976E+01
1.65106250000E+05	1.352246E-02	8.761418E+01
1.66975000000E+05	4.843120E-03	4.393297E+01
1.68843750000E+05	1.098766E-02	3.540251E+01
1.70712500000E+05	8.322000E-03	6.276282E+01
1.72581250000E+05	1.198684E-02	9.257165E+01
1.74450000000E+05	1.162263E-02	1.147191E+02
1.76318750000E+05	1.090170E-02	4.436763E+01
1.78187500000E+05	1.796906E-02	6.194223E+01
1.80056250000E+05	1.455399E-02	1.027098E+02
1.81925000000E+05	4.252296E-03	9.511845E+01
1.83793750000E+05	1.804340E-02	5.492673E+01
1.85662500000E+05	1.592793E-02	7.334945E+01
