"E5100A REV3.14"
"DATE: Jun 26 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	2.545559E-01	1.712431E+02
1.18687500000E+04	2.086603E-01	-1.690569E+02
1.37375000000E+04	1.422699E-01	1.605117E+02
1.56062500000E+04	9.904161E-02	-1.591853E+02
1.74750000000E+04	1.173944E-01	-8.240076E+01
1.93437500000E+04	1.007388E-01	-7.047544E+01
2.12125000000E+04	4.311314E-02	-7.462687E+01
2.30812500000E+04	3.606568E-02	-7.242309E+01
2.49500000000E+04	2.812542E-02	-1.073086E+02
2.68187500000E+04	4.018210E-02	-1.243452E+02
2.86875000000E+04	3.224700E-02	-5.303596E+01
3.05562500000E+04	4.501817E-02	-9.769222E+01
3.24250000000E+04	3.718550E-02	-1.342097E+02
3.42937500000E+04	3.157294E-02	-1.149800E+02
3.61625000000E+04	3.806907E-02	-4.360268E+01
3.80312500000E+04	2.076595E-02	-7.030443E+01
3.99000000000E+04	1.571185E-02	-1.551177E+01
4.17687500000E+04	1.951611E-02	-6.287419E+01
4.36375000000E+04	1.342298E-02	1.172254E+02
4.55062500000E+04	1.625870E-02	-4.816555E+01
4.73750000000E+04	8.342285E-03	-9.370697E+01
4.92437500000E+04	2.895608E-02	1.960990E+01
5.11125000000E+04	2.103215E-02	-6.187264E+01
5.29812500000E+04	1.422281E-02	-9.515501E+01
5.48500000000E+04	2.033060E-02	4.904505E+01
5.67187500000E+04	1.532615E-02	-2.155760E+01
5.85875000000E+04	1.600785E-02	3.781675E+01
6.04562500000E+04	4.758122E-03	-9.032273E+01
6.23250000000E+04	1.421840E-02	-5.232388E+00
6.41937500000E+04	1.740681E-02	-2.474732E+01
6.60625000000E+04	1.730717E-02	-1.516221E+01
6.79312500000E+04	1.548532E-02	-7.796040E+01
6.98000000000E+04	7.842799E-03	-9.070058E+00
7.16687500000E+04	1.383334E-02	1.124163E+02
7.35375000000E+04	1.206463E-03	-1.041808E+02
7.54062500000E+04	1.974681E-02	-6.653601E+00
7.72750000000E+04	9.238296E-03	-4.124384E+01
7.91437500000E+04	1.388207E-02	2.271126E+01
8.10125000000E+04	1.276270E-02	2.892263E+00
8.28812500000E+04	5.660699E-03	-7.726665E+01
8.47500000000E+04	1.630311E-02	-2.308543E+01
8.66187500000E+04	1.971694E-02	-1.598595E+01
8.84875000000E+04	1.860805E-02	-3.773063E+01
9.03562500000E+04	9.672389E-03	-3.438353E+01
9.22250000000E+04	5.300892E-03	-6.959970E+01
9.40937500000E+04	1.357422E-02	4.185784E+01
9.59625000000E+04	7.800078E-03	-3.926933E+01
9.78312500000E+04	1.799378E-03	-1.657592E+02
9.97000000000E+04	3.630125E-03	1.537773E+02
1.01568750000E+05	8.955172E-03	2.523219E+01
1.03437500000E+05	1.012100E-02	2.916705E+00
1.05306250000E+05	9.808598E-03	-4.878914E+01
1.07175000000E+05	1.375698E-02	-7.181073E+01
1.09043750000E+05	1.078994E-02	3.981031E+01
1.10912500000E+05	8.179695E-03	-3.505010E+01
1.12781250000E+05	1.017302E-02	-6.171274E-01
1.14650000000E+05	5.522626E-03	-2.071322E+01
1.16518750000E+05	1.259565E-02	-7.594006E+01
1.18387500000E+05	1.462981E-02	-9.835321E+00
1.20256250000E+05	6.321701E-03	1.417374E+02
1.22125000000E+05	7.217094E-03	-4.314516E+01
1.23993750000E+05	5.872956E-03	-6.566378E+01
1.25862500000E+05	1.184404E-02	-5.385047E+00
1.27731250000E+05	1.131738E-02	-5.772081E+01
1.29600000000E+05	6.088150E-03	-1.215457E+02
1.31468750000E+05	1.326523E-02	-9.046389E+01
1.33337500000E+05	2.533177E-03	9.807181E+01
1.35206250000E+05	5.350119E-03	-8.525142E+01
1.37075000000E+05	1.038217E-02	4.868736E+01
1.38943750000E+05	5.922453E-03	-9.177368E+01
1.40812500000E+05	8.657955E-03	8.210435E+00
1.42681250000E+05	1.529651E-02	1.947509E+01
1.44550000000E+05	1.146722E-02	-3.367920E+01
1.46418750000E+05	9.041104E-03	2.623768E+01
1.48287500000E+05	1.667950E-02	-6.393922E+01
1.50156250000E+05	1.429151E-02	-4.755473E+01
1.52025000000E+05	6.871502E-03	-6.383335E+01
1.53893750000E+05	7.506432E-03	-4.863700E-01
1.55762500000E+05	4.731075E-03	-9.762631E+01
1.57631250000E+05	6.190471E-03	-6.181346E+01
1.59500000000E+05	2.830920E-03	1.138503E+01
1.61368750000E+05	1.275543E-02	-6.974436E+01
1.63237500000E+05	9.451775E-03	-5.808712E+01
1.65106250000E+05	6.883905E-03	-7.190079E+01
1.66975000000E+05	4.625218E-03	4.603480E+01
1.68843750000E+05	1.095890E-02	-3.361058E+01
