"E5100A REV3.14"
"DATE: Jun 26 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	2.028178E-01	1.785726E+02
1.18687500000E+04	1.950454E-01	-6.521294E+01
1.37375000000E+04	1.195478E-01	-1.010431E+02
1.56062500000E+04	2.921290E-03	4.003896E+01
1.74750000000E+04	1.465890E-01	-7.540199E+01
1.93437500000E+04	2.867335E-02	-1.385532E+02
2.12125000000E+04	4.368154E-02	-9.218139E+01
2.30812500000E+04	8.499738E-02	-1.386726E+01
2.49500000000E+04	6.292465E-02	-1.693526E+02
2.68187500000E+04	4.495610E-02	1.611305E+02
2.86875000000E+04	1.528764E-02	2.833952E+01
3.05562500000E+04	1.438051E-02	7.304211E+01
3.24250000000E+04	2.474089E-02	-1.306006E+02
3.42937500000E+04	1.960034E-02	-4.787970E+01
3.61625000000E+04	4.092267E-02	-1.690519E+02
3.80312500000E+04	7.472858E-03	-9.242830E+01
3.99000000000E+04	2.357426E-02	9.435514E+00
4.17687500000E+04	1.931479E-02	5.752305E+00
4.36375000000E+04	2.925500E-03	1.327572E+02
4.55062500000E+04	2.027218E-02	1.197111E+00
4.73750000000E+04	1.683377E-02	9.901359E+01
4.92437500000E+04	1.775963E-02	4.656638E+01
5.11125000000E+04	6.207231E-03	5.544738E+01
5.29812500000E+04	1.797250E-02	1.004005E+02
5.48500000000E+04	2.308782E-02	3.914090E+01
5.67187500000E+04	3.721822E-02	6.822499E+01
5.85875000000E+04	1.422767E-02	-2.777939E+01
6.04562500000E+04	4.500279E-03	1.287654E+02
6.23250000000E+04	1.975029E-02	7.435719E+01
6.41937500000E+04	9.027907E-03	4.953976E+01
6.60625000000E+04	2.578818E-03	-1.143799E+02
6.79312500000E+04	2.521384E-02	8.557075E+01
6.98000000000E+04	5.296465E-03	1.203506E+02
7.16687500000E+04	1.858209E-02	5.696603E+01
7.35375000000E+04	3.158448E-02	5.716888E+01
7.54062500000E+04	1.482066E-02	4.792537E+01
7.72750000000E+04	1.925024E-02	1.084430E+02
7.91437500000E+04	2.033637E-02	2.324509E+01
8.10125000000E+04	2.061569E-02	7.900275E+01
8.28812500000E+04	2.267112E-02	6.197850E+01
8.47500000000E+04	1.316200E-02	2.771990E+01
8.66187500000E+04	1.169458E-02	1.367187E+02
8.84875000000E+04	5.902790E-03	6.498756E+01
9.03562500000E+04	1.462759E-02	8.543610E+01
9.22250000000E+04	2.089248E-02	7.973267E+01
9.40937500000E+04	1.964574E-02	2.328657E+01
9.59625000000E+04	3.801034E-03	3.747693E+01
9.78312500000E+04	5.600349E-03	8.422155E+01
9.97000000000E+04	2.134790E-02	3.111141E+01
1.01568750000E+05	1.652610E-02	6.155581E+01
1.03437500000E+05	1.564960E-02	2.906659E+01
1.05306250000E+05	8.367397E-03	7.356702E+01
1.07175000000E+05	2.495790E-03	1.570716E+02
1.09043750000E+05	1.295253E-02	9.014130E+01
1.10912500000E+05	1.749547E-02	-1.175073E+01
1.12781250000E+05	1.253826E-02	1.229709E+02
1.14650000000E+05	8.831919E-03	4.363663E+01
1.16518750000E+05	1.354590E-02	4.175323E+01
1.18387500000E+05	1.194347E-02	1.061763E+02
1.20256250000E+05	1.376113E-02	8.167076E+01
1.22125000000E+05	1.692788E-02	1.015304E+02
1.23993750000E+05	1.762717E-02	9.362640E+01
1.25862500000E+05	2.713655E-03	2.175297E+00
1.27731250000E+05	1.507628E-02	7.992923E+01
1.29600000000E+05	8.229816E-03	6.269835E+01
1.31468750000E+05	1.200046E-02	5.892712E+01
1.33337500000E+05	2.167833E-02	8.249713E+01
1.35206250000E+05	2.568646E-02	7.407800E+01
1.37075000000E+05	1.429424E-02	5.563583E+01
1.38943750000E+05	1.593188E-02	4.065289E+01
1.40812500000E+05	1.125949E-02	5.112663E+01
1.42681250000E+05	7.067285E-03	8.075262E+01
1.44550000000E+05	1.335380E-02	7.427033E+01
1.46418750000E+05	1.665263E-02	4.969493E+01
1.48287500000E+05	9.133537E-03	5.738747E+01
1.50156250000E+05	1.581126E-02	6.341893E+01
1.52025000000E+05	1.477293E-02	6.210173E+01
1.53893750000E+05	1.557323E-02	5.594547E+01
1.55762500000E+05	1.007944E-02	9.470560E+01
1.57631250000E+05	1.754084E-02	6.491932E+01
1.59500000000E+05	1.715930E-02	7.403046E+01
1.61368750000E+05	1.808189E-02	1.002041E+02
1.63237500000E+05	1.266872E-02	8.874129E+01
1.65106250000E+05	1.401325E-02	3.094324E+01
1.66975000000E+05	1.816297E-02	8.237152E+01
1.68843750000E+05	1.172261E-02	1.013283E+02
1.70712500000E+05	7.783970E-03	6.930288E+01
1.72581250000E+05	1.063384E-02	8.427154E+01
1.74450000000E+05	1.829436E-02	6.723129E+01
1.76318750000E+05	4.577052E-03	9.162598E+01
1.78187500000E+05	1.204829E-02	8.568443E+01
1.80056250000E+05	1.320028E-02	6.528434E+01
1.81925000000E+05	1.923628E-02	5.218882E+01
1.83793750000E+05	1.361503E-02	6.525317E+01
1.85662500000E+05	1.794742E-02	7.302368E+01
1.87531250000E+05	1.516851E-02	8.783177E+01
1.89400000000E+05	1.797405E-02	9.726351E+01
1.91268750000E+05	2.428734E-02	7.137516E+01
1.93137500000E+05	1.729939E-02	6.583364E+01
1.95006250000E+05	1.252383E-02	4.112933E+01
1.96875000000E+05	1.180109E-02	7.165298E+01
1.98743750000E+05	1.882316E-02	7.706350E+01
2.00612500000E+05	1.173001E-02	6.228720E+01
2.02481250000E+05	1.548273E-02	5.847503E+01
2.04350000000E+05	1.745060E-02	5.316350E+01
2.06218750000E+05	1.793417E-02	7.097044E+01
2.08087500000E+05	1.890464E-02	8.183044E+01
2.09956250000E+05	1.821421E-02	7.540520E+01
2.11825000000E+05	1.405609E-02	7.980637E+01
2.13693750000E+05	1.760670E-02	7.466933E+01
2.15562500000E+05	1.128766E-02	9.590308E+01
