"E5100A REV3.14"
"DATE: Jun 26 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	1.775795E-01	-1.787313E+02
1.18687500000E+04	1.867353E-01	-1.138633E+02
1.37375000000E+04	8.991762E-02	-3.666228E+01
1.56062500000E+04	2.791853E-02	1.975959E+01
1.74750000000E+04	1.340306E-01	-1.480984E+02
1.93437500000E+04	1.267236E-01	-4.964903E+01
2.12125000000E+04	1.043033E-01	-1.261087E+02
2.30812500000E+04	1.243695E-02	5.545075E+01
2.49500000000E+04	2.290125E-02	-5.245506E+01
2.68187500000E+04	4.262355E-02	-6.185685E+01
2.86875000000E+04	3.509437E-02	1.768126E+02
3.05562500000E+04	1.948173E-02	-1.591530E+02
3.24250000000E+04	9.580195E-03	5.042175E+01
3.42937500000E+04	2.641133E-02	1.303433E+02
3.61625000000E+04	2.633215E-02	3.401194E+00
3.80312500000E+04	3.211425E-02	1.142584E+02
3.99000000000E+04	2.875308E-02	-9.994550E+01
4.17687500000E+04	3.261971E-02	1.148745E+02
4.36375000000E+04	1.265350E-02	1.541925E+01
4.55062500000E+04	1.555645E-02	-2.395844E+01
4.73750000000E+04	1.300448E-02	-1.384077E+01
4.92437500000E+04	2.843236E-02	5.037620E+01
5.11125000000E+04	4.744725E-02	7.627308E+01
5.29812500000E+04	7.964261E-03	-1.572796E+01
5.48500000000E+04	1.566229E-02	1.064933E+01
5.67187500000E+04	3.000384E-02	4.987138E+01
5.85875000000E+04	2.593652E-02	1.077538E+02
6.04562500000E+04	1.002819E-02	4.743755E+01
6.23250000000E+04	6.074912E-03	1.262285E+01
6.41937500000E+04	1.391707E-02	6.194569E+01
6.60625000000E+04	3.168784E-02	6.525315E+01
6.79312500000E+04	2.671189E-02	7.163163E+01
6.98000000000E+04	2.656958E-02	5.753477E+01
7.16687500000E+04	2.164573E-02	8.548746E+01
7.35375000000E+04	2.876144E-02	5.356611E+01
7.54062500000E+04	2.224403E-02	7.566642E+01
7.72750000000E+04	3.390585E-02	8.922915E+01
7.91437500000E+04	1.886596E-02	8.777361E+01
8.10125000000E+04	9.581689E-03	9.544565E+01
8.28812500000E+04	1.478827E-02	6.637685E+01
8.47500000000E+04	2.850744E-02	8.666032E+01
8.66187500000E+04	2.617862E-02	9.574129E+01
8.84875000000E+04	3.350151E-02	8.755518E+01
9.03562500000E+04	2.629785E-02	6.948470E+01
9.22250000000E+04	3.080762E-02	9.928958E+01
9.40937500000E+04	1.831967E-02	8.467278E+01
9.59625000000E+04	3.115170E-02	4.913660E+01
9.78312500000E+04	2.293360E-02	1.052369E+02
9.97000000000E+04	2.900169E-02	6.808957E+01
1.01568750000E+05	4.174499E-02	9.190077E+01
1.03437500000E+05	3.272559E-02	8.690247E+01
1.05306250000E+05	1.880408E-02	8.986359E+01
1.07175000000E+05	3.577717E-02	9.410764E+01
1.09043750000E+05	3.781318E-02	7.105092E+01
1.10912500000E+05	2.989739E-02	8.434462E+01
1.12781250000E+05	3.335073E-02	9.429690E+01
1.14650000000E+05	3.362122E-02	9.416498E+01
1.16518750000E+05	2.870549E-02	7.781158E+01
1.18387500000E+05	3.648589E-02	7.506244E+01
1.20256250000E+05	4.467577E-02	8.307445E+01
1.22125000000E+05	3.486828E-02	9.041353E+01
1.23993750000E+05	2.328080E-02	7.527802E+01
1.25862500000E+05	3.187801E-02	9.042941E+01
1.27731250000E+05	4.193160E-02	8.656032E+01
1.29600000000E+05	3.394426E-02	7.404521E+01
1.31468750000E+05	3.138296E-02	8.904327E+01
1.33337500000E+05	3.561061E-02	8.950478E+01
1.35206250000E+05	4.281038E-02	6.584024E+01
1.37075000000E+05	3.340203E-02	9.139339E+01
1.38943750000E+05	4.565226E-02	9.744878E+01
1.40812500000E+05	3.877599E-02	9.716825E+01
1.42681250000E+05	3.109980E-02	1.060175E+02
1.44550000000E+05	4.259580E-02	8.609565E+01
1.46418750000E+05	3.827605E-02	7.689281E+01
1.48287500000E+05	4.453421E-02	8.102028E+01
1.50156250000E+05	5.738233E-02	9.620835E+01
1.52025000000E+05	4.317047E-02	8.477197E+01
1.53893750000E+05	4.120998E-02	7.517832E+01
1.55762500000E+05	4.081245E-02	7.653358E+01
1.57631250000E+05	3.718749E-02	8.025401E+01
1.59500000000E+05	4.518812E-02	8.255971E+01
1.61368750000E+05	4.874349E-02	8.100553E+01
1.63237500000E+05	3.781490E-02	8.629448E+01
1.65106250000E+05	4.709511E-02	8.542471E+01
1.66975000000E+05	4.170117E-02	8.475177E+01
1.68843750000E+05	5.326159E-02	9.232211E+01
1.70712500000E+05	4.549506E-02	9.679607E+01
1.72581250000E+05	4.384746E-02	8.892410E+01
1.74450000000E+05	4.586133E-02	7.733699E+01
1.76318750000E+05	3.982703E-02	7.539977E+01
1.78187500000E+05	4.949086E-02	8.978329E+01
1.80056250000E+05	4.779509E-02	7.778866E+01
1.81925000000E+05	4.341216E-02	8.025462E+01
1.83793750000E+05	4.443216E-02	8.383467E+01
1.85662500000E+05	4.422728E-02	8.723473E+01
1.87531250000E+05	5.565980E-02	8.463278E+01
1.89400000000E+05	5.446468E-02	7.982116E+01
1.91268750000E+05	5.117123E-02	7.988956E+01
1.93137500000E+05	5.875586E-02	8.712471E+01
1.95006250000E+05	5.312294E-02	9.117567E+01
1.96875000000E+05	5.002967E-02	9.319495E+01
1.98743750000E+05	5.111719E-02	9.283198E+01
2.00612500000E+05	5.075236E-02	9.461414E+01
2.02481250000E+05	5.166775E-02	8.602016E+01
2.04350000000E+05	4.857233E-02	8.371699E+01
2.06218750000E+05	5.270480E-02	8.172657E+01
2.08087500000E+05	5.527904E-02	9.049120E+01
2.09956250000E+05	5.181326E-02	9.022002E+01
