"E5100A REV3.14"
"DATE: Jun 26 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	1.316517E-01	9.550993E+00
1.18687500000E+04	1.444553E-01	1.266469E+02
1.37375000000E+04	1.305747E-01	-1.649779E+02
1.56062500000E+04	2.064053E-01	-1.234122E+02
1.74750000000E+04	9.716390E-02	-1.601293E+02
1.93437500000E+04	2.560020E-02	-8.009295E+01
2.12125000000E+04	4.305336E-02	-1.125477E+02
2.30812500000E+04	2.321658E-02	-1.194583E+02
2.49500000000E+04	4.216556E-02	1.444882E+02
2.68187500000E+04	2.517015E-02	1.080657E+02
2.86875000000E+04	7.463349E-03	6.248311E+00
3.05562500000E+04	4.141851E-02	-7.800306E+01
3.24250000000E+04	1.908544E-02	-5.092331E+01
3.42937500000E+04	1.207913E-02	-1.720997E+02
3.61625000000E+04	3.830534E-02	1.035118E+02
3.80312500000E+04	9.347901E-03	-6.018059E+01
3.99000000000E+04	1.765173E-02	-3.946490E+01
4.17687500000E+04	1.964165E-02	-5.780220E+01
4.36375000000E+04	1.215379E-02	1.419354E+02
4.55062500000E+04	1.656186E-02	3.810566E+01
4.73750000000E+04	1.466088E-02	4.277763E+01
4.92437500000E+04	4.185116E-02	-2.968192E+01
5.11125000000E+04	7.863051E-03	1.380425E+01
5.29812500000E+04	8.096939E-03	4.671373E+01
5.48500000000E+04	2.209622E-02	-9.557520E-01
5.67187500000E+04	1.291706E-02	1.400780E+01
5.85875000000E+04	3.933839E-03	2.483154E+01
6.04562500000E+04	1.444254E-03	-1.328475E+02
6.23250000000E+04	1.006583E-02	4.110997E+01
6.41937500000E+04	1.710914E-02	1.014253E+01
6.60625000000E+04	6.922767E-03	-4.215493E+01
6.79312500000E+04	2.229231E-02	2.114580E+01
6.98000000000E+04	1.297229E-02	-8.973587E-01
7.16687500000E+04	1.931625E-02	-5.685604E+01
7.35375000000E+04	1.403476E-02	-1.271782E+01
7.54062500000E+04	6.806137E-03	1.826986E+01
7.72750000000E+04	2.157230E-02	3.110084E+01
7.91437500000E+04	1.569161E-02	-2.142928E+01
8.10125000000E+04	5.806112E-03	-6.451180E+01
8.28812500000E+04	8.504540E-03	-7.009235E+01
8.47500000000E+04	3.638835E-03	-6.408862E+01
8.66187500000E+04	3.264450E-03	-1.624062E+02
8.84875000000E+04	9.465444E-03	3.414985E+01
9.03562500000E+04	1.368690E-02	-7.123686E+01
9.22250000000E+04	1.521316E-02	4.745229E+01
9.40937500000E+04	1.201982E-02	-3.436099E+01
9.59625000000E+04	9.533416E-03	6.361060E+01
9.78312500000E+04	1.842047E-02	-3.283589E+01
9.97000000000E+04	8.951087E-03	-1.405723E+02
1.01568750000E+05	6.718515E-03	6.347314E+01
1.03437500000E+05	8.890230E-03	8.199753E+01
1.05306250000E+05	1.058636E-02	-2.307432E+01
1.07175000000E+05	1.753751E-02	-2.892802E+01
1.09043750000E+05	4.871748E-03	-4.003856E+01
1.10912500000E+05	1.133941E-02	-7.995729E+01
1.12781250000E+05	1.268664E-02	5.302524E+00
1.14650000000E+05	6.280724E-03	-6.175122E+01
1.16518750000E+05	1.118749E-02	-3.918325E+01
1.18387500000E+05	1.185691E-02	2.771585E+01
1.20256250000E+05	4.614104E-03	5.059571E+01
1.22125000000E+05	1.159805E-02	5.807773E+01
1.23993750000E+05	6.431783E-03	-5.551928E+01
1.25862500000E+05	4.110500E-03	-1.608326E+01
1.27731250000E+05	8.317659E-03	-9.027931E+01
1.29600000000E+05	7.039660E-03	-3.327383E+01
1.31468750000E+05	5.439094E-03	-2.913308E+01
1.33337500000E+05	3.931507E-03	3.742592E+01
1.35206250000E+05	1.001486E-02	6.638268E+00
1.37075000000E+05	8.123646E-03	-4.692899E+01
1.38943750000E+05	7.175566E-03	-6.509712E+01
1.40812500000E+05	5.753443E-03	-8.754134E+01
1.42681250000E+05	6.003495E-03	-7.127598E+01
1.44550000000E+05	9.540896E-03	4.166744E+01
1.46418750000E+05	1.070394E-03	-1.366586E+02
1.48287500000E+05	3.887751E-03	3.756406E+01
1.50156250000E+05	6.190611E-03	-4.851149E+01
1.52025000000E+05	1.015164E-02	-3.148305E+00
1.53893750000E+05	3.416681E-03	-1.030465E+02
1.55762500000E+05	7.016855E-03	1.404505E+02
1.57631250000E+05	3.093036E-03	-3.627958E+01
1.59500000000E+05	5.237614E-03	4.054219E+01
1.61368750000E+05	9.775781E-03	-3.199885E+01
1.63237500000E+05	5.473747E-03	-1.585809E+01
1.65106250000E+05	1.019534E-02	-5.427289E+00
1.66975000000E+05	1.141963E-02	-2.112399E+01
1.68843750000E+05	6.328140E-04	-1.044796E+02
1.70712500000E+05	5.481682E-03	-6.596452E+01
1.72581250000E+05	6.783204E-03	-3.270771E+01
1.74450000000E+05	2.158825E-03	2.973584E+01
1.76318750000E+05	5.753065E-03	-5.212599E+01
1.78187500000E+05	5.857483E-03	-5.638725E+01
1.80056250000E+05	8.158292E-03	-7.178077E+01
