"E5100A REV3.14"
"DATE: Jun 26 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	3.214105E-01	-1.773579E+02
1.18687500000E+04	1.120842E-01	-9.899034E+01
1.37375000000E+04	1.167448E-01	-1.677909E+02
1.56062500000E+04	1.073553E-01	-1.649717E+02
1.74750000000E+04	1.260696E-01	-1.762828E+02
1.93437500000E+04	6.832082E-02	-9.264231E+01
2.12125000000E+04	1.738149E-02	-6.538078E+01
2.30812500000E+04	5.739436E-03	-1.019818E+02
2.49500000000E+04	3.141432E-02	-3.925761E+01
2.68187500000E+04	7.848396E-02	-1.646574E+02
2.86875000000E+04	5.245768E-02	-8.850680E+01
3.05562500000E+04	2.834220E-02	-7.454555E+01
3.24250000000E+04	2.954341E-02	5.522228E+01
3.42937500000E+04	3.600657E-03	5.775742E+00
3.61625000000E+04	1.345253E-02	1.331111E+02
3.80312500000E+04	3.381949E-02	-1.921399E+00
3.99000000000E+04	2.852103E-02	-5.740473E+01
4.17687500000E+04	3.661636E-02	-1.166011E+01
4.36375000000E+04	5.498550E-03	-7.846044E+01
4.55062500000E+04	7.329290E-03	6.832603E+01
4.73750000000E+04	2.161474E-02	-4.854797E+01
4.92437500000E+04	2.636202E-02	-8.365400E+01
5.11125000000E+04	1.649820E-02	7.075475E+01
5.29812500000E+04	1.312913E-02	-8.815485E+01
5.48500000000E+04	2.173802E-02	-2.614722E+01
5.67187500000E+04	1.793535E-02	-7.715861E+00
5.85875000000E+04	4.064615E-03	1.088326E+02
6.04562500000E+04	5.174386E-03	-1.068770E+02
6.23250000000E+04	1.685292E-02	3.907169E+01
6.41937500000E+04	9.597067E-03	1.202371E+01
6.60625000000E+04	8.367011E-03	1.040859E+01
6.79312500000E+04	1.717880E-02	-6.651707E+01
6.98000000000E+04	1.706576E-02	3.537780E+01
7.16687500000E+04	1.490106E-02	9.654522E+00
7.35375000000E+04	7.871629E-03	-3.319353E+01
7.54062500000E+04	1.704287E-02	-2.507643E+01
7.72750000000E+04	1.282200E-02	3.772364E+01
7.91437500000E+04	1.497067E-03	5.462855E+01
8.10125000000E+04	1.372093E-02	9.079292E+01
8.28812500000E+04	1.943679E-02	-1.004159E+01
8.47500000000E+04	1.981458E-03	3.767893E+01
8.66187500000E+04	4.712195E-03	2.703290E+01
8.84875000000E+04	1.514404E-02	-1.831588E+01
9.03562500000E+04	1.452821E-02	1.393880E+02
9.22250000000E+04	1.289132E-02	-8.014581E+01
9.40937500000E+04	1.354205E-02	2.613364E+01
9.59625000000E+04	1.989073E-03	1.616498E+02
9.78312500000E+04	1.088440E-02	-6.739869E+01
9.97000000000E+04	1.064143E-02	7.947154E+01
1.01568750000E+05	8.225323E-03	-5.649874E+01
1.03437500000E+05	4.478011E-03	4.698157E+01
1.05306250000E+05	5.525811E-03	1.071466E+02
1.07175000000E+05	9.704885E-03	-1.374526E+02
1.09043750000E+05	1.481226E-02	-7.711111E+01
1.10912500000E+05	1.147685E-02	1.619041E+02
1.12781250000E+05	2.963951E-03	1.300944E+02
1.14650000000E+05	1.036954E-02	-6.673689E+01
1.16518750000E+05	9.401281E-03	-1.247334E+01
1.18387500000E+05	1.773407E-03	-1.491640E+02
1.20256250000E+05	8.727639E-03	-3.988254E+01
1.22125000000E+05	1.489068E-02	-4.876706E+01
1.23993750000E+05	7.856118E-03	-5.236765E+01
1.25862500000E+05	4.686480E-03	4.520261E+01
1.27731250000E+05	5.517700E-03	9.056213E+01
1.29600000000E+05	8.940348E-03	-2.103589E+01
1.31468750000E+05	1.091804E-02	8.050092E+00
1.33337500000E+05	4.153840E-03	1.004134E+02
1.35206250000E+05	6.337911E-03	-3.439686E+01
1.37075000000E+05	6.899855E-03	-1.382006E+02
1.38943750000E+05	1.859133E-03	-2.271653E+01
1.40812500000E+05	4.258620E-03	-1.262527E+02
1.42681250000E+05	6.135849E-03	-1.245590E+02
1.44550000000E+05	1.163167E-02	4.873676E+01
1.46418750000E+05	1.364660E-02	2.488637E-01
1.48287500000E+05	8.013928E-03	1.114952E+02
1.50156250000E+05	8.683043E-03	-8.516816E+01
1.52025000000E+05	3.232215E-03	1.516982E+02
1.53893750000E+05	1.997733E-03	-4.767412E-01
1.55762500000E+05	5.959977E-04	9.389131E+01
1.57631250000E+05	1.269992E-02	-4.045867E+00
1.59500000000E+05	1.056516E-02	-1.589422E+01
1.61368750000E+05	7.208703E-03	1.009473E+01
1.63237500000E+05	9.140731E-03	1.227423E+01
1.65106250000E+05	6.808337E-03	6.269315E+01
1.66975000000E+05	6.734290E-03	5.901098E+00
1.68843750000E+05	9.893273E-03	-4.844427E+01
1.70712500000E+05	8.997229E-03	-1.594956E+01
1.72581250000E+05	3.654816E-03	6.848633E+01
