"E5100A REV3.14"
"DATE: Jun 26 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	2.545146E-01	-2.874558E+01
1.18687500000E+04	2.077405E-01	-1.670673E+02
1.37375000000E+04	6.788552E-02	-1.132100E+02
1.56062500000E+04	7.584374E-02	-1.234241E+02
1.74750000000E+04	7.052381E-02	-3.157329E+01
1.93437500000E+04	8.975478E-02	-4.649869E+00
2.12125000000E+04	2.808868E-02	-8.497939E+00
2.30812500000E+04	1.623850E-02	-7.695082E+01
2.49500000000E+04	7.433878E-02	-4.949472E+01
2.68187500000E+04	4.492834E-02	-4.016966E+01
2.86875000000E+04	1.653393E-02	-1.352755E+02
3.05562500000E+04	3.588143E-02	-1.114309E+02
3.24250000000E+04	1.520400E-02	5.629197E+01
3.42937500000E+04	1.242844E-02	1.804951E+01
3.61625000000E+04	2.231399E-02	6.003246E+01
3.80312500000E+04	8.764856E-03	3.666201E+01
3.99000000000E+04	2.190612E-02	-1.775852E+02
4.17687500000E+04	1.009532E-02	-1.308665E+02
4.36375000000E+04	1.093226E-02	1.633286E+02
4.55062500000E+04	1.893876E-02	-3.827767E+01
4.73750000000E+04	1.132550E-02	1.039889E+02
4.92437500000E+04	8.021928E-03	2.501057E+01
5.11125000000E+04	2.627999E-03	3.209826E+01
5.29812500000E+04	2.269872E-02	7.557587E+01
5.48500000000E+04	1.712717E-02	5.220362E-01
5.67187500000E+04	2.904491E-02	4.531298E+01
5.85875000000E+04	1.414538E-02	-1.015993E+02
6.04562500000E+04	8.322058E-03	-2.227442E+01
6.23250000000E+04	2.128060E-02	7.669243E+01
6.41937500000E+04	1.123528E-02	5.380784E+01
6.60625000000E+04	1.011233E-02	-3.654711E+01
6.79312500000E+04	2.841886E-02	-2.765934E+01
6.98000000000E+04	7.079648E-03	9.470402E+01
7.16687500000E+04	1.694099E-02	7.969350E+01
7.35375000000E+04	1.425335E-02	1.430622E+02
7.54062500000E+04	1.021919E-02	-6.790828E+01
7.72750000000E+04	9.648698E-03	-2.262128E+01
7.91437500000E+04	5.775892E-03	9.659670E+01
8.10125000000E+04	1.091667E-02	-2.326754E+00
8.28812500000E+04	1.438313E-02	4.148048E+01
8.47500000000E+04	4.015609E-03	5.571560E+01
8.66187500000E+04	1.850004E-02	9.497412E+01
8.84875000000E+04	5.933214E-03	-7.615948E+01
9.03562500000E+04	1.538684E-02	5.071864E+01
9.22250000000E+04	6.917560E-03	-7.879690E+00
9.40937500000E+04	4.951881E-03	2.349872E+01
9.59625000000E+04	1.379818E-02	4.391586E+01
9.78312500000E+04	6.580136E-03	1.619848E+02
9.97000000000E+04	1.438403E-02	4.571769E+01
1.01568750000E+05	1.107704E-02	2.138191E+01
1.03437500000E+05	6.871727E-03	2.236495E+01
1.05306250000E+05	5.553714E-03	-1.797449E+02
1.07175000000E+05	1.287436E-02	5.680490E+00
1.09043750000E+05	1.327869E-02	8.479605E+01
1.10912500000E+05	1.347344E-02	7.768250E+01
