"E5100A REV3.14"
"DATE: Jun 26 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	7.549507E-02	3.594606E+01
1.18687500000E+04	4.137438E-02	1.286743E+02
1.37375000000E+04	1.302191E-01	-1.634471E+02
1.56062500000E+04	3.891803E-02	-5.000830E+01
1.74750000000E+04	1.936731E-02	-1.634532E+02
1.93437500000E+04	5.569728E-02	-1.865579E+01
2.12125000000E+04	1.744733E-02	-9.711524E+00
2.30812500000E+04	6.213380E-02	-1.388034E+02
2.49500000000E+04	2.572697E-02	-1.093151E+02
2.68187500000E+04	1.206551E-02	1.006826E+02
2.86875000000E+04	1.846614E-02	1.148841E+02
3.05562500000E+04	6.380639E-03	-1.485107E+02
3.24250000000E+04	7.480555E-03	1.665506E+02
3.42937500000E+04	1.803347E-02	-1.383030E+02
3.61625000000E+04	1.400971E-02	8.439254E+01
3.80312500000E+04	1.917727E-02	3.359864E+01
3.99000000000E+04	1.269198E-02	4.588845E+01
4.17687500000E+04	3.762865E-03	7.518931E+01
4.36375000000E+04	8.544918E-03	-3.219055E+00
4.55062500000E+04	1.584730E-02	5.179892E+01
4.73750000000E+04	1.282027E-02	1.151804E+02
4.92437500000E+04	5.667356E-03	1.724254E+02
5.11125000000E+04	2.376112E-02	9.095950E+01
5.29812500000E+04	1.234995E-02	-3.861834E+01
5.48500000000E+04	2.085396E-02	1.113272E+02
5.67187500000E+04	6.300866E-03	-1.152034E+02
5.85875000000E+04	1.956128E-02	7.428941E+01
6.04562500000E+04	1.194444E-02	1.072014E+01
6.23250000000E+04	1.022389E-02	-6.553012E+01
6.41937500000E+04	7.102434E-03	1.119569E+02
