"E5100A REV3.14"
"DATE: Jul  3 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	4.932404E-02	-3.198444E+01
1.18687500000E+04	1.907447E-02	-1.234818E+02
1.37375000000E+04	5.613538E-03	9.620129E+01
1.56062500000E+04	1.389429E-03	-4.664595E-01
1.74750000000E+04	1.572395E-03	2.771884E+01
1.93437500000E+04	4.826124E-03	-6.167370E+01
2.12125000000E+04	1.130558E-03	1.481680E+02
2.30812500000E+04	1.588528E-03	-1.465527E+01
2.49500000000E+04	1.936870E-03	-1.259754E+02
2.68187500000E+04	5.381164E-04	-1.058820E+02
2.86875000000E+04	1.649113E-03	-7.555788E+01
3.05562500000E+04	1.269686E-03	-5.744404E+01
3.24250000000E+04	1.367529E-03	-9.872485E+01
3.42937500000E+04	1.293506E-03	-4.722008E+01
3.61625000000E+04	4.219022E-04	1.147178E+02
3.80312500000E+04	8.889029E-04	-9.004170E+01
3.99000000000E+04	9.599924E-04	-6.852743E+01
4.17687500000E+04	1.366642E-03	-4.317599E+01
4.36375000000E+04	2.387574E-04	-9.765675E+01
4.55062500000E+04	7.643239E-04	-5.658973E+01
4.73750000000E+04	7.292123E-04	-1.024703E+02
4.92437500000E+04	2.193858E-03	-1.626885E+02
5.11125000000E+04	5.984101E-04	1.335249E+02
5.29812500000E+04	1.786098E-04	6.563864E+01
5.48500000000E+04	1.231663E-03	-7.307198E+01
5.67187500000E+04	7.782127E-04	-4.586222E+01
5.85875000000E+04	9.791713E-04	-6.534792E+01
6.04562500000E+04	5.875890E-04	-4.986974E+01
6.23250000000E+04	1.328920E-03	-5.805841E+01
6.41937500000E+04	7.284866E-04	-6.552617E+01
6.60625000000E+04	1.040531E-03	-5.884675E+01
