"E5100A REV3.14"
"DATE: Jul  3 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	3.609538E-02	-1.751376E+02
1.18687500000E+04	5.065933E-03	6.014697E+01
1.37375000000E+04	1.749296E-02	-1.102345E+02
1.56062500000E+04	8.176223E-03	1.177198E+02
1.74750000000E+04	3.538109E-03	2.300268E+01
1.93437500000E+04	2.539780E-03	-8.810028E+01
2.12125000000E+04	4.620954E-03	1.303459E+02
2.30812500000E+04	2.892084E-03	1.642057E+02
2.49500000000E+04	3.756546E-03	-4.159695E+01
2.68187500000E+04	5.476882E-04	1.244461E+02
2.86875000000E+04	2.538292E-03	9.656661E+01
3.05562500000E+04	6.194531E-04	8.683279E+01
3.24250000000E+04	1.454285E-03	8.898700E+01
3.42937500000E+04	5.694700E-04	1.391616E+02
3.61625000000E+04	4.956788E-04	7.815746E+01
3.80312500000E+04	9.221612E-04	1.308416E+02
3.99000000000E+04	2.021164E-03	8.173089E+01
4.17687500000E+04	3.195649E-04	1.423433E+02
4.36375000000E+04	1.364039E-03	7.776250E+01
4.55062500000E+04	6.872871E-04	5.762961E+01
4.73750000000E+04	7.759659E-04	1.644545E+02
4.92437500000E+04	1.540769E-03	8.619678E+01
5.11125000000E+04	1.103164E-03	7.977663E+01
5.29812500000E+04	1.034299E-03	7.944675E+01
5.48500000000E+04	1.494484E-03	7.916207E+01
5.67187500000E+04	1.391368E-03	8.654652E+01
5.85875000000E+04	1.266709E-03	7.451027E+01
6.04562500000E+04	1.541513E-03	7.328398E+01
6.23250000000E+04	1.950727E-03	8.481651E+01
6.41937500000E+04	2.116456E-04	-1.264962E+02
6.60625000000E+04	1.042663E-03	5.123606E+01
6.79312500000E+04	1.491882E-03	1.018995E+02
6.98000000000E+04	1.452570E-03	6.079924E+01
7.16687500000E+04	1.129888E-03	6.494113E+01
7.35375000000E+04	1.308643E-03	6.325125E+01
7.54062500000E+04	1.110900E-03	6.150972E+01
7.72750000000E+04	1.661297E-03	3.399777E+01
7.91437500000E+04	1.442831E-03	2.441235E+01
8.10125000000E+04	1.174506E-03	3.315888E+01
8.28812500000E+04	9.795445E-04	1.924683E+01
8.47500000000E+04	1.362644E-03	2.267399E+01
8.66187500000E+04	1.078986E-03	3.536283E+01
8.84875000000E+04	6.351699E-04	2.629197E+01
9.03562500000E+04	5.730747E-04	3.763062E+01
9.22250000000E+04	5.840972E-04	1.199477E+01
9.40937500000E+04	1.415959E-04	1.187456E+02
9.59625000000E+04	8.932791E-04	2.362797E+01
9.78312500000E+04	4.646190E-04	2.083336E+01
9.97000000000E+04	2.710004E-04	-2.095770E+01
1.01568750000E+05	4.838128E-04	7.666579E+01
1.03437500000E+05	5.418988E-04	1.571583E+01
1.05306250000E+05	7.510880E-04	-1.755839E+02
1.07175000000E+05	3.566859E-04	3.566527E+01
1.09043750000E+05	3.924345E-04	4.613893E+01
1.10912500000E+05	1.730295E-03	3.702698E+00
1.12781250000E+05	2.578906E-04	2.721739E+01
1.14650000000E+05	4.025085E-04	2.643701E+01
1.16518750000E+05	3.659701E-04	3.488549E+01
1.18387500000E+05	2.819213E-04	5.771912E+01
1.20256250000E+05	4.466979E-04	5.742441E+01
1.22125000000E+05	3.981332E-04	7.016611E+01
1.23993750000E+05	6.365280E-04	9.082223E+01
1.25862500000E+05	5.951797E-04	5.719051E+01
1.27731250000E+05	5.694184E-04	5.859100E+01
1.29600000000E+05	5.853885E-04	7.247674E+01
1.31468750000E+05	2.935755E-04	2.518337E+01
1.33337500000E+05	2.580405E-04	-1.855865E+01
1.35206250000E+05	4.070094E-04	6.463144E+01
1.37075000000E+05	3.829558E-04	2.835314E+01
1.38943750000E+05	3.317385E-04	7.109922E+01
1.40812500000E+05	1.876465E-04	-5.595020E+01
1.42681250000E+05	4.139536E-04	4.677129E+01
1.44550000000E+05	7.807978E-04	1.149993E+02
1.46418750000E+05	8.881942E-04	8.361797E+01
1.48287500000E+05	3.583934E-04	5.457316E+01
1.50156250000E+05	5.655930E-04	8.835265E+01
1.52025000000E+05	4.753180E-04	-1.587858E+01
1.53893750000E+05	8.485935E-04	8.708546E+01
1.55762500000E+05	4.982079E-04	5.895925E+01
1.57631250000E+05	1.464707E-04	3.510239E+01
1.59500000000E+05	5.840803E-04	4.653151E+01
1.61368750000E+05	6.177325E-04	1.140829E+02
1.63237500000E+05	3.937403E-04	7.767958E+01
1.65106250000E+05	7.444840E-04	5.909467E+01
1.66975000000E+05	6.865986E-04	1.002592E+02
1.68843750000E+05	5.170241E-04	3.588533E+01
1.70712500000E+05	6.895629E-04	4.620308E+01
1.72581250000E+05	4.649116E-04	8.413084E+01
1.74450000000E+05	1.720265E-04	1.478284E+01
1.76318750000E+05	6.595833E-04	6.216651E+01
1.78187500000E+05	4.528575E-04	8.231435E+01
1.80056250000E+05	3.081046E-04	2.762413E+01
1.81925000000E+05	5.832798E-04	8.905529E+01
1.83793750000E+05	5.893479E-04	4.675542E+01
1.85662500000E+05	4.679695E-04	9.572857E+01
1.87531250000E+05	5.119725E-04	7.933644E+01
1.89400000000E+05	4.384047E-04	7.897323E+01
1.91268750000E+05	7.744374E-04	1.146271E+02
1.93137500000E+05	8.988316E-04	5.661859E+01
1.95006250000E+05	5.241209E-04	8.304155E+01
1.96875000000E+05	5.615347E-04	7.599123E+01
1.98743750000E+05	5.305271E-04	8.779578E+01
2.00612500000E+05	1.166069E-03	6.342975E+01
2.02481250000E+05	4.488447E-04	4.805838E+01
2.04350000000E+05	1.024674E-03	7.966574E+01
2.06218750000E+05	4.688712E-04	5.820647E+01
2.08087500000E+05	5.350735E-04	1.114113E+02
2.09956250000E+05	3.585258E-04	9.589938E+01
2.11825000000E+05	4.354532E-04	8.297546E+01
2.13693750000E+05	6.341744E-04	6.618096E+01
2.15562500000E+05	6.832590E-04	1.011631E+02
2.17431250000E+05	4.216583E-04	7.912444E+01
2.19300000000E+05	6.001393E-04	6.140785E+01
2.21168750000E+05	5.801665E-04	4.721763E+01
2.23037500000E+05	5.188952E-04	8.075516E+01
2.24906250000E+05	6.197349E-04	2.875709E+01
2.26775000000E+05	9.812702E-04	4.486222E+01
2.28643750000E+05	5.864155E-04	6.307665E+01
2.30512500000E+05	6.190059E-04	4.953703E+01
2.32381250000E+05	5.421491E-04	6.563961E+01
2.34250000000E+05	5.342953E-04	6.585639E+01
2.36118750000E+05	7.363808E-04	7.412870E+01
2.37987500000E+05	5.410000E-04	6.102553E+01
2.39856250000E+05	8.050328E-04	6.445638E+01
2.41725000000E+05	8.046949E-04	6.369176E+01
2.43593750000E+05	5.147232E-04	6.953777E+01
2.45462500000E+05	9.624542E-04	9.693615E+01
2.47331250000E+05	5.349041E-04	1.074893E+02
2.49200000000E+05	6.813893E-04	7.709515E+01
2.51068750000E+05	6.159587E-04	8.260606E+01
2.52937500000E+05	6.651329E-04	3.539997E+01
2.54806250000E+05	1.026424E-03	8.512709E+01
2.56675000000E+05	6.420804E-04	9.305672E+01
2.58543750000E+05	7.805519E-04	9.964864E+01
2.60412500000E+05	6.975909E-04	8.734885E+01
2.62281250000E+05	7.996232E-04	8.000159E+01
2.64150000000E+05	7.279657E-04	9.831058E+01
2.66018750000E+05	9.343862E-04	6.930344E+01
2.67887500000E+05	7.291251E-04	6.600791E+01
2.69756250000E+05	9.009718E-04	8.978664E+01
2.71625000000E+05	7.916801E-04	8.412681E+01
2.73493750000E+05	9.504539E-04	7.811444E+01
2.75362500000E+05	1.058439E-03	7.509039E+01
2.77231250000E+05	6.896975E-04	7.864189E+01
2.79100000000E+05	8.728698E-04	7.851306E+01
2.80968750000E+05	8.141409E-04	7.222861E+01
2.82837500000E+05	9.330058E-04	8.591219E+01
2.84706250000E+05	7.350416E-04	1.066947E+02
2.86575000000E+05	6.003217E-04	8.411546E+01
2.88443750000E+05	7.292022E-04	9.253833E+01
2.90312500000E+05	9.271961E-04	7.526814E+01
2.92181250000E+05	7.269717E-04	6.290578E+01
2.94050000000E+05	8.090283E-04	7.475355E+01
2.95918750000E+05	7.289511E-04	6.750687E+01
2.97787500000E+05	8.811924E-04	9.938818E+01
2.99656250000E+05	5.655824E-04	9.823670E+01
3.01525000000E+05	1.025361E-03	8.655068E+01
3.03393750000E+05	7.848337E-04	9.334314E+01
3.05262500000E+05	9.596637E-04	8.858955E+01
3.07131250000E+05	8.855337E-04	7.687789E+01
3.09000000000E+05	9.067308E-04	8.928838E+01
3.10868750000E+05	9.256353E-04	7.487894E+01
3.12737500000E+05	7.860410E-04	8.217145E+01
3.14606250000E+05	8.973071E-04	8.157282E+01
3.16475000000E+05	8.504206E-04	9.930959E+01
3.18343750000E+05	1.033815E-03	9.378139E+01
3.20212500000E+05	8.932860E-04	8.310455E+01
3.22081250000E+05	8.276927E-04	8.049425E+01
3.23950000000E+05	1.079160E-03	8.282702E+01
3.25818750000E+05	1.061806E-03	7.805628E+01
3.27687500000E+05	7.762174E-04	6.710001E+01
3.29556250000E+05	1.021609E-03	8.732385E+01
3.31425000000E+05	1.018533E-03	8.739958E+01
3.33293750000E+05	9.631134E-04	9.304665E+01
3.35162500000E+05	1.109839E-03	8.797140E+01
3.37031250000E+05	1.214455E-03	9.441203E+01
3.38900000000E+05	1.145382E-03	8.738007E+01
3.40768750000E+05	9.249170E-04	8.613159E+01
