"E5100A REV3.14"
"DATE: Jul  3 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	6.641782E-02	-1.467368E+02
1.18687500000E+04	8.037513E-03	4.266985E+01
1.37375000000E+04	5.735754E-03	-1.364260E+02
1.56062500000E+04	8.004336E-03	1.353373E+02
1.74750000000E+04	3.895011E-03	-9.835947E+01
1.93437500000E+04	2.750181E-03	-1.295583E+02
2.12125000000E+04	1.289129E-03	3.054081E+01
2.30812500000E+04	1.194263E-03	2.483487E+01
2.49500000000E+04	1.811029E-03	1.675285E+02
2.68187500000E+04	1.222393E-03	-5.837963E+00
2.86875000000E+04	1.267766E-03	3.948914E+01
3.05562500000E+04	7.277045E-04	1.696580E+02
3.24250000000E+04	5.324141E-04	-1.559117E+02
3.42937500000E+04	9.174308E-04	-9.603703E+00
3.61625000000E+04	1.258052E-03	-6.878935E+01
3.80312500000E+04	7.260090E-04	1.438065E+02
3.99000000000E+04	5.711901E-04	-6.075807E+01
4.17687500000E+04	7.177978E-04	6.311937E+01
4.36375000000E+04	1.582839E-03	-1.328497E+02
4.55062500000E+04	4.827421E-04	5.499916E+01
4.73750000000E+04	5.077002E-04	1.202944E+02
4.92437500000E+04	1.701061E-03	2.332303E+01
5.11125000000E+04	1.522458E-03	-1.162929E+02
5.29812500000E+04	1.584978E-03	-1.728177E+02
5.48500000000E+04	8.053822E-04	-9.061608E+01
5.67187500000E+04	1.013295E-03	1.012558E+02
5.85875000000E+04	4.919869E-04	1.785881E+02
6.04562500000E+04	1.862594E-04	-7.711818E+01
6.23250000000E+04	3.950261E-04	-1.207825E+02
6.41937500000E+04	4.197536E-04	6.680359E+01
6.60625000000E+04	9.368459E-04	-3.055646E+01
6.79312500000E+04	4.991688E-04	7.876225E+01
6.98000000000E+04	5.940695E-04	4.986140E+01
7.16687500000E+04	5.349272E-04	-3.557159E+01
7.35375000000E+04	4.661469E-04	-2.280217E+01
7.54062500000E+04	4.086734E-04	-1.127054E+02
7.72750000000E+04	6.798916E-04	-4.743120E+01
7.91437500000E+04	5.544449E-04	-2.552518E+01
8.10125000000E+04	3.681282E-04	-8.299064E+01
8.28812500000E+04	5.405250E-04	-2.975713E+01
8.47500000000E+04	4.968769E-05	-1.962802E+01
8.66187500000E+04	1.058235E-03	-4.330079E+01
8.84875000000E+04	4.141850E-04	-3.700540E+01
9.03562500000E+04	8.981848E-04	-3.890699E+01
9.22250000000E+04	1.081757E-03	-1.103180E+02
9.40937500000E+04	5.946167E-04	-6.787446E+01
9.59625000000E+04	5.199976E-04	-4.018600E+01
9.78312500000E+04	5.202238E-04	-1.799199E+01
9.97000000000E+04	6.160751E-04	-7.280531E+01
1.01568750000E+05	1.125409E-03	-6.943355E+01
1.03437500000E+05	9.364635E-04	-5.966923E+01
1.05306250000E+05	7.707460E-04	1.143803E+02
1.07175000000E+05	3.622044E-04	-4.699741E+01
1.09043750000E+05	5.299657E-04	-7.445924E+01
1.10912500000E+05	1.957257E-03	-2.507394E+01
1.12781250000E+05	6.595210E-05	-1.173098E+02
1.14650000000E+05	7.610120E-04	-8.756551E+01
