"E5100A REV3.14"
"DATE: Jul  3 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	1.974711E-02	-9.109727E+01
1.18687500000E+04	1.283002E-02	8.340096E+01
1.37375000000E+04	4.113993E-03	-8.916419E+01
1.56062500000E+04	3.881604E-03	-2.211113E+01
1.74750000000E+04	8.145546E-03	-1.454373E+02
1.93437500000E+04	4.861563E-03	-4.185872E+00
2.12125000000E+04	3.367433E-03	1.460453E+02
2.30812500000E+04	3.714871E-03	-5.604528E+01
2.49500000000E+04	2.516160E-03	4.080923E+01
2.68187500000E+04	2.292135E-03	-4.657188E+01
2.86875000000E+04	1.533644E-03	-7.808775E+01
3.05562500000E+04	7.585559E-04	4.419416E+01
3.24250000000E+04	4.593600E-04	1.575776E+02
3.42937500000E+04	2.007328E-03	9.889201E+01
3.61625000000E+04	5.346605E-04	1.139767E+02
3.80312500000E+04	9.907485E-04	1.110644E+02
3.99000000000E+04	1.504418E-03	3.642818E+01
4.17687500000E+04	8.399292E-04	1.755837E+02
4.36375000000E+04	1.745941E-03	-1.633014E+02
4.55062500000E+04	7.578728E-04	4.931904E+01
4.73750000000E+04	1.125294E-03	2.486316E+01
4.92437500000E+04	2.269831E-03	1.482118E+02
5.11125000000E+04	5.114317E-04	-6.465651E+01
5.29812500000E+04	4.523249E-04	-9.202229E+01
5.48500000000E+04	4.549169E-04	8.068079E+01
5.67187500000E+04	9.699310E-04	3.548171E+01
5.85875000000E+04	5.476587E-04	3.704540E+01
6.04562500000E+04	5.394174E-04	7.103336E+01
6.23250000000E+04	9.621166E-04	4.627633E+01
6.41937500000E+04	8.065660E-04	5.935772E+01
6.60625000000E+04	1.205653E-03	8.076855E+01
6.79312500000E+04	6.771369E-04	5.787065E+01
6.98000000000E+04	1.307861E-03	6.427880E+01
7.16687500000E+04	3.462083E-04	9.627930E+00
7.35375000000E+04	7.004814E-04	-5.188472E+00
7.54062500000E+04	9.474910E-04	6.395722E+01
7.72750000000E+04	3.450725E-04	1.771219E+01
7.91437500000E+04	9.388286E-04	9.486189E-01
8.10125000000E+04	3.298261E-04	-9.590889E+00
8.28812500000E+04	2.256520E-04	-4.966539E+01
8.47500000000E+04	8.276431E-04	1.739754E+01
8.66187500000E+04	7.517490E-04	-1.553967E+00
8.84875000000E+04	6.037424E-04	3.060914E+00
9.03562500000E+04	5.241481E-04	5.919840E+01
9.22250000000E+04	1.609637E-04	7.325318E+01
9.40937500000E+04	9.413985E-05	7.036983E+01
9.59625000000E+04	6.569403E-04	3.307001E+01
9.78312500000E+04	2.679341E-04	7.346476E+01
9.97000000000E+04	3.601600E-04	-4.305939E+00
1.01568750000E+05	4.294249E-04	1.925930E+01
1.03437500000E+05	7.402818E-04	-4.578397E+01
1.05306250000E+05	1.513429E-03	1.369475E+02
1.07175000000E+05	5.891207E-04	-3.243345E+00
1.09043750000E+05	9.879288E-04	2.777055E+01
1.10912500000E+05	1.933542E-03	1.941990E+01
1.12781250000E+05	4.044205E-04	-1.921414E+01
1.14650000000E+05	2.385125E-04	-1.238673E+01
1.16518750000E+05	2.249573E-04	8.246042E+01
1.18387500000E+05	2.245129E-04	5.661138E+01
1.20256250000E+05	8.171954E-04	4.016901E+01
1.22125000000E+05	3.438347E-04	1.342596E+02
1.23993750000E+05	2.710151E-04	-1.584535E+02
1.25862500000E+05	2.701889E-04	1.086202E+02
1.27731250000E+05	2.441959E-04	5.491956E+01
1.29600000000E+05	3.704401E-04	2.367428E+01
1.31468750000E+05	2.654720E-04	5.930526E+01
1.33337500000E+05	3.444027E-04	5.988225E+01
1.35206250000E+05	3.466967E-04	9.363377E+01
1.37075000000E+05	4.681257E-04	6.522826E+01
1.38943750000E+05	1.912295E-04	5.068344E+01
1.40812500000E+05	4.368012E-04	2.733320E+01
1.42681250000E+05	6.400108E-05	-2.264569E+01
1.44550000000E+05	2.023902E-04	2.073124E+01
1.46418750000E+05	2.654963E-04	8.434199E+01
1.48287500000E+05	4.408821E-04	5.569279E+01
1.50156250000E+05	2.345560E-04	4.862187E+01
1.52025000000E+05	4.679843E-04	9.503436E+01
1.53893750000E+05	2.958748E-04	-3.255455E+01
1.55762500000E+05	6.394574E-04	5.719010E+01
1.57631250000E+05	5.795957E-04	2.761996E+01
1.59500000000E+05	1.831011E-04	7.812146E+01
1.61368750000E+05	4.621276E-04	7.919926E+01
1.63237500000E+05	1.021397E-04	4.944002E+01
1.65106250000E+05	2.752773E-04	-6.690633E+01
1.66975000000E+05	3.431480E-04	4.408582E+01
1.68843750000E+05	2.661675E-04	-6.284908E+01
1.70712500000E+05	4.463122E-04	1.076881E+02
1.72581250000E+05	2.448368E-04	1.301287E+02
1.74450000000E+05	5.362908E-04	8.634680E+01
1.76318750000E+05	3.715038E-04	1.111529E+02
1.78187500000E+05	2.461535E-04	5.722562E+01
1.80056250000E+05	3.593678E-04	4.488514E+01
1.81925000000E+05	3.387292E-04	1.190982E+02
1.83793750000E+05	5.745695E-04	8.636580E+01
1.85662500000E+05	5.324088E-04	8.722047E+01
1.87531250000E+05	2.958935E-04	1.355215E+02
1.89400000000E+05	1.604866E-04	-1.718667E+02
1.91268750000E+05	5.949846E-04	9.710136E+01
1.93137500000E+05	2.419576E-04	7.479343E+01
1.95006250000E+05	3.276482E-04	7.905094E+01
1.96875000000E+05	3.975544E-04	9.537309E+01
1.98743750000E+05	5.206403E-04	2.706602E+01
2.00612500000E+05	6.096443E-04	9.196368E+01
2.02481250000E+05	3.041713E-04	7.366063E+01
2.04350000000E+05	5.818403E-04	7.945391E+01
2.06218750000E+05	5.022150E-04	6.504958E+01
2.08087500000E+05	4.000163E-04	9.004850E+01
