"E5100A REV3.14"
"DATE: Jul  3 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	5.275730E-02	-7.340517E+01
1.18687500000E+04	1.385897E-02	4.151685E+01
1.37375000000E+04	1.508883E-02	1.165567E+02
1.56062500000E+04	5.761392E-03	1.782996E+02
1.74750000000E+04	3.047872E-03	1.753259E+02
1.93437500000E+04	3.689186E-03	1.151441E+02
2.12125000000E+04	1.847516E-03	-4.181886E+01
2.30812500000E+04	1.520188E-03	1.248821E+02
2.49500000000E+04	2.136740E-03	-1.303299E+02
2.68187500000E+04	1.786085E-03	2.380655E+01
2.86875000000E+04	1.074019E-03	1.509178E+02
3.05562500000E+04	1.125231E-03	1.111897E+02
3.24250000000E+04	6.572135E-04	1.302680E+01
3.42937500000E+04	1.880626E-04	1.305154E+02
3.61625000000E+04	1.000836E-03	-1.503293E+02
3.80312500000E+04	1.242078E-03	1.471137E+02
3.99000000000E+04	1.768566E-03	1.268829E+02
4.17687500000E+04	4.499716E-04	1.050122E+02
4.36375000000E+04	6.776798E-04	-5.260448E+01
4.55062500000E+04	1.187159E-03	1.515952E+02
4.73750000000E+04	7.336782E-05	-1.638128E+02
4.92437500000E+04	8.800399E-04	1.121824E+02
5.11125000000E+04	6.373401E-04	1.682037E+02
5.29812500000E+04	4.616322E-04	5.864769E+01
5.48500000000E+04	7.401397E-04	-1.714606E+02
5.67187500000E+04	1.013516E-03	1.039190E+02
5.85875000000E+04	7.740106E-04	9.644979E+01
6.04562500000E+04	7.003412E-04	1.165943E+02
6.23250000000E+04	1.451422E-03	7.530385E+01
6.41937500000E+04	4.535961E-04	1.034317E+02
6.60625000000E+04	1.457872E-03	8.249047E+01
6.79312500000E+04	1.102020E-03	-2.922288E+01
6.98000000000E+04	1.076023E-03	1.290940E+02
7.16687500000E+04	7.445210E-04	1.141789E+02
7.35375000000E+04	4.594529E-04	6.642014E+01
7.54062500000E+04	7.133559E-04	6.384898E+01
7.72750000000E+04	7.570221E-04	1.171725E+02
7.91437500000E+04	4.732057E-04	8.137419E+01
8.10125000000E+04	5.654913E-04	6.102065E+01
8.28812500000E+04	1.041591E-03	3.290427E+01
8.47500000000E+04	9.619120E-04	9.430704E+01
8.66187500000E+04	3.554844E-04	8.456805E+01
8.84875000000E+04	4.994402E-04	4.934433E+01
9.03562500000E+04	4.040003E-04	1.045659E+02
9.22250000000E+04	6.686046E-04	7.677850E+01
9.40937500000E+04	4.569733E-04	1.169978E+02
9.59625000000E+04	6.385882E-04	3.741574E+01
9.78312500000E+04	8.485897E-04	5.154702E+01
9.97000000000E+04	7.952977E-04	7.393413E+01
1.01568750000E+05	6.402884E-04	1.089599E+02
1.03437500000E+05	6.343969E-04	9.285661E+01
1.05306250000E+05	6.107870E-04	-8.358778E+01
1.07175000000E+05	1.016963E-03	9.201649E+01
1.09043750000E+05	3.034520E-04	1.774024E+02
