"E5100A REV3.14"
"DATE: Jul  3 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	6.126087E-02	-1.786577E+02
1.18687500000E+04	1.512066E-02	-5.751540E+01
1.37375000000E+04	8.793534E-03	1.345733E+02
1.56062500000E+04	1.252204E-02	1.679943E+02
1.74750000000E+04	2.818420E-03	1.195207E+02
1.93437500000E+04	3.309613E-03	9.106108E+01
2.12125000000E+04	1.553940E-03	-1.429967E+01
2.30812500000E+04	1.660572E-03	1.310236E+02
2.49500000000E+04	1.741957E-03	6.219988E+01
2.68187500000E+04	2.106455E-03	-4.345153E+01
2.86875000000E+04	1.560669E-03	1.231750E+02
3.05562500000E+04	9.454857E-04	2.443467E+01
3.24250000000E+04	2.884758E-04	8.321488E+01
3.42937500000E+04	1.829500E-03	1.402241E+02
3.61625000000E+04	1.733057E-03	1.077548E+02
3.80312500000E+04	4.249101E-04	3.884137E+00
3.99000000000E+04	1.001047E-03	1.013875E+02
4.17687500000E+04	2.048319E-04	1.369220E+01
4.36375000000E+04	8.787914E-04	8.833214E+01
4.55062500000E+04	1.648785E-04	1.346248E+02
4.73750000000E+04	1.784011E-03	1.085293E+02
4.92437500000E+04	2.950846E-03	9.630061E+01
5.11125000000E+04	1.125972E-03	3.128853E+01
5.29812500000E+04	1.191606E-03	1.443889E+02
5.48500000000E+04	1.484918E-03	7.714419E+01
5.67187500000E+04	1.266899E-03	1.289117E+02
5.85875000000E+04	1.455403E-03	6.717252E+01
6.04562500000E+04	7.686358E-04	1.167834E+02
6.23250000000E+04	1.584998E-03	8.567242E+01
6.41937500000E+04	1.792579E-03	8.873872E+01
6.60625000000E+04	1.106769E-03	8.394762E+01
6.79312500000E+04	1.427495E-03	8.031865E+01
6.98000000000E+04	1.475551E-03	8.409182E+01
7.16687500000E+04	9.134059E-04	9.563950E+01
7.35375000000E+04	1.634326E-03	8.231969E+01
7.54062500000E+04	1.524471E-03	8.042635E+01
7.72750000000E+04	1.520417E-03	7.813973E+01
7.91437500000E+04	1.122348E-03	6.299784E+01
8.10125000000E+04	1.811677E-03	6.991983E+01
8.28812500000E+04	1.206781E-03	9.729987E+01
8.47500000000E+04	1.187704E-03	6.296282E+01
8.66187500000E+04	1.466920E-03	7.258320E+01
8.84875000000E+04	1.365189E-03	1.002431E+02
9.03562500000E+04	1.561864E-03	7.215498E+01
9.22250000000E+04	1.188735E-03	8.661883E+01
9.40937500000E+04	1.718600E-03	8.135106E+01
9.59625000000E+04	1.670422E-03	7.291414E+01
9.78312500000E+04	1.164182E-03	9.000993E+01
9.97000000000E+04	1.656521E-03	1.014766E+02
1.01568750000E+05	1.471832E-03	7.481075E+01
1.03437500000E+05	1.411354E-03	5.969739E+01
1.05306250000E+05	4.656166E-04	-6.035899E+01
1.07175000000E+05	1.278014E-03	8.433814E+01
1.09043750000E+05	1.457025E-03	9.699929E+01
1.10912500000E+05	1.521028E-03	1.871906E+01
1.12781250000E+05	1.407664E-03	8.858709E+01
1.14650000000E+05	1.763667E-03	8.145564E+01
1.16518750000E+05	1.850043E-03	6.878948E+01
1.18387500000E+05	2.082130E-03	8.867437E+01
1.20256250000E+05	1.714301E-03	8.080550E+01
1.22125000000E+05	1.878712E-03	9.011553E+01
1.23993750000E+05	1.497986E-03	9.319829E+01
1.25862500000E+05	1.594214E-03	8.572318E+01
1.27731250000E+05	1.908231E-03	9.065539E+01
1.29600000000E+05	1.712469E-03	8.692994E+01
1.31468750000E+05	2.391230E-03	8.633587E+01
1.33337500000E+05	1.398936E-03	9.327496E+01
1.35206250000E+05	2.003900E-03	8.989388E+01
1.37075000000E+05	1.960348E-03	9.052166E+01
1.38943750000E+05	2.147937E-03	9.602106E+01
1.40812500000E+05	1.723070E-03	8.156277E+01
1.42681250000E+05	2.118753E-03	8.633691E+01
1.44550000000E+05	2.069262E-03	8.775977E+01
1.46418750000E+05	2.238418E-03	8.157750E+01
1.48287500000E+05	2.034784E-03	8.676351E+01
1.50156250000E+05	2.036041E-03	7.491934E+01
1.52025000000E+05	1.820369E-03	8.665921E+01
1.53893750000E+05	2.357125E-03	9.689393E+01
1.55762500000E+05	2.110229E-03	8.779723E+01
1.57631250000E+05	2.324815E-03	9.417113E+01
1.59500000000E+05	2.196616E-03	8.552688E+01
1.61368750000E+05	2.134863E-03	8.990617E+01
1.63237500000E+05	2.175807E-03	9.319311E+01
1.65106250000E+05	2.305046E-03	9.194528E+01
1.66975000000E+05	2.297242E-03	8.796046E+01
1.68843750000E+05	2.392557E-03	7.811529E+01
1.70712500000E+05	2.709521E-03	9.526275E+01
1.72581250000E+05	2.479591E-03	9.353055E+01
1.74450000000E+05	2.544375E-03	8.996725E+01
1.76318750000E+05	2.795229E-03	8.666138E+01
1.78187500000E+05	2.111640E-03	9.390057E+01
1.80056250000E+05	2.385607E-03	8.053851E+01
1.81925000000E+05	2.427368E-03	9.097144E+01
1.83793750000E+05	2.694744E-03	8.295443E+01
1.85662500000E+05	2.629340E-03	9.002268E+01
1.87531250000E+05	2.862508E-03	8.377235E+01
1.89400000000E+05	2.869532E-03	9.266451E+01
1.91268750000E+05	2.692848E-03	9.101970E+01
1.93137500000E+05	2.837710E-03	8.834002E+01
1.95006250000E+05	2.811238E-03	8.831306E+01
