"E5100A REV3.14"
"DATE: Jul  3 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	3.085424E-02	1.680140E+01
1.18687500000E+04	1.561985E-02	4.970960E+00
1.37375000000E+04	4.344245E-03	4.562909E+01
1.56062500000E+04	5.546993E-03	9.705537E+01
1.74750000000E+04	6.820789E-03	-3.813115E+01
1.93437500000E+04	1.351947E-03	-1.712122E+02
2.12125000000E+04	2.143841E-03	2.631417E+01
2.30812500000E+04	1.723938E-04	4.914738E+01
2.49500000000E+04	3.156781E-04	-1.237350E+02
2.68187500000E+04	1.381866E-03	4.414436E+01
2.86875000000E+04	1.674774E-03	-1.334465E+02
3.05562500000E+04	1.249946E-03	-7.683084E+01
3.24250000000E+04	9.520860E-04	-8.971134E+01
3.42937500000E+04	2.869944E-04	1.440898E+01
3.61625000000E+04	9.533352E-05	1.633179E+02
3.80312500000E+04	4.282237E-04	-1.027436E+02
3.99000000000E+04	2.719957E-04	6.020306E+00
4.17687500000E+04	1.377236E-03	-4.283815E+01
4.36375000000E+04	3.385431E-04	5.054153E+00
4.55062500000E+04	4.789480E-04	-7.756783E+01
4.73750000000E+04	1.358693E-03	-1.013726E+02
4.92437500000E+04	5.619670E-04	-1.025453E+02
5.11125000000E+04	9.328786E-04	-7.468007E+01
5.29812500000E+04	1.129212E-03	-6.789712E+01
5.48500000000E+04	8.144364E-04	-1.017699E+02
5.67187500000E+04	1.776539E-03	-1.079544E+02
5.85875000000E+04	1.229947E-03	-8.841085E+01
6.04562500000E+04	1.163004E-03	-1.141516E+02
6.23250000000E+04	1.177025E-03	-8.220242E+01
6.41937500000E+04	5.045638E-04	1.429353E+02
6.60625000000E+04	6.915720E-04	-1.403094E+02
6.79312500000E+04	5.695859E-04	-1.178376E+02
6.98000000000E+04	1.416234E-03	-8.814128E+01
7.16687500000E+04	1.259704E-03	-8.298498E+01
7.35375000000E+04	1.546580E-03	-7.545552E+01
7.54062500000E+04	5.930026E-04	-1.083977E+02
7.72750000000E+04	1.727788E-03	-8.267840E+01
7.91437500000E+04	1.163810E-03	-8.548584E+01
8.10125000000E+04	9.191023E-04	-7.959718E+01
8.28812500000E+04	9.036112E-04	-9.804607E+01
8.47500000000E+04	1.634735E-03	-7.512351E+01
8.66187500000E+04	1.651386E-03	-8.735173E+01
8.84875000000E+04	2.021379E-03	-7.729829E+01
9.03562500000E+04	1.224881E-03	-7.490234E+01
9.22250000000E+04	1.421137E-03	-9.421571E+01
9.40937500000E+04	1.949300E-03	-8.431078E+01
9.59625000000E+04	1.861626E-03	-9.224445E+01
9.78312500000E+04	1.904799E-03	-9.395396E+01
9.97000000000E+04	1.499360E-03	-9.349125E+01
1.01568750000E+05	1.620077E-03	-1.114721E+02
1.03437500000E+05	1.488093E-03	-9.353278E+01
1.05306250000E+05	9.747425E-04	-7.463147E+01
1.07175000000E+05	1.678348E-03	-8.117223E+01
1.09043750000E+05	1.847488E-03	-9.575793E+01
1.10912500000E+05	5.154692E-04	-3.694608E+01
1.12781250000E+05	1.841915E-03	-8.899752E+01
1.14650000000E+05	1.837665E-03	-9.999110E+01
1.16518750000E+05	1.556411E-03	-8.628880E+01
1.18387500000E+05	1.589552E-03	-7.495005E+01
1.20256250000E+05	2.000621E-03	-9.710035E+01
1.22125000000E+05	2.171588E-03	-8.084284E+01
1.23993750000E+05	2.251872E-03	-9.533099E+01
1.25862500000E+05	2.121280E-03	-9.591438E+01
1.27731250000E+05	2.370847E-03	-7.894044E+01
