"E5100A REV3.14"
"DATE: Jul  3 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	3.644191E-02	-8.552374E+01
1.18687500000E+04	1.318640E-02	4.377343E+01
1.37375000000E+04	1.194560E-02	-1.124349E+02
1.56062500000E+04	4.192633E-03	4.513703E+00
1.74750000000E+04	2.271505E-03	1.055747E+02
1.93437500000E+04	2.223108E-03	-1.198031E+02
2.12125000000E+04	3.579811E-03	8.968024E+01
2.30812500000E+04	3.538543E-03	-3.112981E+01
2.49500000000E+04	2.362720E-03	-1.788580E+02
2.68187500000E+04	5.477917E-04	3.299274E+01
2.86875000000E+04	2.773936E-03	1.716724E+02
3.05562500000E+04	1.074260E-03	7.984782E+00
3.24250000000E+04	1.524750E-03	5.852825E+01
3.42937500000E+04	3.724220E-04	-5.725260E+01
3.61625000000E+04	9.762357E-04	1.348042E+02
3.80312500000E+04	6.105747E-04	-1.796572E+02
3.99000000000E+04	4.378917E-04	-1.398714E+02
4.17687500000E+04	9.039716E-04	9.319545E+01
4.36375000000E+04	4.378317E-04	1.274746E+02
4.55062500000E+04	8.183639E-04	1.752469E+02
4.73750000000E+04	2.984173E-04	1.513523E+02
4.92437500000E+04	9.299029E-04	2.633879E+01
5.11125000000E+04	1.808810E-03	5.199701E+01
5.29812500000E+04	1.406408E-03	5.343529E+01
5.48500000000E+04	5.742697E-04	1.315679E+02
5.67187500000E+04	5.628565E-04	9.690145E+01
5.85875000000E+04	6.754462E-04	8.789463E+01
6.04562500000E+04	9.641990E-04	6.283743E+01
6.23250000000E+04	1.011597E-03	9.955417E+01
6.41937500000E+04	4.454305E-04	-3.829141E+01
6.60625000000E+04	1.240383E-03	4.426890E+01
6.79312500000E+04	8.891036E-04	5.057931E+01
6.98000000000E+04	1.639463E-03	4.293275E+01
7.16687500000E+04	5.560819E-04	7.977846E+01
7.35375000000E+04	5.589077E-04	3.616915E+01
7.54062500000E+04	4.820496E-04	2.761069E+01
7.72750000000E+04	9.980721E-04	5.537590E+01
7.91437500000E+04	1.400106E-03	9.266341E+00
8.10125000000E+04	1.370578E-03	2.082261E+01
8.28812500000E+04	1.437563E-03	-4.786951E+00
8.47500000000E+04	6.900188E-04	-1.039565E+01
8.66187500000E+04	1.152091E-03	-2.268670E+01
8.84875000000E+04	1.189302E-03	-1.388461E+01
9.03562500000E+04	1.591730E-03	-1.991057E+01
9.22250000000E+04	1.199796E-03	-1.566400E+01
9.40937500000E+04	6.977430E-04	-1.579662E+01
9.59625000000E+04	7.408553E-04	-3.612541E+01
9.78312500000E+04	9.681216E-04	-2.313534E+00
9.97000000000E+04	2.943517E-04	-1.122835E+01
1.01568750000E+05	3.703160E-04	1.881505E+01
1.03437500000E+05	6.616757E-04	-8.335381E+00
1.05306250000E+05	1.290920E-03	-1.742776E+01
