"E5100A REV3.14"
"DATE: Jul  3 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	9.261639E-02	2.035924E+01
1.18687500000E+04	6.834478E-03	4.496322E+01
1.37375000000E+04	1.112634E-02	-7.567043E+01
1.56062500000E+04	1.258011E-02	-1.399123E+02
1.74750000000E+04	5.350633E-03	5.535550E+01
1.93437500000E+04	4.559024E-03	-7.254075E+01
2.12125000000E+04	2.086674E-03	-9.554077E+01
2.30812500000E+04	7.645008E-04	-1.113994E+02
2.49500000000E+04	2.278548E-03	-6.729192E+01
2.68187500000E+04	1.360654E-03	-7.257307E+01
2.86875000000E+04	2.209431E-03	-3.169889E+01
3.05562500000E+04	7.152649E-04	-1.556803E+02
3.24250000000E+04	6.685968E-04	-4.418376E+01
3.42937500000E+04	3.319290E-04	5.319722E+01
3.61625000000E+04	2.134843E-04	-1.541691E+02
3.80312500000E+04	5.996953E-04	-1.028054E+01
3.99000000000E+04	8.825173E-04	-1.785790E+02
4.17687500000E+04	4.983953E-04	1.026094E+02
4.36375000000E+04	1.005744E-03	1.313206E+02
4.55062500000E+04	1.438050E-03	1.110523E+02
4.73750000000E+04	1.010623E-03	1.910749E+01
4.92437500000E+04	1.596733E-03	-1.788451E+02
5.11125000000E+04	3.138598E-04	9.119339E+01
5.29812500000E+04	5.733212E-04	-6.036242E+00
5.48500000000E+04	5.908555E-04	3.368644E+01
5.67187500000E+04	5.953685E-04	-1.612529E+02
5.85875000000E+04	5.387041E-04	-8.474989E+01
6.04562500000E+04	6.872103E-04	3.567037E+01
6.23250000000E+04	8.302190E-04	1.253698E+02
6.41937500000E+04	1.043149E-03	5.130792E+01
6.60625000000E+04	5.465050E-04	4.591814E+01
6.79312500000E+04	7.654236E-04	6.275375E+01
6.98000000000E+04	2.328967E-04	-1.555004E+02
7.16687500000E+04	7.170239E-04	3.287102E+01
7.35375000000E+04	1.797145E-04	-1.360040E+00
7.54062500000E+04	2.859129E-04	1.044420E+02
7.72750000000E+04	2.556574E-04	-4.757990E+01
7.91437500000E+04	2.885481E-04	8.693948E+01
8.10125000000E+04	1.163885E-04	1.653662E+02
8.28812500000E+04	1.365731E-04	-1.172375E+02
8.47500000000E+04	4.654357E-04	7.015823E+00
8.66187500000E+04	5.196992E-04	4.514018E+01
8.84875000000E+04	3.949278E-04	-1.043701E+01
9.03562500000E+04	3.123092E-04	-3.311932E+01
9.22250000000E+04	5.202286E-04	-5.965446E+01
9.40937500000E+04	3.033888E-04	6.271874E+00
9.59625000000E+04	7.482322E-04	-6.228587E+01
9.78312500000E+04	3.841329E-04	1.728256E+01
9.97000000000E+04	4.033515E-04	-1.258807E+02
1.01568750000E+05	3.449575E-04	-1.265260E+02
1.03437500000E+05	8.016715E-04	3.651262E+01
1.05306250000E+05	7.830583E-04	-9.017320E+00
1.07175000000E+05	1.091609E-04	-4.676897E+00
1.09043750000E+05	4.050207E-04	1.439236E+02
1.10912500000E+05	1.750825E-03	2.821367E+01
1.12781250000E+05	3.784419E-04	-7.527071E+01
1.14650000000E+05	3.610975E-04	8.733345E+01
1.16518750000E+05	3.137064E-04	1.535404E+02
1.18387500000E+05	4.601346E-04	-1.591504E+02
1.20256250000E+05	3.595185E-04	1.896162E+01
1.22125000000E+05	2.687992E-04	-1.142624E+01
1.23993750000E+05	3.369792E-04	-3.778447E+01
1.25862500000E+05	2.397268E-04	1.519702E+02
1.27731250000E+05	5.163421E-04	-1.742109E+02
1.29600000000E+05	4.441970E-04	3.857226E+01
1.31468750000E+05	4.140414E-04	8.947189E+01
1.33337500000E+05	4.774429E-04	-8.668177E+01
1.35206250000E+05	2.522834E-04	3.909602E+01
1.37075000000E+05	2.041835E-04	6.012696E+00
1.38943750000E+05	4.172184E-04	8.279913E+01
1.40812500000E+05	6.511602E-05	-2.490091E+01
1.42681250000E+05	8.446635E-04	-2.284533E+01
1.44550000000E+05	4.910488E-04	4.122510E+01
1.46418750000E+05	3.346445E-04	-5.042840E+01
1.48287500000E+05	2.124629E-04	-1.317787E+02
1.50156250000E+05	3.796298E-04	9.350138E+01
1.52025000000E+05	2.126667E-04	1.428454E+02
1.53893750000E+05	1.100700E-04	8.611878E+01
1.55762500000E+05	2.843305E-04	1.206882E+02
1.57631250000E+05	2.695479E-04	1.053670E+02
1.59500000000E+05	4.798780E-04	5.038382E+01
1.61368750000E+05	1.751436E-04	-3.664133E+01
1.63237500000E+05	8.164340E-04	4.853593E+01
1.65106250000E+05	7.427009E-04	5.367168E+01
1.66975000000E+05	3.583356E-04	6.368424E+01
1.68843750000E+05	1.206883E-04	2.644029E+01
1.70712500000E+05	4.232441E-04	-1.488453E+01
1.72581250000E+05	3.554769E-04	1.727155E+02
1.74450000000E+05	4.979525E-04	1.350735E+02
1.76318750000E+05	6.494570E-04	2.982574E+01
1.78187500000E+05	4.449323E-04	7.922911E+01
1.80056250000E+05	9.493920E-04	5.543140E+01
1.81925000000E+05	4.407632E-04	1.341505E+01
1.83793750000E+05	5.802756E-04	6.698702E+01
1.85662500000E+05	5.559624E-04	9.031883E+01
1.87531250000E+05	6.347096E-05	1.066238E+02
1.89400000000E+05	5.710626E-04	-2.586853E+01
1.91268750000E+05	5.402808E-04	1.094926E+02
1.93137500000E+05	4.364386E-04	5.504289E+01
1.95006250000E+05	6.037555E-04	-2.166651E+01
1.96875000000E+05	1.631130E-04	-1.707829E-01
1.98743750000E+05	4.102724E-04	4.384516E+01
2.00612500000E+05	7.399415E-04	1.204322E+02
2.02481250000E+05	5.574738E-05	-9.487142E+01
2.04350000000E+05	2.497052E-04	9.409697E+01
2.06218750000E+05	5.763245E-04	3.770567E+01
2.08087500000E+05	2.819737E-04	4.525787E+01
2.09956250000E+05	5.065629E-04	4.534013E+01
2.11825000000E+05	8.324867E-04	1.177857E+02
2.13693750000E+05	9.788076E-04	1.066726E+02
2.15562500000E+05	2.523342E-04	4.121724E+01
2.17431250000E+05	1.952905E-04	6.660860E+01
2.19300000000E+05	4.183392E-04	7.098766E+01
2.21168750000E+05	1.767897E-04	9.480820E+01
2.23037500000E+05	4.544942E-04	8.972727E+01
2.24906250000E+05	5.036424E-04	1.432322E+02
2.26775000000E+05	2.976540E-04	8.911320E+01
2.28643750000E+05	5.893470E-04	1.065166E+02
2.30512500000E+05	4.587817E-04	1.320278E+02
2.32381250000E+05	7.405218E-04	1.426739E+02
2.34250000000E+05	6.952363E-04	3.728980E+01
2.36118750000E+05	4.723657E-04	7.750293E+01
2.37987500000E+05	2.320972E-04	8.048852E+01
2.39856250000E+05	5.175529E-04	8.442310E+01
2.41725000000E+05	4.576648E-04	5.915142E+01
2.43593750000E+05	4.661977E-04	8.662054E+01
2.45462500000E+05	5.173997E-04	1.058579E+02
2.47331250000E+05	3.790240E-04	1.410560E+02
2.49200000000E+05	5.979785E-04	8.850978E+01
2.51068750000E+05	6.872204E-04	1.069782E+02
2.52937500000E+05	3.672704E-04	9.681658E+01
2.54806250000E+05	2.511771E-04	-1.542154E+02
2.56675000000E+05	6.059457E-04	9.090327E+01
2.58543750000E+05	5.028419E-04	1.046466E+02
2.60412500000E+05	6.146701E-04	7.062604E+01
2.62281250000E+05	4.608669E-04	8.294546E+01
2.64150000000E+05	2.571236E-04	1.073253E+02
2.66018750000E+05	5.378003E-04	1.362857E+02
2.67887500000E+05	4.382753E-04	1.026305E+02
2.69756250000E+05	5.663043E-04	3.789787E+01
2.71625000000E+05	7.389700E-04	1.036671E+02
2.73493750000E+05	6.267899E-04	8.073322E+01
2.75362500000E+05	6.468320E-04	6.608764E+01
2.77231250000E+05	3.657427E-04	1.451435E+02
2.79100000000E+05	6.637704E-04	6.845984E+01
2.80968750000E+05	2.441299E-04	1.206377E+02
2.82837500000E+05	6.179690E-04	8.627080E+01
2.84706250000E+05	5.420392E-04	9.660965E+01
2.86575000000E+05	7.402280E-04	1.077035E+02
2.88443750000E+05	5.286966E-04	8.964143E+01
2.90312500000E+05	5.483154E-04	4.730987E+01
2.92181250000E+05	4.320335E-04	9.854120E+01
2.94050000000E+05	4.838159E-04	9.945801E+01
2.95918750000E+05	4.513816E-04	8.699290E+01
2.97787500000E+05	4.395388E-04	1.007813E+02
2.99656250000E+05	6.614476E-04	1.005344E+02
3.01525000000E+05	6.124290E-04	8.662904E+01
3.03393750000E+05	6.519731E-04	7.172723E+01
3.05262500000E+05	4.936510E-04	7.242727E+01
3.07131250000E+05	6.214859E-04	6.106343E+01
3.09000000000E+05	5.170037E-04	6.123164E+01
3.10868750000E+05	7.507706E-04	9.049644E+01
3.12737500000E+05	4.382989E-04	1.088336E+02
3.14606250000E+05	5.820107E-04	8.098215E+01
3.16475000000E+05	8.062563E-04	9.816740E+01
3.18343750000E+05	5.763729E-04	1.040435E+02
3.20212500000E+05	3.751909E-04	1.021506E+02
3.22081250000E+05	5.560942E-04	8.144898E+01
3.23950000000E+05	5.343122E-04	1.147104E+02
3.25818750000E+05	5.030602E-04	1.169231E+02
3.27687500000E+05	5.260554E-04	8.136398E+01
3.29556250000E+05	6.169810E-04	8.838232E+01
3.31425000000E+05	5.720101E-04	7.814115E+01
3.33293750000E+05	2.732014E-04	1.179072E+02
3.35162500000E+05	5.287366E-04	6.425568E+01
3.37031250000E+05	6.245784E-04	9.362498E+01
3.38900000000E+05	5.788533E-04	7.720923E+01
3.40768750000E+05	6.479878E-04	8.654843E+01
3.42637500000E+05	8.378699E-04	7.330803E+01
3.44506250000E+05	5.937942E-04	1.162300E+02
3.46375000000E+05	6.466283E-04	7.963144E+01
3.48243750000E+05	6.585261E-04	7.351558E+01
3.50112500000E+05	4.622908E-04	8.540859E+01
3.51981250000E+05	5.687456E-04	1.102455E+02
3.53850000000E+05	5.688863E-04	7.520908E+01
3.55718750000E+05	5.957346E-04	7.166875E+01
3.57587500000E+05	5.507090E-04	7.236613E+01
3.59456250000E+05	6.195033E-04	8.371468E+01
3.61325000000E+05	6.028867E-04	8.182862E+01
3.63193750000E+05	4.396467E-04	7.041405E+01
3.65062500000E+05	6.931226E-04	9.063357E+01
3.66931250000E+05	5.362946E-04	7.168783E+01
3.68800000000E+05	6.392146E-04	9.867329E+01
3.70668750000E+05	6.648496E-04	7.701751E+01
3.72537500000E+05	5.540129E-04	8.778012E+01
3.74406250000E+05	5.744733E-04	1.064938E+02
3.76275000000E+05	7.747920E-04	1.009845E+02
3.78143750000E+05	7.039891E-04	7.419316E+01
3.80012500000E+05	6.368561E-04	8.244956E+01
3.81881250000E+05	6.568729E-04	1.078088E+02
3.83750000000E+05	6.783912E-04	9.758060E+01
3.85618750000E+05	6.406337E-04	9.518101E+01
3.87487500000E+05	6.025060E-04	8.413206E+01
3.89356250000E+05	6.097401E-04	7.790800E+01
3.91225000000E+05	6.207834E-04	9.784386E+01
3.93093750000E+05	7.156215E-04	8.208525E+01
3.94962500000E+05	6.309994E-04	7.747972E+01
3.96831250000E+05	7.980647E-04	8.051302E+01
3.98700000000E+05	5.845932E-04	8.676817E+01
4.00568750000E+05	7.320782E-04	8.963570E+01
4.02437500000E+05	7.954184E-04	1.019347E+02
4.04306250000E+05	6.761847E-04	9.376759E+01
4.06175000000E+05	5.484740E-04	9.348363E+01
4.08043750000E+05	7.426703E-04	9.481278E+01
4.09912500000E+05	8.773314E-04	8.762426E+01
4.11781250000E+05	8.687283E-04	8.058434E+01
4.13650000000E+05	5.633970E-04	8.256647E+01
4.15518750000E+05	6.995344E-04	8.934438E+01
4.17387500000E+05	5.897712E-04	1.072390E+02
4.19256250000E+05	5.523819E-04	9.759705E+01
4.21125000000E+05	6.927291E-04	9.364200E+01
4.22993750000E+05	7.922112E-04	8.524939E+01
4.24862500000E+05	6.121180E-04	6.959586E+01
4.26731250000E+05	7.963675E-04	7.817366E+01
4.28600000000E+05	7.111686E-04	1.068706E+02
4.30468750000E+05	7.345213E-04	6.435275E+01
4.32337500000E+05	7.316120E-04	9.452137E+01
