"E5100A REV3.14"
"DATE: Jul  3 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	1.094028E-02	5.440873E+01
1.18687500000E+04	1.197686E-02	-8.811780E+01
1.37375000000E+04	4.342558E-03	-8.051433E+01
1.56062500000E+04	2.567901E-03	1.191268E+02
1.74750000000E+04	3.720847E-03	2.541290E+01
1.93437500000E+04	3.964350E-03	-5.120847E+01
2.12125000000E+04	3.798548E-03	-2.976738E+01
2.30812500000E+04	2.340108E-03	-3.020700E+01
2.49500000000E+04	3.561107E-03	-8.312714E-01
2.68187500000E+04	3.748432E-03	-3.764363E+01
2.86875000000E+04	3.136520E-03	-2.664283E+01
3.05562500000E+04	3.935868E-03	-1.878159E+01
3.24250000000E+04	2.148741E-03	-6.487791E+01
3.42937500000E+04	2.483953E-03	-8.365065E+00
3.61625000000E+04	1.044759E-03	-4.627957E+01
3.80312500000E+04	8.789871E-04	2.155845E+00
3.99000000000E+04	1.649252E-03	-1.926900E+01
4.17687500000E+04	1.271122E-03	-1.720632E+01
4.36375000000E+04	1.566193E-03	-4.506760E+01
4.55062500000E+04	8.105523E-04	6.440740E+00
4.73750000000E+04	1.860393E-03	-2.341458E+01
4.92437500000E+04	6.612560E-04	-7.711117E+01
5.11125000000E+04	1.327688E-03	-4.506363E+01
5.29812500000E+04	1.179216E-03	-1.154840E+00
5.48500000000E+04	1.040935E-03	-7.644606E+01
5.67187500000E+04	9.708834E-04	-5.012807E+01
5.85875000000E+04	1.575750E-03	-2.858706E+01
6.04562500000E+04	1.149112E-03	-4.176581E+01
6.23250000000E+04	2.363573E-03	-4.654044E+01
6.41937500000E+04	1.189715E-03	-2.330339E+01
6.60625000000E+04	1.332061E-03	-6.032583E+00
6.79312500000E+04	1.754861E-03	-7.046120E+01
6.98000000000E+04	1.411957E-03	-3.206516E+01
7.16687500000E+04	1.025968E-03	-4.729432E+01
7.35375000000E+04	1.576435E-03	-4.169147E+01
7.54062500000E+04	1.339070E-03	-2.746570E+01
7.72750000000E+04	1.275084E-03	-5.627130E+01
7.91437500000E+04	1.048210E-03	-4.242285E+01
8.10125000000E+04	1.160291E-03	-3.109462E+01
8.28812500000E+04	7.621006E-04	-2.334244E+01
8.47500000000E+04	9.097310E-04	-6.580692E+01
8.66187500000E+04	1.240566E-03	-5.342310E+01
8.84875000000E+04	1.442388E-03	-3.436555E+01
9.03562500000E+04	8.726305E-04	-9.437914E+01
9.22250000000E+04	9.407615E-04	-4.517639E+01
9.40937500000E+04	1.196829E-03	-4.728075E+01
9.59625000000E+04	1.134439E-03	-3.210169E+01
9.78312500000E+04	1.065968E-03	-2.773048E+01
9.97000000000E+04	1.246525E-03	-6.240795E+01
1.01568750000E+05	1.060050E-03	-1.738391E+01
1.03437500000E+05	1.369339E-03	-4.779004E+01
1.05306250000E+05	6.978312E-04	7.965639E+01
1.07175000000E+05	9.726344E-04	-3.530105E+01
1.09043750000E+05	1.178908E-03	-1.885145E+01
1.10912500000E+05	1.069864E-03	6.861801E+01
1.12781250000E+05	1.925952E-03	-1.167280E+01
1.14650000000E+05	1.152382E-03	-4.156581E+01
1.16518750000E+05	1.661440E-03	-2.879073E+01
1.18387500000E+05	1.551932E-03	-2.719862E+01
1.20256250000E+05	1.107058E-03	-4.498771E+01
1.22125000000E+05	9.136941E-04	-3.306782E+01
1.23993750000E+05	1.258802E-03	-3.854419E+01
1.25862500000E+05	6.768491E-04	-1.776056E+01
1.27731250000E+05	1.200372E-03	-2.403932E+01
1.29600000000E+05	1.086210E-03	-4.808319E+01
1.31468750000E+05	1.465929E-03	-5.792291E+01
1.33337500000E+05	1.875907E-03	-3.416842E+01
1.35206250000E+05	1.056763E-03	-3.748515E+01
1.37075000000E+05	1.081528E-03	-2.678862E+01
1.38943750000E+05	1.121657E-03	-6.063504E+01
1.40812500000E+05	6.778854E-04	-2.558796E+01
1.42681250000E+05	4.926669E-04	-1.716164E-01
1.44550000000E+05	5.449053E-04	-4.039176E+01
1.46418750000E+05	6.248376E-04	-2.850391E+01
1.48287500000E+05	5.632436E-04	-9.303321E+01
1.50156250000E+05	2.998944E-04	-1.327236E+02
1.52025000000E+05	1.673985E-04	-6.513587E+01
1.53893750000E+05	6.101779E-04	-4.124729E+01
1.55762500000E+05	6.920857E-04	-2.805632E+01
1.57631250000E+05	9.405238E-04	-5.719557E+01
1.59500000000E+05	3.071211E-04	-5.089178E+01
1.61368750000E+05	4.744592E-04	-4.540953E+01
1.63237500000E+05	7.029172E-04	-7.999923E+01
1.65106250000E+05	5.192755E-04	-1.131786E+01
1.66975000000E+05	5.866184E-04	-1.667286E+01
1.68843750000E+05	4.821189E-04	-2.329179E+01
1.70712500000E+05	5.232450E-04	-5.282494E+01
1.72581250000E+05	6.329698E-04	-5.668398E+01
