"E5100A REV3.14"
"DATE: Jul  3 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	5.929744E-02	-1.651656E+02
1.18687500000E+04	2.061836E-02	-1.030676E+02
1.37375000000E+04	1.279238E-02	1.377447E+02
1.56062500000E+04	6.612033E-03	1.223625E+00
1.74750000000E+04	3.713895E-03	5.048016E+01
1.93437500000E+04	5.522359E-03	-4.925487E+01
2.12125000000E+04	2.835995E-03	-4.728334E+01
2.30812500000E+04	2.698253E-03	7.318589E+01
2.49500000000E+04	8.643506E-04	2.316139E+01
2.68187500000E+04	1.967068E-03	-1.779486E+02
2.86875000000E+04	2.760046E-03	-7.289313E+01
3.05562500000E+04	1.503327E-03	-7.481339E+01
3.24250000000E+04	9.117584E-04	7.511346E+01
3.42937500000E+04	3.492453E-04	-7.144999E+01
3.61625000000E+04	3.925617E-04	1.153913E+02
3.80312500000E+04	1.060358E-03	-1.711668E+01
3.99000000000E+04	8.160477E-04	1.554099E+02
4.17687500000E+04	1.080993E-03	-8.695014E+01
4.36375000000E+04	3.233804E-04	9.146630E+01
4.55062500000E+04	1.197458E-03	8.449429E+01
4.73750000000E+04	1.330322E-03	3.134759E+01
4.92437500000E+04	5.825214E-04	-3.070184E+01
5.11125000000E+04	9.301858E-04	-2.544561E+01
5.29812500000E+04	2.933557E-04	-5.815049E+00
5.48500000000E+04	1.067800E-03	7.665304E+01
5.67187500000E+04	8.003835E-04	1.572070E+02
5.85875000000E+04	7.179065E-04	-1.486564E+02
6.04562500000E+04	5.243118E-04	-7.046035E+01
6.23250000000E+04	2.539211E-04	-1.532489E+02
6.41937500000E+04	8.786159E-04	-7.414283E+01
6.60625000000E+04	1.171797E-03	-1.286074E+02
6.79312500000E+04	3.889625E-04	7.063678E+01
6.98000000000E+04	6.910416E-04	6.520999E+01
7.16687500000E+04	9.117758E-04	-6.065574E+01
7.35375000000E+04	5.318552E-04	-1.075656E+02
7.54062500000E+04	2.846953E-04	-2.525159E+01
7.72750000000E+04	1.729596E-04	5.508887E+01
7.91437500000E+04	6.000641E-04	1.403320E+01
8.10125000000E+04	5.570184E-04	3.498453E+01
8.28812500000E+04	3.768624E-04	-7.104517E+01
8.47500000000E+04	6.054710E-04	-3.940009E+01
8.66187500000E+04	8.878456E-04	-4.456217E+00
8.84875000000E+04	2.258771E-04	-1.406546E+02
9.03562500000E+04	1.047341E-03	-7.650680E+01
9.22250000000E+04	2.793963E-04	-1.093456E+02
9.40937500000E+04	7.682154E-04	-1.073094E+02
9.59625000000E+04	5.749086E-04	-4.975603E+01
9.78312500000E+04	6.516177E-04	-2.670835E+01
9.97000000000E+04	6.951046E-04	-2.862790E+01
1.01568750000E+05	4.745050E-04	-7.559229E+01
1.03437500000E+05	7.513538E-04	-4.613209E+01
1.05306250000E+05	1.628435E-03	-2.498826E+01
1.07175000000E+05	5.475224E-04	-1.211561E+02
1.09043750000E+05	9.432721E-04	-6.994125E+01
1.10912500000E+05	1.959482E-03	-5.679026E+01
1.12781250000E+05	1.827690E-04	2.974339E+00
1.14650000000E+05	6.345407E-04	-8.850317E+01
1.16518750000E+05	4.851875E-04	-6.374540E+01
1.18387500000E+05	6.354170E-04	-8.991191E+01
1.20256250000E+05	3.726650E-04	-8.220776E+01
1.22125000000E+05	4.884056E-04	-4.860357E+01
1.23993750000E+05	8.266322E-04	-7.882803E+01
1.25862500000E+05	7.043257E-04	-5.210241E+01
1.27731250000E+05	5.097126E-04	-3.850733E+01
1.29600000000E+05	6.050352E-04	-7.243642E+01
1.31468750000E+05	3.591221E-04	-9.502499E+01
1.33337500000E+05	6.141157E-04	-1.218305E+02
1.35206250000E+05	6.325967E-04	-4.304848E+01
1.37075000000E+05	7.587746E-04	-5.573938E+01
1.38943750000E+05	3.831411E-04	-9.403770E+01
1.40812500000E+05	6.147007E-04	-7.949394E+01
1.42681250000E+05	5.777858E-04	-7.599492E+01
1.44550000000E+05	4.704028E-04	-1.088006E+02
1.46418750000E+05	8.893276E-04	-8.118390E+01
1.48287500000E+05	1.326599E-04	-5.605806E+00
1.50156250000E+05	6.078357E-04	-1.330447E+02
1.52025000000E+05	6.342044E-04	-8.859747E+01
1.53893750000E+05	5.607016E-04	-9.797693E+01
1.55762500000E+05	6.641300E-04	-7.159416E+01
1.57631250000E+05	6.929359E-04	-8.034836E+01
1.59500000000E+05	8.946824E-04	-8.282034E+01
1.61368750000E+05	1.085212E-03	-8.500774E+01
1.63237500000E+05	6.779980E-04	-7.509904E+01
1.65106250000E+05	5.502229E-04	-8.534848E+01
1.66975000000E+05	6.488549E-04	-6.069094E+01
1.68843750000E+05	4.008850E-04	-6.920713E+01
1.70712500000E+05	6.058305E-04	-9.188515E+01
1.72581250000E+05	1.043313E-03	-6.927380E+01
1.74450000000E+05	6.764816E-04	-1.147256E+02
1.76318750000E+05	5.494285E-04	-7.645576E+01
1.78187500000E+05	6.770846E-04	-7.755418E+01
1.80056250000E+05	1.240514E-03	-8.145097E+01
1.81925000000E+05	1.018374E-03	-1.019497E+02
1.83793750000E+05	1.309484E-03	-9.781774E+01
1.85662500000E+05	8.803308E-04	-8.322212E+01
1.87531250000E+05	7.103253E-04	-1.003983E+02
1.89400000000E+05	9.019148E-04	-1.186800E+02
1.91268750000E+05	7.901501E-04	-9.858508E+01
1.93137500000E+05	1.115438E-03	-1.024796E+02
1.95006250000E+05	7.854703E-04	-9.674144E+01
1.96875000000E+05	1.141665E-03	-8.599920E+01
1.98743750000E+05	7.573980E-04	-1.050417E+02
2.00612500000E+05	8.360907E-04	-8.575451E+01
2.02481250000E+05	1.162820E-03	-8.786295E+01
2.04350000000E+05	8.825663E-04	-8.906448E+01
2.06218750000E+05	9.924619E-04	-8.468347E+01
2.08087500000E+05	1.132851E-03	-1.020493E+02
2.09956250000E+05	1.316851E-03	-7.596109E+01
2.11825000000E+05	6.686639E-04	-7.417428E+01
2.13693750000E+05	7.497215E-04	-9.373444E+01
2.15562500000E+05	1.154894E-03	-1.115938E+02
2.17431250000E+05	8.729965E-04	-7.739867E+01
2.19300000000E+05	8.379883E-04	-8.604623E+01
2.21168750000E+05	9.624340E-04	-8.879848E+01
2.23037500000E+05	1.057126E-03	-9.274914E+01
2.24906250000E+05	9.249337E-04	-7.915988E+01
2.26775000000E+05	9.604112E-04	-6.289925E+01
2.28643750000E+05	8.548733E-04	-9.695461E+01
2.30512500000E+05	1.107304E-03	-7.559985E+01
2.32381250000E+05	8.170722E-04	-8.485435E+01
2.34250000000E+05	1.114620E-03	-8.473544E+01
2.36118750000E+05	8.499680E-04	-8.499868E+01
2.37987500000E+05	8.660927E-04	-8.877998E+01
2.39856250000E+05	9.744269E-04	-8.468129E+01
2.41725000000E+05	1.048006E-03	-9.521150E+01
2.43593750000E+05	1.016617E-03	-7.144693E+01
2.45462500000E+05	1.061168E-03	-9.237253E+01
2.47331250000E+05	1.295344E-03	-9.605808E+01
2.49200000000E+05	1.248687E-03	-9.847516E+01
2.51068750000E+05	1.158568E-03	-8.643414E+01
2.52937500000E+05	1.085462E-03	-8.865154E+01
2.54806250000E+05	1.151576E-03	-8.784339E+01
2.56675000000E+05	1.242916E-03	-8.983764E+01
2.58543750000E+05	1.045793E-03	-8.564176E+01
2.60412500000E+05	1.371034E-03	-9.241196E+01
2.62281250000E+05	1.271048E-03	-9.532828E+01
2.64150000000E+05	1.222566E-03	-9.933905E+01
2.66018750000E+05	9.715492E-04	-8.431596E+01
2.67887500000E+05	1.265645E-03	-9.041895E+01
2.69756250000E+05	1.249960E-03	-1.003299E+02
2.71625000000E+05	9.563622E-04	-8.954437E+01
2.73493750000E+05	1.403849E-03	-7.880370E+01
2.75362500000E+05	1.275383E-03	-9.987438E+01
2.77231250000E+05	1.470827E-03	-9.883494E+01
2.79100000000E+05	1.274630E-03	-1.043713E+02
2.80968750000E+05	1.230260E-03	-9.395245E+01
2.82837500000E+05	1.317165E-03	-8.407407E+01
2.84706250000E+05	1.317167E-03	-8.814220E+01
2.86575000000E+05	1.439595E-03	-9.754642E+01
2.88443750000E+05	1.268070E-03	-8.188802E+01
2.90312500000E+05	1.072149E-03	-8.547399E+01
2.92181250000E+05	1.222675E-03	-8.507111E+01
2.94050000000E+05	1.435504E-03	-9.813558E+01
2.95918750000E+05	1.279422E-03	-9.307419E+01
2.97787500000E+05	1.057202E-03	-8.167506E+01
2.99656250000E+05	1.458615E-03	-9.113026E+01
3.01525000000E+05	1.370068E-03	-9.337811E+01
3.03393750000E+05	1.495378E-03	-9.233256E+01
3.05262500000E+05	1.207340E-03	-8.381341E+01
3.07131250000E+05	1.365944E-03	-8.937364E+01
3.09000000000E+05	1.320509E-03	-1.017967E+02
3.10868750000E+05	1.212280E-03	-9.175700E+01
3.12737500000E+05	1.269074E-03	-7.680750E+01
3.14606250000E+05	1.284827E-03	-9.909943E+01
3.16475000000E+05	1.356968E-03	-8.883601E+01
3.18343750000E+05	1.304981E-03	-9.453474E+01
3.20212500000E+05	1.476260E-03	-8.627498E+01
3.22081250000E+05	1.205202E-03	-8.924170E+01
3.23950000000E+05	1.249449E-03	-9.444350E+01
3.25818750000E+05	1.439156E-03	-8.541290E+01
3.27687500000E+05	1.405308E-03	-1.010170E+02
3.29556250000E+05	1.300111E-03	-9.097717E+01
3.31425000000E+05	1.322618E-03	-9.307009E+01
3.33293750000E+05	1.257240E-03	-9.967838E+01
3.35162500000E+05	1.261657E-03	-9.735546E+01
3.37031250000E+05	1.470273E-03	-8.918920E+01
3.38900000000E+05	1.538710E-03	-9.341370E+01
3.40768750000E+05	1.537764E-03	-8.724125E+01
3.42637500000E+05	1.381605E-03	-9.886734E+01
3.44506250000E+05	1.547479E-03	-8.671384E+01
3.46375000000E+05	1.375712E-03	-9.934157E+01
3.48243750000E+05	1.657106E-03	-9.411610E+01
3.50112500000E+05	1.583518E-03	-9.925307E+01
3.51981250000E+05	1.496477E-03	-9.021728E+01
3.53850000000E+05	1.519450E-03	-9.682932E+01
3.55718750000E+05	1.539899E-03	-8.753645E+01
3.57587500000E+05	1.500749E-03	-9.470687E+01
3.59456250000E+05	1.446695E-03	-9.215611E+01
3.61325000000E+05	1.575457E-03	-9.436639E+01
3.63193750000E+05	1.583688E-03	-9.257588E+01
3.65062500000E+05	1.757618E-03	-9.462496E+01
3.66931250000E+05	1.525585E-03	-9.373281E+01
3.68800000000E+05	1.590481E-03	-9.685611E+01
3.70668750000E+05	1.659912E-03	-9.239644E+01
3.72537500000E+05	1.745499E-03	-9.373746E+01
3.74406250000E+05	1.555565E-03	-8.816777E+01
3.76275000000E+05	1.729829E-03	-9.220957E+01
3.78143750000E+05	1.591428E-03	-9.665676E+01
3.80012500000E+05	1.920389E-03	-9.713680E+01
3.81881250000E+05	1.439638E-03	-8.935770E+01
3.83750000000E+05	1.767485E-03	-8.902963E+01
3.85618750000E+05	1.757433E-03	-9.440752E+01
3.87487500000E+05	1.505152E-03	-8.606403E+01
3.89356250000E+05	1.808032E-03	-9.614384E+01
3.91225000000E+05	1.569067E-03	-9.791832E+01
3.93093750000E+05	1.577527E-03	-8.925433E+01
3.94962500000E+05	1.834155E-03	-9.728346E+01
3.96831250000E+05	1.741607E-03	-9.819055E+01
3.98700000000E+05	1.670058E-03	-9.752699E+01
4.00568750000E+05	1.542458E-03	-9.679716E+01
4.02437500000E+05	1.683606E-03	-9.426083E+01
4.04306250000E+05	1.629834E-03	-8.675005E+01
4.06175000000E+05	1.687085E-03	-9.323527E+01
4.08043750000E+05	1.742292E-03	-9.923423E+01
4.09912500000E+05	1.895113E-03	-9.579526E+01
4.11781250000E+05	1.690884E-03	-9.478082E+01
4.13650000000E+05	1.765593E-03	-9.487100E+01
4.15518750000E+05	1.900303E-03	-9.786399E+01
4.17387500000E+05	1.742848E-03	-9.812717E+01
4.19256250000E+05	1.962975E-03	-9.269013E+01
4.21125000000E+05	1.792144E-03	-8.764024E+01
4.22993750000E+05	1.824261E-03	-9.782219E+01
4.24862500000E+05	1.782746E-03	-8.580523E+01
4.26731250000E+05	1.760559E-03	-9.645132E+01
4.28600000000E+05	1.847010E-03	-9.358647E+01
4.30468750000E+05	1.627468E-03	-9.404092E+01
4.32337500000E+05	1.785320E-03	-9.602948E+01
4.34206250000E+05	2.042024E-03	-9.123788E+01
4.36075000000E+05	1.942959E-03	-9.544791E+01
4.37943750000E+05	2.054750E-03	-9.551727E+01
4.39812500000E+05	1.953453E-03	-9.591724E+01
4.41681250000E+05	1.843372E-03	-9.124267E+01
4.43550000000E+05	1.850682E-03	-9.403538E+01
4.45418750000E+05	2.081581E-03	-9.588733E+01
4.47287500000E+05	1.843296E-03	-9.232835E+01
4.49156250000E+05	1.893932E-03	-9.299940E+01
4.51025000000E+05	2.013391E-03	-9.657307E+01
4.52893750000E+05	1.924980E-03	-9.438994E+01
4.54762500000E+05	1.952807E-03	-9.329910E+01
4.56631250000E+05	1.932905E-03	-9.718694E+01
4.58500000000E+05	1.833492E-03	-9.517133E+01
4.60368750000E+05	1.827081E-03	-9.092774E+01
4.62237500000E+05	2.071528E-03	-9.445178E+01
4.64106250000E+05	1.958746E-03	-9.121741E+01
4.65975000000E+05	1.952157E-03	-9.872885E+01
4.67843750000E+05	2.153876E-03	-9.319292E+01
4.69712500000E+05	1.981978E-03	-9.576612E+01
4.71581250000E+05	2.049990E-03	-9.024409E+01
4.73450000000E+05	1.925900E-03	-9.708340E+01
4.75318750000E+05	1.955503E-03	-9.209896E+01
4.77187500000E+05	2.053067E-03	-9.866434E+01
4.79056250000E+05	2.143716E-03	-1.016131E+02
4.80925000000E+05	2.109299E-03	-9.395164E+01
4.82793750000E+05	2.076773E-03	-9.276262E+01
4.84662500000E+05	2.063566E-03	-9.575308E+01
4.86531250000E+05	1.960200E-03	-9.421658E+01
4.88400000000E+05	2.078402E-03	-9.510751E+01
4.90268750000E+05	2.057549E-03	-9.242784E+01
4.92137500000E+05	2.084799E-03	-9.907392E+01
4.94006250000E+05	2.189461E-03	-9.674931E+01
4.95875000000E+05	2.141038E-03	-9.708637E+01
4.97743750000E+05	2.124120E-03	-9.797417E+01
4.99612500000E+05	2.350163E-03	-9.763092E+01
5.01481250000E+05	2.158793E-03	-1.000614E+02
5.03350000000E+05	2.156605E-03	-9.852285E+01
