"E5100A REV3.14"
"DATE: Jul  3 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	2.161930E-02	7.406095E+01
1.18687500000E+04	8.023086E-03	5.741942E+01
1.37375000000E+04	6.375578E-03	1.756666E+02
1.56062500000E+04	5.301608E-03	1.363787E+02
1.74750000000E+04	5.351818E-03	-1.654107E+02
1.93437500000E+04	4.466478E-03	-1.787739E+02
2.12125000000E+04	3.568626E-03	-1.474116E+02
2.30812500000E+04	2.065685E-03	1.482021E+00
2.49500000000E+04	2.696507E-04	2.982948E+00
2.68187500000E+04	1.360430E-03	1.217210E+02
2.86875000000E+04	1.007817E-03	-1.049069E+02
3.05562500000E+04	1.868982E-03	1.706697E+02
3.24250000000E+04	6.719565E-04	5.699667E+01
3.42937500000E+04	1.607680E-03	1.611814E+02
3.61625000000E+04	8.101751E-04	-2.370014E+01
3.80312500000E+04	1.393637E-03	1.260229E+02
3.99000000000E+04	6.781166E-04	-1.077786E+02
4.17687500000E+04	1.900216E-03	1.468582E+02
4.36375000000E+04	7.066415E-04	-1.857848E+01
4.55062500000E+04	8.360827E-04	7.654931E+01
4.73750000000E+04	4.424565E-04	-7.249910E+01
4.92437500000E+04	2.605731E-03	1.323116E+02
5.11125000000E+04	5.528723E-05	-4.420942E+01
5.29812500000E+04	4.453682E-04	3.220624E+01
5.48500000000E+04	1.477444E-05	-1.690835E+02
5.67187500000E+04	1.350552E-03	3.913854E+01
5.85875000000E+04	7.426289E-04	-4.513404E+01
6.04562500000E+04	3.736950E-04	1.403956E+02
6.23250000000E+04	3.779221E-04	-1.975085E+01
6.41937500000E+04	4.935181E-04	4.068450E+01
6.60625000000E+04	3.899755E-04	-2.122813E+01
6.79312500000E+04	6.067394E-04	5.632874E+01
6.98000000000E+04	3.089404E-04	3.449948E+01
7.16687500000E+04	3.906383E-04	5.534321E+01
7.35375000000E+04	5.427244E-05	2.915277E+01
7.54062500000E+04	2.344712E-04	-7.674272E+01
7.72750000000E+04	8.374027E-04	4.529456E+01
7.91437500000E+04	2.574687E-04	1.381987E+02
8.10125000000E+04	4.102586E-04	-1.276153E+01
8.28812500000E+04	2.230362E-04	-2.193957E+01
8.47500000000E+04	3.372876E-04	1.137196E+02
8.66187500000E+04	2.134671E-04	1.032192E+02
8.84875000000E+04	1.278247E-03	5.263803E+00
9.03562500000E+04	5.707730E-04	1.342780E+02
9.22250000000E+04	5.466597E-04	-2.036534E+01
9.40937500000E+04	7.933278E-04	9.364587E+01
9.59625000000E+04	1.592280E-04	-2.685279E+00
