"E5100A REV3.14"
"DATE: Jul  3 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	5.274707E-03	-1.710972E+02
1.18687500000E+04	1.441918E-02	-1.624820E+02
1.37375000000E+04	7.188419E-03	-7.061333E+01
1.56062500000E+04	5.618484E-03	-3.291507E+01
1.74750000000E+04	8.363911E-04	-8.764592E-01
1.93437500000E+04	2.625277E-03	-1.741632E+02
2.12125000000E+04	1.814628E-03	-3.976410E+01
2.30812500000E+04	1.310303E-04	-7.476346E+01
2.49500000000E+04	1.905703E-03	-1.714168E+02
2.68187500000E+04	1.901631E-03	-2.585717E+01
2.86875000000E+04	1.545129E-03	1.343264E+02
3.05562500000E+04	1.733673E-03	1.515552E+02
3.24250000000E+04	8.620835E-04	-7.264196E+01
3.42937500000E+04	1.071365E-03	1.085476E+02
3.61625000000E+04	1.020769E-03	1.274142E+02
3.80312500000E+04	8.701464E-04	7.730395E+01
3.99000000000E+04	1.262202E-03	1.327926E+02
4.17687500000E+04	9.194950E-04	1.095284E+02
4.36375000000E+04	1.334315E-03	1.517832E+02
4.55062500000E+04	9.865275E-04	-1.442638E+02
4.73750000000E+04	4.572118E-04	5.690749E+01
4.92437500000E+04	1.211922E-03	-1.622527E+02
5.11125000000E+04	1.403978E-03	6.169716E+01
5.29812500000E+04	1.409086E-03	1.343790E+02
5.48500000000E+04	4.804252E-04	5.353644E+01
5.67187500000E+04	1.419677E-03	4.370531E+01
5.85875000000E+04	7.804933E-04	1.020828E+02
6.04562500000E+04	6.503173E-04	1.225165E+02
6.23250000000E+04	1.758137E-04	6.412049E+01
6.41937500000E+04	1.514044E-04	-1.742088E+02
6.60625000000E+04	5.957381E-04	1.740522E+02
6.79312500000E+04	8.529015E-04	1.232444E+02
6.98000000000E+04	9.154761E-04	8.149766E+01
7.16687500000E+04	5.217507E-04	1.256113E+02
7.35375000000E+04	6.671436E-04	1.233111E+02
7.54062500000E+04	5.554605E-04	1.457161E+02
7.72750000000E+04	5.909110E-04	1.429466E+02
7.91437500000E+04	1.016440E-03	1.127045E+02
8.10125000000E+04	5.229219E-04	1.166424E+02
8.28812500000E+04	1.247929E-03	7.806576E+01
8.47500000000E+04	6.296829E-04	8.064233E+01
8.66187500000E+04	1.113953E-03	1.123926E+02
8.84875000000E+04	7.308194E-04	3.943757E+01
9.03562500000E+04	5.607920E-04	8.508723E+01
9.22250000000E+04	6.306128E-04	1.213361E+02
9.40937500000E+04	4.293327E-04	1.272683E+02
9.59625000000E+04	3.002900E-04	4.988625E+01
9.78312500000E+04	8.249917E-04	7.402866E+01
9.97000000000E+04	1.040690E-03	1.156361E+02
1.01568750000E+05	8.588070E-04	8.380110E+01
1.03437500000E+05	8.937954E-04	6.677047E+01
1.05306250000E+05	1.658047E-03	7.908504E+00
1.07175000000E+05	1.040951E-04	7.786517E+01
1.09043750000E+05	7.006071E-04	6.853043E+01
1.10912500000E+05	1.969966E-03	6.890730E+01
1.12781250000E+05	3.657997E-04	2.585514E+01
1.14650000000E+05	6.790237E-04	4.810095E+01
1.16518750000E+05	8.851733E-04	8.581879E+01
1.18387500000E+05	7.628104E-04	9.357484E+01
1.20256250000E+05	9.706419E-04	9.856203E+01
1.22125000000E+05	1.044119E-03	5.720365E+01
1.23993750000E+05	6.940066E-04	7.187737E+01
1.25862500000E+05	1.138504E-03	8.446940E+01
1.27731250000E+05	1.476230E-03	8.168401E+01
1.29600000000E+05	4.542200E-04	5.740879E+01
1.31468750000E+05	4.603963E-04	1.004747E+02
1.33337500000E+05	5.113610E-04	6.548092E+01
1.35206250000E+05	1.142255E-03	8.340820E+01
1.37075000000E+05	7.722410E-04	1.059731E+02
1.38943750000E+05	7.825536E-04	9.410686E+01
1.40812500000E+05	8.530993E-04	9.893962E+01
1.42681250000E+05	1.005621E-03	8.320198E+01
1.44550000000E+05	1.294389E-03	9.553499E+01
1.46418750000E+05	3.799745E-04	7.637605E+01
1.48287500000E+05	1.048020E-03	7.632091E+01
1.50156250000E+05	7.592757E-04	5.229593E+01
1.52025000000E+05	4.376865E-04	6.191840E+01
1.53893750000E+05	5.182991E-04	5.414283E+01
1.55762500000E+05	8.124733E-04	5.805142E+01
1.57631250000E+05	7.417343E-04	8.228022E+01
1.59500000000E+05	8.231475E-04	6.737044E+01
