"E5100A REV3.14"
"DATE: Jul  3 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	2.758654E-02	-4.664056E+01
1.18687500000E+04	2.210686E-02	-8.637550E+01
1.37375000000E+04	1.292379E-02	-1.558076E+02
1.56062500000E+04	3.032702E-03	-1.354326E+02
1.74750000000E+04	6.907779E-03	1.418923E+00
1.93437500000E+04	4.094964E-03	9.710243E+01
2.12125000000E+04	1.305200E-03	6.770650E+01
2.30812500000E+04	1.757277E-03	-8.199350E+01
2.49500000000E+04	2.170995E-03	-1.246839E+02
2.68187500000E+04	1.904492E-03	2.982462E+00
2.86875000000E+04	8.879893E-04	-1.474584E+02
3.05562500000E+04	9.839601E-04	-3.446346E+01
3.24250000000E+04	6.873893E-04	5.524642E-01
3.42937500000E+04	9.687740E-04	-1.694564E+01
3.61625000000E+04	6.865434E-04	8.285281E+01
3.80312500000E+04	7.928958E-04	9.954032E+01
3.99000000000E+04	1.129584E-03	-7.669553E+01
4.17687500000E+04	8.958349E-04	-6.543870E+01
4.36375000000E+04	2.598818E-04	-9.417635E+01
4.55062500000E+04	4.602931E-04	-8.875070E+01
4.73750000000E+04	1.395050E-03	-7.167309E+01
4.92437500000E+04	7.208413E-04	-4.316441E+01
5.11125000000E+04	1.935800E-03	-2.474893E+01
5.29812500000E+04	1.505789E-03	-1.171791E+02
5.48500000000E+04	5.329436E-04	-7.966415E+01
5.67187500000E+04	6.829138E-04	-6.859707E+01
5.85875000000E+04	1.018694E-03	-6.622074E+01
6.04562500000E+04	5.685647E-04	-9.108973E+01
6.23250000000E+04	8.092934E-04	-4.314437E+01
6.41937500000E+04	1.223682E-03	-1.015012E+02
6.60625000000E+04	1.295675E-03	-1.156991E+02
6.79312500000E+04	1.347478E-03	-6.605934E+01
6.98000000000E+04	7.949286E-04	-9.335958E+01
7.16687500000E+04	1.280425E-03	-7.873035E+01
7.35375000000E+04	1.144482E-03	-9.697945E+01
7.54062500000E+04	1.301246E-03	-9.038431E+01
7.72750000000E+04	9.680097E-04	-5.921215E+01
7.91437500000E+04	9.672059E-04	-1.006775E+02
8.10125000000E+04	1.112751E-03	-7.555721E+01
8.28812500000E+04	1.475024E-03	-8.010271E+01
8.47500000000E+04	1.282492E-03	-9.557965E+01
8.66187500000E+04	7.942690E-04	-9.061058E+01
8.84875000000E+04	1.244861E-03	-5.528050E+01
9.03562500000E+04	1.520786E-03	-6.555923E+01
9.22250000000E+04	1.413975E-03	-9.000762E+01
9.40937500000E+04	1.252984E-03	-1.007963E+02
9.59625000000E+04	1.668506E-03	-8.571596E+01
9.78312500000E+04	1.545506E-03	-8.652052E+01
9.97000000000E+04	2.148584E-03	-9.712239E+01
1.01568750000E+05	1.616716E-03	-6.473198E+01
1.03437500000E+05	1.297705E-03	-1.066287E+02
1.05306250000E+05	1.516987E-03	-1.359561E+02
1.07175000000E+05	1.633566E-03	-9.081437E+01
1.09043750000E+05	1.839203E-03	-7.979605E+01
1.10912500000E+05	2.989891E-03	-5.435232E+01
1.12781250000E+05	1.919388E-03	-8.914726E+01
1.14650000000E+05	1.955482E-03	-9.050805E+01
1.16518750000E+05	1.982444E-03	-8.951118E+01
1.18387500000E+05	1.807371E-03	-9.133974E+01
1.20256250000E+05	1.748130E-03	-8.848041E+01
1.22125000000E+05	1.468285E-03	-1.045390E+02
1.23993750000E+05	1.692655E-03	-7.797514E+01
1.25862500000E+05	1.901850E-03	-6.390627E+01
1.27731250000E+05	1.802051E-03	-8.492430E+01
1.29600000000E+05	1.551738E-03	-9.009191E+01
1.31468750000E+05	2.079754E-03	-8.839982E+01
1.33337500000E+05	1.744901E-03	-7.883317E+01
1.35206250000E+05	1.553408E-03	-8.959671E+01
1.37075000000E+05	2.138045E-03	-7.960826E+01
1.38943750000E+05	1.885703E-03	-7.179438E+01
1.40812500000E+05	1.763096E-03	-9.398855E+01
1.42681250000E+05	1.824519E-03	-7.576283E+01
1.44550000000E+05	2.045282E-03	-8.557706E+01
1.46418750000E+05	2.089287E-03	-9.343817E+01
1.48287500000E+05	1.641971E-03	-8.101200E+01
1.50156250000E+05	2.047336E-03	-8.489821E+01
1.52025000000E+05	1.872004E-03	-9.347226E+01
1.53893750000E+05	2.116182E-03	-8.969628E+01
1.55762500000E+05	2.278156E-03	-8.106955E+01
1.57631250000E+05	2.002995E-03	-9.088435E+01
1.59500000000E+05	2.218025E-03	-9.136719E+01
1.61368750000E+05	2.555299E-03	-9.027775E+01
1.63237500000E+05	2.108939E-03	-8.722114E+01
1.65106250000E+05	2.226319E-03	-8.841439E+01
1.66975000000E+05	2.462717E-03	-8.365951E+01
