"E5100A REV3.14"
"DATE: Jul  3 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	1.351267E-02	-2.650703E+01
1.18687500000E+04	2.811461E-02	-1.463784E+02
1.37375000000E+04	4.196609E-03	5.865969E+01
1.56062500000E+04	8.536994E-03	9.024039E+01
1.74750000000E+04	8.401240E-03	1.187319E+02
1.93437500000E+04	5.959566E-03	3.368342E+01
2.12125000000E+04	3.423501E-03	-3.857798E+01
2.30812500000E+04	2.809447E-03	6.084500E+01
2.49500000000E+04	1.643464E-03	6.432037E+01
2.68187500000E+04	7.116600E-04	1.765439E+02
2.86875000000E+04	8.520279E-04	-2.343176E+00
3.05562500000E+04	1.123616E-03	3.060059E+01
3.24250000000E+04	5.842616E-04	1.566064E+02
3.42937500000E+04	1.309038E-03	1.737465E+02
3.61625000000E+04	1.219595E-03	-1.492692E+02
3.80312500000E+04	2.777900E-04	-1.566500E+02
3.99000000000E+04	4.373289E-04	-1.656817E+02
4.17687500000E+04	7.620610E-04	1.419413E+02
4.36375000000E+04	5.834651E-04	-1.525638E+02
4.55062500000E+04	2.740398E-04	-6.167750E+01
4.73750000000E+04	3.048972E-04	1.252610E+02
4.92437500000E+04	1.299998E-03	1.687569E+02
5.11125000000E+04	5.563449E-04	-1.109970E+02
5.29812500000E+04	5.827026E-04	1.025520E+02
5.48500000000E+04	6.136487E-04	-5.814138E+01
5.67187500000E+04	8.044688E-04	9.387531E+01
5.85875000000E+04	4.536066E-04	1.317211E+01
6.04562500000E+04	4.391538E-04	-1.296068E+01
6.23250000000E+04	1.030729E-03	1.408043E+02
6.41937500000E+04	1.051247E-03	7.301055E+01
6.60625000000E+04	6.033283E-04	8.453040E+01
6.79312500000E+04	7.640983E-04	1.664701E+02
6.98000000000E+04	1.026475E-04	-5.458493E+01
7.16687500000E+04	6.865222E-04	7.482317E+01
7.35375000000E+04	3.474749E-04	1.163772E+02
7.54062500000E+04	5.302507E-04	4.144370E+01
7.72750000000E+04	5.790257E-04	1.032591E+02
7.91437500000E+04	7.867013E-04	1.651524E+02
8.10125000000E+04	6.733326E-04	9.470059E+01
8.28812500000E+04	6.773726E-04	4.335324E+01
8.47500000000E+04	5.855025E-04	6.471996E+01
8.66187500000E+04	6.164095E-04	7.384192E+01
8.84875000000E+04	3.871775E-04	1.403090E+02
9.03562500000E+04	7.356813E-04	1.078761E+02
9.22250000000E+04	2.163774E-04	4.573023E+01
9.40937500000E+04	3.556465E-04	8.755882E+01
9.59625000000E+04	1.062034E-03	1.117727E+02
9.78312500000E+04	2.454105E-04	6.866512E-01
9.97000000000E+04	5.529599E-04	9.177183E+01
1.01568750000E+05	5.053547E-04	7.640592E+00
1.03437500000E+05	2.619885E-04	1.444647E+02
1.05306250000E+05	5.501286E-04	1.384844E+02
1.07175000000E+05	6.523198E-04	2.497899E+01
1.09043750000E+05	4.955560E-04	-1.225768E+01
1.10912500000E+05	1.787477E-03	-9.593430E+01
1.12781250000E+05	6.180000E-04	8.691034E+01
1.14650000000E+05	3.625770E-04	4.185979E+01
1.16518750000E+05	7.180316E-04	7.379017E+01
1.18387500000E+05	3.203416E-04	6.569565E+01
1.20256250000E+05	2.165112E-04	4.414240E+01
1.22125000000E+05	6.074160E-04	1.006314E+02
1.23993750000E+05	6.519682E-04	9.091336E+01
1.25862500000E+05	9.548759E-04	1.127642E+02
1.27731250000E+05	6.059835E-04	1.095117E+02
1.29600000000E+05	3.269968E-04	1.253100E+02
1.31468750000E+05	7.649206E-04	8.112601E+01
1.33337500000E+05	2.382303E-04	1.005803E+02
1.35206250000E+05	4.930978E-04	1.211695E+02
1.37075000000E+05	7.338033E-04	7.886144E+01
1.38943750000E+05	5.580990E-04	8.256757E+01
1.40812500000E+05	8.209214E-04	9.018493E+01
1.42681250000E+05	5.819420E-04	7.955948E+01
1.44550000000E+05	4.774224E-04	8.966537E+01
1.46418750000E+05	5.302924E-04	6.233303E+01
1.48287500000E+05	6.159265E-04	8.209917E+01
1.50156250000E+05	5.086094E-04	6.209584E+01
1.52025000000E+05	6.510316E-04	7.806554E+01
1.53893750000E+05	8.379779E-04	7.205695E+01
1.55762500000E+05	4.928266E-04	5.713614E+01
1.57631250000E+05	5.248371E-04	7.757571E+01
1.59500000000E+05	4.105385E-04	2.111505E+01
1.61368750000E+05	7.395017E-04	7.253437E+01
1.63237500000E+05	6.935391E-04	8.213556E+01
1.65106250000E+05	6.942725E-04	9.024776E+01
1.66975000000E+05	8.260881E-04	7.152429E+01
1.68843750000E+05	6.865832E-04	1.367460E+02
1.70712500000E+05	6.909714E-04	7.060544E+01
1.72581250000E+05	6.664014E-04	9.840654E+01
1.74450000000E+05	4.691244E-04	7.137695E+01
1.76318750000E+05	6.612791E-04	9.433034E+01
1.78187500000E+05	5.971677E-04	4.679887E+01
1.80056250000E+05	8.614325E-04	8.316434E+01
1.81925000000E+05	8.749343E-04	5.475401E+01
1.83793750000E+05	5.631482E-04	8.404987E+01
1.85662500000E+05	5.645219E-04	6.116677E+01
1.87531250000E+05	5.973442E-04	8.722862E+01
1.89400000000E+05	6.291018E-04	7.529667E+01
1.91268750000E+05	7.737626E-04	8.171100E+01
1.93137500000E+05	6.606282E-04	8.418770E+01
1.95006250000E+05	9.797728E-04	8.862745E+01
1.96875000000E+05	9.913045E-04	9.221603E+01
1.98743750000E+05	6.658425E-04	1.160307E+02
2.00612500000E+05	5.174859E-04	7.145296E+01
2.02481250000E+05	2.983526E-04	8.698930E+01
2.04350000000E+05	6.330496E-04	8.169945E+01
2.06218750000E+05	8.616763E-04	7.456857E+01
2.08087500000E+05	2.295957E-04	1.245561E+02
2.09956250000E+05	9.032348E-04	9.350076E+01
2.11825000000E+05	7.505090E-04	6.953258E+01
2.13693750000E+05	5.671011E-04	1.081857E+02
2.15562500000E+05	4.137397E-04	1.160026E+02
2.17431250000E+05	8.134521E-04	9.678403E+01
2.19300000000E+05	4.543982E-04	4.616683E+01
2.21168750000E+05	6.483743E-04	6.182689E+01
2.23037500000E+05	9.641757E-04	5.558378E+01
2.24906250000E+05	8.396871E-04	1.174473E+02
2.26775000000E+05	8.029371E-04	1.019024E+02
2.28643750000E+05	6.921763E-04	8.796549E+01
2.30512500000E+05	9.807103E-04	7.928954E+01
2.32381250000E+05	5.861738E-04	7.584666E+01
2.34250000000E+05	6.173639E-04	6.048767E+01
2.36118750000E+05	9.795874E-04	8.789615E+01
2.37987500000E+05	8.791655E-04	7.303358E+01
2.39856250000E+05	5.308064E-04	6.740725E+01
2.41725000000E+05	6.181328E-04	8.572303E+01
2.43593750000E+05	5.983091E-04	8.745252E+01
2.45462500000E+05	4.614577E-04	9.290026E+01
2.47331250000E+05	8.185154E-04	7.985529E+01
2.49200000000E+05	8.358284E-04	7.774113E+01
2.51068750000E+05	8.985974E-04	9.591428E+01
2.52937500000E+05	7.450192E-04	8.074753E+01
2.54806250000E+05	7.150887E-04	5.383678E+01
2.56675000000E+05	7.857584E-04	6.803352E+01
