"E5100A REV3.14"
"DATE: Jul  3 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	1.541564E-02	8.014036E+01
1.18687500000E+04	1.308807E-02	-1.902866E+01
1.37375000000E+04	5.238398E-03	1.025239E+02
1.56062500000E+04	2.984892E-03	6.861291E+01
1.74750000000E+04	2.978208E-03	-1.634189E+02
1.93437500000E+04	2.886570E-04	-2.768334E+01
2.12125000000E+04	3.143920E-03	4.535072E+01
2.30812500000E+04	4.539612E-04	6.068372E+01
2.49500000000E+04	1.562723E-03	4.489529E+01
2.68187500000E+04	9.294335E-04	-1.331974E+02
2.86875000000E+04	6.329095E-04	-8.557869E+01
3.05562500000E+04	2.573405E-03	1.273217E+02
3.24250000000E+04	1.008102E-03	-6.496416E+01
3.42937500000E+04	5.636060E-04	4.736491E+01
3.61625000000E+04	5.232668E-04	7.307670E+01
3.80312500000E+04	1.056190E-03	-1.780855E+01
3.99000000000E+04	1.211558E-03	-8.227213E+01
4.17687500000E+04	1.206102E-03	-8.417941E+01
4.36375000000E+04	6.105467E-04	-7.180191E-01
4.55062500000E+04	8.585329E-04	-6.092587E+01
4.73750000000E+04	8.004926E-04	-7.918212E+01
4.92437500000E+04	2.863157E-04	7.964461E+01
5.11125000000E+04	1.572269E-04	-1.663044E+02
5.29812500000E+04	1.667341E-03	-7.030740E+01
5.48500000000E+04	9.564183E-04	-5.779032E+01
5.67187500000E+04	1.293924E-03	-6.662367E+01
5.85875000000E+04	6.347960E-04	1.781520E+02
6.04562500000E+04	1.053441E-03	-6.727407E+01
6.23250000000E+04	6.713386E-04	-1.087186E+02
6.41937500000E+04	3.104320E-04	-9.707039E+01
6.60625000000E+04	1.096075E-03	-1.305691E+02
6.79312500000E+04	1.147547E-03	-6.877216E+01
6.98000000000E+04	1.130868E-03	-8.521108E+01
7.16687500000E+04	1.099539E-03	-1.183055E+02
7.35375000000E+04	1.367527E-03	-8.455994E+01
7.54062500000E+04	1.006785E-03	-7.473757E+01
7.72750000000E+04	1.437728E-03	-6.554950E+01
7.91437500000E+04	8.389759E-04	-9.443712E+01
8.10125000000E+04	2.045333E-03	-9.787048E+01
8.28812500000E+04	9.090796E-04	-6.105817E+01
8.47500000000E+04	1.147733E-03	-9.536195E+01
8.66187500000E+04	1.606775E-03	-8.416453E+01
8.84875000000E+04	2.248655E-03	-8.071555E+01
9.03562500000E+04	1.345492E-03	-7.260658E+01
9.22250000000E+04	1.176967E-03	-9.874491E+01
9.40937500000E+04	1.009433E-03	-9.889888E+01
9.59625000000E+04	1.601679E-03	-9.595567E+01
9.78312500000E+04	1.476443E-03	-9.662063E+01
9.97000000000E+04	1.468258E-03	-5.964812E+01
1.01568750000E+05	1.399990E-03	-8.797118E+01
1.03437500000E+05	1.485827E-03	-7.209106E+01
1.05306250000E+05	2.630021E-03	-5.638967E+01
1.07175000000E+05	1.937133E-03	-7.890080E+01
1.09043750000E+05	1.427883E-03	-8.535085E+01
1.10912500000E+05	1.345893E-03	-2.843464E+01
1.12781250000E+05	1.787023E-03	-9.041769E+01
1.14650000000E+05	1.591086E-03	-6.858851E+01
1.16518750000E+05	1.900518E-03	-7.307566E+01
1.18387500000E+05	1.586260E-03	-7.831214E+01
1.20256250000E+05	1.774868E-03	-9.689759E+01
1.22125000000E+05	1.777381E-03	-8.786523E+01
1.23993750000E+05	1.823364E-03	-8.129752E+01
1.25862500000E+05	1.898987E-03	-8.416930E+01
1.27731250000E+05	2.466875E-03	-9.219625E+01
1.29600000000E+05	2.262966E-03	-8.694324E+01
1.31468750000E+05	2.262326E-03	-8.253046E+01
1.33337500000E+05	1.641484E-03	-6.987072E+01
1.35206250000E+05	2.203249E-03	-9.479894E+01
1.37075000000E+05	2.273664E-03	-8.404848E+01
1.38943750000E+05	2.247715E-03	-7.977782E+01
1.40812500000E+05	2.360009E-03	-8.356634E+01
1.42681250000E+05	2.280053E-03	-8.833971E+01
1.44550000000E+05	2.707719E-03	-9.174525E+01
1.46418750000E+05	2.263056E-03	-9.473204E+01
1.48287500000E+05	2.698575E-03	-8.748554E+01
1.50156250000E+05	2.359919E-03	-9.024339E+01
1.52025000000E+05	2.586969E-03	-7.514477E+01
1.53893750000E+05	2.815218E-03	-8.948872E+01
1.55762500000E+05	2.387374E-03	-9.081319E+01
1.57631250000E+05	2.850306E-03	-8.496706E+01
1.59500000000E+05	2.784502E-03	-8.037343E+01
1.61368750000E+05	2.425655E-03	-9.629581E+01
1.63237500000E+05	2.654761E-03	-8.498053E+01
1.65106250000E+05	2.527106E-03	-8.186379E+01
1.66975000000E+05	2.792909E-03	-9.250608E+01
1.68843750000E+05	2.986234E-03	-8.167968E+01
1.70712500000E+05	2.897054E-03	-8.804961E+01
1.72581250000E+05	3.055261E-03	-8.766962E+01
1.74450000000E+05	3.091753E-03	-8.646430E+01
1.76318750000E+05	2.892696E-03	-8.477333E+01
1.78187500000E+05	3.178340E-03	-7.782882E+01
1.80056250000E+05	2.651350E-03	-8.597609E+01
1.81925000000E+05	3.057678E-03	-9.240231E+01
1.83793750000E+05	2.872666E-03	-8.932990E+01
1.85662500000E+05	3.296313E-03	-8.975717E+01
1.87531250000E+05	3.038905E-03	-8.766028E+01
1.89400000000E+05	3.278279E-03	-9.092731E+01
1.91268750000E+05	3.409116E-03	-9.658747E+01
1.93137500000E+05	3.159647E-03	-8.769684E+01
1.95006250000E+05	3.573649E-03	-9.283539E+01
1.96875000000E+05	3.113789E-03	-9.025693E+01
1.98743750000E+05	2.907072E-03	-8.834766E+01
2.00612500000E+05	3.575539E-03	-9.771886E+01
2.02481250000E+05	3.103914E-03	-9.083575E+01
2.04350000000E+05	3.460344E-03	-9.002576E+01
2.06218750000E+05	3.338030E-03	-8.442262E+01
2.08087500000E+05	3.495396E-03	-8.923763E+01
2.09956250000E+05	3.811711E-03	-8.751350E+01
2.11825000000E+05	3.665639E-03	-8.925156E+01
2.13693750000E+05	3.580271E-03	-8.347239E+01
2.15562500000E+05	3.213015E-03	-8.220399E+01
2.17431250000E+05	3.909659E-03	-9.260050E+01
2.19300000000E+05	3.896927E-03	-8.800623E+01
2.21168750000E+05	3.954411E-03	-9.089034E+01
2.23037500000E+05	3.909357E-03	-8.744690E+01
2.24906250000E+05	3.595370E-03	-8.634600E+01
2.26775000000E+05	4.166712E-03	-9.056522E+01
2.28643750000E+05	3.796787E-03	-9.527458E+01
2.30512500000E+05	3.775223E-03	-9.043404E+01
2.32381250000E+05	3.873423E-03	-8.737294E+01
2.34250000000E+05	4.147847E-03	-8.663139E+01
2.36118750000E+05	3.705351E-03	-8.961536E+01
2.37987500000E+05	3.740144E-03	-9.119124E+01
2.39856250000E+05	3.981907E-03	-9.021673E+01
2.41725000000E+05	4.200151E-03	-8.878115E+01
2.43593750000E+05	4.087920E-03	-9.038337E+01
2.45462500000E+05	3.780242E-03	-8.828294E+01
2.47331250000E+05	4.196869E-03	-8.963087E+01
2.49200000000E+05	4.371501E-03	-9.524491E+01
2.51068750000E+05	4.177985E-03	-9.261487E+01
2.52937500000E+05	4.444772E-03	-9.097634E+01
2.54806250000E+05	4.277358E-03	-9.216811E+01
2.56675000000E+05	4.672674E-03	-8.957251E+01
2.58543750000E+05	4.480902E-03	-8.651158E+01
2.60412500000E+05	4.278329E-03	-9.157858E+01
2.62281250000E+05	4.612177E-03	-8.570650E+01
2.64150000000E+05	4.590182E-03	-8.797263E+01
2.66018750000E+05	4.309643E-03	-8.769110E+01
2.67887500000E+05	4.688567E-03	-9.189210E+01
2.69756250000E+05	4.583528E-03	-8.702647E+01
2.71625000000E+05	4.542219E-03	-8.750906E+01
2.73493750000E+05	4.789752E-03	-8.848261E+01
2.75362500000E+05	4.790195E-03	-8.930878E+01
2.77231250000E+05	4.807002E-03	-8.905279E+01
2.79100000000E+05	4.704101E-03	-8.970294E+01
2.80968750000E+05	4.974778E-03	-9.225300E+01
2.82837500000E+05	4.850114E-03	-8.639584E+01
2.84706250000E+05	5.232735E-03	-9.095914E+01
2.86575000000E+05	4.927938E-03	-9.187777E+01
2.88443750000E+05	4.686318E-03	-8.990671E+01
2.90312500000E+05	5.013170E-03	-9.278798E+01
2.92181250000E+05	5.085899E-03	-8.716006E+01
2.94050000000E+05	5.134645E-03	-9.278432E+01
2.95918750000E+05	5.566192E-03	-9.062379E+01
2.97787500000E+05	5.265798E-03	-8.930029E+01
2.99656250000E+05	5.141565E-03	-8.976429E+01
3.01525000000E+05	5.425445E-03	-8.857508E+01
3.03393750000E+05	5.093813E-03	-8.994535E+01
3.05262500000E+05	5.267585E-03	-9.281382E+01
3.07131250000E+05	5.353254E-03	-8.910764E+01
3.09000000000E+05	5.504275E-03	-8.709616E+01
3.10868750000E+05	5.517903E-03	-9.210711E+01
3.12737500000E+05	5.448586E-03	-9.283678E+01
3.14606250000E+05	5.438157E-03	-9.224944E+01
3.16475000000E+05	5.668181E-03	-8.919135E+01
3.18343750000E+05	5.449020E-03	-8.988988E+01
3.20212500000E+05	5.717077E-03	-9.162276E+01
3.22081250000E+05	5.474660E-03	-9.114723E+01
3.23950000000E+05	5.672225E-03	-9.279475E+01
3.25818750000E+05	5.735610E-03	-9.212770E+01
3.27687500000E+05	5.666686E-03	-9.164697E+01
3.29556250000E+05	5.750415E-03	-8.953357E+01
3.31425000000E+05	5.669793E-03	-9.249888E+01
3.33293750000E+05	5.756512E-03	-9.207550E+01
3.35162500000E+05	5.535482E-03	-9.235977E+01
3.37031250000E+05	5.899474E-03	-9.419738E+01
3.38900000000E+05	5.980619E-03	-9.054449E+01
3.40768750000E+05	5.875964E-03	-9.349539E+01
3.42637500000E+05	5.946912E-03	-9.172912E+01
3.44506250000E+05	6.141589E-03	-9.163644E+01
3.46375000000E+05	6.095471E-03	-9.090228E+01
3.48243750000E+05	6.045403E-03	-9.326300E+01
3.50112500000E+05	6.018374E-03	-9.116763E+01
3.51981250000E+05	6.087163E-03	-9.211845E+01
3.53850000000E+05	6.186015E-03	-9.260851E+01
3.55718750000E+05	6.266071E-03	-9.230140E+01
3.57587500000E+05	6.356566E-03	-9.317411E+01
3.59456250000E+05	6.280226E-03	-9.234390E+01
3.61325000000E+05	6.129069E-03	-9.029375E+01
3.63193750000E+05	6.478705E-03	-9.214027E+01
3.65062500000E+05	6.383614E-03	-9.077158E+01
3.66931250000E+05	6.325410E-03	-9.066808E+01
3.68800000000E+05	6.500954E-03	-9.230729E+01
3.70668750000E+05	6.459481E-03	-9.347263E+01
3.72537500000E+05	6.392563E-03	-9.180141E+01
3.74406250000E+05	6.570575E-03	-9.129436E+01
3.76275000000E+05	6.559099E-03	-9.054804E+01
3.78143750000E+05	6.642206E-03	-9.245095E+01
3.80012500000E+05	6.649489E-03	-9.227298E+01
3.81881250000E+05	6.791121E-03	-9.213518E+01
3.83750000000E+05	6.609161E-03	-9.169196E+01
3.85618750000E+05	6.751511E-03	-9.156153E+01
3.87487500000E+05	6.719116E-03	-9.221355E+01
3.89356250000E+05	6.779491E-03	-9.323998E+01
3.91225000000E+05	7.027398E-03	-9.183163E+01
3.93093750000E+05	6.819159E-03	-9.088705E+01
3.94962500000E+05	6.711490E-03	-9.365666E+01
3.96831250000E+05	6.895533E-03	-9.163099E+01
3.98700000000E+05	6.825031E-03	-9.280996E+01
4.00568750000E+05	6.969991E-03	-9.133678E+01
4.02437500000E+05	6.911053E-03	-9.165277E+01
4.04306250000E+05	7.039297E-03	-9.341633E+01
4.06175000000E+05	6.979478E-03	-9.410391E+01
4.08043750000E+05	6.996501E-03	-9.365026E+01
4.09912500000E+05	7.094539E-03	-9.320956E+01
4.11781250000E+05	7.061049E-03	-9.114513E+01
4.13650000000E+05	7.137202E-03	-9.371107E+01
4.15518750000E+05	7.355714E-03	-9.245296E+01
4.17387500000E+05	7.232096E-03	-9.275559E+01
4.19256250000E+05	7.462533E-03	-9.331992E+01
4.21125000000E+05	7.115537E-03	-9.276736E+01
4.22993750000E+05	7.158293E-03	-9.148571E+01
4.24862500000E+05	7.155170E-03	-9.366624E+01
4.26731250000E+05	7.422689E-03	-9.306660E+01
4.28600000000E+05	7.499124E-03	-9.289703E+01
4.30468750000E+05	7.382672E-03	-9.270855E+01
4.32337500000E+05	7.656951E-03	-9.321610E+01
4.34206250000E+05	7.655752E-03	-9.290614E+01
4.36075000000E+05	7.556043E-03	-9.252679E+01
4.37943750000E+05	7.622288E-03	-9.337704E+01
4.39812500000E+05	7.523871E-03	-9.179312E+01
4.41681250000E+05	7.728945E-03	-9.238025E+01
4.43550000000E+05	7.752018E-03	-9.334779E+01
4.45418750000E+05	7.612244E-03	-9.368831E+01
4.47287500000E+05	7.868364E-03	-9.306635E+01
4.49156250000E+05	7.818959E-03	-9.370567E+01
4.51025000000E+05	7.834801E-03	-9.149083E+01
4.52893750000E+05	7.894658E-03	-9.386701E+01
4.54762500000E+05	7.810390E-03	-9.284032E+01
4.56631250000E+05	8.060547E-03	-9.393522E+01
4.58500000000E+05	7.980331E-03	-9.365287E+01
4.60368750000E+05	7.972754E-03	-9.238040E+01
4.62237500000E+05	7.987299E-03	-9.379382E+01
4.64106250000E+05	8.263445E-03	-9.339463E+01
4.65975000000E+05	8.308963E-03	-9.304866E+01
4.67843750000E+05	8.076889E-03	-9.321861E+01
4.69712500000E+05	8.227536E-03	-9.383181E+01
4.71581250000E+05	8.180686E-03	-9.297572E+01
4.73450000000E+05	8.342426E-03	-9.383432E+01
4.75318750000E+05	8.158382E-03	-9.390699E+01
4.77187500000E+05	8.244566E-03	-9.362289E+01
4.79056250000E+05	8.389745E-03	-9.479283E+01
4.80925000000E+05	8.286840E-03	-9.387445E+01
4.82793750000E+05	8.520238E-03	-9.347776E+01
4.84662500000E+05	8.520743E-03	-9.313606E+01
4.86531250000E+05	8.563797E-03	-9.560261E+01
4.88400000000E+05	8.454680E-03	-9.451868E+01
4.90268750000E+05	8.575728E-03	-9.361762E+01
4.92137500000E+05	8.558957E-03	-9.451721E+01
4.94006250000E+05	8.792908E-03	-9.269379E+01
4.95875000000E+05	8.565991E-03	-9.351151E+01
4.97743750000E+05	8.669085E-03	-9.411472E+01
4.99612500000E+05	8.656582E-03	-9.373214E+01
5.01481250000E+05	8.723423E-03	-9.421455E+01
5.03350000000E+05	8.852473E-03	-9.384035E+01
5.05218750000E+05	8.863444E-03	-9.506414E+01
5.07087500000E+05	8.827629E-03	-9.505161E+01
5.08956250000E+05	8.836677E-03	-9.371117E+01
5.10825000000E+05	8.980968E-03	-9.431453E+01
5.12693750000E+05	8.986034E-03	-9.417773E+01
5.14562500000E+05	8.899689E-03	-9.479524E+01
5.16431250000E+05	8.915573E-03	-9.403841E+01
5.18300000000E+05	9.170617E-03	-9.460016E+01
5.20168750000E+05	9.131757E-03	-9.328778E+01
5.22037500000E+05	9.147639E-03	-9.470236E+01
5.23906250000E+05	9.145681E-03	-9.481680E+01
5.25775000000E+05	9.199899E-03	-9.358688E+01
5.27643750000E+05	9.223799E-03	-9.503845E+01
5.29512500000E+05	9.212484E-03	-9.444876E+01
5.31381250000E+05	9.343259E-03	-9.463017E+01
5.33250000000E+05	9.128152E-03	-9.510850E+01
5.35118750000E+05	9.425100E-03	-9.437912E+01
5.36987500000E+05	9.367304E-03	-9.453965E+01
5.38856250000E+05	9.377416E-03	-9.522108E+01
5.40725000000E+05	9.475509E-03	-9.404734E+01
5.42593750000E+05	9.468056E-03	-9.469515E+01
5.44462500000E+05	9.579434E-03	-9.591814E+01
5.46331250000E+05	9.404408E-03	-9.497087E+01
5.48200000000E+05	9.532601E-03	-9.487094E+01
5.50068750000E+05	9.434507E-03	-9.485990E+01
5.51937500000E+05	9.586598E-03	-9.563805E+01
5.53806250000E+05	9.602177E-03	-9.542980E+01
5.55675000000E+05	9.719959E-03	-9.450638E+01
5.57543750000E+05	9.913334E-03	-9.361645E+01
5.59412500000E+05	9.768146E-03	-9.518196E+01
5.61281250000E+05	9.766922E-03	-9.458530E+01
5.63150000000E+05	9.843168E-03	-9.492793E+01
5.65018750000E+05	1.004429E-02	-9.567389E+01
5.66887500000E+05	9.868789E-03	-9.463770E+01
5.68756250000E+05	9.833920E-03	-9.578989E+01
5.70625000000E+05	9.979745E-03	-9.586137E+01
5.72493750000E+05	9.799899E-03	-9.538847E+01
5.74362500000E+05	1.001856E-02	-9.512918E+01
5.76231250000E+05	1.017943E-02	-9.371832E+01
5.78100000000E+05	9.858940E-03	-9.546168E+01
5.79968750000E+05	1.008717E-02	-9.639380E+01
5.81837500000E+05	1.020424E-02	-9.557909E+01
5.83706250000E+05	1.016550E-02	-9.565699E+01
5.85575000000E+05	1.027604E-02	-9.504237E+01
5.87443750000E+05	1.026438E-02	-9.572301E+01
5.89312500000E+05	1.026900E-02	-9.459348E+01
5.91181250000E+05	1.040502E-02	-9.562988E+01
5.93050000000E+05	1.036237E-02	-9.644975E+01
5.94918750000E+05	1.043275E-02	-9.593203E+01
5.96787500000E+05	1.055076E-02	-9.454713E+01
5.98656250000E+05	1.045923E-02	-9.489149E+01
6.00525000000E+05	1.047239E-02	-9.569711E+01
6.02393750000E+05	1.048688E-02	-9.551700E+01
6.04262500000E+05	1.051986E-02	-9.587335E+01
6.06131250000E+05	1.073526E-02	-9.634738E+01
6.08000000000E+05	1.056613E-02	-9.582587E+01
6.09868750000E+05	1.062511E-02	-9.643441E+01
6.11737500000E+05	1.035111E-02	-9.581245E+01
6.13606250000E+05	1.051196E-02	-9.512213E+01
6.15475000000E+05	1.078251E-02	-9.568202E+01
6.17343750000E+05	1.073108E-02	-9.540842E+01
6.19212500000E+05	1.082626E-02	-9.676347E+01
6.21081250000E+05	1.075742E-02	-9.536519E+01
6.22950000000E+05	1.073958E-02	-9.553403E+01
6.24818750000E+05	1.090236E-02	-9.541311E+01
6.26687500000E+05	1.086785E-02	-9.527557E+01
6.28556250000E+05	1.114863E-02	-9.567214E+01
6.30425000000E+05	1.081242E-02	-9.604074E+01
6.32293750000E+05	1.093846E-02	-9.655525E+01
6.34162500000E+05	1.107453E-02	-9.516056E+01
6.36031250000E+05	1.089083E-02	-9.576181E+01
6.37900000000E+05	1.107073E-02	-9.639725E+01
6.39768750000E+05	1.107384E-02	-9.565827E+01
