"E5100A REV3.14"
"DATE: Jul  3 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	1.845899E-02	-1.172863E+02
1.18687500000E+04	1.789462E-02	1.078396E+01
1.37375000000E+04	8.156905E-03	8.655919E+01
1.56062500000E+04	5.505359E-03	1.568186E+02
1.74750000000E+04	1.588135E-03	-1.366536E+02
1.93437500000E+04	1.963668E-03	-2.830374E+01
2.12125000000E+04	4.602355E-03	7.489644E+01
2.30812500000E+04	3.629700E-04	1.025936E+02
2.49500000000E+04	3.094131E-03	-7.153556E+00
2.68187500000E+04	8.272223E-04	-1.320262E+02
2.86875000000E+04	8.417036E-04	-4.173774E+01
3.05562500000E+04	1.751888E-03	-1.036602E+02
3.24250000000E+04	7.659236E-04	7.869850E+01
3.42937500000E+04	6.234927E-04	-1.435494E+02
3.61625000000E+04	1.105014E-03	-1.271113E+02
3.80312500000E+04	7.326964E-04	-7.050063E+01
3.99000000000E+04	1.203827E-03	-1.131368E+02
4.17687500000E+04	6.412577E-04	-1.240430E+02
4.36375000000E+04	4.853915E-04	3.073739E+01
4.55062500000E+04	7.198051E-04	1.238353E+02
4.73750000000E+04	2.379525E-04	3.204268E+01
4.92437500000E+04	7.033199E-04	-1.638445E+02
5.11125000000E+04	3.349332E-04	5.983658E+01
5.29812500000E+04	7.951960E-04	-1.519026E+02
5.48500000000E+04	1.081233E-03	-1.300153E+02
5.67187500000E+04	8.163051E-04	-4.924690E+01
5.85875000000E+04	1.067602E-03	-2.101571E+00
6.04562500000E+04	4.016325E-04	-5.094036E+00
6.23250000000E+04	1.032236E-03	-1.524773E+02
6.41937500000E+04	6.144262E-04	-1.285403E+02
6.60625000000E+04	8.056214E-04	-4.531294E+01
6.79312500000E+04	6.403090E-04	-1.292904E+02
6.98000000000E+04	5.892367E-04	-1.063814E+02
7.16687500000E+04	6.511773E-04	-1.677645E+02
7.35375000000E+04	7.880879E-04	-1.523617E+02
7.54062500000E+04	3.522536E-04	-1.210049E+02
7.72750000000E+04	4.873864E-04	-7.545084E+01
7.91437500000E+04	4.566065E-04	1.778016E+02
8.10125000000E+04	3.931542E-04	1.445870E+02
8.28812500000E+04	4.966080E-04	1.583980E+02
8.47500000000E+04	3.093986E-04	1.626045E+02
8.66187500000E+04	6.289044E-04	-7.751743E+01
8.84875000000E+04	3.856185E-04	-9.091217E+01
9.03562500000E+04	5.674257E-04	-1.037931E+01
9.22250000000E+04	4.930692E-04	-1.577684E+02
9.40937500000E+04	6.032311E-04	-2.639614E+01
9.59625000000E+04	6.036534E-04	-6.904245E+01
9.78312500000E+04	1.029841E-04	3.151223E+01
9.97000000000E+04	1.687213E-04	-1.682287E+02
1.01568750000E+05	6.710091E-04	-9.945165E+01
1.03437500000E+05	4.134077E-04	-1.591022E+02
1.05306250000E+05	1.588000E-03	1.774868E+02
1.07175000000E+05	9.431232E-05	-1.677404E+02
1.09043750000E+05	3.442555E-04	-7.621586E+01
1.10912500000E+05	1.167560E-03	2.803925E+01
1.12781250000E+05	1.314468E-04	-1.303678E+02
1.14650000000E+05	4.834643E-04	5.664138E+01
1.16518750000E+05	4.706766E-04	1.097322E+02
1.18387500000E+05	3.530309E-04	-6.775776E+01
1.20256250000E+05	5.614455E-04	-8.038309E+01
1.22125000000E+05	6.149715E-04	-7.856216E+01
1.23993750000E+05	1.645877E-04	-8.968785E+01
1.25862500000E+05	8.020243E-05	-8.172270E+01
1.27731250000E+05	3.518660E-04	1.759464E+02
1.29600000000E+05	2.059851E-04	1.337711E+02
1.31468750000E+05	1.303754E-04	-1.363452E+02
1.33337500000E+05	6.096502E-04	-6.483588E+01
1.35206250000E+05	1.405642E-04	-1.748808E+02
1.37075000000E+05	1.473116E-04	-1.533629E+02
1.38943750000E+05	1.208301E-04	-6.102967E+01
1.40812500000E+05	5.266526E-04	-1.064144E+02
1.42681250000E+05	2.242736E-04	2.867198E+01
1.44550000000E+05	1.770108E-04	1.254344E+02
1.46418750000E+05	7.106714E-04	-7.877429E+01
1.48287500000E+05	1.256587E-04	9.286186E+01
1.50156250000E+05	3.327299E-04	-1.139568E+02
1.52025000000E+05	3.607725E-04	9.419244E+01
1.53893750000E+05	1.253627E-04	-2.175524E+01
1.55762500000E+05	4.739473E-04	1.776965E+02
1.57631250000E+05	3.972479E-04	4.493631E+01
1.59500000000E+05	1.764282E-04	-1.382358E+02
1.61368750000E+05	2.236822E-04	-1.310800E+02
1.63237500000E+05	2.459069E-04	-7.707338E+00
1.65106250000E+05	3.329926E-04	1.027151E+02
1.66975000000E+05	5.937108E-05	1.740352E+02
1.68843750000E+05	3.482084E-04	1.346288E+02
1.70712500000E+05	2.986566E-04	1.142276E+02
1.72581250000E+05	3.126221E-04	1.705444E+02
1.74450000000E+05	4.012480E-04	-7.285402E+00
1.76318750000E+05	3.653731E-04	1.783976E+02
1.78187500000E+05	3.603463E-04	-1.538980E+02
1.80056250000E+05	6.846725E-04	3.389380E+01
1.81925000000E+05	1.473971E-04	-4.105452E+01
1.83793750000E+05	4.127856E-04	1.512081E+02
1.85662500000E+05	1.269951E-04	-1.169872E+02
1.87531250000E+05	1.814590E-04	9.061944E+00
