"E5100A REV3.14"
"DATE: Jul  3 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	8.062471E-02	-1.533562E+02
1.18687500000E+04	1.115916E-02	-9.962110E+01
1.37375000000E+04	1.018895E-02	-1.779845E+02
1.56062500000E+04	7.519309E-03	1.186385E+02
1.74750000000E+04	1.306766E-03	1.009953E+02
1.93437500000E+04	1.500668E-03	-4.808186E+01
2.12125000000E+04	1.258069E-03	6.642699E+01
2.30812500000E+04	1.396115E-03	-9.764132E+01
2.49500000000E+04	1.717228E-03	1.377762E+02
2.68187500000E+04	1.181387E-03	1.265627E+02
2.86875000000E+04	3.451139E-04	-5.592005E+00
3.05562500000E+04	1.315484E-03	-4.720260E+01
3.24250000000E+04	1.396625E-03	1.094277E+02
3.42937500000E+04	2.042713E-03	1.474058E+02
3.61625000000E+04	1.878288E-03	5.432504E+01
3.80312500000E+04	5.865269E-04	4.797492E+01
3.99000000000E+04	7.161314E-04	1.121483E+02
4.17687500000E+04	3.395331E-04	9.843317E+01
4.36375000000E+04	1.006215E-03	1.416060E+02
4.55062500000E+04	6.193474E-04	5.368531E+01
4.73750000000E+04	4.312911E-04	3.085136E+01
4.92437500000E+04	1.514344E-03	9.129746E+01
5.11125000000E+04	8.360639E-04	1.623591E+02
5.29812500000E+04	1.346773E-03	6.376238E+01
5.48500000000E+04	1.524495E-04	1.573474E+02
5.67187500000E+04	3.003448E-04	6.196330E+01
5.85875000000E+04	1.054159E-03	7.990461E+01
6.04562500000E+04	9.356212E-04	9.714334E+01
6.23250000000E+04	1.411548E-03	6.523498E+01
6.41937500000E+04	1.267647E-03	1.141056E+02
6.60625000000E+04	1.587543E-03	6.574276E+01
6.79312500000E+04	1.001890E-03	1.085106E+02
6.98000000000E+04	1.520532E-03	9.319191E+01
7.16687500000E+04	1.244535E-03	7.446281E+01
7.35375000000E+04	1.291491E-03	8.580196E+01
7.54062500000E+04	1.747958E-03	8.450987E+01
7.72750000000E+04	1.504076E-03	5.252447E+01
7.91437500000E+04	8.642149E-04	5.827334E+01
8.10125000000E+04	1.431730E-03	9.386462E+01
8.28812500000E+04	1.039418E-03	7.052226E+01
8.47500000000E+04	1.269069E-03	8.354396E+01
8.66187500000E+04	1.050398E-03	6.863454E+01
8.84875000000E+04	1.339504E-03	9.093477E+01
9.03562500000E+04	1.093633E-03	2.289348E+01
9.22250000000E+04	1.464635E-03	7.513694E+01
9.40937500000E+04	1.244973E-03	8.568766E+01
9.59625000000E+04	1.066571E-03	8.714162E+01
9.78312500000E+04	7.578081E-04	9.555901E+01
9.97000000000E+04	1.699647E-03	5.898639E+01
1.01568750000E+05	1.558264E-03	9.525041E+01
1.03437500000E+05	1.043916E-03	1.091842E+02
1.05306250000E+05	2.491464E-03	9.210159E+01
1.07175000000E+05	1.241522E-03	8.018457E+01
1.09043750000E+05	1.100249E-03	8.713905E+01
1.10912500000E+05	2.446509E-03	3.457930E+01
1.12781250000E+05	1.625996E-03	8.079052E+01
1.14650000000E+05	1.122021E-03	9.109828E+01
1.16518750000E+05	1.547727E-03	8.207330E+01
1.18387500000E+05	1.781967E-03	8.444019E+01
1.20256250000E+05	1.398055E-03	8.110888E+01
1.22125000000E+05	1.665082E-03	1.021448E+02
1.23993750000E+05	1.396480E-03	9.236049E+01
1.25862500000E+05	2.029624E-03	8.219238E+01
1.27731250000E+05	1.794867E-03	8.942550E+01
1.29600000000E+05	2.021614E-03	7.687276E+01
1.31468750000E+05	1.759071E-03	8.597224E+01
1.33337500000E+05	2.372396E-03	9.005379E+01
1.35206250000E+05	1.415130E-03	1.011667E+02
1.37075000000E+05	1.415143E-03	8.379035E+01
1.38943750000E+05	1.380373E-03	8.193980E+01
1.40812500000E+05	1.966243E-03	8.290923E+01
1.42681250000E+05	1.888982E-03	9.163860E+01
1.44550000000E+05	2.178596E-03	7.906163E+01
1.46418750000E+05	1.790297E-03	8.318172E+01
1.48287500000E+05	2.092557E-03	9.046291E+01
1.50156250000E+05	2.429979E-03	8.488192E+01
1.52025000000E+05	1.627896E-03	9.472391E+01
1.53893750000E+05	2.178755E-03	9.631044E+01
1.55762500000E+05	2.186564E-03	8.734410E+01
1.57631250000E+05	1.986820E-03	9.578714E+01
1.59500000000E+05	2.100538E-03	7.813550E+01
1.61368750000E+05	1.949573E-03	9.067590E+01
1.63237500000E+05	2.051625E-03	9.635848E+01
1.65106250000E+05	2.254111E-03	8.003655E+01
1.66975000000E+05	2.423070E-03	9.031290E+01
1.68843750000E+05	2.323691E-03	7.789972E+01
1.70712500000E+05	2.278571E-03	7.627289E+01
1.72581250000E+05	2.306460E-03	8.888299E+01
1.74450000000E+05	2.545074E-03	8.369052E+01
1.76318750000E+05	2.582056E-03	9.724500E+01
1.78187500000E+05	2.451053E-03	8.980768E+01
1.80056250000E+05	2.580898E-03	8.629414E+01
1.81925000000E+05	2.448685E-03	8.825619E+01
1.83793750000E+05	2.159932E-03	9.459521E+01
1.85662500000E+05	2.482732E-03	8.823228E+01
1.87531250000E+05	2.550655E-03	8.518240E+01
1.89400000000E+05	2.497418E-03	8.329626E+01
1.91268750000E+05	2.440111E-03	8.572237E+01
1.93137500000E+05	2.830473E-03	9.422301E+01
1.95006250000E+05	2.382631E-03	8.348339E+01
1.96875000000E+05	2.760968E-03	8.992979E+01
1.98743750000E+05	2.811943E-03	9.153103E+01
2.00612500000E+05	2.712433E-03	8.989375E+01
2.02481250000E+05	2.535362E-03	8.731637E+01
2.04350000000E+05	2.562380E-03	8.328102E+01
2.06218750000E+05	3.152519E-03	8.422395E+01
2.08087500000E+05	2.992719E-03	8.797722E+01
2.09956250000E+05	3.565484E-03	8.804320E+01
2.11825000000E+05	2.881346E-03	7.971305E+01
2.13693750000E+05	3.084857E-03	9.599979E+01
2.15562500000E+05	2.948220E-03	8.692266E+01
2.17431250000E+05	3.088124E-03	9.038452E+01
2.19300000000E+05	2.859767E-03	9.056808E+01
2.21168750000E+05	3.077809E-03	8.915678E+01
2.23037500000E+05	3.344776E-03	9.119941E+01
2.24906250000E+05	3.055374E-03	8.646271E+01
2.26775000000E+05	3.321019E-03	9.426194E+01
2.28643750000E+05	2.993753E-03	9.194895E+01
2.30512500000E+05	3.167568E-03	8.581114E+01
2.32381250000E+05	3.142073E-03	8.531549E+01
2.34250000000E+05	3.391221E-03	8.332348E+01
2.36118750000E+05	3.332564E-03	8.969489E+01
2.37987500000E+05	3.438895E-03	8.896090E+01
2.39856250000E+05	3.562656E-03	9.271815E+01
2.41725000000E+05	3.417424E-03	8.795502E+01
2.43593750000E+05	3.507009E-03	8.838554E+01
2.45462500000E+05	3.286950E-03	8.662508E+01
2.47331250000E+05	3.646337E-03	8.423908E+01
2.49200000000E+05	3.616599E-03	8.599411E+01
2.51068750000E+05	3.604648E-03	8.737675E+01
2.52937500000E+05	3.488017E-03	8.259256E+01
2.54806250000E+05	3.921058E-03	8.992937E+01
2.56675000000E+05	3.647297E-03	8.826745E+01
2.58543750000E+05	3.608353E-03	8.786389E+01
2.60412500000E+05	3.370323E-03	8.659223E+01
2.62281250000E+05	3.674347E-03	8.758085E+01
2.64150000000E+05	3.625484E-03	8.849673E+01
2.66018750000E+05	3.975725E-03	8.983582E+01
2.67887500000E+05	3.625892E-03	9.101473E+01
2.69756250000E+05	3.658015E-03	9.109653E+01
2.71625000000E+05	3.856350E-03	8.375127E+01
