"E5100A REV3.14"
"DATE: Jun 28 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	8.777367E-02	-1.852707E+01
1.18687500000E+04	2.611112E-02	6.768553E+00
1.37375000000E+04	7.006302E-02	-3.089090E+01
1.56062500000E+04	4.772045E-02	-3.377297E+01
1.74750000000E+04	5.365391E-02	-3.406458E+01
1.93437500000E+04	3.953271E-02	-4.045010E+01
2.12125000000E+04	4.264469E-02	-4.485854E+01
2.30812500000E+04	4.122195E-02	-4.232736E+01
2.49500000000E+04	3.819937E-02	-5.273122E+01
2.68187500000E+04	4.046807E-02	-5.306512E+01
2.86875000000E+04	3.805899E-02	-5.297458E+01
3.05562500000E+04	3.545239E-02	-5.658254E+01
3.24250000000E+04	3.384009E-02	-5.450430E+01
3.42937500000E+04	3.206708E-02	-5.430645E+01
3.61625000000E+04	3.025806E-02	-5.495241E+01
3.80312500000E+04	3.006897E-02	-5.318553E+01
3.99000000000E+04	2.934396E-02	-5.712098E+01
4.17687500000E+04	2.636804E-02	-6.025163E+01
4.36375000000E+04	2.604074E-02	-6.236739E+01
4.55062500000E+04	2.505157E-02	-5.867139E+01
4.73750000000E+04	2.541260E-02	-6.093058E+01
4.92437500000E+04	2.455829E-02	-6.496185E+01
5.11125000000E+04	2.298452E-02	-6.239969E+01
5.29812500000E+04	2.137358E-02	-6.486693E+01
5.48500000000E+04	2.096245E-02	-6.211385E+01
5.67187500000E+04	1.944700E-02	-6.828657E+01
5.85875000000E+04	1.892115E-02	-6.297504E+01
6.04562500000E+04	1.669841E-02	-6.270279E+01
6.23250000000E+04	1.616220E-02	-6.094785E+01
6.41937500000E+04	1.589178E-02	-5.509399E+01
6.60625000000E+04	1.382148E-02	-5.360971E+01
6.79312500000E+04	1.458556E-02	-4.987206E+01
6.98000000000E+04	1.456932E-02	-4.540755E+01
7.16687500000E+04	1.431526E-02	-4.090731E+01
7.35375000000E+04	1.456330E-02	-4.169751E+01
7.54062500000E+04	1.434484E-02	-3.565022E+01
7.72750000000E+04	1.573291E-02	-3.627682E+01
7.91437500000E+04	1.712064E-02	-3.325876E+01
8.10125000000E+04	1.751186E-02	-3.503542E+01
8.28812500000E+04	1.814909E-02	-3.693953E+01
8.47500000000E+04	1.852353E-02	-3.754743E+01
8.66187500000E+04	1.854371E-02	-3.826515E+01
8.84875000000E+04	1.909134E-02	-4.335246E+01
9.03562500000E+04	2.075547E-02	-3.828377E+01
9.22250000000E+04	1.940468E-02	-4.451753E+01
9.40937500000E+04	1.899537E-02	-4.978331E+01
9.59625000000E+04	1.898424E-02	-4.954450E+01
9.78312500000E+04	1.878681E-02	-5.061848E+01
9.97000000000E+04	1.896960E-02	-5.263984E+01
1.01568750000E+05	1.796320E-02	-5.397668E+01
1.03437500000E+05	1.755984E-02	-5.305621E+01
1.05306250000E+05	1.990844E-02	-4.915308E+01
1.07175000000E+05	1.805916E-02	-5.608527E+01
1.09043750000E+05	1.755661E-02	-5.543353E+01
1.10912500000E+05	1.246588E-02	-6.591279E+01
1.12781250000E+05	1.713667E-02	-5.664129E+01
1.14650000000E+05	1.685263E-02	-5.855130E+01
1.16518750000E+05	1.734240E-02	-5.886560E+01
1.18387500000E+05	1.660530E-02	-5.927942E+01
1.20256250000E+05	1.604361E-02	-6.085252E+01
1.22125000000E+05	1.588511E-02	-6.075016E+01
1.23993750000E+05	1.504433E-02	-6.400178E+01
1.25862500000E+05	1.507760E-02	-6.255545E+01
1.27731250000E+05	1.503085E-02	-6.158033E+01
1.29600000000E+05	1.488616E-02	-6.341584E+01
1.31468750000E+05	1.378384E-02	-6.548834E+01
1.33337500000E+05	1.515318E-02	-7.207716E+01
1.35206250000E+05	1.475752E-02	-6.516821E+01
1.37075000000E+05	1.323462E-02	-6.613827E+01
1.38943750000E+05	1.340581E-02	-6.154145E+01
1.40812500000E+05	1.511388E-02	-6.610164E+01
1.42681250000E+05	1.440941E-02	-6.646564E+01
1.44550000000E+05	1.424268E-02	-6.657237E+01
1.46418750000E+05	1.366373E-02	-6.687141E+01
1.48287500000E+05	1.316030E-02	-6.753233E+01
1.50156250000E+05	1.325794E-02	-6.903401E+01
1.52025000000E+05	1.320555E-02	-6.671974E+01
1.53893750000E+05	1.270198E-02	-6.840089E+01
1.55762500000E+05	1.234835E-02	-6.657672E+01
1.57631250000E+05	1.194586E-02	-6.991412E+01
1.59500000000E+05	1.287657E-02	-6.441682E+01
1.61368750000E+05	1.238200E-02	-7.122515E+01
1.63237500000E+05	1.169765E-02	-6.896693E+01
1.65106250000E+05	1.209898E-02	-6.944744E+01
1.66975000000E+05	1.348469E-02	-6.422841E+01
1.68843750000E+05	1.174449E-02	-7.024107E+01
1.70712500000E+05	1.180177E-02	-6.763766E+01
1.72581250000E+05	1.082772E-02	-7.136330E+01
1.74450000000E+05	1.116673E-02	-6.961148E+01
1.76318750000E+05	1.120827E-02	-7.033353E+01
1.78187500000E+05	1.075099E-02	-7.081969E+01
1.80056250000E+05	1.090332E-02	-7.167819E+01
1.81925000000E+05	1.068756E-02	-7.152785E+01
1.83793750000E+05	1.044403E-02	-7.235442E+01
1.85662500000E+05	1.028545E-02	-7.318822E+01
1.87531250000E+05	1.052918E-02	-7.045854E+01
1.89400000000E+05	1.006609E-02	-7.152866E+01
1.91268750000E+05	1.035329E-02	-6.830558E+01
1.93137500000E+05	1.017517E-02	-7.250858E+01
1.95006250000E+05	1.005649E-02	-7.033929E+01
1.96875000000E+05	1.011539E-02	-7.191079E+01
1.98743750000E+05	1.016467E-02	-7.009173E+01
2.00612500000E+05	1.033404E-02	-7.020982E+01
2.02481250000E+05	9.622134E-03	-7.355019E+01
2.04350000000E+05	9.659245E-03	-7.127663E+01
2.06218750000E+05	9.532286E-03	-7.185175E+01
2.08087500000E+05	9.521008E-03	-7.268227E+01
2.09956250000E+05	9.804960E-03	-7.205798E+01
2.11825000000E+05	9.105593E-03	-7.174016E+01
2.13693750000E+05	9.099736E-03	-7.109814E+01
2.15562500000E+05	8.782932E-03	-7.159399E+01
2.17431250000E+05	9.451370E-03	-7.230359E+01
2.19300000000E+05	9.240553E-03	-7.272369E+01
2.21168750000E+05	8.918671E-03	-7.279129E+01
2.23037500000E+05	9.010654E-03	-7.083500E+01
2.24906250000E+05	8.973290E-03	-7.221404E+01
2.26775000000E+05	9.222023E-03	-7.046986E+01
2.28643750000E+05	8.988581E-03	-7.223244E+01
2.30512500000E+05	9.320330E-03	-7.228817E+01
2.32381250000E+05	8.899912E-03	-7.163837E+01
2.34250000000E+05	9.014329E-03	-7.379263E+01
2.36118750000E+05	1.002835E-02	-7.180698E+01
2.37987500000E+05	8.876271E-03	-7.116001E+01
2.39856250000E+05	9.295426E-03	-7.232823E+01
2.41725000000E+05	9.062173E-03	-7.473619E+01
2.43593750000E+05	9.619667E-03	-7.632497E+01
2.45462500000E+05	9.285690E-03	-7.624712E+01
2.47331250000E+05	9.299094E-03	-7.688194E+01
2.49200000000E+05	9.198130E-03	-7.780196E+01
2.51068750000E+05	8.853975E-03	-8.263383E+01
2.52937500000E+05	8.839983E-03	-7.960384E+01
2.54806250000E+05	8.742762E-03	-8.229195E+01
2.56675000000E+05	8.355006E-03	-8.239509E+01
2.58543750000E+05	8.187998E-03	-8.131117E+01
2.60412500000E+05	8.056664E-03	-8.279257E+01
2.62281250000E+05	8.089257E-03	-8.203889E+01
2.64150000000E+05	7.849591E-03	-8.272424E+01
2.66018750000E+05	7.464775E-03	-8.347805E+01
2.67887500000E+05	7.440392E-03	-8.179832E+01
2.69756250000E+05	7.559727E-03	-8.613379E+01
2.71625000000E+05	7.359703E-03	-8.176120E+01
2.73493750000E+05	7.376633E-03	-8.373858E+01
2.75362500000E+05	7.061347E-03	-7.919801E+01
2.77231250000E+05	7.204603E-03	-8.441343E+01
2.79100000000E+05	7.040169E-03	-8.581823E+01
2.80968750000E+05	6.723881E-03	-8.531104E+01
2.82837500000E+05	6.926517E-03	-8.356308E+01
2.84706250000E+05	6.993295E-03	-8.221584E+01
2.86575000000E+05	6.819768E-03	-8.581877E+01
2.88443750000E+05	6.489135E-03	-8.734168E+01
2.90312500000E+05	6.837440E-03	-8.671064E+01
2.92181250000E+05	6.382238E-03	-8.251265E+01
2.94050000000E+05	6.480278E-03	-8.393204E+01
2.95918750000E+05	6.713537E-03	-8.514931E+01
2.97787500000E+05	6.344794E-03	-8.002622E+01
2.99656250000E+05	6.086268E-03	-8.255479E+01
3.01525000000E+05	6.162938E-03	-8.389107E+01
3.03393750000E+05	6.208756E-03	-8.354219E+01
3.05262500000E+05	6.006052E-03	-7.768050E+01
3.07131250000E+05	6.419749E-03	-8.134974E+01
3.09000000000E+05	5.927185E-03	-8.388215E+01
3.10868750000E+05	6.071200E-03	-8.406893E+01
3.12737500000E+05	6.165369E-03	-8.266167E+01
3.14606250000E+05	5.658082E-03	-8.009872E+01
3.16475000000E+05	5.992382E-03	-8.456094E+01
3.18343750000E+05	5.645777E-03	-8.392207E+01
3.20212500000E+05	5.598399E-03	-7.598926E+01
3.22081250000E+05	5.814436E-03	-8.340022E+01
3.23950000000E+05	5.933815E-03	-8.124433E+01
3.25818750000E+05	5.264874E-03	-8.099931E+01
3.27687500000E+05	5.690344E-03	-8.200677E+01
3.29556250000E+05	5.810561E-03	-8.084830E+01
3.31425000000E+05	6.003463E-03	-8.238268E+01
3.33293750000E+05	5.276189E-03	-7.793247E+01
3.35162500000E+05	5.516917E-03	-8.133237E+01
3.37031250000E+05	5.565570E-03	-8.450794E+01
3.38900000000E+05	5.530376E-03	-8.333201E+01
3.40768750000E+05	5.549956E-03	-8.117970E+01
3.42637500000E+05	5.252505E-03	-8.084679E+01
3.44506250000E+05	4.822151E-03	-7.992534E+01
3.46375000000E+05	5.267221E-03	-7.637965E+01
3.48243750000E+05	5.297164E-03	-8.187093E+01
3.50112500000E+05	5.125806E-03	-7.871310E+01
3.51981250000E+05	5.114520E-03	-8.199752E+01
3.53850000000E+05	5.096020E-03	-8.029911E+01
3.55718750000E+05	5.300211E-03	-7.913689E+01
3.57587500000E+05	4.955779E-03	-8.257459E+01
3.59456250000E+05	4.942564E-03	-8.033286E+01
3.61325000000E+05	4.783824E-03	-8.153819E+01
3.63193750000E+05	5.067152E-03	-7.981487E+01
3.65062500000E+05	5.113118E-03	-8.145986E+01
3.66931250000E+05	4.742754E-03	-7.835448E+01
3.68800000000E+05	5.111747E-03	-8.294466E+01
3.70668750000E+05	4.722815E-03	-7.658849E+01
3.72537500000E+05	4.765867E-03	-8.221843E+01
3.74406250000E+05	4.780559E-03	-8.100553E+01
3.76275000000E+05	4.463657E-03	-7.841494E+01
3.78143750000E+05	4.818608E-03	-8.296587E+01
3.80012500000E+05	4.562922E-03	-8.205550E+01
3.81881250000E+05	4.668949E-03	-8.001389E+01
3.83750000000E+05	4.613550E-03	-8.206920E+01
3.85618750000E+05	4.533116E-03	-8.654668E+01
3.87487500000E+05	4.734107E-03	-8.254678E+01
3.89356250000E+05	4.601577E-03	-8.199358E+01
3.91225000000E+05	4.499315E-03	-7.784593E+01
3.93093750000E+05	4.420696E-03	-8.020316E+01
3.94962500000E+05	4.349940E-03	-8.178497E+01
3.96831250000E+05	4.536814E-03	-8.096111E+01
3.98700000000E+05	4.615372E-03	-8.301815E+01
4.00568750000E+05	4.496489E-03	-8.011311E+01
4.02437500000E+05	4.403318E-03	-8.046625E+01
4.04306250000E+05	4.417042E-03	-8.433665E+01
4.06175000000E+05	4.479595E-03	-8.004225E+01
4.08043750000E+05	4.469546E-03	-7.820580E+01
4.09912500000E+05	4.259831E-03	-7.835021E+01
4.11781250000E+05	3.985353E-03	-8.141209E+01
4.13650000000E+05	4.062386E-03	-8.148202E+01
4.15518750000E+05	4.301059E-03	-8.263219E+01
4.17387500000E+05	4.242701E-03	-8.080164E+01
4.19256250000E+05	4.344285E-03	-7.470671E+01
4.21125000000E+05	4.279577E-03	-8.131893E+01
4.22993750000E+05	3.805120E-03	-8.386834E+01
4.24862500000E+05	4.050269E-03	-8.393000E+01
4.26731250000E+05	3.981350E-03	-8.126181E+01
4.28600000000E+05	3.972785E-03	-8.351659E+01
4.30468750000E+05	3.981590E-03	-8.152453E+01
4.32337500000E+05	4.190288E-03	-7.826177E+01
4.34206250000E+05	4.164209E-03	-7.775743E+01
4.36075000000E+05	3.989792E-03	-8.034190E+01
4.37943750000E+05	4.035645E-03	-7.833902E+01
4.39812500000E+05	3.899215E-03	-8.165204E+01
4.41681250000E+05	3.927668E-03	-7.889002E+01
4.43550000000E+05	4.015270E-03	-8.194131E+01
4.45418750000E+05	4.128904E-03	-8.075359E+01
4.47287500000E+05	4.115146E-03	-8.539241E+01
4.49156250000E+05	4.036547E-03	-8.180183E+01
4.51025000000E+05	3.689954E-03	-8.234515E+01
4.52893750000E+05	3.838179E-03	-8.077672E+01
4.54762500000E+05	3.841767E-03	-7.987124E+01
4.56631250000E+05	3.688621E-03	-8.361578E+01
4.58500000000E+05	3.790603E-03	-8.132937E+01
4.60368750000E+05	3.504604E-03	-8.075083E+01
4.62237500000E+05	3.826421E-03	-8.187045E+01
4.64106250000E+05	3.949637E-03	-8.403738E+01
