"E5100A REV3.14"
"DATE: Jun 28 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	1.080367E-01	-2.511238E+01
1.18687500000E+04	4.107708E-02	-3.106867E+01
1.37375000000E+04	4.729250E-02	-5.294160E+01
1.56062500000E+04	4.836794E-02	-2.758106E+01
1.74750000000E+04	4.603990E-02	-4.179408E+01
1.93437500000E+04	4.573788E-02	-4.512041E+01
2.12125000000E+04	3.933610E-02	-4.410860E+01
2.30812500000E+04	4.078067E-02	-4.947775E+01
2.49500000000E+04	3.980397E-02	-4.734956E+01
2.68187500000E+04	3.941415E-02	-5.499112E+01
2.86875000000E+04	3.908098E-02	-5.494211E+01
3.05562500000E+04	3.675908E-02	-5.364936E+01
3.24250000000E+04	3.636699E-02	-5.819320E+01
3.42937500000E+04	3.347810E-02	-5.732727E+01
3.61625000000E+04	3.295364E-02	-5.990592E+01
3.80312500000E+04	3.308051E-02	-6.056699E+01
3.99000000000E+04	3.135363E-02	-5.900591E+01
4.17687500000E+04	2.988143E-02	-6.517780E+01
4.36375000000E+04	2.887275E-02	-6.394141E+01
4.55062500000E+04	2.532079E-02	-6.675627E+01
4.73750000000E+04	2.617132E-02	-6.189319E+01
4.92437500000E+04	2.401795E-02	-6.938858E+01
5.11125000000E+04	2.321603E-02	-6.247133E+01
5.29812500000E+04	2.241439E-02	-6.485292E+01
5.48500000000E+04	2.135881E-02	-7.104493E+01
5.67187500000E+04	2.117417E-02	-6.650185E+01
5.85875000000E+04	2.011118E-02	-6.410774E+01
6.04562500000E+04	1.854684E-02	-6.413752E+01
6.23250000000E+04	1.807377E-02	-6.179952E+01
6.41937500000E+04	1.680570E-02	-6.144716E+01
6.60625000000E+04	1.783321E-02	-5.833852E+01
6.79312500000E+04	1.635994E-02	-6.118339E+01
6.98000000000E+04	1.629023E-02	-5.368373E+01
7.16687500000E+04	1.494861E-02	-5.131838E+01
7.35375000000E+04	1.610039E-02	-4.835746E+01
7.54062500000E+04	1.689184E-02	-4.882259E+01
7.72750000000E+04	1.684465E-02	-4.245808E+01
7.91437500000E+04	1.783849E-02	-4.518856E+01
8.10125000000E+04	1.923266E-02	-4.549364E+01
8.28812500000E+04	1.936633E-02	-4.593575E+01
8.47500000000E+04	2.036273E-02	-4.683016E+01
8.66187500000E+04	2.067281E-02	-4.977637E+01
8.84875000000E+04	1.997710E-02	-4.834904E+01
9.03562500000E+04	2.367344E-02	-5.321638E+01
9.22250000000E+04	2.081930E-02	-5.467831E+01
9.40937500000E+04	1.974864E-02	-5.519790E+01
9.59625000000E+04	2.051261E-02	-5.652673E+01
9.78312500000E+04	2.061330E-02	-5.718313E+01
9.97000000000E+04	1.997932E-02	-5.898441E+01
1.01568750000E+05	2.059452E-02	-5.936197E+01
1.03437500000E+05	2.053767E-02	-6.341929E+01
1.05306250000E+05	1.863222E-02	-6.975974E+01
1.07175000000E+05	1.926306E-02	-6.215448E+01
1.09043750000E+05	1.936617E-02	-6.252311E+01
1.10912500000E+05	1.466331E-02	-6.101504E+01
1.12781250000E+05	1.903065E-02	-6.458383E+01
1.14650000000E+05	1.811005E-02	-6.598265E+01
1.16518750000E+05	1.830426E-02	-6.749514E+01
1.18387500000E+05	1.795515E-02	-6.597110E+01
1.20256250000E+05	1.776302E-02	-6.794839E+01
1.22125000000E+05	1.745568E-02	-6.773457E+01
1.23993750000E+05	1.768375E-02	-7.004243E+01
1.25862500000E+05	1.710632E-02	-6.895547E+01
1.27731250000E+05	1.761377E-02	-6.838328E+01
1.29600000000E+05	1.710282E-02	-6.953839E+01
1.31468750000E+05	1.674967E-02	-6.997017E+01
1.33337500000E+05	1.673127E-02	-6.514834E+01
1.35206250000E+05	1.616296E-02	-7.002255E+01
1.37075000000E+05	1.593679E-02	-6.888754E+01
1.38943750000E+05	1.539205E-02	-6.985383E+01
1.40812500000E+05	1.782315E-02	-7.190275E+01
1.42681250000E+05	1.605592E-02	-7.349284E+01
1.44550000000E+05	1.589593E-02	-7.307191E+01
1.46418750000E+05	1.605534E-02	-7.288795E+01
1.48287500000E+05	1.562010E-02	-7.262241E+01
1.50156250000E+05	1.531057E-02	-7.355944E+01
1.52025000000E+05	1.576305E-02	-7.480098E+01
1.53893750000E+05	1.487074E-02	-7.336572E+01
1.55762500000E+05	1.488858E-02	-7.444263E+01
1.57631250000E+05	1.525975E-02	-7.279676E+01
1.59500000000E+05	1.518509E-02	-7.027831E+01
1.61368750000E+05	1.515115E-02	-7.708837E+01
1.63237500000E+05	1.481813E-02	-7.659259E+01
1.65106250000E+05	1.509501E-02	-7.603483E+01
1.66975000000E+05	1.664423E-02	-7.265626E+01
1.68843750000E+05	1.387895E-02	-7.430456E+01
1.70712500000E+05	1.432481E-02	-7.324010E+01
1.72581250000E+05	1.417545E-02	-7.648136E+01
1.74450000000E+05	1.436916E-02	-7.675187E+01
1.76318750000E+05	1.385311E-02	-7.645645E+01
1.78187500000E+05	1.409269E-02	-7.571197E+01
1.80056250000E+05	1.424276E-02	-7.468591E+01
1.81925000000E+05	1.358830E-02	-7.736114E+01
