"E5100A REV3.14"
"DATE: Jun 28 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	1.031248E-01	-9.797826E+01
1.18687500000E+04	1.982374E-02	-4.731059E+01
1.37375000000E+04	4.559110E-02	-5.232286E+01
1.56062500000E+04	4.037140E-02	-2.497574E+01
1.74750000000E+04	5.257333E-02	-3.789806E+01
1.93437500000E+04	4.592651E-02	-4.436600E+01
2.12125000000E+04	4.065774E-02	-4.138692E+01
2.30812500000E+04	4.191921E-02	-5.136576E+01
2.49500000000E+04	4.124105E-02	-4.895218E+01
2.68187500000E+04	3.572129E-02	-4.711053E+01
2.86875000000E+04	3.653662E-02	-5.160592E+01
3.05562500000E+04	3.536521E-02	-5.141898E+01
3.24250000000E+04	3.276810E-02	-5.630403E+01
3.42937500000E+04	3.363989E-02	-5.407336E+01
3.61625000000E+04	3.287034E-02	-5.628537E+01
3.80312500000E+04	3.006338E-02	-5.810203E+01
3.99000000000E+04	2.802974E-02	-5.781983E+01
4.17687500000E+04	2.670053E-02	-6.134305E+01
4.36375000000E+04	2.795869E-02	-6.646014E+01
4.55062500000E+04	2.573591E-02	-6.118394E+01
4.73750000000E+04	2.520181E-02	-5.961610E+01
4.92437500000E+04	2.257967E-02	-6.355267E+01
5.11125000000E+04	2.177649E-02	-6.412354E+01
5.29812500000E+04	1.983913E-02	-6.263794E+01
5.48500000000E+04	1.684951E-02	-6.380336E+01
5.67187500000E+04	1.895163E-02	-5.738334E+01
5.85875000000E+04	1.816269E-02	-6.185791E+01
6.04562500000E+04	1.700679E-02	-5.849254E+01
6.23250000000E+04	1.593452E-02	-6.002257E+01
6.41937500000E+04	1.502602E-02	-5.222386E+01
6.60625000000E+04	1.536749E-02	-5.897347E+01
6.79312500000E+04	1.402245E-02	-4.900476E+01
6.98000000000E+04	1.374140E-02	-4.653943E+01
7.16687500000E+04	1.476386E-02	-4.245201E+01
7.35375000000E+04	1.549219E-02	-3.996757E+01
7.54062500000E+04	1.585376E-02	-3.675779E+01
7.72750000000E+04	1.642067E-02	-3.746615E+01
7.91437500000E+04	1.748566E-02	-3.712643E+01
8.10125000000E+04	1.884958E-02	-3.718451E+01
8.28812500000E+04	1.923594E-02	-3.815726E+01
8.47500000000E+04	1.964751E-02	-4.135878E+01
8.66187500000E+04	1.956981E-02	-4.152995E+01
8.84875000000E+04	2.024277E-02	-4.536860E+01
9.03562500000E+04	1.922259E-02	-4.116697E+01
9.22250000000E+04	1.921275E-02	-4.870150E+01
9.40937500000E+04	2.009017E-02	-4.983537E+01
9.59625000000E+04	2.000505E-02	-5.126442E+01
9.78312500000E+04	1.940130E-02	-5.176700E+01
9.97000000000E+04	1.972016E-02	-5.601315E+01
1.01568750000E+05	1.867452E-02	-5.681306E+01
1.03437500000E+05	1.862303E-02	-5.668062E+01
1.05306250000E+05	1.527958E-02	-6.134161E+01
1.07175000000E+05	1.827094E-02	-5.676345E+01
1.09043750000E+05	1.788793E-02	-5.917964E+01
1.10912500000E+05	2.213687E-02	-5.863907E+01
1.12781250000E+05	1.760482E-02	-5.958636E+01
1.14650000000E+05	1.696413E-02	-5.883893E+01
1.16518750000E+05	1.708349E-02	-6.017643E+01
1.18387500000E+05	1.619860E-02	-6.163852E+01
1.20256250000E+05	1.626184E-02	-6.242525E+01
1.22125000000E+05	1.652063E-02	-6.189410E+01
1.23993750000E+05	1.551756E-02	-6.369423E+01
1.25862500000E+05	1.546539E-02	-6.214310E+01
1.27731250000E+05	1.493875E-02	-6.275348E+01
1.29600000000E+05	1.560130E-02	-6.357947E+01
1.31468750000E+05	1.564069E-02	-6.733768E+01
1.33337500000E+05	1.434628E-02	-7.096883E+01
1.35206250000E+05	1.442751E-02	-6.776743E+01
1.37075000000E+05	1.367378E-02	-6.416277E+01
1.38943750000E+05	1.383023E-02	-6.224580E+01
1.40812500000E+05	1.688775E-02	-6.472966E+01
1.42681250000E+05	1.446797E-02	-6.508134E+01
1.44550000000E+05	1.430782E-02	-6.736517E+01
1.46418750000E+05	1.416210E-02	-6.851142E+01
1.48287500000E+05	1.361996E-02	-6.887639E+01
1.50156250000E+05	1.349008E-02	-6.926749E+01
1.52025000000E+05	1.266071E-02	-6.763605E+01
1.53893750000E+05	1.302448E-02	-6.919456E+01
1.55762500000E+05	1.324293E-02	-6.895942E+01
1.57631250000E+05	1.314025E-02	-6.870740E+01
1.59500000000E+05	1.317342E-02	-6.660603E+01
1.61368750000E+05	1.250807E-02	-6.881052E+01
1.63237500000E+05	1.286504E-02	-6.753592E+01
1.65106250000E+05	1.255818E-02	-6.980006E+01
1.66975000000E+05	1.140203E-02	-5.967439E+01
1.68843750000E+05	1.265208E-02	-6.843060E+01
1.70712500000E+05	1.180489E-02	-6.934840E+01
1.72581250000E+05	1.182112E-02	-7.224075E+01
1.74450000000E+05	1.207804E-02	-7.001315E+01
1.76318750000E+05	1.144395E-02	-7.018871E+01
1.78187500000E+05	1.134022E-02	-7.261227E+01
1.80056250000E+05	1.167389E-02	-7.027754E+01
1.81925000000E+05	1.182889E-02	-7.434280E+01
1.83793750000E+05	1.148558E-02	-7.123056E+01
1.85662500000E+05	1.166884E-02	-7.203345E+01
1.87531250000E+05	1.164278E-02	-7.112287E+01
1.89400000000E+05	1.095867E-02	-7.223669E+01
1.91268750000E+05	1.103768E-02	-7.053860E+01
1.93137500000E+05	1.114203E-02	-7.034906E+01
1.95006250000E+05	1.099263E-02	-7.113090E+01
1.96875000000E+05	1.123097E-02	-7.073030E+01
1.98743750000E+05	1.076897E-02	-7.114780E+01
2.00612500000E+05	9.976300E-03	-7.293414E+01
2.02481250000E+05	1.057306E-02	-7.191818E+01
2.04350000000E+05	1.037536E-02	-6.861841E+01
2.06218750000E+05	9.921958E-03	-7.304644E+01
2.08087500000E+05	1.027270E-02	-7.127814E+01
2.09956250000E+05	1.060495E-02	-7.444926E+01
2.11825000000E+05	9.825943E-03	-7.285921E+01
2.13693750000E+05	9.697061E-03	-7.228027E+01
2.15562500000E+05	9.625844E-03	-7.005402E+01
2.17431250000E+05	1.001223E-02	-7.257963E+01
2.19300000000E+05	9.848556E-03	-7.355741E+01
2.21168750000E+05	9.913720E-03	-7.051363E+01
2.23037500000E+05	9.630846E-03	-7.354077E+01
2.24906250000E+05	9.824911E-03	-7.201812E+01
2.26775000000E+05	1.026965E-02	-7.328027E+01
2.28643750000E+05	9.690982E-03	-7.197346E+01
2.30512500000E+05	9.817098E-03	-7.186098E+01
2.32381250000E+05	9.448811E-03	-7.256731E+01
2.34250000000E+05	9.738309E-03	-7.173582E+01
2.36118750000E+05	9.741371E-03	-7.458944E+01
2.37987500000E+05	9.948597E-03	-7.523129E+01
2.39856250000E+05	9.702342E-03	-7.331908E+01
2.41725000000E+05	1.029342E-02	-7.184875E+01
2.43593750000E+05	1.008096E-02	-7.484991E+01
2.45462500000E+05	1.027380E-02	-7.274437E+01
2.47331250000E+05	1.036325E-02	-7.675364E+01
2.49200000000E+05	1.030083E-02	-7.715489E+01
2.51068750000E+05	9.450949E-03	-7.807343E+01
2.52937500000E+05	9.585927E-03	-8.221190E+01
2.54806250000E+05	9.772272E-03	-8.046014E+01
2.56675000000E+05	9.967519E-03	-8.207278E+01
2.58543750000E+05	9.084363E-03	-8.027943E+01
2.60412500000E+05	9.432963E-03	-8.222065E+01
2.62281250000E+05	8.823700E-03	-8.212199E+01
2.64150000000E+05	8.588007E-03	-8.073914E+01
2.66018750000E+05	8.611829E-03	-8.398252E+01
2.67887500000E+05	8.379236E-03	-8.556799E+01
2.69756250000E+05	8.535830E-03	-8.285695E+01
2.71625000000E+05	8.527195E-03	-8.139929E+01
2.73493750000E+05	8.186527E-03	-8.118435E+01
2.75362500000E+05	8.173493E-03	-8.372314E+01
2.77231250000E+05	8.206489E-03	-8.347908E+01
2.79100000000E+05	8.435066E-03	-8.567531E+01
2.80968750000E+05	7.629151E-03	-8.445342E+01
2.82837500000E+05	7.972221E-03	-8.192786E+01
2.84706250000E+05	7.895651E-03	-8.621711E+01
2.86575000000E+05	7.865014E-03	-8.220297E+01
2.88443750000E+05	7.350302E-03	-8.368478E+01
2.90312500000E+05	7.546935E-03	-8.101187E+01
2.92181250000E+05	7.941645E-03	-8.203120E+01
2.94050000000E+05	7.246003E-03	-8.194324E+01
2.95918750000E+05	7.471188E-03	-7.924514E+01
2.97787500000E+05	7.776801E-03	-8.052367E+01
2.99656250000E+05	7.417243E-03	-8.167746E+01
3.01525000000E+05	7.231591E-03	-8.321368E+01
3.03393750000E+05	7.553810E-03	-8.222903E+01
3.05262500000E+05	7.095384E-03	-7.785989E+01
3.07131250000E+05	7.095603E-03	-8.085821E+01
3.09000000000E+05	7.172654E-03	-8.233940E+01
3.10868750000E+05	7.104399E-03	-8.289591E+01
3.12737500000E+05	7.341879E-03	-8.266388E+01
3.14606250000E+05	6.611165E-03	-8.164996E+01
3.16475000000E+05	6.801347E-03	-8.134799E+01
3.18343750000E+05	6.910648E-03	-8.085509E+01
3.20212500000E+05	7.071702E-03	-8.170259E+01
3.22081250000E+05	6.892992E-03	-8.347628E+01
3.23950000000E+05	6.887450E-03	-8.040034E+01
3.25818750000E+05	6.798091E-03	-8.231458E+01
3.27687500000E+05	6.801366E-03	-7.981380E+01
3.29556250000E+05	6.575783E-03	-8.025798E+01
3.31425000000E+05	6.833257E-03	-8.177623E+01
3.33293750000E+05	6.638742E-03	-7.871461E+01
3.35162500000E+05	7.030360E-03	-7.806252E+01
3.37031250000E+05	6.775578E-03	-8.126072E+01
3.38900000000E+05	6.656221E-03	-8.101615E+01
3.40768750000E+05	6.600813E-03	-7.869327E+01
3.42637500000E+05	6.762523E-03	-7.974916E+01
3.44506250000E+05	6.597287E-03	-7.790675E+01
3.46375000000E+05	6.636417E-03	-8.228320E+01
3.48243750000E+05	6.138925E-03	-8.138875E+01
3.50112500000E+05	6.544269E-03	-7.491822E+01
3.51981250000E+05	6.333563E-03	-8.038235E+01
3.53850000000E+05	6.569554E-03	-7.844456E+01
3.55718750000E+05	6.208204E-03	-8.136141E+01
3.57587500000E+05	6.114452E-03	-7.857547E+01
3.59456250000E+05	6.347715E-03	-8.225911E+01
3.61325000000E+05	6.173004E-03	-8.143278E+01
3.63193750000E+05	6.274282E-03	-8.322224E+01
3.65062500000E+05	6.331393E-03	-8.243128E+01
3.66931250000E+05	6.401210E-03	-7.855446E+01
3.68800000000E+05	6.194858E-03	-7.912144E+01
3.70668750000E+05	6.294665E-03	-8.222716E+01
3.72537500000E+05	6.374337E-03	-8.127149E+01
3.74406250000E+05	6.192806E-03	-8.284922E+01
3.76275000000E+05	6.326946E-03	-8.035529E+01
3.78143750000E+05	6.016293E-03	-7.893733E+01
3.80012500000E+05	6.004482E-03	-7.956823E+01
3.81881250000E+05	6.053829E-03	-7.914405E+01
3.83750000000E+05	5.835186E-03	-8.044475E+01
3.85618750000E+05	6.022207E-03	-7.865771E+01
3.87487500000E+05	6.009249E-03	-7.879102E+01
3.89356250000E+05	6.093084E-03	-8.421176E+01
3.91225000000E+05	5.995550E-03	-8.134816E+01
3.93093750000E+05	6.030805E-03	-8.087085E+01
3.94962500000E+05	6.041302E-03	-8.109028E+01
3.96831250000E+05	5.996231E-03	-7.909375E+01
3.98700000000E+05	5.700803E-03	-8.037360E+01
4.00568750000E+05	5.805690E-03	-8.006281E+01
4.02437500000E+05	5.953012E-03	-7.960077E+01
4.04306250000E+05	5.707039E-03	-7.866019E+01
4.06175000000E+05	5.898026E-03	-8.047580E+01
4.08043750000E+05	5.864736E-03	-8.041486E+01
4.09912500000E+05	5.961603E-03	-8.067667E+01
4.11781250000E+05	5.601437E-03	-8.039395E+01
4.13650000000E+05	5.660115E-03	-7.999508E+01
4.15518750000E+05	5.885637E-03	-7.958006E+01
4.17387500000E+05	5.754163E-03	-8.305741E+01
4.19256250000E+05	5.835216E-03	-7.879227E+01
4.21125000000E+05	5.992816E-03	-8.098730E+01
4.22993750000E+05	5.581048E-03	-7.903169E+01
4.24862500000E+05	5.745915E-03	-8.111140E+01
4.26731250000E+05	5.848868E-03	-8.123305E+01
4.28600000000E+05	5.736426E-03	-8.062712E+01
4.30468750000E+05	5.412113E-03	-8.055097E+01
4.32337500000E+05	5.711314E-03	-7.939004E+01
4.34206250000E+05	5.585834E-03	-8.316115E+01
4.36075000000E+05	5.696022E-03	-7.716416E+01
4.37943750000E+05	5.751954E-03	-8.242801E+01
4.39812500000E+05	5.871037E-03	-7.988182E+01
4.41681250000E+05	5.784426E-03	-7.916470E+01
4.43550000000E+05	5.683611E-03	-7.974680E+01
4.45418750000E+05	5.496100E-03	-7.940756E+01
4.47287500000E+05	5.471930E-03	-7.847160E+01
4.49156250000E+05	5.545394E-03	-7.979898E+01
4.51025000000E+05	5.608345E-03	-8.172528E+01
4.52893750000E+05	5.427579E-03	-7.943832E+01
4.54762500000E+05	5.415096E-03	-7.729633E+01
4.56631250000E+05	5.759379E-03	-8.123167E+01
4.58500000000E+05	5.570489E-03	-7.956641E+01
4.60368750000E+05	5.580204E-03	-7.915623E+01
4.62237500000E+05	5.375191E-03	-8.180656E+01
4.64106250000E+05	5.483935E-03	-8.060130E+01
4.65975000000E+05	5.691312E-03	-8.245464E+01
4.67843750000E+05	5.615500E-03	-8.079978E+01
4.69712500000E+05	5.663177E-03	-7.988766E+01
4.71581250000E+05	5.731324E-03	-8.164513E+01
4.73450000000E+05	5.251934E-03	-8.043321E+01
4.75318750000E+05	5.371764E-03	-8.000072E+01
4.77187500000E+05	5.463138E-03	-7.934209E+01
4.79056250000E+05	5.630043E-03	-8.248931E+01
4.80925000000E+05	5.672105E-03	-8.067474E+01
4.82793750000E+05	5.317816E-03	-7.947292E+01
4.84662500000E+05	5.622349E-03	-8.071687E+01
4.86531250000E+05	5.792592E-03	-7.845942E+01
4.88400000000E+05	5.649631E-03	-8.077878E+01
4.90268750000E+05	5.666070E-03	-8.046312E+01
4.92137500000E+05	5.728639E-03	-8.202353E+01
4.94006250000E+05	5.396410E-03	-8.197491E+01
4.95875000000E+05	5.718679E-03	-8.213060E+01
4.97743750000E+05	5.512649E-03	-8.324488E+01
4.99612500000E+05	5.049612E-03	-8.018443E+01
5.01481250000E+05	5.580704E-03	-8.300197E+01
5.03350000000E+05	5.242655E-03	-8.099242E+01
5.05218750000E+05	5.669700E-03	-8.424426E+01
5.07087500000E+05	5.681484E-03	-8.268627E+01
5.08956250000E+05	5.603586E-03	-8.507607E+01
5.10825000000E+05	5.440322E-03	-8.204047E+01
5.12693750000E+05	5.278358E-03	-8.228651E+01
5.14562500000E+05	5.175313E-03	-8.470679E+01
5.16431250000E+05	5.462319E-03	-8.127851E+01
5.18300000000E+05	5.273968E-03	-8.401033E+01
5.20168750000E+05	5.286272E-03	-8.768054E+01
5.22037500000E+05	5.358995E-03	-8.588672E+01
5.23906250000E+05	5.419970E-03	-8.548177E+01
5.25775000000E+05	5.254396E-03	-8.741267E+01
5.27643750000E+05	5.248121E-03	-8.696677E+01
5.29512500000E+05	5.334562E-03	-8.874463E+01
5.31381250000E+05	5.302130E-03	-8.545898E+01
5.33250000000E+05	5.163306E-03	-8.470315E+01
5.35118750000E+05	4.997428E-03	-8.524799E+01
5.36987500000E+05	5.170877E-03	-8.676395E+01
5.38856250000E+05	5.064773E-03	-8.316911E+01
5.40725000000E+05	5.225927E-03	-8.542617E+01
5.42593750000E+05	4.952362E-03	-8.375591E+01
5.44462500000E+05	5.116329E-03	-8.540638E+01
5.46331250000E+05	4.927686E-03	-8.513065E+01
5.48200000000E+05	4.852055E-03	-8.609796E+01
5.50068750000E+05	5.019424E-03	-8.573520E+01
5.51937500000E+05	4.832114E-03	-8.409930E+01
5.53806250000E+05	5.002236E-03	-8.590907E+01
5.55675000000E+05	4.759269E-03	-8.645602E+01
5.57543750000E+05	4.755937E-03	-8.343307E+01
5.59412500000E+05	4.960543E-03	-8.578683E+01
5.61281250000E+05	4.802058E-03	-8.178467E+01
5.63150000000E+05	4.854378E-03	-8.309909E+01
5.65018750000E+05	4.834672E-03	-8.420804E+01
5.66887500000E+05	4.791415E-03	-8.438686E+01
5.68756250000E+05	4.732918E-03	-8.264572E+01
5.70625000000E+05	4.962421E-03	-8.505641E+01
5.72493750000E+05	4.726609E-03	-8.431283E+01
5.74362500000E+05	4.885676E-03	-8.330133E+01
5.76231250000E+05	4.627728E-03	-8.482487E+01
5.78100000000E+05	4.914008E-03	-8.630106E+01
5.79968750000E+05	4.755212E-03	-8.427165E+01
