"E5100A REV3.14"
"DATE: Jun 28 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	1.391908E-02	-1.208760E+02
1.18687500000E+04	3.444932E-02	-7.070683E+01
1.37375000000E+04	6.028667E-02	-5.161343E+01
1.56062500000E+04	5.052945E-02	-2.600322E+01
1.74750000000E+04	4.896130E-02	-3.649819E+01
1.93437500000E+04	4.409675E-02	-4.896482E+01
2.12125000000E+04	3.930542E-02	-4.544690E+01
2.30812500000E+04	3.869440E-02	-4.955258E+01
2.49500000000E+04	3.765147E-02	-5.185888E+01
2.68187500000E+04	3.680707E-02	-4.938952E+01
2.86875000000E+04	3.632260E-02	-5.141047E+01
3.05562500000E+04	3.269436E-02	-5.328194E+01
3.24250000000E+04	3.307622E-02	-5.208028E+01
3.42937500000E+04	3.215485E-02	-5.177510E+01
3.61625000000E+04	3.189994E-02	-5.532065E+01
3.80312500000E+04	2.962880E-02	-5.579572E+01
3.99000000000E+04	2.835927E-02	-5.551743E+01
4.17687500000E+04	2.827561E-02	-5.776968E+01
4.36375000000E+04	2.509836E-02	-6.064239E+01
4.55062500000E+04	2.409927E-02	-6.039289E+01
4.73750000000E+04	2.298884E-02	-6.305568E+01
4.92437500000E+04	2.282437E-02	-6.107202E+01
5.11125000000E+04	2.204893E-02	-5.727024E+01
5.29812500000E+04	2.026089E-02	-6.155526E+01
5.48500000000E+04	2.114432E-02	-5.604398E+01
5.67187500000E+04	1.971011E-02	-6.331915E+01
5.85875000000E+04	1.901522E-02	-6.180029E+01
6.04562500000E+04	1.632608E-02	-5.933926E+01
6.23250000000E+04	1.723484E-02	-5.913072E+01
6.41937500000E+04	1.441123E-02	-5.894783E+01
6.60625000000E+04	1.326073E-02	-5.760084E+01
6.79312500000E+04	1.482444E-02	-4.933618E+01
6.98000000000E+04	1.454485E-02	-5.201608E+01
7.16687500000E+04	1.535707E-02	-4.455745E+01
7.35375000000E+04	1.510118E-02	-4.143782E+01
7.54062500000E+04	1.591135E-02	-3.859616E+01
7.72750000000E+04	1.623706E-02	-3.737177E+01
7.91437500000E+04	1.706780E-02	-3.592583E+01
8.10125000000E+04	1.776406E-02	-3.811543E+01
8.28812500000E+04	1.837542E-02	-4.090855E+01
8.47500000000E+04	1.911497E-02	-4.201053E+01
8.66187500000E+04	1.910107E-02	-4.385591E+01
8.84875000000E+04	2.032515E-02	-4.545219E+01
9.03562500000E+04	1.864697E-02	-5.436831E+01
9.22250000000E+04	1.948078E-02	-4.899595E+01
9.40937500000E+04	1.952602E-02	-4.967807E+01
9.59625000000E+04	1.953412E-02	-5.278877E+01
9.78312500000E+04	1.855387E-02	-5.331050E+01
9.97000000000E+04	1.883336E-02	-5.396562E+01
1.01568750000E+05	1.866351E-02	-5.336007E+01
1.03437500000E+05	1.807515E-02	-5.410006E+01
1.05306250000E+05	1.954049E-02	-5.914765E+01
1.07175000000E+05	1.768530E-02	-5.902553E+01
1.09043750000E+05	1.741199E-02	-6.077646E+01
1.10912500000E+05	1.347619E-02	-5.494397E+01
1.12781250000E+05	1.682880E-02	-6.052354E+01
1.14650000000E+05	1.614448E-02	-6.058138E+01
1.16518750000E+05	1.641652E-02	-6.271352E+01
1.18387500000E+05	1.634432E-02	-6.426086E+01
1.20256250000E+05	1.601447E-02	-6.239756E+01
1.22125000000E+05	1.582371E-02	-6.391526E+01
1.23993750000E+05	1.505026E-02	-6.545750E+01
1.25862500000E+05	1.525425E-02	-6.135914E+01
1.27731250000E+05	1.536602E-02	-6.373943E+01
1.29600000000E+05	1.499133E-02	-6.273625E+01
1.31468750000E+05	1.473848E-02	-6.644756E+01
1.33337500000E+05	1.311583E-02	-6.606636E+01
1.35206250000E+05	1.393012E-02	-6.599198E+01
1.37075000000E+05	1.400386E-02	-6.362070E+01
1.38943750000E+05	1.406269E-02	-6.452520E+01
1.40812500000E+05	1.620881E-02	-6.482660E+01
1.42681250000E+05	1.455995E-02	-6.733833E+01
1.44550000000E+05	1.404276E-02	-7.057299E+01
1.46418750000E+05	1.361320E-02	-6.751469E+01
1.48287500000E+05	1.325488E-02	-6.641964E+01
1.50156250000E+05	1.310338E-02	-6.879851E+01
1.52025000000E+05	1.305076E-02	-6.971937E+01
1.53893750000E+05	1.269273E-02	-6.766932E+01
1.55762500000E+05	1.246798E-02	-7.056965E+01
1.57631250000E+05	1.206221E-02	-6.854862E+01
1.59500000000E+05	1.281366E-02	-6.610040E+01
1.61368750000E+05	1.248221E-02	-7.122648E+01
1.63237500000E+05	1.214181E-02	-6.906926E+01
1.65106250000E+05	1.194926E-02	-7.004304E+01
1.66975000000E+05	1.177217E-02	-7.974026E+01
1.68843750000E+05	1.181704E-02	-6.885914E+01
1.70712500000E+05	1.189080E-02	-6.837672E+01
1.72581250000E+05	1.145737E-02	-6.948186E+01
1.74450000000E+05	1.097694E-02	-7.010807E+01
1.76318750000E+05	1.122458E-02	-6.911001E+01
1.78187500000E+05	1.090339E-02	-7.082145E+01
1.80056250000E+05	1.074429E-02	-6.948184E+01
1.81925000000E+05	1.092071E-02	-7.099715E+01
