"E5100A REV3.14"
"DATE: Jun 28 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	6.584570E-02	-6.968486E+01
1.18687500000E+04	6.181014E-02	-2.456608E+01
1.37375000000E+04	6.252977E-02	-3.601483E+01
1.56062500000E+04	6.388595E-02	-4.401355E+01
1.74750000000E+04	4.012970E-02	-4.685250E+01
1.93437500000E+04	4.266924E-02	-4.058645E+01
2.12125000000E+04	4.662366E-02	-4.139561E+01
2.30812500000E+04	4.548559E-02	-4.554421E+01
2.49500000000E+04	4.234604E-02	-5.321760E+01
2.68187500000E+04	3.896411E-02	-5.328548E+01
2.86875000000E+04	3.707339E-02	-5.227387E+01
3.05562500000E+04	3.841168E-02	-5.676768E+01
3.24250000000E+04	3.469585E-02	-5.763553E+01
3.42937500000E+04	3.308298E-02	-5.928688E+01
3.61625000000E+04	3.286769E-02	-5.694768E+01
3.80312500000E+04	3.121478E-02	-5.984220E+01
3.99000000000E+04	3.223388E-02	-6.304887E+01
4.17687500000E+04	2.805844E-02	-6.232800E+01
4.36375000000E+04	2.579462E-02	-6.598013E+01
4.55062500000E+04	2.421557E-02	-6.742976E+01
4.73750000000E+04	2.497486E-02	-6.520049E+01
4.92437500000E+04	2.236463E-02	-6.449171E+01
5.11125000000E+04	2.332568E-02	-6.516849E+01
5.29812500000E+04	2.084168E-02	-6.359390E+01
5.48500000000E+04	1.937547E-02	-6.814469E+01
5.67187500000E+04	1.857438E-02	-6.663507E+01
5.85875000000E+04	1.910164E-02	-6.373177E+01
6.04562500000E+04	1.676274E-02	-6.510459E+01
6.23250000000E+04	1.685471E-02	-6.330445E+01
6.41937500000E+04	1.485808E-02	-5.916203E+01
6.60625000000E+04	1.432834E-02	-5.138715E+01
6.79312500000E+04	1.482754E-02	-5.498079E+01
6.98000000000E+04	1.364130E-02	-5.014682E+01
7.16687500000E+04	1.394233E-02	-4.679488E+01
7.35375000000E+04	1.474641E-02	-4.280728E+01
7.54062500000E+04	1.517209E-02	-3.927758E+01
7.72750000000E+04	1.603654E-02	-3.903004E+01
7.91437500000E+04	1.653680E-02	-3.907468E+01
8.10125000000E+04	1.762608E-02	-4.077983E+01
8.28812500000E+04	1.813435E-02	-4.169654E+01
8.47500000000E+04	1.977068E-02	-4.237067E+01
8.66187500000E+04	1.903561E-02	-4.220849E+01
8.84875000000E+04	1.924268E-02	-4.492214E+01
9.03562500000E+04	1.991778E-02	-3.857397E+01
9.22250000000E+04	2.011374E-02	-4.824777E+01
9.40937500000E+04	1.923548E-02	-5.109298E+01
9.59625000000E+04	1.860601E-02	-5.277076E+01
9.78312500000E+04	1.883797E-02	-5.312040E+01
9.97000000000E+04	1.814295E-02	-5.537984E+01
1.01568750000E+05	1.858569E-02	-5.615130E+01
1.03437500000E+05	1.702425E-02	-5.770440E+01
1.05306250000E+05	1.685052E-02	-4.578614E+01
1.07175000000E+05	1.662574E-02	-5.717445E+01
1.09043750000E+05	1.689716E-02	-5.695739E+01
1.10912500000E+05	1.950420E-02	-7.158456E+01
1.12781250000E+05	1.623584E-02	-6.020317E+01
1.14650000000E+05	1.569080E-02	-6.100145E+01
1.16518750000E+05	1.470947E-02	-6.148688E+01
1.18387500000E+05	1.528522E-02	-6.253313E+01
1.20256250000E+05	1.505626E-02	-6.144582E+01
1.22125000000E+05	1.468605E-02	-6.144959E+01
1.23993750000E+05	1.431435E-02	-6.219979E+01
1.25862500000E+05	1.458972E-02	-6.486108E+01
1.27731250000E+05	1.430621E-02	-6.311977E+01
1.29600000000E+05	1.308141E-02	-6.325274E+01
1.31468750000E+05	1.347417E-02	-6.814304E+01
1.33337500000E+05	1.271149E-02	-5.649516E+01
1.35206250000E+05	1.254162E-02	-6.673248E+01
1.37075000000E+05	1.240499E-02	-6.398420E+01
1.38943750000E+05	1.227690E-02	-6.474043E+01
1.40812500000E+05	1.502055E-02	-6.471133E+01
1.42681250000E+05	1.286595E-02	-6.733586E+01
1.44550000000E+05	1.246901E-02	-6.729842E+01
1.46418750000E+05	1.200078E-02	-6.939435E+01
1.48287500000E+05	1.182508E-02	-6.651223E+01
1.50156250000E+05	1.142669E-02	-6.914452E+01
1.52025000000E+05	1.054257E-02	-7.026136E+01
1.53893750000E+05	1.137583E-02	-6.978066E+01
1.55762500000E+05	1.090942E-02	-6.728986E+01
1.57631250000E+05	1.039603E-02	-6.708960E+01
1.59500000000E+05	1.124312E-02	-6.609163E+01
1.61368750000E+05	1.106001E-02	-6.866904E+01
1.63237500000E+05	1.042207E-02	-6.593368E+01
1.65106250000E+05	1.007885E-02	-7.214460E+01
1.66975000000E+05	7.834047E-03	-7.598702E+01
1.68843750000E+05	9.849036E-03	-7.100969E+01
1.70712500000E+05	9.544377E-03	-7.028067E+01
1.72581250000E+05	9.746738E-03	-7.152083E+01
1.74450000000E+05	9.113817E-03	-7.148190E+01
1.76318750000E+05	8.969794E-03	-6.681271E+01
1.78187500000E+05	8.908717E-03	-7.180544E+01
1.80056250000E+05	9.288339E-03	-7.345400E+01
1.81925000000E+05	8.716378E-03	-6.965947E+01
1.83793750000E+05	7.965305E-03	-7.005605E+01
1.85662500000E+05	8.575658E-03	-7.346432E+01
1.87531250000E+05	8.065438E-03	-6.981414E+01
1.89400000000E+05	8.312025E-03	-7.345511E+01
1.91268750000E+05	8.434402E-03	-6.883208E+01
1.93137500000E+05	8.029629E-03	-6.930745E+01
1.95006250000E+05	8.034015E-03	-6.760646E+01
1.96875000000E+05	8.010086E-03	-7.090086E+01
1.98743750000E+05	7.763045E-03	-7.186847E+01
2.00612500000E+05	7.286324E-03	-6.953104E+01
2.02481250000E+05	7.561554E-03	-6.534666E+01
2.04350000000E+05	7.370380E-03	-6.738408E+01
2.06218750000E+05	7.157827E-03	-6.946371E+01
2.08087500000E+05	7.026152E-03	-6.971224E+01
2.09956250000E+05	6.772744E-03	-6.773287E+01
2.11825000000E+05	7.069616E-03	-6.818370E+01
2.13693750000E+05	6.522794E-03	-7.317490E+01
2.15562500000E+05	6.365600E-03	-6.949526E+01
2.17431250000E+05	6.259275E-03	-7.003938E+01
2.19300000000E+05	6.669540E-03	-6.775650E+01
2.21168750000E+05	6.126081E-03	-6.851176E+01
2.23037500000E+05	6.531220E-03	-6.604395E+01
2.24906250000E+05	6.735876E-03	-7.114392E+01
2.26775000000E+05	6.054814E-03	-6.810938E+01
2.28643750000E+05	6.161860E-03	-6.958019E+01
2.30512500000E+05	6.714195E-03	-6.738793E+01
2.32381250000E+05	6.295429E-03	-7.049984E+01
2.34250000000E+05	6.145450E-03	-6.743029E+01
2.36118750000E+05	6.251812E-03	-6.366843E+01
2.37987500000E+05	6.439205E-03	-6.874697E+01
2.39856250000E+05	5.792623E-03	-7.114850E+01
2.41725000000E+05	6.076529E-03	-6.751192E+01
2.43593750000E+05	5.490098E-03	-7.030915E+01
2.45462500000E+05	5.958692E-03	-7.189648E+01
2.47331250000E+05	6.193622E-03	-7.210209E+01
2.49200000000E+05	5.738714E-03	-7.281198E+01
2.51068750000E+05	5.753497E-03	-7.619475E+01
2.52937500000E+05	5.686736E-03	-7.848904E+01
2.54806250000E+05	5.457992E-03	-8.201068E+01
2.56675000000E+05	5.342081E-03	-8.589834E+01
2.58543750000E+05	5.056472E-03	-8.188791E+01
2.60412500000E+05	5.191998E-03	-8.181934E+01
2.62281250000E+05	4.875500E-03	-8.741541E+01
2.64150000000E+05	4.943745E-03	-9.061743E+01
2.66018750000E+05	4.389307E-03	-8.259567E+01
2.67887500000E+05	4.056671E-03	-8.283344E+01
2.69756250000E+05	4.232283E-03	-8.420971E+01
2.71625000000E+05	4.236930E-03	-8.332644E+01
2.73493750000E+05	4.302362E-03	-8.309004E+01
2.75362500000E+05	3.837725E-03	-8.196990E+01
2.77231250000E+05	3.824847E-03	-8.256648E+01
2.79100000000E+05	3.522490E-03	-8.712726E+01
2.80968750000E+05	3.394363E-03	-8.872177E+01
2.82837500000E+05	3.425787E-03	-8.371940E+01
2.84706250000E+05	2.964678E-03	-8.496420E+01
2.86575000000E+05	3.082640E-03	-8.313582E+01
2.88443750000E+05	3.287338E-03	-8.748427E+01
2.90312500000E+05	2.988574E-03	-8.202820E+01
2.92181250000E+05	2.729678E-03	-7.971337E+01
2.94050000000E+05	2.443121E-03	-8.041936E+01
2.95918750000E+05	2.561988E-03	-7.833813E+01
