"E5100A REV3.14"
"DATE: Jun 28 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	6.107538E-03	4.739404E+01
1.18687500000E+04	7.080949E-02	-4.335587E+01
1.37375000000E+04	3.669436E-02	-1.598263E+01
1.56062500000E+04	3.552532E-02	-2.835073E+01
1.74750000000E+04	3.008573E-02	-3.202979E+01
1.93437500000E+04	3.433594E-02	-4.173042E+01
2.12125000000E+04	3.064848E-02	-2.381737E+01
2.30812500000E+04	3.128247E-02	-2.923649E+01
2.49500000000E+04	3.543798E-02	-3.563897E+01
2.68187500000E+04	3.809200E-02	-3.447428E+01
2.86875000000E+04	3.414651E-02	-3.497484E+01
3.05562500000E+04	3.377926E-02	-3.707281E+01
3.24250000000E+04	3.190362E-02	-4.133341E+01
3.42937500000E+04	3.357529E-02	-3.953956E+01
3.61625000000E+04	3.332287E-02	-4.440583E+01
3.80312500000E+04	3.133111E-02	-4.473361E+01
3.99000000000E+04	3.151458E-02	-4.784368E+01
4.17687500000E+04	3.110082E-02	-4.740076E+01
4.36375000000E+04	2.943357E-02	-4.437633E+01
4.55062500000E+04	2.977383E-02	-4.984752E+01
4.73750000000E+04	2.855193E-02	-5.073824E+01
4.92437500000E+04	2.691282E-02	-5.118202E+01
5.11125000000E+04	2.705867E-02	-5.063943E+01
5.29812500000E+04	2.517234E-02	-5.303880E+01
5.48500000000E+04	2.343128E-02	-5.468873E+01
5.67187500000E+04	2.287912E-02	-5.149897E+01
5.85875000000E+04	2.271819E-02	-5.285359E+01
6.04562500000E+04	2.147918E-02	-5.481966E+01
6.23250000000E+04	2.052426E-02	-4.903819E+01
6.41937500000E+04	2.056851E-02	-5.414151E+01
6.60625000000E+04	1.663095E-02	-4.858421E+01
6.79312500000E+04	1.889046E-02	-4.598840E+01
6.98000000000E+04	1.899893E-02	-4.707720E+01
7.16687500000E+04	1.852532E-02	-4.170994E+01
7.35375000000E+04	1.887319E-02	-4.105626E+01
7.54062500000E+04	1.975197E-02	-3.826360E+01
7.72750000000E+04	2.018028E-02	-3.653505E+01
7.91437500000E+04	2.165980E-02	-3.643805E+01
8.10125000000E+04	2.229205E-02	-4.014680E+01
8.28812500000E+04	2.284092E-02	-3.975670E+01
8.47500000000E+04	2.375238E-02	-4.083440E+01
8.66187500000E+04	2.441340E-02	-4.329911E+01
8.84875000000E+04	2.450207E-02	-4.446015E+01
9.03562500000E+04	2.385017E-02	-4.541203E+01
9.22250000000E+04	2.357537E-02	-4.674379E+01
9.40937500000E+04	2.347567E-02	-4.930415E+01
9.59625000000E+04	2.446381E-02	-4.943071E+01
9.78312500000E+04	2.394036E-02	-5.257457E+01
9.97000000000E+04	2.388141E-02	-5.394074E+01
1.01568750000E+05	2.366402E-02	-5.358522E+01
1.03437500000E+05	2.305542E-02	-5.429286E+01
1.05306250000E+05	2.268453E-02	-5.317586E+01
1.07175000000E+05	2.321975E-02	-5.684599E+01
1.09043750000E+05	2.271426E-02	-5.720331E+01
1.10912500000E+05	2.410848E-02	-4.614618E+01
1.12781250000E+05	2.235510E-02	-5.830194E+01
1.14650000000E+05	2.213140E-02	-5.921541E+01
1.16518750000E+05	2.187990E-02	-6.042802E+01
1.18387500000E+05	2.091681E-02	-6.028510E+01
1.20256250000E+05	2.104906E-02	-5.997620E+01
1.22125000000E+05	2.063389E-02	-6.143191E+01
1.23993750000E+05	2.088411E-02	-6.135594E+01
1.25862500000E+05	2.012025E-02	-6.227972E+01
1.27731250000E+05	2.014515E-02	-6.393232E+01
1.29600000000E+05	1.937223E-02	-6.095957E+01
1.31468750000E+05	1.930015E-02	-6.385098E+01
1.33337500000E+05	1.934303E-02	-5.997525E+01
1.35206250000E+05	1.913010E-02	-6.496646E+01
1.37075000000E+05	1.842458E-02	-6.444958E+01
1.38943750000E+05	1.792843E-02	-6.441829E+01
1.40812500000E+05	2.156560E-02	-6.651335E+01
1.42681250000E+05	1.947986E-02	-6.599788E+01
1.44550000000E+05	1.923124E-02	-6.635618E+01
1.46418750000E+05	1.847609E-02	-6.865953E+01
1.48287500000E+05	1.843030E-02	-6.823193E+01
1.50156250000E+05	1.790003E-02	-6.657554E+01
1.52025000000E+05	1.773538E-02	-6.749454E+01
1.53893750000E+05	1.759065E-02	-6.863723E+01
1.55762500000E+05	1.817203E-02	-6.803890E+01
1.57631250000E+05	1.698767E-02	-6.947434E+01
1.59500000000E+05	1.722899E-02	-6.748786E+01
1.61368750000E+05	1.756552E-02	-6.982508E+01
1.63237500000E+05	1.729751E-02	-6.952946E+01
1.65106250000E+05	1.718574E-02	-6.886700E+01
1.66975000000E+05	1.563169E-02	-7.769953E+01
1.68843750000E+05	1.642261E-02	-6.926693E+01
1.70712500000E+05	1.630710E-02	-6.977180E+01
1.72581250000E+05	1.656534E-02	-7.251300E+01
1.74450000000E+05	1.634089E-02	-7.037893E+01
1.76318750000E+05	1.618505E-02	-7.078986E+01
1.78187500000E+05	1.611536E-02	-7.110118E+01
1.80056250000E+05	1.591094E-02	-6.994489E+01
1.81925000000E+05	1.606832E-02	-7.278421E+01
1.83793750000E+05	1.565583E-02	-7.189565E+01
1.85662500000E+05	1.521151E-02	-7.349885E+01
1.87531250000E+05	1.549907E-02	-6.973513E+01
1.89400000000E+05	1.554772E-02	-7.122415E+01
1.91268750000E+05	1.568507E-02	-7.179636E+01
1.93137500000E+05	1.516489E-02	-7.225305E+01
1.95006250000E+05	1.536047E-02	-7.511979E+01
1.96875000000E+05	1.542771E-02	-7.207601E+01
1.98743750000E+05	1.529836E-02	-7.302641E+01
2.00612500000E+05	1.457571E-02	-7.219576E+01
2.02481250000E+05	1.457575E-02	-7.240868E+01
2.04350000000E+05	1.474985E-02	-7.223886E+01
2.06218750000E+05	1.428778E-02	-7.109881E+01
2.08087500000E+05	1.414735E-02	-7.296136E+01
2.09956250000E+05	1.431423E-02	-7.266605E+01
2.11825000000E+05	1.436214E-02	-7.379536E+01
2.13693750000E+05	1.449427E-02	-7.342473E+01
2.15562500000E+05	1.443238E-02	-7.512289E+01
2.17431250000E+05	1.466370E-02	-7.210983E+01
2.19300000000E+05	1.477510E-02	-7.219694E+01
2.21168750000E+05	1.474562E-02	-7.311882E+01
2.23037500000E+05	1.467580E-02	-7.369466E+01
2.24906250000E+05	1.432634E-02	-7.460783E+01
2.26775000000E+05	1.437158E-02	-7.254993E+01
2.28643750000E+05	1.402141E-02	-7.583255E+01
2.30512500000E+05	1.467528E-02	-7.343271E+01
2.32381250000E+05	1.447093E-02	-7.465221E+01
2.34250000000E+05	1.444883E-02	-7.421804E+01
2.36118750000E+05	1.471805E-02	-7.502904E+01
2.37987500000E+05	1.475737E-02	-7.441656E+01
2.39856250000E+05	1.512692E-02	-7.438602E+01
2.41725000000E+05	1.467126E-02	-7.678728E+01
2.43593750000E+05	1.466786E-02	-7.750175E+01
2.45462500000E+05	1.433183E-02	-7.730604E+01
2.47331250000E+05	1.450960E-02	-7.746082E+01
2.49200000000E+05	1.434662E-02	-7.878584E+01
2.51068750000E+05	1.477179E-02	-7.856343E+01
2.52937500000E+05	1.462054E-02	-7.888020E+01
2.54806250000E+05	1.468180E-02	-8.044312E+01
2.56675000000E+05	1.440864E-02	-8.243369E+01
2.58543750000E+05	1.450719E-02	-8.307936E+01
2.60412500000E+05	1.407686E-02	-8.003632E+01
2.62281250000E+05	1.394231E-02	-8.174281E+01
2.64150000000E+05	1.385933E-02	-8.206290E+01
2.66018750000E+05	1.386379E-02	-8.448227E+01
2.67887500000E+05	1.322161E-02	-8.307040E+01
2.69756250000E+05	1.323130E-02	-8.291946E+01
2.71625000000E+05	1.298370E-02	-8.289580E+01
2.73493750000E+05	1.343877E-02	-8.181717E+01
2.75362500000E+05	1.312891E-02	-8.296040E+01
2.77231250000E+05	1.258304E-02	-8.204726E+01
2.79100000000E+05	1.291567E-02	-8.318798E+01
2.80968750000E+05	1.284252E-02	-8.221237E+01
2.82837500000E+05	1.279122E-02	-8.580075E+01
2.84706250000E+05	1.263153E-02	-8.402111E+01
2.86575000000E+05	1.285540E-02	-8.263073E+01
2.88443750000E+05	1.267457E-02	-8.266758E+01
2.90312500000E+05	1.265746E-02	-8.257362E+01
2.92181250000E+05	1.213631E-02	-8.373205E+01
2.94050000000E+05	1.272243E-02	-8.362424E+01
2.95918750000E+05	1.251906E-02	-8.203446E+01
2.97787500000E+05	1.206806E-02	-8.470515E+01
2.99656250000E+05	1.193072E-02	-8.068927E+01
3.01525000000E+05	1.217000E-02	-8.377330E+01
3.03393750000E+05	1.228340E-02	-8.250701E+01
3.05262500000E+05	1.260459E-02	-8.204914E+01
3.07131250000E+05	1.220066E-02	-8.223640E+01
3.09000000000E+05	1.198047E-02	-8.365710E+01
3.10868750000E+05	1.218809E-02	-8.106091E+01
3.12737500000E+05	1.213367E-02	-8.315382E+01
3.14606250000E+05	1.177081E-02	-8.125600E+01
3.16475000000E+05	1.220807E-02	-8.022419E+01
3.18343750000E+05	1.187744E-02	-8.224539E+01
3.20212500000E+05	1.256448E-02	-8.207253E+01
3.22081250000E+05	1.166826E-02	-8.176723E+01
3.23950000000E+05	1.235314E-02	-8.232314E+01
3.25818750000E+05	1.193360E-02	-8.281036E+01
3.27687500000E+05	1.202858E-02	-8.409759E+01
3.29556250000E+05	1.220275E-02	-8.311881E+01
3.31425000000E+05	1.179036E-02	-8.174796E+01
3.33293750000E+05	1.218315E-02	-8.366096E+01
3.35162500000E+05	1.238515E-02	-8.196333E+01
3.37031250000E+05	1.200285E-02	-8.437237E+01
3.38900000000E+05	1.179672E-02	-8.433748E+01
3.40768750000E+05	1.173234E-02	-8.175883E+01
3.42637500000E+05	1.147529E-02	-8.449725E+01
3.44506250000E+05	1.221592E-02	-8.139366E+01
3.46375000000E+05	1.238550E-02	-8.227675E+01
3.48243750000E+05	1.184933E-02	-8.234750E+01
3.50112500000E+05	1.168511E-02	-8.160946E+01
3.51981250000E+05	1.187090E-02	-8.106483E+01
3.53850000000E+05	1.176788E-02	-8.191730E+01
3.55718750000E+05	1.228893E-02	-8.255997E+01
3.57587500000E+05	1.180539E-02	-8.156879E+01
3.59456250000E+05	1.193668E-02	-8.371397E+01
3.61325000000E+05	1.189916E-02	-8.078097E+01
3.63193750000E+05	1.129310E-02	-8.274429E+01
3.65062500000E+05	1.153511E-02	-8.179557E+01
3.66931250000E+05	1.193524E-02	-8.333664E+01
3.68800000000E+05	1.184442E-02	-8.431776E+01
3.70668750000E+05	1.179744E-02	-8.373811E+01
3.72537500000E+05	1.177818E-02	-8.517953E+01
3.74406250000E+05	1.145925E-02	-8.304913E+01
3.76275000000E+05	1.200644E-02	-8.292881E+01
3.78143750000E+05	1.191393E-02	-8.242631E+01
3.80012500000E+05	1.193150E-02	-8.273614E+01
3.81881250000E+05	1.187873E-02	-8.228745E+01
3.83750000000E+05	1.214370E-02	-8.223710E+01
3.85618750000E+05	1.197052E-02	-8.366547E+01
