"E5100A REV3.14"
"DATE: Jun 28 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	3.981702E-02	-6.693195E+01
1.18687500000E+04	6.046425E-02	-5.054092E+01
1.37375000000E+04	5.161566E-02	-6.075393E+01
1.56062500000E+04	5.447388E-02	-3.770622E+01
1.74750000000E+04	4.887984E-02	-3.917397E+01
1.93437500000E+04	4.998338E-02	-4.817952E+01
2.12125000000E+04	4.272548E-02	-4.794265E+01
2.30812500000E+04	4.694631E-02	-4.860101E+01
2.49500000000E+04	4.225703E-02	-4.988842E+01
2.68187500000E+04	4.061109E-02	-4.967395E+01
2.86875000000E+04	4.006835E-02	-5.422451E+01
3.05562500000E+04	3.942293E-02	-5.555727E+01
3.24250000000E+04	3.556298E-02	-5.564216E+01
3.42937500000E+04	3.534026E-02	-5.633914E+01
3.61625000000E+04	3.296309E-02	-5.988504E+01
3.80312500000E+04	3.332836E-02	-5.858968E+01
3.99000000000E+04	3.188627E-02	-6.099433E+01
4.17687500000E+04	2.915254E-02	-6.223943E+01
4.36375000000E+04	2.894105E-02	-5.864750E+01
4.55062500000E+04	2.738195E-02	-6.182718E+01
4.73750000000E+04	2.847526E-02	-6.157435E+01
4.92437500000E+04	2.518620E-02	-6.730302E+01
5.11125000000E+04	2.367042E-02	-6.891983E+01
5.29812500000E+04	2.234484E-02	-6.580046E+01
5.48500000000E+04	2.157745E-02	-6.145053E+01
5.67187500000E+04	2.189500E-02	-6.511056E+01
5.85875000000E+04	1.844995E-02	-6.458202E+01
6.04562500000E+04	1.848025E-02	-6.394207E+01
6.23250000000E+04	1.761359E-02	-6.309124E+01
6.41937500000E+04	1.574996E-02	-5.852950E+01
6.60625000000E+04	1.531354E-02	-5.902248E+01
6.79312500000E+04	1.549384E-02	-5.583091E+01
6.98000000000E+04	1.600027E-02	-5.152533E+01
7.16687500000E+04	1.636399E-02	-4.752386E+01
7.35375000000E+04	1.653228E-02	-4.569331E+01
7.54062500000E+04	1.706995E-02	-4.382943E+01
7.72750000000E+04	1.722195E-02	-4.196425E+01
7.91437500000E+04	1.840443E-02	-4.197610E+01
8.10125000000E+04	1.953949E-02	-4.163443E+01
8.28812500000E+04	1.943215E-02	-4.416300E+01
8.47500000000E+04	2.004901E-02	-4.312074E+01
8.66187500000E+04	1.975947E-02	-4.769371E+01
8.84875000000E+04	2.040946E-02	-4.712368E+01
9.03562500000E+04	2.187659E-02	-5.209977E+01
9.22250000000E+04	2.017173E-02	-5.036851E+01
9.40937500000E+04	2.104586E-02	-5.237114E+01
9.59625000000E+04	2.065778E-02	-5.520866E+01
9.78312500000E+04	2.011753E-02	-5.552446E+01
9.97000000000E+04	2.055524E-02	-5.637841E+01
1.01568750000E+05	1.945197E-02	-5.612806E+01
1.03437500000E+05	1.908781E-02	-5.840589E+01
1.05306250000E+05	2.109023E-02	-5.201802E+01
1.07175000000E+05	1.900046E-02	-6.016475E+01
1.09043750000E+05	1.862724E-02	-6.115342E+01
1.10912500000E+05	1.473737E-02	-7.017126E+01
1.12781250000E+05	1.806913E-02	-6.168686E+01
1.14650000000E+05	1.785252E-02	-6.398352E+01
1.16518750000E+05	1.761927E-02	-6.360696E+01
1.18387500000E+05	1.773078E-02	-6.511712E+01
1.20256250000E+05	1.712819E-02	-6.451489E+01
1.22125000000E+05	1.696861E-02	-6.402955E+01
1.23993750000E+05	1.679216E-02	-6.424919E+01
1.25862500000E+05	1.611987E-02	-6.737508E+01
1.27731250000E+05	1.584375E-02	-6.715914E+01
1.29600000000E+05	1.602701E-02	-6.655753E+01
1.31468750000E+05	1.579889E-02	-6.831870E+01
1.33337500000E+05	1.579729E-02	-6.149662E+01
1.35206250000E+05	1.497840E-02	-6.641638E+01
1.37075000000E+05	1.463812E-02	-6.753404E+01
1.38943750000E+05	1.481851E-02	-6.457101E+01
1.40812500000E+05	1.720237E-02	-6.773843E+01
1.42681250000E+05	1.545417E-02	-7.201719E+01
1.44550000000E+05	1.522243E-02	-7.103590E+01
1.46418750000E+05	1.506875E-02	-6.979813E+01
1.48287500000E+05	1.430473E-02	-7.106544E+01
1.50156250000E+05	1.404339E-02	-7.292173E+01
1.52025000000E+05	1.387157E-02	-6.958195E+01
1.53893750000E+05	1.391146E-02	-7.150816E+01
1.55762500000E+05	1.396113E-02	-7.111114E+01
1.57631250000E+05	1.366829E-02	-6.927746E+01
1.59500000000E+05	1.433013E-02	-6.872955E+01
1.61368750000E+05	1.354847E-02	-7.326293E+01
1.63237500000E+05	1.343223E-02	-7.176788E+01
1.65106250000E+05	1.324503E-02	-7.145514E+01
1.66975000000E+05	1.370226E-02	-8.169027E+01
1.68843750000E+05	1.284144E-02	-7.399060E+01
1.70712500000E+05	1.255282E-02	-7.128203E+01
1.72581250000E+05	1.244030E-02	-7.705012E+01
1.74450000000E+05	1.242570E-02	-7.249828E+01
1.76318750000E+05	1.245264E-02	-7.313961E+01
1.78187500000E+05	1.259379E-02	-7.244084E+01
1.80056250000E+05	1.200696E-02	-7.400714E+01
1.81925000000E+05	1.220228E-02	-7.395171E+01
1.83793750000E+05	1.265041E-02	-7.421773E+01
1.85662500000E+05	1.165616E-02	-7.066355E+01
1.87531250000E+05	1.198022E-02	-7.436228E+01
1.89400000000E+05	1.175239E-02	-7.200623E+01
1.91268750000E+05	1.186065E-02	-7.533980E+01
1.93137500000E+05	1.148212E-02	-7.335928E+01
1.95006250000E+05	1.139317E-02	-7.612564E+01
1.96875000000E+05	1.107594E-02	-7.605580E+01
1.98743750000E+05	1.140282E-02	-7.135748E+01
2.00612500000E+05	1.150846E-02	-7.333118E+01
2.02481250000E+05	1.114908E-02	-7.248142E+01
2.04350000000E+05	1.108962E-02	-7.308141E+01
2.06218750000E+05	1.120373E-02	-7.543180E+01
2.08087500000E+05	1.106027E-02	-7.469474E+01
2.09956250000E+05	1.082187E-02	-7.596994E+01
2.11825000000E+05	1.111401E-02	-7.619089E+01
