"E5100A REV3.14"
"DATE: Jun 28 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	1.959069E-02	-4.351980E+01
1.18687500000E+04	8.396775E-02	-4.537156E+01
1.37375000000E+04	5.382432E-02	-3.838177E+01
1.56062500000E+04	5.564560E-02	-5.458279E+01
1.74750000000E+04	5.473537E-02	-5.223077E+01
1.93437500000E+04	4.569798E-02	-4.729623E+01
2.12125000000E+04	4.589655E-02	-4.324673E+01
2.30812500000E+04	4.442329E-02	-4.987328E+01
2.49500000000E+04	4.173765E-02	-5.020155E+01
2.68187500000E+04	3.794280E-02	-5.301332E+01
2.86875000000E+04	4.194307E-02	-5.619243E+01
3.05562500000E+04	3.696931E-02	-5.688065E+01
3.24250000000E+04	3.534864E-02	-5.862402E+01
3.42937500000E+04	3.428461E-02	-6.016001E+01
3.61625000000E+04	3.470286E-02	-6.049202E+01
3.80312500000E+04	2.863749E-02	-6.102074E+01
3.99000000000E+04	2.947753E-02	-6.360271E+01
4.17687500000E+04	2.854596E-02	-6.344484E+01
4.36375000000E+04	2.539547E-02	-6.577484E+01
4.55062500000E+04	2.623277E-02	-7.150050E+01
4.73750000000E+04	2.512767E-02	-6.753838E+01
4.92437500000E+04	2.018694E-02	-6.476285E+01
5.11125000000E+04	2.248902E-02	-6.815337E+01
5.29812500000E+04	2.217937E-02	-6.435649E+01
5.48500000000E+04	2.066999E-02	-6.500737E+01
5.67187500000E+04	2.037017E-02	-6.604791E+01
5.85875000000E+04	1.769955E-02	-6.738274E+01
6.04562500000E+04	1.753791E-02	-6.639308E+01
6.23250000000E+04	1.557952E-02	-6.770506E+01
6.41937500000E+04	1.570435E-02	-5.950606E+01
6.60625000000E+04	1.613485E-02	-6.078112E+01
6.79312500000E+04	1.394380E-02	-5.807405E+01
6.98000000000E+04	1.444231E-02	-5.412017E+01
7.16687500000E+04	1.428470E-02	-5.366676E+01
7.35375000000E+04	1.443557E-02	-5.009066E+01
7.54062500000E+04	1.604201E-02	-4.725444E+01
7.72750000000E+04	1.576917E-02	-4.292746E+01
7.91437500000E+04	1.617823E-02	-4.469651E+01
8.10125000000E+04	1.745679E-02	-4.441979E+01
8.28812500000E+04	1.723799E-02	-4.511514E+01
8.47500000000E+04	1.803392E-02	-4.565632E+01
8.66187500000E+04	1.766809E-02	-5.066033E+01
8.84875000000E+04	1.791336E-02	-5.083397E+01
9.03562500000E+04	1.795219E-02	-4.880013E+01
9.22250000000E+04	1.779377E-02	-5.339194E+01
9.40937500000E+04	1.803855E-02	-5.384697E+01
9.59625000000E+04	1.710599E-02	-5.477225E+01
9.78312500000E+04	1.819045E-02	-5.607407E+01
9.97000000000E+04	1.724843E-02	-5.621555E+01
1.01568750000E+05	1.779529E-02	-5.910788E+01
1.03437500000E+05	1.812146E-02	-6.022491E+01
1.05306250000E+05	1.553851E-02	-6.694959E+01
1.07175000000E+05	1.645495E-02	-6.196041E+01
1.09043750000E+05	1.497736E-02	-6.023132E+01
1.10912500000E+05	1.735725E-02	-5.078463E+01
1.12781250000E+05	1.604835E-02	-6.378413E+01
1.14650000000E+05	1.615783E-02	-6.403468E+01
1.16518750000E+05	1.533905E-02	-6.624441E+01
1.18387500000E+05	1.510254E-02	-6.544993E+01
1.20256250000E+05	1.441812E-02	-6.515215E+01
1.22125000000E+05	1.481581E-02	-6.691355E+01
1.23993750000E+05	1.436735E-02	-6.553028E+01
1.25862500000E+05	1.483028E-02	-6.500421E+01
1.27731250000E+05	1.455092E-02	-6.880109E+01
1.29600000000E+05	1.481638E-02	-6.700508E+01
1.31468750000E+05	1.407859E-02	-6.773302E+01
1.33337500000E+05	1.203020E-02	-6.383074E+01
1.35206250000E+05	1.335262E-02	-6.738212E+01
1.37075000000E+05	1.287375E-02	-6.868587E+01
1.38943750000E+05	1.296770E-02	-6.610526E+01
1.40812500000E+05	1.567336E-02	-6.816286E+01
1.42681250000E+05	1.329451E-02	-6.930205E+01
1.44550000000E+05	1.336336E-02	-6.660964E+01
1.46418750000E+05	1.294534E-02	-6.824294E+01
1.48287500000E+05	1.270524E-02	-6.955415E+01
1.50156250000E+05	1.210177E-02	-7.224743E+01
1.52025000000E+05	1.208453E-02	-7.315308E+01
1.53893750000E+05	1.210984E-02	-6.882565E+01
1.55762500000E+05	1.219554E-02	-7.100237E+01
1.57631250000E+05	1.176394E-02	-7.000353E+01
1.59500000000E+05	1.178187E-02	-6.586574E+01
1.61368750000E+05	1.123387E-02	-7.240955E+01
1.63237500000E+05	1.136290E-02	-7.077787E+01
