"E5100A REV3.14"
"DATE: Jun 28 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	7.577488E-02	-2.737218E+01
1.18687500000E+04	6.097246E-02	-3.950861E+01
1.37375000000E+04	5.234699E-02	-4.281783E+01
1.56062500000E+04	5.399582E-02	-3.557516E+01
1.74750000000E+04	5.022247E-02	-4.777727E+01
1.93437500000E+04	4.882563E-02	-4.080054E+01
2.12125000000E+04	4.563457E-02	-4.972042E+01
2.30812500000E+04	4.519148E-02	-5.115318E+01
2.49500000000E+04	4.176378E-02	-5.410811E+01
2.68187500000E+04	4.042786E-02	-5.205041E+01
2.86875000000E+04	3.817712E-02	-5.801542E+01
3.05562500000E+04	4.010130E-02	-5.620006E+01
3.24250000000E+04	3.414195E-02	-6.080267E+01
3.42937500000E+04	3.390973E-02	-6.076672E+01
3.61625000000E+04	3.426486E-02	-6.131653E+01
3.80312500000E+04	3.360629E-02	-6.419633E+01
3.99000000000E+04	3.101874E-02	-6.189469E+01
4.17687500000E+04	3.020154E-02	-6.549099E+01
4.36375000000E+04	2.797004E-02	-5.898350E+01
4.55062500000E+04	2.614845E-02	-6.569260E+01
4.73750000000E+04	2.583659E-02	-6.609490E+01
4.92437500000E+04	2.427950E-02	-6.372683E+01
5.11125000000E+04	2.325810E-02	-6.443045E+01
5.29812500000E+04	2.100601E-02	-6.748893E+01
5.48500000000E+04	2.024715E-02	-6.857627E+01
5.67187500000E+04	1.903130E-02	-6.741974E+01
5.85875000000E+04	1.935455E-02	-6.727100E+01
6.04562500000E+04	1.916926E-02	-6.536974E+01
6.23250000000E+04	1.703671E-02	-6.383668E+01
6.41937500000E+04	1.709660E-02	-6.146315E+01
6.60625000000E+04	1.827890E-02	-5.493872E+01
6.79312500000E+04	1.573766E-02	-6.105316E+01
6.98000000000E+04	1.489867E-02	-5.186591E+01
7.16687500000E+04	1.470665E-02	-5.194691E+01
7.35375000000E+04	1.517062E-02	-4.744926E+01
7.54062500000E+04	1.589327E-02	-4.498051E+01
7.72750000000E+04	1.645002E-02	-4.519936E+01
7.91437500000E+04	1.632187E-02	-4.377617E+01
8.10125000000E+04	1.802740E-02	-4.343012E+01
8.28812500000E+04	1.939776E-02	-4.343092E+01
8.47500000000E+04	1.876386E-02	-4.586277E+01
8.66187500000E+04	1.979471E-02	-4.853618E+01
8.84875000000E+04	1.934421E-02	-4.816955E+01
9.03562500000E+04	1.712076E-02	-4.597665E+01
9.22250000000E+04	1.969018E-02	-5.230366E+01
9.40937500000E+04	1.887093E-02	-5.145019E+01
9.59625000000E+04	1.857615E-02	-5.559130E+01
9.78312500000E+04	1.883408E-02	-5.579638E+01
9.97000000000E+04	1.899917E-02	-5.596249E+01
1.01568750000E+05	1.855044E-02	-5.865776E+01
1.03437500000E+05	1.801524E-02	-5.977702E+01
1.05306250000E+05	1.569522E-02	-6.287454E+01
1.07175000000E+05	1.654069E-02	-6.115180E+01
1.09043750000E+05	1.763600E-02	-6.359758E+01
1.10912500000E+05	1.258029E-02	-6.605347E+01
1.12781250000E+05	1.668201E-02	-6.306419E+01
1.14650000000E+05	1.647410E-02	-6.259388E+01
1.16518750000E+05	1.557761E-02	-6.448359E+01
1.18387500000E+05	1.598877E-02	-6.445679E+01
1.20256250000E+05	1.570488E-02	-6.718766E+01
1.22125000000E+05	1.588506E-02	-6.593492E+01
1.23993750000E+05	1.547632E-02	-6.699299E+01
1.25862500000E+05	1.511490E-02	-6.753570E+01
1.27731250000E+05	1.485683E-02	-6.766122E+01
1.29600000000E+05	1.400865E-02	-7.010869E+01
1.31468750000E+05	1.383367E-02	-6.829456E+01
1.33337500000E+05	1.241940E-02	-6.476852E+01
1.35206250000E+05	1.316420E-02	-6.784156E+01
1.37075000000E+05	1.363976E-02	-6.876762E+01
1.38943750000E+05	1.344647E-02	-6.576688E+01
1.40812500000E+05	1.553063E-02	-6.935999E+01
1.42681250000E+05	1.438270E-02	-7.156346E+01
1.44550000000E+05	1.324906E-02	-7.117468E+01
1.46418750000E+05	1.339251E-02	-6.979581E+01
1.48287500000E+05	1.302059E-02	-7.276786E+01
1.50156250000E+05	1.272236E-02	-7.013008E+01
1.52025000000E+05	1.272981E-02	-7.262638E+01
1.53893750000E+05	1.242446E-02	-7.353677E+01
1.55762500000E+05	1.194011E-02	-7.184866E+01
1.57631250000E+05	1.176139E-02	-7.231222E+01
1.59500000000E+05	1.248367E-02	-6.577402E+01
1.61368750000E+05	1.162727E-02	-7.285290E+01
1.63237500000E+05	1.172045E-02	-7.163811E+01
