"E5100A REV3.14"
"DATE: Jul  1 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	9.737382E-03	1.323164E+01
1.18687500000E+04	1.534936E-02	1.551692E+02
1.37375000000E+04	3.079258E-03	1.453548E+02
1.56062500000E+04	5.202020E-03	-2.091980E+01
1.74750000000E+04	4.543406E-03	8.039530E+01
1.93437500000E+04	1.977877E-03	1.342160E+02
2.12125000000E+04	7.357698E-04	-8.880701E+01
2.30812500000E+04	1.139695E-03	9.258150E+01
2.49500000000E+04	8.617593E-04	-1.437386E+02
2.68187500000E+04	1.510023E-03	-1.146757E+02
2.86875000000E+04	9.756709E-04	-1.512755E+02
3.05562500000E+04	9.926989E-04	-4.401742E+01
3.24250000000E+04	7.228748E-04	-2.602921E+01
3.42937500000E+04	1.454413E-03	-3.125616E+01
3.61625000000E+04	6.901645E-04	-9.259246E+01
3.80312500000E+04	4.570183E-04	4.224248E+01
3.99000000000E+04	7.599703E-04	-6.531966E+01
4.17687500000E+04	1.265862E-03	-1.148226E+02
4.36375000000E+04	1.476315E-03	-6.829132E+01
4.55062500000E+04	1.481928E-03	-2.149447E+01
4.73750000000E+04	6.292293E-04	-6.129494E+01
4.92437500000E+04	4.835187E-04	2.393126E+01
5.11125000000E+04	1.547741E-03	-6.565302E+01
5.29812500000E+04	1.165568E-03	-8.811945E+01
5.48500000000E+04	6.092569E-04	-1.187367E+02
5.67187500000E+04	1.002663E-03	-9.231206E+01
5.85875000000E+04	1.245650E-03	-1.053271E+02
6.04562500000E+04	1.635662E-03	-7.566251E+01
6.23250000000E+04	1.266995E-03	-8.640886E+01
6.41937500000E+04	1.186597E-03	-1.106748E+02
6.60625000000E+04	1.544056E-03	-3.177310E+01
6.79312500000E+04	5.620217E-04	-1.071270E+02
6.98000000000E+04	4.436765E-04	-1.776966E+01
7.16687500000E+04	6.906970E-04	-9.477586E+01
7.35375000000E+04	1.416441E-03	-8.640709E+01
7.54062500000E+04	1.262254E-03	-8.542963E+01
7.72750000000E+04	1.022383E-03	-5.646508E+01
7.91437500000E+04	1.277827E-03	-5.869096E+01
8.10125000000E+04	1.351690E-03	-8.544524E+01
8.28812500000E+04	1.282923E-03	-8.465261E+01
8.47500000000E+04	1.401490E-03	-6.871825E+01
8.66187500000E+04	1.510125E-03	-8.949392E+01
8.84875000000E+04	1.239216E-03	-7.551961E+01
9.03562500000E+04	1.237277E-03	-6.910999E+01
9.22250000000E+04	1.198194E-03	-9.899689E+01
9.40937500000E+04	1.392033E-03	-1.062165E+02
9.59625000000E+04	1.299137E-03	-8.877784E+01
9.78312500000E+04	1.715151E-03	-8.912994E+01
9.97000000000E+04	1.653563E-03	-1.006239E+02
1.01568750000E+05	1.683008E-03	-8.544931E+01
1.03437500000E+05	1.919565E-03	-1.066556E+02
1.05306250000E+05	1.582662E-03	-1.438499E+02
1.07175000000E+05	1.598564E-03	-8.708192E+01
1.09043750000E+05	1.602661E-03	-8.551958E+01
1.10912500000E+05	3.070270E-03	-1.097661E+02
