"E5100A REV3.14"
"DATE: Jul  1 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	4.498685E-02	-1.761354E+02
1.18687500000E+04	1.936523E-02	1.145656E+02
1.37375000000E+04	8.293957E-03	-8.421255E+01
1.56062500000E+04	1.506197E-03	-8.537791E+01
1.74750000000E+04	2.622541E-04	1.690862E+02
1.93437500000E+04	5.032441E-03	-4.910369E+01
2.12125000000E+04	1.873515E-03	2.408883E-02
2.30812500000E+04	2.945208E-03	-8.045150E+01
2.49500000000E+04	1.548636E-03	-6.178373E+01
2.68187500000E+04	7.484037E-04	-2.275886E+01
2.86875000000E+04	8.898473E-04	1.680189E+02
3.05562500000E+04	1.166223E-03	4.676407E+01
3.24250000000E+04	1.929111E-03	-2.572504E+01
3.42937500000E+04	1.644052E-03	-1.551694E+02
3.61625000000E+04	1.135383E-03	-1.753589E+02
3.80312500000E+04	9.633468E-04	8.505190E+01
3.99000000000E+04	9.703254E-04	1.298340E+02
4.17687500000E+04	5.289398E-04	-1.152441E+02
4.36375000000E+04	3.018618E-04	-1.648050E+02
4.55062500000E+04	3.025413E-04	-1.612593E+02
4.73750000000E+04	4.974339E-04	1.680477E+02
4.92437500000E+04	1.844446E-03	2.514691E+01
5.11125000000E+04	1.838155E-04	1.702835E+02
5.29812500000E+04	1.355341E-03	3.141043E+01
5.48500000000E+04	3.130671E-04	-1.437705E+02
5.67187500000E+04	2.947998E-04	-1.250552E+02
5.85875000000E+04	4.804385E-04	1.615634E+02
6.04562500000E+04	1.666461E-04	1.053205E+02
6.23250000000E+04	8.715919E-04	-7.991653E+01
6.41937500000E+04	2.584138E-04	-5.226066E+01
6.60625000000E+04	1.062542E-03	-6.675597E+01
6.79312500000E+04	7.264427E-04	-1.172995E+02
6.98000000000E+04	1.746028E-04	6.085613E+01
7.16687500000E+04	5.377783E-04	7.797478E+01
7.35375000000E+04	6.833496E-04	-1.483831E+01
7.54062500000E+04	4.947932E-04	-1.078356E+02
7.72750000000E+04	5.564994E-04	-8.331786E+01
7.91437500000E+04	6.843663E-04	-5.582749E+01
8.10125000000E+04	1.595415E-04	-1.542138E+02
8.28812500000E+04	5.759143E-04	-1.502338E+02
8.47500000000E+04	1.149534E-04	4.022686E+01
8.66187500000E+04	8.632111E-05	-6.665638E+01
8.84875000000E+04	1.967052E-04	1.761086E+02
9.03562500000E+04	6.112437E-04	-4.834029E+01
9.22250000000E+04	6.026513E-04	-1.030443E+02
9.40937500000E+04	5.343421E-04	-7.005190E+01
9.59625000000E+04	7.014982E-04	-1.029413E+02
9.78312500000E+04	3.777135E-04	-1.508892E+02
9.97000000000E+04	7.586079E-04	-8.045673E+01
1.01568750000E+05	5.032552E-04	-6.151585E+01
1.03437500000E+05	3.558435E-04	-6.245428E+01
1.05306250000E+05	1.201856E-03	-1.141290E+02
1.07175000000E+05	3.896562E-04	-3.390689E+01
1.09043750000E+05	2.844345E-04	-9.034807E+01
1.10912500000E+05	1.701922E-03	-1.747402E+02
1.12781250000E+05	4.439655E-04	-9.279182E+01
1.14650000000E+05	3.005247E-04	-6.983921E+01
1.16518750000E+05	5.066512E-04	-6.825610E+01
1.18387500000E+05	3.431455E-04	-1.021079E+02
1.20256250000E+05	1.625384E-04	1.114162E+01
1.22125000000E+05	5.411395E-04	-6.932906E+01
1.23993750000E+05	6.508410E-04	-9.320993E+01
1.25862500000E+05	5.483840E-04	-9.769975E+01
1.27731250000E+05	1.216744E-04	-8.981971E+01
1.29600000000E+05	6.185541E-04	-7.971886E+01
1.31468750000E+05	6.974763E-04	-9.540714E+01
1.33337500000E+05	5.286135E-04	-5.217218E+01
1.35206250000E+05	2.218787E-04	-8.276701E+01
1.37075000000E+05	1.322218E-04	1.529888E+02
1.38943750000E+05	9.550574E-04	-9.377769E+01
1.40812500000E+05	9.813176E-04	-8.959090E+01
1.42681250000E+05	6.655536E-04	-1.136615E+02
1.44550000000E+05	9.314396E-04	-8.366119E+01
1.46418750000E+05	5.444175E-04	-7.740005E+01
1.48287500000E+05	6.892854E-04	-1.029908E+02
1.50156250000E+05	4.779063E-04	-1.125480E+02
1.52025000000E+05	8.008383E-04	-8.995730E+01
1.53893750000E+05	1.846474E-04	-1.027298E+02
1.55762500000E+05	6.978859E-04	-1.148588E+02
1.57631250000E+05	3.466018E-04	-8.281745E+01
1.59500000000E+05	4.452727E-04	-7.897752E+01
1.61368750000E+05	4.403786E-04	-8.640925E+01
1.63237500000E+05	8.882773E-04	-8.584639E+01
1.65106250000E+05	6.806965E-04	-8.415489E+01
1.66975000000E+05	5.596610E-04	-9.673537E+01
1.68843750000E+05	4.773504E-04	-1.048436E+02
1.70712500000E+05	7.519312E-04	-6.889352E+01
1.72581250000E+05	7.816501E-04	-8.802872E+01
1.74450000000E+05	6.566424E-04	-1.124934E+02
1.76318750000E+05	7.645280E-04	-1.033848E+02
1.78187500000E+05	6.982291E-04	-8.152382E+01
1.80056250000E+05	7.092931E-04	-7.687009E+01
