"E5100A REV3.14"
"DATE: Jul  1 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	8.361598E-03	-9.494608E+01
1.18687500000E+04	2.142523E-02	1.176421E+02
1.37375000000E+04	1.176484E-02	-1.029252E+02
1.56062500000E+04	2.970245E-03	1.051473E+02
1.74750000000E+04	5.193628E-03	9.832881E+01
1.93437500000E+04	5.417227E-03	-8.950028E+01
2.12125000000E+04	1.379366E-03	5.409922E+01
2.30812500000E+04	2.134721E-03	-1.091373E+02
2.49500000000E+04	1.830620E-03	-9.262740E+01
2.68187500000E+04	1.533397E-03	6.847298E+01
2.86875000000E+04	2.074321E-03	8.943497E+00
3.05562500000E+04	9.629824E-04	-1.113740E+01
3.24250000000E+04	1.180823E-03	-1.601555E+02
3.42937500000E+04	4.997386E-04	1.024969E+02
3.61625000000E+04	1.664152E-03	-1.517026E+02
3.80312500000E+04	7.293453E-04	1.759423E+02
3.99000000000E+04	2.531695E-04	1.652949E+02
4.17687500000E+04	6.151101E-04	-3.208755E+01
4.36375000000E+04	4.911845E-04	5.250744E+01
4.55062500000E+04	1.178105E-03	3.415859E+01
4.73750000000E+04	6.109301E-04	-9.020853E+01
4.92437500000E+04	1.438258E-03	5.446701E+01
5.11125000000E+04	2.150799E-04	3.741903E+01
5.29812500000E+04	3.564812E-04	-1.242452E+01
5.48500000000E+04	5.168634E-04	-2.736606E+01
5.67187500000E+04	2.157986E-04	7.618793E+01
5.85875000000E+04	4.569288E-04	4.268016E+01
6.04562500000E+04	6.149309E-04	9.149774E+01
6.23250000000E+04	4.777413E-04	-8.306355E+01
6.41937500000E+04	9.750659E-04	-1.992436E+01
6.60625000000E+04	3.042531E-04	3.510524E+01
6.79312500000E+04	9.107287E-05	8.540476E+01
6.98000000000E+04	7.086114E-04	4.620566E+01
7.16687500000E+04	3.915504E-04	-1.605668E+02
7.35375000000E+04	3.965461E-04	-6.206117E+00
7.54062500000E+04	3.320018E-04	-5.875910E+01
7.72750000000E+04	2.113742E-04	6.282114E+01
7.91437500000E+04	6.163663E-04	-6.121085E+00
8.10125000000E+04	7.235979E-04	-2.918954E+01
8.28812500000E+04	1.073769E-04	-3.722445E+01
8.47500000000E+04	3.633122E-04	1.507069E+02
8.66187500000E+04	6.087236E-04	-1.412395E+02
8.84875000000E+04	6.937186E-04	1.393472E+02
9.03562500000E+04	1.246996E-04	-4.862267E+01
9.22250000000E+04	4.391324E-04	2.648670E+01
9.40937500000E+04	9.773950E-05	3.604606E+01
9.59625000000E+04	2.177262E-04	-1.560518E+01
9.78312500000E+04	3.472309E-04	1.426202E+02
9.97000000000E+04	1.768768E-04	5.016523E+01
1.01568750000E+05	4.813863E-04	-1.034066E+02
1.03437500000E+05	7.123802E-04	2.999217E+01
1.05306250000E+05	9.949028E-04	-1.499530E+02
1.07175000000E+05	2.178510E-04	1.233583E+02
1.09043750000E+05	3.160218E-04	1.497464E+02
1.10912500000E+05	1.318517E-03	-1.109056E+02
1.12781250000E+05	6.739940E-04	1.353124E+02
1.14650000000E+05	1.229242E-04	-6.814058E+01
1.16518750000E+05	3.954162E-04	1.174204E+02
1.18387500000E+05	4.265939E-04	2.937169E+01
1.20256250000E+05	4.992463E-04	2.123351E+01
1.22125000000E+05	2.994962E-04	2.789656E+01
1.23993750000E+05	2.343060E-04	1.405970E+02
1.25862500000E+05	2.894919E-04	3.087639E+01
1.27731250000E+05	3.213330E-04	5.476583E+01
1.29600000000E+05	3.565502E-04	4.003230E+01
1.31468750000E+05	3.606281E-04	9.546146E+01
1.33337500000E+05	3.983519E-04	1.575411E+02
1.35206250000E+05	1.289099E-04	-6.175703E+01
1.37075000000E+05	3.165376E-04	6.438628E+01
1.38943750000E+05	5.473432E-04	7.484604E+01
1.40812500000E+05	6.298549E-04	7.464747E+01
1.42681250000E+05	3.400065E-04	7.163625E+01
1.44550000000E+05	1.542631E-04	7.224374E+01
1.46418750000E+05	4.156674E-04	1.642271E+02
1.48287500000E+05	1.814045E-04	1.323145E+02
1.50156250000E+05	5.444961E-04	1.552600E+02
1.52025000000E+05	9.604837E-05	-6.944004E+01
1.53893750000E+05	3.760184E-04	7.834051E+01
1.55762500000E+05	3.396231E-04	2.187240E+01
1.57631250000E+05	1.918077E-04	1.676298E+02
1.59500000000E+05	5.072692E-04	6.559983E+01
1.61368750000E+05	3.816539E-04	3.548519E+01
1.63237500000E+05	3.774754E-04	1.117040E+02
1.65106250000E+05	3.830871E-04	1.579985E+02
1.66975000000E+05	4.516795E-04	1.065835E+02
1.68843750000E+05	4.184714E-04	1.417978E+02
1.70712500000E+05	6.244685E-04	1.013604E+02
1.72581250000E+05	5.195868E-04	1.252763E+02
1.74450000000E+05	2.239316E-04	6.001115E+01
1.76318750000E+05	1.383016E-04	-4.382091E+01
1.78187500000E+05	2.990674E-04	5.649348E+01
1.80056250000E+05	6.122880E-04	6.106299E+01
1.81925000000E+05	3.655120E-04	8.961626E+01
1.83793750000E+05	4.428743E-04	1.420765E+02
1.85662500000E+05	4.589843E-04	1.269309E+02
1.87531250000E+05	4.108496E-04	7.444369E+01
1.89400000000E+05	2.253737E-04	4.998134E+01
1.91268750000E+05	3.546014E-04	5.070166E+01
1.93137500000E+05	5.270067E-04	7.908681E+01
1.95006250000E+05	4.166707E-04	7.539332E+01
1.96875000000E+05	3.336383E-04	7.763906E+01
1.98743750000E+05	4.656852E-04	7.861255E+01
2.00612500000E+05	2.580922E-04	4.008580E+01
2.02481250000E+05	6.059009E-04	6.969830E+01
2.04350000000E+05	1.841087E-04	1.141728E+02
2.06218750000E+05	1.171974E-04	-1.691275E+02
2.08087500000E+05	6.543430E-04	8.053552E+01
2.09956250000E+05	1.275782E-04	1.729720E+02
2.11825000000E+05	6.783034E-04	7.810295E+01
2.13693750000E+05	2.346343E-04	1.434050E+02
2.15562500000E+05	5.556134E-04	6.999020E+01
