"E5100A REV3.14"
"DATE: Jul  1 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	9.830882E-03	1.618140E+02
1.18687500000E+04	2.044201E-02	-1.337138E+02
1.37375000000E+04	1.082701E-02	1.673925E+02
1.56062500000E+04	7.750256E-03	1.473604E+02
1.74750000000E+04	8.080372E-04	-1.236561E+02
1.93437500000E+04	3.110000E-03	1.566538E+02
2.12125000000E+04	1.144178E-03	1.387331E+02
2.30812500000E+04	1.783753E-03	5.985722E+01
2.49500000000E+04	2.900979E-03	1.801436E+01
2.68187500000E+04	7.351316E-04	3.554161E+01
2.86875000000E+04	1.178192E-04	-1.601592E+02
3.05562500000E+04	8.822720E-04	4.642358E+01
3.24250000000E+04	2.032886E-04	-4.607507E+01
3.42937500000E+04	5.461806E-04	1.177129E+02
3.61625000000E+04	4.241600E-04	-5.786069E+01
3.80312500000E+04	7.488235E-04	2.667873E+00
3.99000000000E+04	4.283894E-04	1.639115E+02
4.17687500000E+04	4.452240E-04	4.046377E+01
4.36375000000E+04	1.492326E-04	3.113884E+01
4.55062500000E+04	8.010232E-04	-1.525891E+02
4.73750000000E+04	3.824972E-04	-5.443996E+01
4.92437500000E+04	1.650946E-03	2.058389E+01
5.11125000000E+04	1.137217E-03	-1.111348E+02
5.29812500000E+04	2.499487E-04	-1.023078E+02
5.48500000000E+04	4.016569E-04	7.110637E+01
5.67187500000E+04	3.280994E-04	1.047193E+02
5.85875000000E+04	4.925264E-04	9.595211E+01
6.04562500000E+04	3.186855E-04	-6.082027E+01
6.23250000000E+04	2.474859E-04	1.373102E+02
6.41937500000E+04	5.768131E-04	3.159393E+01
6.60625000000E+04	6.732203E-04	6.841648E+01
6.79312500000E+04	8.623288E-04	4.972230E+01
6.98000000000E+04	5.108753E-04	-1.366801E+02
7.16687500000E+04	2.917691E-04	1.208903E+02
7.35375000000E+04	2.343074E-04	8.797500E+01
7.54062500000E+04	6.815803E-04	4.634799E+01
7.72750000000E+04	3.174251E-04	1.327494E+02
7.91437500000E+04	2.209271E-04	-6.851375E+01
8.10125000000E+04	5.662290E-04	5.612117E+01
8.28812500000E+04	2.065507E-04	3.432221E+01
8.47500000000E+04	6.509080E-04	1.141571E+02
8.66187500000E+04	4.378551E-04	-5.511348E+00
8.84875000000E+04	4.836462E-04	-5.428282E+01
9.03562500000E+04	1.010829E-04	-7.096657E+01
9.22250000000E+04	3.455335E-04	7.186230E+01
9.40937500000E+04	3.657462E-04	1.266136E+02
9.59625000000E+04	2.956386E-04	7.675787E+01
9.78312500000E+04	2.235157E-04	1.133943E+02
9.97000000000E+04	1.901341E-04	7.385976E+01
1.01568750000E+05	5.443383E-04	1.557444E+02
1.03437500000E+05	5.065876E-04	1.295906E+02
1.05306250000E+05	1.171875E-03	6.717063E+01
1.07175000000E+05	7.147192E-04	6.812641E+01
1.09043750000E+05	2.688190E-04	-7.699261E+01
1.10912500000E+05	1.754217E-03	2.344260E+01
1.12781250000E+05	4.664883E-04	-8.309883E+00
1.14650000000E+05	2.708675E-04	1.216306E+02
1.16518750000E+05	1.456907E-04	6.427251E+01
1.18387500000E+05	3.350652E-04	7.543336E+01
1.20256250000E+05	4.790832E-04	1.117385E+02
1.22125000000E+05	2.382803E-04	3.589439E+01
1.23993750000E+05	4.561264E-04	-1.661158E+01
1.25862500000E+05	7.737342E-04	4.413952E+01
1.27731250000E+05	2.541632E-04	6.202130E+01
1.29600000000E+05	4.167963E-04	9.538578E+01
1.31468750000E+05	5.674678E-04	4.645144E+01
1.33337500000E+05	4.689195E-04	4.067377E+01
1.35206250000E+05	5.944524E-04	7.427952E+01
1.37075000000E+05	8.024515E-04	7.792558E+01
1.38943750000E+05	6.695160E-04	1.032112E+02
1.40812500000E+05	7.221110E-04	7.703584E+01
1.42681250000E+05	3.017548E-04	7.704277E+01
1.44550000000E+05	5.019776E-04	1.714901E+01
1.46418750000E+05	5.917707E-04	5.296771E+01
1.48287500000E+05	2.823578E-04	1.432716E+02
1.50156250000E+05	2.087667E-04	7.213741E+01
1.52025000000E+05	3.486712E-04	1.123839E+02
1.53893750000E+05	4.349175E-04	9.790118E+01
1.55762500000E+05	2.226149E-04	4.883056E+01
1.57631250000E+05	7.741813E-04	8.119733E+01
1.59500000000E+05	4.696462E-05	1.406986E+02
1.61368750000E+05	3.178611E-04	9.293544E+01
1.63237500000E+05	2.380557E-04	1.158732E+01
1.65106250000E+05	7.003819E-04	1.095454E+02
1.66975000000E+05	7.605903E-04	4.866556E+01
1.68843750000E+05	3.027942E-04	9.768974E+01
1.70712500000E+05	4.087497E-04	8.217180E+01
1.72581250000E+05	7.869315E-04	6.622507E+01
1.74450000000E+05	7.122697E-04	1.239702E+02
1.76318750000E+05	7.122674E-04	9.496542E+01
1.78187500000E+05	4.933652E-04	5.929895E+01
1.80056250000E+05	7.996176E-04	7.293283E+01
1.81925000000E+05	8.118740E-04	7.924834E+01
1.83793750000E+05	4.219193E-04	1.746038E+02
1.85662500000E+05	3.622564E-04	8.353033E+01
1.87531250000E+05	7.790367E-04	9.144331E+01
1.89400000000E+05	3.615784E-04	3.939573E+01
1.91268750000E+05	6.373060E-04	6.505507E+01
1.93137500000E+05	7.423467E-04	8.451887E+01
1.95006250000E+05	4.221065E-04	9.425256E+01
1.96875000000E+05	3.804624E-04	6.369272E+01
1.98743750000E+05	6.682866E-04	5.488260E+01
2.00612500000E+05	8.768394E-04	8.206806E+01
2.02481250000E+05	7.478844E-04	1.081671E+02
2.04350000000E+05	6.417313E-04	7.333685E+01
2.06218750000E+05	6.426431E-04	9.186595E+01
2.08087500000E+05	4.929047E-04	3.368000E+01
2.09956250000E+05	5.717564E-04	9.867128E+01
2.11825000000E+05	5.989557E-04	7.422494E+01
2.13693750000E+05	5.299873E-04	1.037402E+02
2.15562500000E+05	4.807095E-04	5.440682E+01
2.17431250000E+05	6.123524E-04	7.643533E+01
2.19300000000E+05	8.144167E-04	9.457455E+01
2.21168750000E+05	3.115959E-04	7.616801E+01
2.23037500000E+05	7.822043E-04	7.233917E+01
2.24906250000E+05	6.745995E-04	8.346567E+01
2.26775000000E+05	1.997172E-04	1.122803E+02
2.28643750000E+05	7.763117E-04	1.053366E+02
2.30512500000E+05	6.044113E-04	9.332442E+01
2.32381250000E+05	8.566040E-04	7.503761E+01
2.34250000000E+05	5.631141E-04	1.125177E+02
2.36118750000E+05	6.870404E-04	8.762270E+01
2.37987500000E+05	4.714368E-04	5.702847E+01
2.39856250000E+05	6.629509E-04	6.712354E+01
2.41725000000E+05	9.133252E-04	8.021063E+01
2.43593750000E+05	5.292890E-04	9.498122E+01
2.45462500000E+05	3.909421E-04	4.121888E+01
2.47331250000E+05	7.260158E-04	5.961637E+01
2.49200000000E+05	9.281501E-04	8.851054E+01
2.51068750000E+05	4.444543E-04	5.602318E+01
2.52937500000E+05	8.684149E-04	9.509361E+01
2.54806250000E+05	7.279117E-04	9.390824E+01
2.56675000000E+05	4.462688E-04	7.440965E+01
2.58543750000E+05	6.963201E-04	9.260609E+01
2.60412500000E+05	5.595397E-04	8.251744E+01
2.62281250000E+05	7.472147E-04	7.071250E+01
2.64150000000E+05	6.479050E-04	9.839484E+01
2.66018750000E+05	7.305582E-04	9.858871E+01
2.67887500000E+05	1.070330E-03	8.509658E+01
2.69756250000E+05	8.083418E-04	6.955424E+01
2.71625000000E+05	3.089409E-04	8.230685E+01
2.73493750000E+05	8.468937E-04	7.890726E+01
2.75362500000E+05	8.300992E-04	8.955769E+01
2.77231250000E+05	9.468106E-04	8.444454E+01
2.79100000000E+05	6.377038E-04	7.112937E+01
2.80968750000E+05	7.777096E-04	8.776394E+01
2.82837500000E+05	6.514283E-04	8.685089E+01
2.84706250000E+05	8.287799E-04	6.271539E+01
2.86575000000E+05	9.638558E-04	8.877499E+01
2.88443750000E+05	4.163285E-04	6.012190E+01
2.90312500000E+05	7.939464E-04	8.971495E+01
2.92181250000E+05	1.097948E-03	8.169559E+01
2.94050000000E+05	1.069341E-03	7.573042E+01
2.95918750000E+05	7.337094E-04	9.570473E+01
2.97787500000E+05	6.282265E-04	9.166963E+01
2.99656250000E+05	6.316371E-04	9.049843E+01
3.01525000000E+05	9.143854E-04	8.355173E+01
3.03393750000E+05	6.718474E-04	1.015376E+02
3.05262500000E+05	8.291206E-04	8.121770E+01
3.07131250000E+05	8.281635E-04	7.528656E+01
3.09000000000E+05	7.598178E-04	8.781548E+01
3.10868750000E+05	1.081096E-03	9.303174E+01
3.12737500000E+05	1.177912E-03	8.642680E+01
3.14606250000E+05	6.608739E-04	7.493733E+01
3.16475000000E+05	7.080970E-04	9.131772E+01
