"E5100A REV3.14"
"DATE: Jul  1 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	4.717897E-02	1.120178E+02
1.18687500000E+04	3.882206E-03	-4.962432E+01
1.37375000000E+04	8.662592E-03	1.569437E+01
1.56062500000E+04	1.299309E-02	-6.829496E+01
1.74750000000E+04	4.830349E-03	1.480650E+02
1.93437500000E+04	2.829551E-03	5.474595E+01
2.12125000000E+04	4.904113E-03	9.542048E+01
2.30812500000E+04	7.932783E-04	1.284754E+02
2.49500000000E+04	1.835398E-03	2.838463E+01
2.68187500000E+04	7.413596E-04	-5.090509E+01
2.86875000000E+04	2.409584E-03	3.158508E+01
3.05562500000E+04	2.537697E-03	-1.415502E+02
3.24250000000E+04	1.900940E-03	-7.047716E+01
3.42937500000E+04	5.563341E-04	-1.048702E+02
3.61625000000E+04	1.642137E-03	-5.148750E+01
3.80312500000E+04	1.754724E-03	-8.991042E+01
3.99000000000E+04	1.690424E-03	-9.446164E+01
4.17687500000E+04	1.557326E-03	-1.186154E+02
4.36375000000E+04	7.982904E-04	-8.026637E+01
4.55062500000E+04	1.493603E-04	-4.577351E+01
4.73750000000E+04	1.516624E-03	-1.381329E+02
4.92437500000E+04	1.175487E-03	-1.046222E+02
5.11125000000E+04	1.191283E-03	-1.335585E+02
5.29812500000E+04	8.203555E-04	-1.037417E+02
5.48500000000E+04	7.126966E-04	-6.513644E+01
5.67187500000E+04	1.226993E-03	-8.583878E+01
5.85875000000E+04	7.983438E-04	-6.647505E+01
6.04562500000E+04	1.352481E-03	-1.181889E+02
6.23250000000E+04	1.072648E-03	-8.667178E+01
6.41937500000E+04	1.756217E-03	-7.420102E+01
6.60625000000E+04	2.195691E-03	-7.301981E+01
6.79312500000E+04	1.162092E-03	-9.725761E+01
6.98000000000E+04	1.037296E-03	-6.228949E+01
7.16687500000E+04	5.690622E-04	-7.784782E+01
7.35375000000E+04	1.588228E-03	-8.409949E+01
7.54062500000E+04	1.714728E-03	-9.458663E+01
7.72750000000E+04	7.844798E-04	-7.465576E+01
7.91437500000E+04	1.153538E-03	-9.517619E+01
8.10125000000E+04	1.277584E-03	-1.072769E+02
8.28812500000E+04	1.939338E-03	-8.826640E+01
8.47500000000E+04	1.755697E-03	-1.060995E+02
8.66187500000E+04	1.484933E-03	-9.551199E+01
8.84875000000E+04	2.076681E-03	-8.626236E+01
9.03562500000E+04	1.694259E-03	-9.108786E+01
9.22250000000E+04	1.958523E-03	-9.599651E+01
9.40937500000E+04	1.814959E-03	-9.153521E+01
9.59625000000E+04	1.873300E-03	-7.849814E+01
9.78312500000E+04	1.828125E-03	-8.791321E+01
9.97000000000E+04	1.497042E-03	-1.021992E+02
1.01568750000E+05	1.781887E-03	-8.573892E+01
1.03437500000E+05	1.539620E-03	-6.631080E+01
1.05306250000E+05	3.254175E-03	-8.552370E+01
1.07175000000E+05	1.626494E-03	-1.050346E+02
1.09043750000E+05	1.895862E-03	-9.273197E+01
1.10912500000E+05	3.692635E-03	-9.461024E+01
1.12781250000E+05	2.044576E-03	-9.018185E+01
1.14650000000E+05	2.328718E-03	-7.772189E+01
1.16518750000E+05	1.913973E-03	-9.017336E+01
1.18387500000E+05	1.681209E-03	-9.488403E+01
1.20256250000E+05	2.249512E-03	-9.768497E+01
1.22125000000E+05	2.059324E-03	-8.031400E+01
1.23993750000E+05	2.181087E-03	-9.809750E+01
1.25862500000E+05	2.376340E-03	-8.055979E+01
1.27731250000E+05	2.289476E-03	-8.733540E+01
1.29600000000E+05	2.188460E-03	-9.369201E+01
1.31468750000E+05	2.324157E-03	-1.015143E+02
1.33337500000E+05	2.091972E-03	-7.599571E+01
1.35206250000E+05	2.477817E-03	-9.572473E+01
1.37075000000E+05	2.464977E-03	-9.838001E+01
1.38943750000E+05	2.509129E-03	-9.100481E+01
1.40812500000E+05	2.492866E-03	-9.152278E+01
1.42681250000E+05	2.690166E-03	-8.504388E+01
1.44550000000E+05	2.366432E-03	-9.074352E+01
1.46418750000E+05	2.347857E-03	-8.841689E+01
1.48287500000E+05	2.498052E-03	-8.973280E+01
1.50156250000E+05	2.534660E-03	-8.488300E+01
1.52025000000E+05	3.373356E-03	-9.273724E+01
1.53893750000E+05	2.765770E-03	-9.535903E+01
1.55762500000E+05	2.780427E-03	-9.044133E+01
1.57631250000E+05	2.862899E-03	-8.845473E+01
1.59500000000E+05	2.802664E-03	-8.382894E+01
1.61368750000E+05	2.814070E-03	-8.813263E+01
1.63237500000E+05	2.727470E-03	-8.665297E+01
1.65106250000E+05	2.880098E-03	-9.655864E+01
1.66975000000E+05	2.921854E-03	-8.784499E+01
1.68843750000E+05	3.115070E-03	-9.154372E+01
1.70712500000E+05	3.227380E-03	-9.344173E+01
1.72581250000E+05	3.063559E-03	-8.140247E+01
1.74450000000E+05	3.052746E-03	-8.713297E+01
1.76318750000E+05	3.088671E-03	-8.745653E+01
1.78187500000E+05	2.980508E-03	-9.036681E+01
1.80056250000E+05	3.280533E-03	-8.245561E+01
1.81925000000E+05	3.250835E-03	-9.222213E+01
1.83793750000E+05	3.365624E-03	-9.672787E+01
1.85662500000E+05	3.422841E-03	-8.996733E+01
1.87531250000E+05	3.182590E-03	-8.901394E+01
1.89400000000E+05	2.926244E-03	-8.524065E+01
1.91268750000E+05	3.255551E-03	-8.958479E+01
1.93137500000E+05	3.296500E-03	-8.912328E+01
1.95006250000E+05	3.436243E-03	-8.841138E+01
