"E5100A REV3.14"
"DATE: Jul  1 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	3.774898E-02	-1.012110E+02
1.18687500000E+04	1.269956E-02	1.599183E+02
1.37375000000E+04	9.839314E-03	3.082774E+01
1.56062500000E+04	5.289178E-03	1.597178E+02
1.74750000000E+04	3.656553E-03	-1.571891E+02
1.93437500000E+04	6.020318E-03	9.215229E+01
2.12125000000E+04	1.404427E-03	-1.151949E+02
2.30812500000E+04	1.258483E-03	-3.804569E+01
2.49500000000E+04	2.464865E-03	-1.378230E+01
2.68187500000E+04	1.057687E-03	4.581968E+01
2.86875000000E+04	6.652929E-04	-1.459225E+02
3.05562500000E+04	1.148251E-03	1.731839E+02
3.24250000000E+04	1.870894E-03	4.606052E+01
3.42937500000E+04	7.914107E-04	1.292502E+02
3.61625000000E+04	1.648563E-03	-2.288948E+01
3.80312500000E+04	1.198089E-03	1.632247E+02
3.99000000000E+04	6.531175E-04	-1.422200E+02
4.17687500000E+04	1.102806E-04	-2.958996E+01
4.36375000000E+04	6.414763E-04	-3.293823E+01
4.55062500000E+04	1.265470E-03	4.353448E+01
4.73750000000E+04	6.811827E-04	9.529226E+01
4.92437500000E+04	8.664870E-04	-4.562904E+01
5.11125000000E+04	3.316411E-04	1.053726E+02
5.29812500000E+04	6.133780E-04	1.288374E+02
5.48500000000E+04	5.114894E-04	-8.185632E+01
5.67187500000E+04	2.519420E-04	1.048531E+02
5.85875000000E+04	1.480176E-04	3.058587E+01
6.04562500000E+04	7.082519E-04	1.148375E+02
6.23250000000E+04	2.549739E-04	1.141946E+02
6.41937500000E+04	1.540982E-04	1.327791E+02
6.60625000000E+04	1.342163E-03	7.316153E+01
6.79312500000E+04	5.569361E-04	1.560428E+02
6.98000000000E+04	1.115307E-04	4.809059E+01
7.16687500000E+04	1.098707E-04	1.084939E+01
7.35375000000E+04	9.068379E-04	1.134248E+02
