"E5100A REV3.14"
"DATE: Jul  1 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	2.340503E-02	-1.649506E+02
1.18687500000E+04	2.261428E-02	6.070799E+01
1.37375000000E+04	1.757877E-02	-1.330851E+02
1.56062500000E+04	8.266625E-03	-6.109903E+01
1.74750000000E+04	7.217524E-03	-1.384408E+02
1.93437500000E+04	4.747302E-03	2.898786E+01
2.12125000000E+04	1.395653E-03	1.100399E+02
2.30812500000E+04	2.887151E-03	4.933126E+01
2.49500000000E+04	4.268747E-04	4.323858E+01
2.68187500000E+04	2.106271E-03	6.037299E+00
2.86875000000E+04	4.941315E-04	3.800704E+00
3.05562500000E+04	5.900969E-04	-1.527001E+02
3.24250000000E+04	3.241328E-03	1.570744E+02
3.42937500000E+04	2.023274E-03	-7.397724E+01
3.61625000000E+04	6.449134E-04	1.269738E+02
3.80312500000E+04	2.927220E-04	-7.586926E+01
3.99000000000E+04	5.767214E-04	7.488714E+01
4.17687500000E+04	8.548152E-04	-1.613274E+01
4.36375000000E+04	7.326230E-04	-8.288072E+01
4.55062500000E+04	4.857749E-04	-8.219072E+01
4.73750000000E+04	1.149403E-03	1.573328E+02
4.92437500000E+04	4.949070E-04	-1.444876E+02
5.11125000000E+04	1.198788E-03	-4.129668E+01
5.29812500000E+04	5.162749E-04	1.166409E+02
5.48500000000E+04	6.438774E-04	-1.325989E+01
5.67187500000E+04	7.253474E-05	3.575767E+01
5.85875000000E+04	2.975086E-04	-3.451075E+01
6.04562500000E+04	6.619960E-04	1.777766E+02
6.23250000000E+04	3.735046E-04	-9.607877E+01
6.41937500000E+04	8.035201E-04	1.014352E+02
6.60625000000E+04	7.700134E-04	1.075500E+02
6.79312500000E+04	1.335597E-03	2.138593E+01
6.98000000000E+04	1.742281E-04	1.468251E+02
7.16687500000E+04	4.762321E-05	9.478455E+01
7.35375000000E+04	4.256519E-04	8.196040E+01
7.54062500000E+04	2.507862E-04	-1.115523E+02
7.72750000000E+04	3.745974E-04	-1.114703E+02
7.91437500000E+04	2.436574E-04	-1.128064E+02
8.10125000000E+04	1.547252E-04	-1.487766E+02
8.28812500000E+04	4.541317E-04	-2.785560E+01
8.47500000000E+04	8.744964E-04	3.144435E+01
8.66187500000E+04	3.114023E-04	1.319096E+02
8.84875000000E+04	2.004800E-04	-3.513453E+01
9.03562500000E+04	2.240202E-04	1.438947E+02
9.22250000000E+04	6.278721E-04	8.205232E+01
9.40937500000E+04	2.514541E-04	-5.432684E+01
9.59625000000E+04	1.157715E-04	-1.466785E+02
9.78312500000E+04	2.188403E-04	8.231294E+01
9.97000000000E+04	8.094957E-04	9.678978E+01
1.01568750000E+05	4.588289E-04	6.733872E+01
1.03437500000E+05	2.617550E-04	8.187700E+01
1.05306250000E+05	7.766698E-04	-1.524974E+02
1.07175000000E+05	6.146611E-04	7.280563E+01
1.09043750000E+05	2.233198E-04	2.192455E+01
1.10912500000E+05	1.732425E-03	-4.070293E+01
1.12781250000E+05	1.252550E-04	1.235171E+02
1.14650000000E+05	1.868701E-04	-1.606001E+02
1.16518750000E+05	3.593433E-04	4.385051E+01
1.18387500000E+05	4.867824E-04	-4.329042E+01
1.20256250000E+05	3.339347E-04	6.463070E+01
1.22125000000E+05	5.131812E-04	8.276987E+01
1.23993750000E+05	3.744255E-04	-1.144426E+01
1.25862500000E+05	3.282971E-04	-5.265558E+01
1.27731250000E+05	2.578132E-04	1.476137E+02
1.29600000000E+05	5.109935E-04	1.557151E+02
1.31468750000E+05	2.276767E-04	-1.644128E+02
1.33337500000E+05	2.493149E-04	-8.629483E+01
1.35206250000E+05	3.463683E-04	7.195804E+00
1.37075000000E+05	4.169194E-04	-1.051028E+02
1.38943750000E+05	1.938216E-04	9.387519E+01
1.40812500000E+05	2.142409E-04	1.018407E+02
1.42681250000E+05	2.304389E-04	1.478505E+02
1.44550000000E+05	5.642538E-05	1.195524E+02
1.46418750000E+05	2.358089E-04	1.421968E+02
1.48287500000E+05	3.088437E-04	6.841328E+01
1.50156250000E+05	1.663230E-04	5.858179E+00
1.52025000000E+05	1.830815E-04	9.536788E+01
1.53893750000E+05	3.669283E-04	-1.391596E+02
1.55762500000E+05	1.201630E-04	2.635533E+01
1.57631250000E+05	3.373555E-04	2.293434E+01
1.59500000000E+05	1.904094E-04	-7.579866E+01
1.61368750000E+05	1.174452E-04	-2.717262E+01
1.63237500000E+05	2.457598E-04	9.076417E+01
1.65106250000E+05	3.001789E-04	8.865391E+01
1.66975000000E+05	2.341269E-04	5.605253E+01
1.68843750000E+05	3.417347E-04	1.373320E+02
1.70712500000E+05	2.943046E-04	1.352334E+02
1.72581250000E+05	6.184404E-04	1.510207E+02
1.74450000000E+05	2.318257E-04	-1.772033E+02
1.76318750000E+05	2.715574E-04	1.366646E+02
1.78187500000E+05	1.178825E-04	1.700050E+02
1.80056250000E+05	1.278091E-04	1.435827E+02
1.81925000000E+05	4.394351E-04	6.694200E+01
1.83793750000E+05	2.057811E-04	1.105288E+02
1.85662500000E+05	2.215005E-04	1.268424E+02
1.87531250000E+05	2.781288E-04	4.642146E+01
1.89400000000E+05	3.534356E-04	2.258933E+00
1.91268750000E+05	4.272077E-04	8.675735E+01
1.93137500000E+05	6.630275E-05	-8.094759E+01
1.95006250000E+05	3.052696E-04	1.204338E+02
1.96875000000E+05	2.518597E-04	2.956290E+01
1.98743750000E+05	5.099199E-04	8.345747E+01
2.00612500000E+05	1.032704E-04	1.320495E+02
2.02481250000E+05	7.235642E-05	1.129739E+02
2.04350000000E+05	2.784216E-04	-1.168614E+02
2.06218750000E+05	2.789451E-04	9.132816E+01
2.08087500000E+05	3.419170E-04	6.972778E+01
2.09956250000E+05	5.775997E-04	1.220615E+02
2.11825000000E+05	2.976080E-04	1.118535E+02
2.13693750000E+05	2.240310E-04	-4.076856E+00
2.15562500000E+05	1.984986E-04	1.065894E+02
2.17431250000E+05	4.589587E-04	1.279423E+02
2.19300000000E+05	3.668505E-04	1.272642E+02
2.21168750000E+05	5.491118E-04	5.650877E+01
2.23037500000E+05	2.561629E-04	1.265901E+02
2.24906250000E+05	9.487716E-05	-6.107854E+00
2.26775000000E+05	3.858136E-04	1.367927E+02
2.28643750000E+05	3.759499E-04	-8.562197E+01
2.30512500000E+05	3.839206E-04	1.227100E+02
2.32381250000E+05	3.241816E-04	8.258505E+01
2.34250000000E+05	3.816082E-04	9.910820E+01
2.36118750000E+05	3.323360E-04	1.315090E+02
2.37987500000E+05	1.875242E-04	4.489101E+01
2.39856250000E+05	2.444767E-04	1.281720E+02
2.41725000000E+05	1.980133E-04	1.292264E+02
2.43593750000E+05	6.031013E-04	1.025407E+02
2.45462500000E+05	6.715365E-04	8.243122E+01
2.47331250000E+05	3.270693E-04	7.708382E+01
2.49200000000E+05	1.893324E-04	1.581494E+02
2.51068750000E+05	1.889434E-04	-1.437416E+02
2.52937500000E+05	2.234197E-04	1.141386E+02
2.54806250000E+05	5.101824E-04	1.284764E+02
2.56675000000E+05	5.229040E-04	8.652956E+01
2.58543750000E+05	2.826020E-04	9.516285E+01
2.60412500000E+05	4.700618E-04	9.914963E+01
2.62281250000E+05	3.517834E-04	9.713618E+01
2.64150000000E+05	3.995225E-04	1.156877E+02
2.66018750000E+05	2.130212E-04	1.263132E+02
2.67887500000E+05	1.451612E-04	7.871542E+01
2.69756250000E+05	4.321113E-04	8.085491E+01
2.71625000000E+05	1.342137E-04	6.253117E+01
2.73493750000E+05	4.630075E-04	1.315611E+02
2.75362500000E+05	3.709574E-04	1.054900E+02
2.77231250000E+05	2.114771E-04	3.205125E+01
2.79100000000E+05	4.602749E-04	9.945640E+01
2.80968750000E+05	1.017545E-04	1.284424E+02
2.82837500000E+05	2.397493E-04	1.356029E+02
2.84706250000E+05	3.218630E-04	1.265943E+02
2.86575000000E+05	4.586238E-04	1.311325E+02
