"E5100A REV3.14"
"DATE: Jul  1 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	2.076228E-02	-1.221421E+02
1.18687500000E+04	1.123813E-02	-6.344466E+01
1.37375000000E+04	1.161818E-02	-1.005225E+02
1.56062500000E+04	2.264287E-03	1.622230E+02
1.74750000000E+04	3.768149E-03	1.697959E+02
1.93437500000E+04	5.472737E-03	1.652500E+02
2.12125000000E+04	2.370065E-03	9.397198E+01
2.30812500000E+04	2.477644E-03	1.249619E+02
2.49500000000E+04	1.865459E-03	9.664243E+01
2.68187500000E+04	1.480729E-03	3.790583E+01
2.86875000000E+04	5.199268E-04	-9.581329E+01
3.05562500000E+04	1.438173E-03	1.070456E+00
3.24250000000E+04	1.114662E-03	-1.681888E+02
3.42937500000E+04	5.772536E-04	4.761198E+01
3.61625000000E+04	7.726063E-04	1.019546E+02
3.80312500000E+04	1.637041E-03	-3.364317E+01
3.99000000000E+04	1.188151E-03	1.353775E+02
4.17687500000E+04	9.845122E-04	1.384387E+02
4.36375000000E+04	3.197075E-04	1.769167E+02
4.55062500000E+04	1.154973E-03	1.385100E+02
4.73750000000E+04	1.208932E-03	4.351807E+01
4.92437500000E+04	1.181181E-03	1.417479E+01
5.11125000000E+04	1.100335E-03	8.518414E+01
5.29812500000E+04	2.983345E-04	-1.682713E+02
5.48500000000E+04	4.256973E-04	8.831100E+01
5.67187500000E+04	1.245144E-03	7.664177E+01
5.85875000000E+04	1.533955E-03	9.104928E+01
6.04562500000E+04	8.210107E-04	8.501875E+01
6.23250000000E+04	1.419967E-03	6.568221E+01
6.41937500000E+04	2.022030E-03	6.968578E+01
6.60625000000E+04	8.896368E-04	7.977090E+01
6.79312500000E+04	8.866204E-04	7.414198E+01
6.98000000000E+04	1.193749E-03	1.037643E+02
7.16687500000E+04	1.252010E-03	9.037712E+01
7.35375000000E+04	1.442907E-03	7.117104E+01
7.54062500000E+04	1.356738E-03	7.790948E+01
7.72750000000E+04	1.043182E-03	8.103188E+01
7.91437500000E+04	1.067714E-03	8.045815E+01
8.10125000000E+04	1.221561E-03	8.150741E+01
8.28812500000E+04	1.461803E-03	7.872095E+01
8.47500000000E+04	9.214425E-04	1.111841E+02
8.66187500000E+04	1.344379E-03	6.969125E+01
8.84875000000E+04	4.697187E-04	7.284372E+01
