"E5100A REV3.14"
"DATE: Jul  1 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	2.518451E-02	-6.459753E+01
1.18687500000E+04	1.038757E-02	3.610069E+01
1.37375000000E+04	2.465640E-03	-9.978455E+01
1.56062500000E+04	6.104224E-03	1.757603E+02
1.74750000000E+04	7.284786E-03	-9.899654E+01
1.93437500000E+04	5.709185E-03	-6.489363E+01
2.12125000000E+04	2.684482E-03	4.828174E-01
2.30812500000E+04	1.329211E-03	1.035916E+02
2.49500000000E+04	1.044804E-03	-5.758653E+01
2.68187500000E+04	5.571082E-04	-8.993097E+01
2.86875000000E+04	1.950749E-03	1.770289E+02
3.05562500000E+04	2.833677E-03	1.041867E+01
3.24250000000E+04	1.167317E-03	3.190903E+01
3.42937500000E+04	1.454935E-03	4.948096E+01
3.61625000000E+04	5.274100E-04	6.088626E+01
3.80312500000E+04	1.032599E-03	1.280938E+02
3.99000000000E+04	7.606380E-05	-1.986949E+01
4.17687500000E+04	5.236886E-04	-1.329667E+02
4.36375000000E+04	2.001355E-04	-1.575378E+02
4.55062500000E+04	5.873865E-04	-8.687073E+01
4.73750000000E+04	2.393578E-04	3.299705E+00
4.92437500000E+04	7.508514E-04	-1.668644E+02
5.11125000000E+04	5.164776E-04	-1.100761E+01
5.29812500000E+04	5.233231E-04	-9.530169E+01
5.48500000000E+04	3.853760E-04	1.650406E+02
5.67187500000E+04	1.663308E-04	-5.336858E+01
5.85875000000E+04	7.760256E-04	-7.878983E+01
6.04562500000E+04	5.794521E-04	-4.438362E+01
6.23250000000E+04	2.841683E-04	-9.403530E+00
6.41937500000E+04	1.431072E-04	-8.492451E+01
6.60625000000E+04	1.227072E-04	7.925680E+01
6.79312500000E+04	6.743282E-04	4.889924E+00
6.98000000000E+04	1.537806E-04	1.477674E+02
7.16687500000E+04	6.176926E-04	-1.316620E+02
7.35375000000E+04	4.683502E-04	-7.169558E+01
7.54062500000E+04	9.406513E-05	-4.816282E+01
7.72750000000E+04	5.529190E-04	-1.752747E+02
7.91437500000E+04	4.486447E-04	-1.363046E+02
8.10125000000E+04	3.198927E-04	-1.609103E+02
8.28812500000E+04	6.466842E-04	-1.135663E+02
8.47500000000E+04	4.316813E-04	9.306575E+01
8.66187500000E+04	2.249134E-04	-1.114395E+02
8.84875000000E+04	3.962451E-04	4.594459E+00
9.03562500000E+04	1.777396E-04	1.341616E+02
9.22250000000E+04	4.633133E-04	-1.290998E+02
9.40937500000E+04	2.616590E-04	-9.755010E+00
9.59625000000E+04	2.087374E-04	1.504362E+02
9.78312500000E+04	5.762829E-04	-6.933545E+01
9.97000000000E+04	3.618887E-04	-1.690943E+02
1.01568750000E+05	3.026456E-04	-1.116596E+02
1.03437500000E+05	2.477931E-04	6.273645E+01
1.05306250000E+05	1.437016E-03	-3.785393E+01
1.07175000000E+05	2.161643E-04	-3.519165E+01
1.09043750000E+05	1.305696E-04	9.193950E+00
1.10912500000E+05	1.445383E-03	2.494929E+01
1.12781250000E+05	1.129789E-04	-1.691716E+02
1.14650000000E+05	2.838469E-04	-6.548143E+01
1.16518750000E+05	3.137964E-04	-2.225395E+01
1.18387500000E+05	4.807896E-04	-7.116428E+01
1.20256250000E+05	2.249071E-04	-1.188930E+02
1.22125000000E+05	6.376806E-04	-1.950548E+01
1.23993750000E+05	8.484493E-04	-1.009422E+02
1.25862500000E+05	8.476290E-04	-6.357026E+01
1.27731250000E+05	7.578683E-05	-4.992721E+01
1.29600000000E+05	3.451220E-04	-6.502182E+01
1.31468750000E+05	3.809165E-04	-3.975443E+01
1.33337500000E+05	6.186924E-04	-8.995341E+01
1.35206250000E+05	3.021185E-04	-6.375857E+01
1.37075000000E+05	1.917210E-04	-5.514369E+01
1.38943750000E+05	2.809385E-04	-2.692357E+01
1.40812500000E+05	1.460872E-04	-2.993292E+01
1.42681250000E+05	3.229028E-04	2.357724E+01
1.44550000000E+05	3.437847E-04	-4.300762E+01
1.46418750000E+05	3.381982E-04	-2.282051E+01
1.48287500000E+05	5.225048E-04	-1.597061E+02
1.50156250000E+05	7.285296E-04	-8.357885E+01
1.52025000000E+05	3.565266E-04	-7.995277E+01
1.53893750000E+05	4.609040E-04	-7.013684E+01
1.55762500000E+05	7.539515E-04	-8.812580E+01
1.57631250000E+05	1.812604E-04	-1.154164E+02
1.59500000000E+05	5.922088E-04	-6.268824E+01
1.61368750000E+05	5.551178E-04	-9.592740E+01
1.63237500000E+05	2.841661E-04	-5.196354E+01
1.65106250000E+05	4.430460E-04	-1.035334E+02
1.66975000000E+05	4.800612E-04	-4.361963E+01
1.68843750000E+05	4.273162E-04	-3.795226E+01
1.70712500000E+05	2.925869E-04	-7.183978E+01
1.72581250000E+05	4.573786E-04	-6.672105E+01
1.74450000000E+05	6.072430E-04	-4.597462E+01
1.76318750000E+05	4.400605E-05	-2.481983E+01
1.78187500000E+05	1.056598E-04	-9.944153E+00
1.80056250000E+05	2.654196E-04	-1.144111E+02
1.81925000000E+05	2.674145E-04	-1.208052E+02
1.83793750000E+05	6.306607E-04	-1.678551E+01
1.85662500000E+05	2.435937E-04	9.787209E+01
1.87531250000E+05	3.090794E-04	-1.321879E+02
1.89400000000E+05	6.114061E-04	-8.490620E+01
1.91268750000E+05	4.406399E-04	-8.788564E+01
1.93137500000E+05	3.617100E-04	-1.079152E+02
1.95006250000E+05	1.729496E-04	-5.418537E+01
1.96875000000E+05	5.019117E-04	-6.068061E+01
1.98743750000E+05	4.382548E-04	-8.484509E+01
2.00612500000E+05	4.707863E-04	-5.693187E+01
2.02481250000E+05	4.768847E-04	-9.360935E+01
2.04350000000E+05	4.989938E-04	-1.132689E+02
2.06218750000E+05	1.823033E-04	-4.610700E+01
2.08087500000E+05	1.745013E-04	-1.067000E+02
2.09956250000E+05	2.607926E-04	-1.077236E+02
2.11825000000E+05	7.433453E-04	-8.196815E+01
2.13693750000E+05	6.581056E-04	-2.595948E+01
2.15562500000E+05	2.115150E-04	-7.808319E+01
2.17431250000E+05	4.542984E-04	-7.408172E+01
2.19300000000E+05	4.872511E-04	-8.245436E+01
2.21168750000E+05	4.633266E-04	-7.088176E+01
2.23037500000E+05	3.309981E-04	-7.216921E+01
2.24906250000E+05	3.803636E-04	-4.058164E+01
2.26775000000E+05	5.321337E-04	-3.188448E+01
2.28643750000E+05	2.295423E-04	-4.382547E+01
2.30512500000E+05	6.367647E-04	-8.603545E+01
2.32381250000E+05	5.940312E-04	-6.401612E+01
2.34250000000E+05	5.027243E-04	-9.153555E+01
2.36118750000E+05	7.385756E-04	-5.254368E+01
2.37987500000E+05	3.661884E-04	-9.612849E+01
2.39856250000E+05	7.389949E-04	-6.863159E+01
2.41725000000E+05	4.752006E-04	-8.380220E+01
2.43593750000E+05	1.002687E-04	-1.042020E+02
2.45462500000E+05	4.869626E-04	-1.059723E+02
2.47331250000E+05	4.345810E-04	-9.326787E+01
2.49200000000E+05	7.244931E-04	-1.129635E+02
2.51068750000E+05	3.021219E-04	-8.679395E+01
2.52937500000E+05	3.128001E-04	-1.069212E+02
2.54806250000E+05	6.240279E-04	-9.273247E+01
2.56675000000E+05	5.643626E-04	-8.083411E+01
2.58543750000E+05	2.532443E-04	-5.112354E+01
2.60412500000E+05	2.307855E-04	-1.106976E+02
2.62281250000E+05	4.049429E-04	-1.136090E+02
2.64150000000E+05	5.808001E-04	-8.944551E+01
2.66018750000E+05	4.722165E-04	-8.426957E+01
2.67887500000E+05	5.334425E-04	-7.244063E+01
2.69756250000E+05	3.626423E-04	-1.073609E+02
2.71625000000E+05	2.173777E-04	-7.837016E+01
2.73493750000E+05	9.045762E-04	-9.050622E+01
2.75362500000E+05	7.047466E-04	-1.026366E+02
2.77231250000E+05	5.888004E-04	-8.401395E+01
2.79100000000E+05	7.448149E-04	-8.816333E+01
2.80968750000E+05	5.118014E-04	-1.026337E+02
2.82837500000E+05	4.531770E-04	-8.862837E+01
2.84706250000E+05	7.291156E-04	-1.051870E+02
2.86575000000E+05	3.934340E-04	-1.022712E+02
2.88443750000E+05	5.008145E-04	-9.338718E+01
2.90312500000E+05	6.654770E-04	-9.603207E+01
2.92181250000E+05	5.015524E-04	-5.893118E+01
2.94050000000E+05	7.584855E-04	-7.364342E+01
2.95918750000E+05	4.213520E-04	-1.263063E+02
2.97787500000E+05	6.328488E-04	-8.616971E+01
2.99656250000E+05	6.542502E-04	-9.776803E+01
3.01525000000E+05	5.326498E-04	-9.347993E+01
3.03393750000E+05	5.511178E-04	-7.543310E+01
3.05262500000E+05	4.374834E-04	-6.184233E+01
3.07131250000E+05	6.463757E-04	-8.588742E+01
3.09000000000E+05	5.001545E-04	-8.170155E+01
3.10868750000E+05	6.433423E-04	-8.847152E+01
3.12737500000E+05	6.215601E-04	-9.297675E+01
3.14606250000E+05	4.517205E-04	-1.272249E+02
3.16475000000E+05	6.633485E-04	-9.741071E+01
3.18343750000E+05	6.649515E-04	-8.718968E+01
3.20212500000E+05	6.323496E-04	-9.615211E+01
3.22081250000E+05	4.432243E-04	-7.373557E+01
3.23950000000E+05	7.066577E-04	-1.062261E+02
3.25818750000E+05	8.754024E-04	-9.330991E+01
3.27687500000E+05	6.788490E-04	-5.878986E+01
3.29556250000E+05	6.280403E-04	-8.949749E+01
3.31425000000E+05	6.076716E-04	-7.203159E+01
3.33293750000E+05	8.239483E-04	-7.852242E+01
3.35162500000E+05	6.425673E-04	-7.174155E+01
3.37031250000E+05	6.660786E-04	-8.182173E+01
3.38900000000E+05	6.911359E-04	-8.961042E+01
3.40768750000E+05	6.131424E-04	-1.035128E+02
3.42637500000E+05	6.518374E-04	-1.100577E+02
3.44506250000E+05	7.502122E-04	-8.211286E+01
3.46375000000E+05	4.317978E-04	-8.704184E+01
3.48243750000E+05	8.304048E-04	-9.183981E+01
3.50112500000E+05	4.946295E-04	-9.164492E+01
3.51981250000E+05	6.673216E-04	-8.540226E+01
3.53850000000E+05	5.434792E-04	-9.276718E+01
3.55718750000E+05	6.394468E-04	-1.024668E+02
3.57587500000E+05	5.093026E-04	-9.121204E+01
3.59456250000E+05	6.909419E-04	-8.981542E+01
3.61325000000E+05	5.565420E-04	-8.822701E+01
3.63193750000E+05	5.470624E-04	-8.130520E+01
3.65062500000E+05	4.614728E-04	-8.127579E+01
3.66931250000E+05	5.799083E-04	-8.264433E+01
3.68800000000E+05	6.373184E-04	-9.881536E+01
3.70668750000E+05	6.793527E-04	-8.134604E+01
3.72537500000E+05	5.935477E-04	-8.872253E+01
3.74406250000E+05	7.489564E-04	-1.043611E+02
3.76275000000E+05	4.654719E-04	-1.045463E+02
3.78143750000E+05	8.061400E-04	-9.659961E+01
3.80012500000E+05	6.377859E-04	-8.714936E+01
3.81881250000E+05	5.674586E-04	-7.112231E+01
3.83750000000E+05	5.270652E-04	-7.599625E+01
3.85618750000E+05	6.081442E-04	-9.474980E+01
3.87487500000E+05	5.792339E-04	-8.777053E+01
3.89356250000E+05	7.467299E-04	-8.714713E+01
3.91225000000E+05	5.768523E-04	-9.404225E+01
3.93093750000E+05	7.243288E-04	-7.779797E+01
3.94962500000E+05	9.286219E-04	-9.042492E+01
3.96831250000E+05	6.706421E-04	-8.166479E+01
3.98700000000E+05	7.994373E-04	-9.342921E+01
4.00568750000E+05	6.452163E-04	-9.105528E+01
4.02437500000E+05	6.931160E-04	-9.732183E+01
4.04306250000E+05	8.118713E-04	-9.136037E+01
4.06175000000E+05	7.640062E-04	-9.094253E+01
4.08043750000E+05	5.633960E-04	-1.026096E+02
4.09912500000E+05	6.703160E-04	-8.169236E+01
4.11781250000E+05	5.998730E-04	-1.061556E+02
4.13650000000E+05	7.554836E-04	-7.911465E+01
4.15518750000E+05	7.681666E-04	-9.303650E+01
4.17387500000E+05	6.919137E-04	-9.875235E+01
4.19256250000E+05	9.171981E-04	-8.283469E+01
4.21125000000E+05	7.075821E-04	-9.405334E+01
4.22993750000E+05	5.313421E-04	-7.140260E+01
4.24862500000E+05	8.000120E-04	-9.733372E+01
4.26731250000E+05	8.606508E-04	-9.034792E+01
4.28600000000E+05	7.294751E-04	-8.285383E+01
4.30468750000E+05	7.972224E-04	-9.256734E+01
4.32337500000E+05	6.984161E-04	-9.459319E+01
4.34206250000E+05	7.019627E-04	-1.024873E+02
4.36075000000E+05	7.564378E-04	-9.998419E+01
4.37943750000E+05	7.152466E-04	-8.856010E+01
4.39812500000E+05	9.618819E-04	-8.990773E+01
4.41681250000E+05	7.325084E-04	-8.242803E+01
4.43550000000E+05	7.480400E-04	-8.061999E+01
4.45418750000E+05	9.691417E-04	-9.931554E+01
4.47287500000E+05	7.873852E-04	-1.001739E+02
4.49156250000E+05	9.267135E-04	-8.825266E+01
4.51025000000E+05	7.369483E-04	-9.344253E+01
4.52893750000E+05	8.317553E-04	-1.067126E+02
4.54762500000E+05	8.178946E-04	-8.293408E+01
4.56631250000E+05	7.977221E-04	-8.878957E+01
4.58500000000E+05	6.603648E-04	-9.501221E+01
4.60368750000E+05	8.141358E-04	-1.004513E+02
4.62237500000E+05	7.154550E-04	-8.850381E+01
4.64106250000E+05	7.436470E-04	-8.491335E+01
4.65975000000E+05	5.765308E-04	-1.007642E+02
4.67843750000E+05	8.762082E-04	-9.557521E+01
4.69712500000E+05	7.626449E-04	-9.342889E+01
4.71581250000E+05	9.373514E-04	-9.209312E+01
4.73450000000E+05	7.744057E-04	-8.437145E+01
4.75318750000E+05	1.084903E-03	-1.010977E+02
4.77187500000E+05	8.540294E-04	-9.501409E+01
4.79056250000E+05	8.997542E-04	-1.006259E+02
4.80925000000E+05	8.985545E-04	-9.111077E+01
4.82793750000E+05	9.092800E-04	-9.919320E+01
4.84662500000E+05	8.961401E-04	-9.444674E+01
4.86531250000E+05	8.576470E-04	-9.863223E+01
4.88400000000E+05	6.823940E-04	-8.948337E+01
4.90268750000E+05	9.071762E-04	-8.885047E+01
4.92137500000E+05	9.281016E-04	-9.422882E+01
4.94006250000E+05	1.020295E-03	-9.658678E+01
4.95875000000E+05	8.385371E-04	-8.339246E+01
4.97743750000E+05	8.813530E-04	-8.596294E+01
4.99612500000E+05	9.718708E-04	-8.805362E+01
5.01481250000E+05	1.170457E-03	-9.239964E+01
5.03350000000E+05	9.637975E-04	-9.095364E+01
5.05218750000E+05	8.603246E-04	-1.030272E+02
5.07087500000E+05	8.781995E-04	-9.843799E+01
5.08956250000E+05	8.336873E-04	-9.689404E+01
5.10825000000E+05	1.089805E-03	-9.061472E+01
5.12693750000E+05	7.975660E-04	-8.962091E+01
5.14562500000E+05	8.729112E-04	-8.953386E+01
5.16431250000E+05	1.002135E-03	-9.286288E+01
5.18300000000E+05	7.325802E-04	-9.199526E+01
5.20168750000E+05	8.329111E-04	-1.000896E+02
5.22037500000E+05	8.483233E-04	-8.554934E+01
5.23906250000E+05	6.936319E-04	-9.185970E+01
5.25775000000E+05	9.488339E-04	-8.704916E+01
5.27643750000E+05	1.013878E-03	-9.691020E+01
5.29512500000E+05	8.979957E-04	-9.142478E+01
5.31381250000E+05	7.145312E-04	-1.045691E+02
5.33250000000E+05	1.047450E-03	-9.501899E+01
5.35118750000E+05	8.904262E-04	-9.312164E+01
5.36987500000E+05	6.689186E-04	-9.610953E+01
5.38856250000E+05	1.117710E-03	-9.822367E+01
5.40725000000E+05	9.264172E-04	-9.061258E+01
5.42593750000E+05	9.498512E-04	-9.500026E+01
5.44462500000E+05	8.965789E-04	-9.841919E+01
5.46331250000E+05	1.038277E-03	-9.443194E+01
5.48200000000E+05	9.352387E-04	-9.303950E+01
