"E5100A REV3.14"
"DATE: Jun 24 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	1.520862E-01	-7.528199E+01
1.18687500000E+04	1.007291E-01	1.628569E+02
1.37375000000E+04	6.622594E-02	1.658657E+02
1.56062500000E+04	1.940879E-02	1.613111E+02
1.74750000000E+04	3.410539E-02	1.421429E+02
1.93437500000E+04	3.533083E-02	1.135495E+02
2.12125000000E+04	8.751671E-03	1.413037E+02
2.30812500000E+04	7.467879E-03	-2.156162E+01
2.49500000000E+04	1.507890E-02	-8.741370E+01
2.68187500000E+04	1.727113E-02	-1.490406E+02
2.86875000000E+04	2.462314E-02	1.395419E+02
3.05562500000E+04	1.385268E-02	-9.554646E+00
3.24250000000E+04	1.979911E-02	-9.640037E+01
3.42937500000E+04	3.644193E-02	1.717777E+01
3.61625000000E+04	2.539106E-03	1.101760E+01
3.80312500000E+04	1.289563E-02	-1.509100E+02
3.99000000000E+04	1.008528E-02	-7.818848E+00
4.17687500000E+04	3.021413E-02	-1.211397E+02
4.36375000000E+04	1.177422E-02	-1.278135E+02
4.55062500000E+04	1.468981E-02	-4.564172E+01
4.73750000000E+04	2.606365E-02	-2.836833E+01
4.92437500000E+04	6.091647E-03	-1.036180E+01
5.11125000000E+04	2.322377E-03	1.200234E+02
5.29812500000E+04	1.667054E-02	-8.278996E+01
5.48500000000E+04	1.717086E-02	-1.032182E+02
5.67187500000E+04	1.166685E-02	-1.252073E+02
5.85875000000E+04	1.410312E-02	7.872418E-01
6.04562500000E+04	2.561753E-02	-8.619478E+01
6.23250000000E+04	2.090519E-02	-9.846178E+01
6.41937500000E+04	1.712160E-03	3.263871E+01
6.60625000000E+04	2.480727E-02	-3.307391E+01
6.79312500000E+04	1.795300E-02	-5.050174E+01
6.98000000000E+04	2.220961E-03	-8.725468E+01
7.16687500000E+04	1.907565E-02	-5.653635E+01
7.35375000000E+04	7.421225E-03	-7.975994E+01
7.54062500000E+04	1.480983E-02	-5.612932E+00
7.72750000000E+04	1.116525E-02	-8.717535E+01
7.91437500000E+04	1.258248E-02	-1.037493E+02
8.10125000000E+04	1.617100E-02	-6.021875E+01
8.28812500000E+04	2.596037E-02	-8.353207E+01
8.47500000000E+04	1.663127E-02	-8.512230E+01
8.66187500000E+04	2.550483E-02	-6.543885E+01
8.84875000000E+04	1.929146E-02	-6.344749E+01
9.03562500000E+04	1.490877E-02	-4.496329E+01
9.22250000000E+04	7.977524E-03	-8.399477E+01
9.40937500000E+04	1.456334E-02	-7.560549E+01
9.59625000000E+04	2.136639E-02	-6.129104E+01
9.78312500000E+04	1.729064E-02	-9.135880E+01
9.97000000000E+04	1.355668E-02	-6.287373E+01
1.01568750000E+05	2.387158E-02	-6.337786E+01
1.03437500000E+05	1.862545E-02	-4.037124E+01
1.05306250000E+05	2.339249E-02	-7.450540E+01
1.07175000000E+05	1.879762E-02	-5.631110E+01
1.09043750000E+05	2.000065E-02	-8.694830E+01
1.10912500000E+05	1.648900E-02	-6.852671E+01
1.12781250000E+05	1.211524E-02	-6.194209E+01
1.14650000000E+05	1.004633E-02	-8.633664E+01
1.16518750000E+05	2.109344E-02	-4.161019E+01
1.18387500000E+05	1.382639E-02	-5.374406E+01
1.20256250000E+05	1.007361E-02	-5.926020E+01
1.22125000000E+05	1.772647E-02	-8.543881E+01
1.23993750000E+05	1.492422E-02	-7.125130E+01
1.25862500000E+05	2.359637E-02	-7.634238E+01
1.27731250000E+05	2.070720E-02	-1.007707E+02
1.29600000000E+05	1.655457E-02	-1.254180E+02
1.31468750000E+05	3.124940E-02	-7.893122E+01
1.33337500000E+05	2.165189E-02	-8.852428E+01
1.35206250000E+05	2.573452E-02	-6.683071E+01
1.37075000000E+05	2.445186E-02	-8.505050E+01
1.38943750000E+05	2.377773E-02	-7.468221E+01
1.40812500000E+05	1.245091E-02	-9.655007E+01
1.42681250000E+05	2.794295E-02	-8.211771E+01
1.44550000000E+05	2.411203E-02	-6.670706E+01
1.46418750000E+05	1.960502E-02	-7.502577E+01
1.48287500000E+05	2.664686E-02	-9.220744E+01
