"E5100A REV3.14"
"DATE: Jun 24 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	1.609693E-01	-9.762131E+00
1.18687500000E+04	1.023328E-01	-1.058058E+02
1.37375000000E+04	5.749897E-02	1.279855E+02
1.56062500000E+04	3.766038E-02	8.288743E+00
1.74750000000E+04	1.614141E-01	5.791245E+00
1.93437500000E+04	4.214592E-02	-3.614049E+01
2.12125000000E+04	2.965448E-02	1.289861E+02
2.30812500000E+04	6.246389E-02	1.355317E+02
2.49500000000E+04	3.522974E-02	-5.426061E+01
2.68187500000E+04	6.575432E-02	-1.001031E+02
2.86875000000E+04	2.905209E-02	-8.343129E+01
3.05562500000E+04	4.960902E-02	-2.738961E+01
3.24250000000E+04	2.120718E-02	-4.005537E+01
3.42937500000E+04	6.043129E-03	-1.302994E+02
3.61625000000E+04	2.551524E-02	-5.276313E+00
3.80312500000E+04	1.032601E-02	-1.668066E+02
3.99000000000E+04	6.051288E-03	6.381388E+01
4.17687500000E+04	3.246848E-02	-1.028394E+02
4.36375000000E+04	1.944147E-02	-1.689080E+01
4.55062500000E+04	1.693056E-02	1.758533E+02
4.73750000000E+04	1.025852E-02	-1.055450E+02
4.92437500000E+04	9.950735E-03	-1.152262E+02
5.11125000000E+04	1.783035E-02	1.186479E+02
5.29812500000E+04	1.930040E-02	-9.552419E+01
5.48500000000E+04	2.148720E-02	7.042889E+01
5.67187500000E+04	1.016737E-02	-1.445217E+02
5.85875000000E+04	5.667126E-03	1.343494E+02
6.04562500000E+04	7.395278E-03	-3.134868E+01
6.23250000000E+04	8.238206E-03	9.950936E+01
6.41937500000E+04	1.242687E-02	1.296516E+02
6.60625000000E+04	8.678601E-03	-1.060866E+02
6.79312500000E+04	1.420253E-02	-1.370739E+02
6.98000000000E+04	4.364742E-03	2.412294E+01
7.16687500000E+04	1.557250E-02	-2.694149E+01
7.35375000000E+04	6.209505E-03	-2.324970E+01
7.54062500000E+04	1.083644E-02	-1.745948E+02
7.72750000000E+04	1.136353E-02	-1.026109E+02
7.91437500000E+04	1.070720E-02	-5.516737E+01
8.10125000000E+04	1.233440E-02	-1.240437E+02
8.28812500000E+04	6.607274E-03	-1.148335E+01
8.47500000000E+04	1.448211E-02	-8.368105E+01
8.66187500000E+04	1.613637E-02	-9.316256E+01
8.84875000000E+04	5.819644E-03	-1.674212E+02
9.03562500000E+04	6.859618E-03	-1.342066E+02
9.22250000000E+04	1.350644E-02	-1.402006E+02
9.40937500000E+04	9.193083E-03	-2.097339E+01
9.59625000000E+04	9.433001E-03	-1.004480E+02
9.78312500000E+04	1.032089E-02	-6.964568E+01
9.97000000000E+04	2.586787E-03	1.658154E+02
1.01568750000E+05	7.385664E-03	-1.205111E+02
1.03437500000E+05	6.433398E-03	1.286174E+02
1.05306250000E+05	1.070472E-02	-1.177437E+02
1.07175000000E+05	3.678336E-03	-1.093310E+02
1.09043750000E+05	1.812308E-03	1.954710E+01
1.10912500000E+05	1.129701E-02	-9.542358E+01
1.12781250000E+05	9.596206E-03	-7.191306E+01
1.14650000000E+05	5.227402E-03	-1.699500E+02
1.16518750000E+05	2.654086E-03	1.642401E+02
1.18387500000E+05	3.165749E-03	-1.595482E+01
1.20256250000E+05	5.756185E-03	1.691337E+02
1.22125000000E+05	1.015144E-02	-6.657693E+01
1.23993750000E+05	1.596431E-02	-7.162338E+01
1.25862500000E+05	6.823275E-03	-1.240903E+02
1.27731250000E+05	7.969789E-03	-3.466120E+01
1.29600000000E+05	7.650954E-03	-1.426073E+02
1.31468750000E+05	1.296991E-02	-6.188644E+01
1.33337500000E+05	5.004332E-03	-1.608935E+02
1.35206250000E+05	1.881956E-03	-8.210078E+01
1.37075000000E+05	4.025430E-03	-1.608340E+01
1.38943750000E+05	6.013633E-03	-5.475324E+01
1.40812500000E+05	6.440493E-03	-6.380850E+01
1.42681250000E+05	1.437039E-02	-7.962909E+01
1.44550000000E+05	7.789314E-03	-1.551419E+02
1.46418750000E+05	6.271286E-03	-1.104399E+02
1.48287500000E+05	1.219275E-02	-9.391188E+01
1.50156250000E+05	7.091952E-03	-2.231532E+01
1.52025000000E+05	1.516392E-02	-1.257076E+02
1.53893750000E+05	1.430076E-02	-7.676329E+01
1.55762500000E+05	9.213299E-03	-5.062513E+01
1.57631250000E+05	6.174595E-03	-6.401292E+01
1.59500000000E+05	3.785571E-03	1.709605E+02
1.61368750000E+05	1.130374E-02	-6.981784E+01
1.63237500000E+05	7.350284E-03	-6.478049E+01
1.65106250000E+05	7.916288E-03	-5.671558E+01
1.66975000000E+05	6.573190E-03	-6.458401E+01
1.68843750000E+05	5.883090E-03	-6.186475E+01
1.70712500000E+05	1.759613E-02	-1.031418E+02
1.72581250000E+05	1.034390E-02	-6.502342E+01
1.74450000000E+05	5.172527E-03	-5.119062E+01
1.76318750000E+05	1.625082E-02	-1.156712E+02
1.78187500000E+05	1.108024E-02	-9.557865E+01
1.80056250000E+05	1.475569E-02	-7.270387E+01
1.81925000000E+05	1.308325E-02	-8.763390E+01
1.83793750000E+05	7.527921E-03	-6.369236E+01
1.85662500000E+05	1.537269E-02	-8.605014E+01
1.87531250000E+05	1.063475E-02	-9.561105E+01
1.89400000000E+05	1.513059E-03	-1.110078E+02
1.91268750000E+05	4.402377E-03	-8.645168E+01
1.93137500000E+05	4.067764E-03	-8.773466E+01
1.95006250000E+05	1.585282E-02	-1.247542E+02
1.96875000000E+05	1.202174E-02	-1.025863E+02
1.98743750000E+05	1.173312E-02	-5.895203E+01
2.00612500000E+05	1.350495E-02	-6.565963E+01
2.02481250000E+05	9.700227E-03	-1.127171E+02
2.04350000000E+05	5.788197E-03	-5.102370E+01
2.06218750000E+05	1.132509E-02	-1.107083E+02
2.08087500000E+05	8.498111E-03	-8.619569E+01
2.09956250000E+05	7.335513E-03	-1.003964E+02
2.11825000000E+05	1.290977E-02	-7.473435E+01
2.13693750000E+05	8.774568E-03	-5.860044E+01
2.15562500000E+05	1.627382E-02	-5.446895E+01
2.17431250000E+05	5.160351E-03	-8.990267E+01
