"E5100A REV3.14"
"DATE: Jun 24 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	1.442424E-01	1.628475E+02
1.18687500000E+04	2.177492E-01	-1.130279E+02
1.37375000000E+04	2.295877E-02	-5.835727E+01
1.56062500000E+04	3.032025E-02	1.679223E+02
1.74750000000E+04	4.648349E-02	-1.630566E+01
1.93437500000E+04	1.818719E-02	-1.639993E+02
2.12125000000E+04	6.213757E-02	8.151427E+01
2.30812500000E+04	1.310327E-02	1.558533E+01
2.49500000000E+04	1.011659E-02	-1.435614E+02
2.68187500000E+04	2.433195E-02	1.573521E+02
2.86875000000E+04	2.392616E-02	-1.486740E+02
3.05562500000E+04	4.527002E-02	-2.964039E+01
3.24250000000E+04	1.395887E-02	-1.190658E+02
3.42937500000E+04	7.893960E-03	1.720431E+02
3.61625000000E+04	9.272922E-03	1.613836E+02
3.80312500000E+04	2.180966E-02	-1.299293E+02
3.99000000000E+04	1.465244E-02	4.653451E+01
4.17687500000E+04	9.784983E-03	5.930096E+01
4.36375000000E+04	1.242811E-02	-1.088700E+02
4.55062500000E+04	1.203972E-02	3.663416E+01
4.73750000000E+04	1.705235E-02	1.633745E+02
4.92437500000E+04	1.036214E-02	1.327855E+02
5.11125000000E+04	1.346338E-02	-1.606376E+02
5.29812500000E+04	1.620933E-02	1.206799E+02
5.48500000000E+04	9.388699E-03	1.368549E+02
5.67187500000E+04	2.240185E-02	1.799022E+02
5.85875000000E+04	6.011286E-03	-6.676562E+01
6.04562500000E+04	1.125900E-02	-1.864858E+01
6.23250000000E+04	3.276394E-03	-1.145989E+02
6.41937500000E+04	1.250781E-02	1.036219E+02
6.60625000000E+04	5.754304E-03	1.163418E+02
6.79312500000E+04	1.227035E-02	-6.076098E+01
6.98000000000E+04	9.213144E-03	4.320165E+01
7.16687500000E+04	1.164159E-02	-5.449642E+01
7.35375000000E+04	8.614059E-03	1.757325E+02
7.54062500000E+04	1.202848E-02	2.654271E+01
7.72750000000E+04	7.559042E-03	-7.255760E+01
7.91437500000E+04	1.085948E-02	1.354212E+02
8.10125000000E+04	7.460592E-03	8.584323E+01
8.28812500000E+04	8.108809E-03	-1.460357E+02
8.47500000000E+04	4.945122E-03	-1.470055E+02
8.66187500000E+04	1.117993E-02	9.964989E+01
8.84875000000E+04	1.067995E-02	-5.932744E+01
9.03562500000E+04	5.914811E-03	2.156083E+01
9.22250000000E+04	3.292499E-03	6.129171E+01
9.40937500000E+04	9.490275E-03	-1.548716E+02
9.59625000000E+04	5.876758E-03	-1.766976E+02
9.78312500000E+04	8.277866E-03	1.185457E+02
9.97000000000E+04	1.104074E-02	6.645356E+01
1.01568750000E+05	1.767338E-02	4.462149E+01
1.03437500000E+05	1.130398E-02	4.452435E+00
1.05306250000E+05	1.623679E-02	3.028759E+01
1.07175000000E+05	1.612438E-02	1.293152E+02
1.09043750000E+05	9.957107E-03	9.891748E+01
1.10912500000E+05	1.093555E-02	1.231381E+02
1.12781250000E+05	1.191047E-02	9.243635E+01
1.14650000000E+05	6.801316E-03	-6.114250E+00
1.16518750000E+05	7.227199E-03	1.278242E+02
1.18387500000E+05	8.792699E-03	6.371112E+01
1.20256250000E+05	1.132812E-02	5.562056E+01
1.22125000000E+05	2.777254E-03	1.574159E+02
1.23993750000E+05	4.004622E-03	-5.966036E+01
1.25862500000E+05	9.661929E-03	5.419947E+01
1.27731250000E+05	1.355034E-02	9.757085E+01
1.29600000000E+05	3.162177E-03	4.572622E+01
1.31468750000E+05	4.515744E-03	2.072362E+01
1.33337500000E+05	6.866867E-03	1.146482E+02
1.35206250000E+05	9.289972E-03	9.513703E+01
1.37075000000E+05	7.947190E-03	4.826559E+01
1.38943750000E+05	1.141841E-02	-2.274834E+01
1.40812500000E+05	1.685440E-03	1.046015E+01
1.42681250000E+05	1.911495E-03	7.276209E+01
1.44550000000E+05	1.292043E-02	4.357331E+00
1.46418750000E+05	3.296469E-03	6.240198E+00
1.48287500000E+05	2.366012E-03	-7.011275E+01
1.50156250000E+05	3.745478E-03	-2.211814E-01
1.52025000000E+05	5.845767E-03	6.296263E+01
1.53893750000E+05	1.050287E-02	9.171866E+01
1.55762500000E+05	5.819336E-03	3.843387E+01
1.57631250000E+05	4.667375E-03	1.182140E+02
1.59500000000E+05	2.762016E-03	5.431987E+01
1.61368750000E+05	5.105054E-03	6.220113E+01
1.63237500000E+05	6.090679E-03	-3.155467E+01
1.65106250000E+05	2.272747E-03	6.474818E+01
1.66975000000E+05	6.352028E-03	1.779183E+02
1.68843750000E+05	5.489086E-03	1.012582E+02
1.70712500000E+05	1.102115E-02	1.260262E+02
1.72581250000E+05	5.068184E-03	-1.410882E+02
1.74450000000E+05	6.820587E-03	5.158205E+01
1.76318750000E+05	6.374060E-03	4.664948E+01
1.78187500000E+05	5.326440E-03	1.293703E+02
1.80056250000E+05	5.351678E-03	1.171498E+02
1.81925000000E+05	4.096846E-03	1.741549E+02
1.83793750000E+05	3.661278E-03	4.919952E+01
1.85662500000E+05	1.175499E-02	6.653603E+01
1.87531250000E+05	4.943221E-03	-4.323931E+01
1.89400000000E+05	2.016253E-03	5.919439E+01
1.91268750000E+05	3.496053E-03	1.493720E+02
1.93137500000E+05	8.881687E-03	6.965331E+01
1.95006250000E+05	4.208716E-03	5.752169E+01
1.96875000000E+05	4.100830E-03	2.457570E+01
1.98743750000E+05	6.253709E-03	6.847820E+01
2.00612500000E+05	7.251178E-03	-6.949506E-03
2.02481250000E+05	7.468462E-03	-1.776995E+02
