"E5100A REV3.14"
"DATE: Jun 24 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	5.010377E-01	1.459702E+02
1.18687500000E+04	2.232246E-01	-5.380330E+01
1.37375000000E+04	1.154096E-01	1.577969E+02
1.56062500000E+04	1.326223E-01	-7.645660E+01
1.74750000000E+04	4.982902E-02	5.953711E+01
1.93437500000E+04	4.589858E-02	-3.843843E+00
2.12125000000E+04	4.379921E-02	-1.069285E+02
2.30812500000E+04	1.652298E-02	-4.938033E+01
2.49500000000E+04	1.190871E-02	-5.934992E+01
2.68187500000E+04	5.226115E-02	-8.354789E+01
2.86875000000E+04	7.849831E-02	-1.055695E+02
3.05562500000E+04	1.822947E-02	1.463911E+02
3.24250000000E+04	2.346621E-02	-1.230704E+02
3.42937500000E+04	2.534338E-02	-6.243451E+01
3.61625000000E+04	1.597645E-02	-1.749711E+02
3.80312500000E+04	6.275373E-03	1.473176E+02
3.99000000000E+04	1.798077E-02	1.408413E+02
4.17687500000E+04	1.365647E-02	-1.601826E+02
4.36375000000E+04	2.551561E-02	-1.378456E+02
4.55062500000E+04	5.706223E-03	2.477743E+01
4.73750000000E+04	8.293303E-03	-4.325831E+01
4.92437500000E+04	1.868583E-03	-6.596450E+01
5.11125000000E+04	9.068228E-03	-1.166406E+02
5.29812500000E+04	7.987300E-03	1.312022E+02
5.48500000000E+04	2.133511E-02	1.676743E+02
5.67187500000E+04	6.590238E-03	-1.486417E+01
5.85875000000E+04	4.631780E-03	1.527451E+02
6.04562500000E+04	3.745337E-03	-3.488568E+01
6.23250000000E+04	1.826298E-02	1.124537E+02
6.41937500000E+04	1.302286E-02	1.592845E+02
6.60625000000E+04	1.634238E-02	-4.139290E+00
6.79312500000E+04	1.913207E-02	-1.513661E+02
6.98000000000E+04	2.424972E-03	1.427650E+02
7.16687500000E+04	1.082877E-02	7.525622E+01
7.35375000000E+04	1.049097E-02	-9.163001E+01
7.54062500000E+04	1.975103E-02	6.933979E+01
7.72750000000E+04	7.568310E-03	5.552469E+01
7.91437500000E+04	7.224547E-03	1.397559E+01
8.10125000000E+04	4.547035E-03	2.512220E+00
8.28812500000E+04	1.494994E-02	6.857970E+01
8.47500000000E+04	5.803769E-03	8.147133E+00
8.66187500000E+04	6.451541E-03	3.228568E+01
8.84875000000E+04	1.139844E-02	3.431197E+01
9.03562500000E+04	3.813314E-03	1.578752E+01
9.22250000000E+04	4.866393E-03	4.211980E+01
9.40937500000E+04	1.787323E-02	-1.690267E+02
9.59625000000E+04	6.243501E-03	1.505063E+02
9.78312500000E+04	8.176944E-03	1.679021E+02
9.97000000000E+04	3.416181E-03	1.931659E+01
1.01568750000E+05	1.981512E-02	6.763349E+01
1.03437500000E+05	7.948076E-03	-8.584841E+01
1.05306250000E+05	2.715746E-03	1.212366E+02
1.07175000000E+05	1.637719E-02	9.263538E+01
1.09043750000E+05	1.021387E-02	6.982984E+01
1.10912500000E+05	8.675638E-03	-4.926044E+01
1.12781250000E+05	8.176457E-03	1.230295E+02
1.14650000000E+05	1.497395E-02	2.692176E+01
1.16518750000E+05	9.831440E-04	1.210638E+02
