"E5100A REV3.14"
"DATE: Jun 24 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	1.744573E-01	-8.458934E+01
1.18687500000E+04	9.362978E-02	-1.101552E+02
1.37375000000E+04	1.039984E-01	-8.297129E+01
1.56062500000E+04	3.527451E-02	-1.578570E+02
1.74750000000E+04	5.140531E-02	-8.852641E+01
1.93437500000E+04	1.194778E-02	8.092604E+01
2.12125000000E+04	3.299014E-02	-1.368015E+02
2.30812500000E+04	6.659850E-02	1.145314E+02
2.49500000000E+04	3.617368E-02	-2.648136E+01
2.68187500000E+04	3.384972E-02	1.024702E+02
2.86875000000E+04	5.655233E-02	-7.300327E+01
3.05562500000E+04	5.288380E-02	1.186186E+02
3.24250000000E+04	1.648988E-02	-1.401605E+02
3.42937500000E+04	4.586148E-02	-7.892602E+01
3.61625000000E+04	2.585443E-02	-1.260845E+02
3.80312500000E+04	1.200460E-02	7.530599E+01
3.99000000000E+04	4.203326E-02	-1.231542E+02
4.17687500000E+04	1.379242E-02	-2.655696E+01
4.36375000000E+04	2.505350E-02	-1.703115E+02
4.55062500000E+04	6.258991E-03	-5.115182E+01
4.73750000000E+04	2.046023E-02	1.685592E+02
4.92437500000E+04	9.488070E-03	-1.340845E+02
5.11125000000E+04	1.633730E-02	3.385309E+01
5.29812500000E+04	1.137900E-02	-1.421047E+02
5.48500000000E+04	6.145848E-03	-1.452946E+02
5.67187500000E+04	4.035923E-03	1.696302E+02
5.85875000000E+04	7.183714E-03	-1.276942E+02
6.04562500000E+04	5.040386E-03	-5.296732E+01
6.23250000000E+04	4.092353E-02	-7.856977E+01
6.41937500000E+04	1.847494E-02	-5.663255E+01
6.60625000000E+04	3.361011E-02	-9.127580E+01
6.79312500000E+04	1.376069E-02	-9.783927E+01
6.98000000000E+04	1.715429E-02	-1.413355E+02
7.16687500000E+04	3.153602E-02	-9.885610E+01
7.35375000000E+04	1.660506E-02	1.634882E+02
7.54062500000E+04	2.126245E-02	-9.025962E+01
7.72750000000E+04	1.784323E-02	-4.822353E+01
7.91437500000E+04	1.937445E-02	-9.785464E+01
8.10125000000E+04	1.153668E-02	-8.346225E+01
8.28812500000E+04	2.130624E-02	-5.573895E+01
8.47500000000E+04	1.758541E-02	-7.271492E+01
8.66187500000E+04	1.261497E-02	-1.334069E+02
8.84875000000E+04	1.884687E-02	-5.044284E+01
9.03562500000E+04	1.082374E-02	-8.399254E+01
9.22250000000E+04	2.186200E-02	-1.005435E+02
9.40937500000E+04	1.937930E-02	-7.265497E+01
9.59625000000E+04	2.061669E-02	-8.617152E+01
9.78312500000E+04	1.700300E-02	-1.116415E+02
9.97000000000E+04	2.496801E-02	-7.322853E+01
1.01568750000E+05	2.895535E-02	-8.458038E+01
1.03437500000E+05	2.169413E-02	-9.395604E+01
1.05306250000E+05	3.249207E-02	-8.268655E+01
1.07175000000E+05	2.233748E-02	-7.949780E+01
1.09043750000E+05	1.746975E-02	-1.173839E+02
1.10912500000E+05	2.003830E-02	-9.477334E+01
1.12781250000E+05	1.793418E-02	-8.815683E+01
1.14650000000E+05	1.367655E-02	-8.635242E+01
1.16518750000E+05	2.267577E-02	-1.109187E+02
1.18387500000E+05	2.616842E-02	-9.984474E+01
1.20256250000E+05	1.097477E-02	-1.100153E+02
1.22125000000E+05	3.384590E-02	-8.147203E+01
1.23993750000E+05	2.827968E-02	-1.002840E+02
1.25862500000E+05	3.039505E-02	-8.536709E+01
1.27731250000E+05	2.407489E-02	-1.097096E+02
1.29600000000E+05	1.848037E-02	-6.989504E+01
1.31468750000E+05	3.042595E-02	-9.403531E+01
1.33337500000E+05	2.846396E-02	-8.094054E+01
1.35206250000E+05	3.082043E-02	-7.711744E+01
1.37075000000E+05	2.972967E-02	-9.520953E+01
1.38943750000E+05	2.559359E-02	-7.031906E+01
1.40812500000E+05	2.441241E-02	-9.287575E+01
1.42681250000E+05	2.897107E-02	-8.465752E+01
1.44550000000E+05	3.180479E-02	-8.463741E+01
1.46418750000E+05	3.056559E-02	-7.848591E+01
1.48287500000E+05	2.811490E-02	-1.082604E+02
1.50156250000E+05	2.771672E-02	-7.352080E+01
1.52025000000E+05	3.047302E-02	-7.119910E+01
1.53893750000E+05	2.385047E-02	-7.923753E+01
1.55762500000E+05	3.210690E-02	-1.014239E+02
1.57631250000E+05	2.601267E-02	-9.644109E+01
1.59500000000E+05	2.808033E-02	-8.009337E+01
1.61368750000E+05	3.038877E-02	-8.283685E+01
1.63237500000E+05	2.101561E-02	-9.028905E+01
