"E5100A REV3.14"
"DATE: Jun 24 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	7.651594E-02	5.868652E+01
1.18687500000E+04	1.997996E-01	-1.112977E+02
1.37375000000E+04	1.558541E-01	1.523103E+02
1.56062500000E+04	9.592555E-02	-4.766224E+01
1.74750000000E+04	9.344061E-02	1.132638E+02
1.93437500000E+04	2.987978E-02	1.610687E+02
2.12125000000E+04	7.452273E-02	-1.208927E+02
2.30812500000E+04	2.270917E-02	-1.888089E+01
2.49500000000E+04	2.548329E-02	-1.044774E+02
2.68187500000E+04	2.282661E-02	9.687135E+01
2.86875000000E+04	1.315485E-02	-2.190553E+01
3.05562500000E+04	3.299749E-02	-2.535194E+01
3.24250000000E+04	4.510386E-02	-4.213851E+01
3.42937500000E+04	3.139772E-03	-2.693621E+01
3.61625000000E+04	3.165747E-02	4.301498E+01
3.80312500000E+04	3.350367E-02	1.262774E+02
3.99000000000E+04	1.667505E-02	1.809785E+01
4.17687500000E+04	5.952651E-03	-1.724762E+02
4.36375000000E+04	1.802841E-02	-9.775024E+01
4.55062500000E+04	7.540298E-03	-6.902982E+01
4.73750000000E+04	3.364287E-02	-1.202661E+02
4.92437500000E+04	1.393411E-02	1.300952E+02
5.11125000000E+04	1.311112E-02	2.128976E+01
5.29812500000E+04	9.649657E-03	1.262375E+02
5.48500000000E+04	8.289879E-03	1.710212E+02
5.67187500000E+04	1.538943E-02	-1.500760E+01
5.85875000000E+04	6.915037E-03	1.593665E+02
6.04562500000E+04	1.248094E-02	1.565372E+02
6.23250000000E+04	7.335138E-03	-1.555051E+02
6.41937500000E+04	1.572645E-02	1.144390E+02
6.60625000000E+04	1.232334E-02	-9.718924E+00
6.79312500000E+04	2.035147E-02	8.746296E+01
6.98000000000E+04	1.625916E-02	1.198895E+02
7.16687500000E+04	7.829568E-03	3.329298E+01
7.35375000000E+04	1.849706E-02	1.079772E+02
7.54062500000E+04	1.106037E-02	1.301283E+02
7.72750000000E+04	6.781586E-03	1.021339E+02
7.91437500000E+04	2.006966E-02	1.004379E+02
8.10125000000E+04	4.043026E-03	8.067879E+01
8.28812500000E+04	3.690653E-03	-5.332977E+00
8.47500000000E+04	9.853397E-03	8.960098E+01
8.66187500000E+04	1.492985E-02	-1.767816E+02
8.84875000000E+04	6.508336E-03	-1.732577E+02
9.03562500000E+04	1.505403E-02	-3.998615E+01
9.22250000000E+04	1.114009E-02	1.685932E+02
9.40937500000E+04	9.886919E-03	2.574484E+01
9.59625000000E+04	1.085726E-02	1.429075E+01
9.78312500000E+04	1.023581E-02	4.112713E+01
9.97000000000E+04	4.416682E-03	1.468341E+02
1.01568750000E+05	3.051037E-03	1.080175E+02
1.03437500000E+05	5.490409E-03	5.783094E+01
1.05306250000E+05	7.211312E-03	1.116165E+02
1.07175000000E+05	7.879373E-03	5.891601E+01
1.09043750000E+05	9.404085E-03	1.271080E+02
1.10912500000E+05	7.647166E-03	1.107772E+02
1.12781250000E+05	1.080042E-02	1.559051E+02
1.14650000000E+05	8.284802E-03	9.115298E+01
1.16518750000E+05	7.337127E-03	2.699420E+01
1.18387500000E+05	4.925696E-03	1.189906E+02
1.20256250000E+05	1.421320E-02	4.851920E+01
1.22125000000E+05	4.489539E-03	1.413698E+02
1.23993750000E+05	9.524162E-03	1.285323E+02
1.25862500000E+05	3.612580E-03	-3.423385E+01
1.27731250000E+05	4.236797E-03	5.093806E+01
1.29600000000E+05	9.543465E-03	1.197509E+02
1.31468750000E+05	9.355553E-03	9.809645E+01
1.33337500000E+05	8.864677E-03	5.130343E+01
1.35206250000E+05	1.888290E-03	5.386810E+01
1.37075000000E+05	6.029009E-03	4.159719E+01
1.38943750000E+05	5.037392E-03	6.148026E+01
1.40812500000E+05	3.730061E-03	9.264275E+01
1.42681250000E+05	1.261132E-02	8.081233E+01
1.44550000000E+05	1.582963E-03	1.030115E+02
1.46418750000E+05	5.507139E-03	-1.428559E+02
1.48287500000E+05	1.765285E-02	1.050168E+02
1.50156250000E+05	8.679432E-03	1.220703E+02
1.52025000000E+05	5.229502E-03	1.431696E+01
1.53893750000E+05	9.873454E-03	1.144704E+01
1.55762500000E+05	1.222308E-02	1.099902E+02
1.57631250000E+05	1.213156E-02	9.914896E+01
1.59500000000E+05	1.572354E-02	2.221405E+01
1.61368750000E+05	6.666559E-03	3.166065E+01
1.63237500000E+05	1.005669E-02	1.082699E+02
1.65106250000E+05	8.109717E-03	1.177079E+02
1.66975000000E+05	1.388465E-02	1.021730E+02
1.68843750000E+05	6.748178E-03	1.531324E+02
1.70712500000E+05	7.666241E-03	1.187048E+02
1.72581250000E+05	5.768395E-03	1.034000E+02
1.74450000000E+05	1.523766E-02	6.023445E+01
1.76318750000E+05	1.054076E-02	3.282728E+01
1.78187500000E+05	3.520578E-03	5.876380E+01
1.80056250000E+05	6.562007E-03	-4.955594E+01
1.81925000000E+05	1.212541E-02	9.254256E+01
1.83793750000E+05	1.211866E-02	7.705003E+01
1.85662500000E+05	4.842870E-03	1.027454E+02
1.87531250000E+05	4.953072E-03	5.466581E+01
1.89400000000E+05	1.160305E-02	6.775935E+01
1.91268750000E+05	1.044551E-02	1.549636E+02
1.93137500000E+05	1.071757E-02	1.041380E+02
1.95006250000E+05	7.310892E-03	4.043779E+00
1.96875000000E+05	1.420995E-02	7.880554E+01
1.98743750000E+05	6.404350E-03	9.469547E+01
2.00612500000E+05	6.740512E-03	1.545348E+02
2.02481250000E+05	9.572006E-03	1.107844E+02
2.04350000000E+05	6.807683E-03	5.920288E+01
2.06218750000E+05	7.929166E-03	1.199294E+02
2.08087500000E+05	6.265266E-03	8.547427E+01
2.09956250000E+05	7.164513E-03	1.186268E+02
2.11825000000E+05	9.944460E-03	7.461757E+01
2.13693750000E+05	8.348982E-03	4.178424E+01
2.15562500000E+05	9.727094E-03	7.849120E+01
2.17431250000E+05	8.189516E-03	8.855022E+01
2.19300000000E+05	1.376091E-02	9.631518E+01
2.21168750000E+05	9.241004E-03	7.749434E+01
2.23037500000E+05	2.979313E-03	7.255707E+01
2.24906250000E+05	9.905030E-03	7.698014E+01
2.26775000000E+05	9.721894E-03	1.019417E+02
2.28643750000E+05	5.564446E-03	1.356703E+02
2.30512500000E+05	6.520705E-03	6.789360E+01
2.32381250000E+05	7.777869E-03	1.073527E+02
2.34250000000E+05	7.429082E-03	8.091257E+01
2.36118750000E+05	1.018726E-02	1.072977E+02
2.37987500000E+05	1.352160E-02	1.081701E+02
2.39856250000E+05	1.064136E-02	6.510392E+01
2.41725000000E+05	1.222314E-02	7.515495E+01
2.43593750000E+05	1.117724E-02	1.184642E+02
2.45462500000E+05	7.136858E-03	1.007132E+02
2.47331250000E+05	1.784729E-02	9.814122E+01
2.49200000000E+05	7.572810E-03	6.319490E+01
2.51068750000E+05	1.383900E-02	1.174030E+02
2.52937500000E+05	1.430126E-02	4.149020E+01
2.54806250000E+05	1.012155E-02	9.760538E+01
2.56675000000E+05	8.637409E-03	8.035871E+01
2.58543750000E+05	7.333430E-03	9.466697E+01
2.60412500000E+05	5.781633E-03	1.032348E+02
2.62281250000E+05	1.298055E-02	1.005504E+02
2.64150000000E+05	1.361074E-02	7.453513E+01
2.66018750000E+05	1.415303E-02	8.860381E+01
2.67887500000E+05	1.559802E-02	7.353541E+01
2.69756250000E+05	1.432419E-02	1.030103E+02
2.71625000000E+05	9.671054E-03	6.458222E+01
2.73493750000E+05	7.073338E-03	1.178791E+02
2.75362500000E+05	6.924864E-03	1.126072E+02
2.77231250000E+05	1.361435E-02	5.571546E+01
2.79100000000E+05	1.569809E-02	8.879308E+01
2.80968750000E+05	1.474831E-02	1.070999E+02
2.82837500000E+05	1.627211E-02	8.469209E+01
2.84706250000E+05	1.534896E-02	9.363409E+01
2.86575000000E+05	1.265411E-02	8.839158E+01
2.88443750000E+05	1.210748E-02	7.853679E+01
2.90312500000E+05	8.523233E-03	8.979908E+01
2.92181250000E+05	8.613233E-03	1.043673E+02
2.94050000000E+05	1.380455E-02	8.342832E+01
2.95918750000E+05	1.588359E-02	9.804585E+01
2.97787500000E+05	1.475998E-02	7.646124E+01
2.99656250000E+05	1.194385E-02	8.806475E+01
3.01525000000E+05	2.293941E-02	9.316660E+01
3.03393750000E+05	7.647090E-03	9.870603E+01
3.05262500000E+05	1.252158E-02	9.141435E+01
3.07131250000E+05	1.137072E-02	7.837428E+01
3.09000000000E+05	8.827847E-03	8.353674E+01
3.10868750000E+05	1.415933E-02	7.059379E+01
3.12737500000E+05	1.317039E-02	8.704546E+01
3.14606250000E+05	1.428180E-02	9.819213E+01
3.16475000000E+05	1.319460E-02	9.496874E+01
3.18343750000E+05	9.703421E-03	7.471952E+01
3.20212500000E+05	1.571276E-02	7.636651E+01
3.22081250000E+05	1.308647E-02	8.467953E+01
3.23950000000E+05	1.062631E-02	8.470708E+01
3.25818750000E+05	1.120475E-02	1.034424E+02
3.27687500000E+05	1.116717E-02	7.648959E+01
3.29556250000E+05	1.231035E-02	7.164887E+01
3.31425000000E+05	1.194571E-02	9.928452E+01
3.33293750000E+05	1.238934E-02	9.361530E+01
3.35162500000E+05	1.383726E-02	8.558104E+01
3.37031250000E+05	8.857472E-03	1.091685E+02
3.38900000000E+05	1.647514E-02	1.049568E+02
3.40768750000E+05	1.291372E-02	8.936866E+01
3.42637500000E+05	1.445180E-02	9.327726E+01
3.44506250000E+05	1.856009E-02	9.609430E+01
3.46375000000E+05	1.868224E-02	9.797948E+01
3.48243750000E+05	1.065734E-02	1.149004E+02
3.50112500000E+05	1.357770E-02	7.874400E+01
3.51981250000E+05	1.346683E-02	8.495168E+01
3.53850000000E+05	1.974962E-02	8.309235E+01
3.55718750000E+05	1.721223E-02	8.024236E+01
3.57587500000E+05	1.555359E-02	9.009315E+01
3.59456250000E+05	1.086216E-02	7.854312E+01
3.61325000000E+05	1.507871E-02	8.049067E+01
3.63193750000E+05	1.513107E-02	1.036964E+02
3.65062500000E+05	1.144317E-02	8.228934E+01
3.66931250000E+05	1.737292E-02	9.014637E+01
3.68800000000E+05	1.453042E-02	1.023410E+02
3.70668750000E+05	2.142581E-02	8.277296E+01
3.72537500000E+05	1.562366E-02	1.063999E+02
