"E5100A REV3.14"
"DATE: Jun 24 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	2.504835E-01	1.373833E+02
1.18687500000E+04	1.221249E-01	-1.417372E+02
1.37375000000E+04	5.886212E-02	3.951272E+01
1.56062500000E+04	2.356880E-02	9.622813E+01
1.74750000000E+04	8.753072E-02	-1.161262E+02
1.93437500000E+04	2.827033E-02	1.423873E+02
2.12125000000E+04	7.420575E-02	-8.480198E+01
2.30812500000E+04	5.474789E-02	-2.389398E+01
2.49500000000E+04	4.350715E-02	1.665181E+02
2.68187500000E+04	2.047211E-02	-1.267818E+02
2.86875000000E+04	4.452356E-02	4.217604E+01
3.05562500000E+04	1.059700E-02	5.386038E+01
3.24250000000E+04	2.133537E-02	-4.954432E+01
3.42937500000E+04	2.975985E-02	1.478092E+02
3.61625000000E+04	2.195429E-02	-1.276555E+01
3.80312500000E+04	2.195642E-02	-1.724429E+02
3.99000000000E+04	1.842315E-02	-8.314109E+01
4.17687500000E+04	1.247376E-02	-1.426014E+01
4.36375000000E+04	3.533221E-03	-1.518349E+02
4.55062500000E+04	1.828206E-02	9.764731E+01
4.73750000000E+04	1.686688E-02	-8.575350E+01
4.92437500000E+04	9.949782E-03	1.861674E+01
5.11125000000E+04	5.685496E-03	-1.022338E+01
5.29812500000E+04	1.088123E-02	1.643350E+02
5.48500000000E+04	3.374546E-03	5.478846E+01
5.67187500000E+04	4.388480E-03	1.724751E+02
5.85875000000E+04	2.151130E-02	-3.646860E+00
6.04562500000E+04	1.503072E-02	7.503471E+01
6.23250000000E+04	8.751427E-03	1.347494E+02
6.41937500000E+04	2.003893E-02	-3.904074E+01
6.60625000000E+04	6.160875E-03	8.340590E+00
6.79312500000E+04	1.169796E-02	-1.506918E+01
6.98000000000E+04	9.929061E-03	8.207462E+01
7.16687500000E+04	7.157162E-03	-4.884217E+01
7.35375000000E+04	1.427926E-02	1.192634E+02
7.54062500000E+04	6.184706E-03	-8.458255E+01
7.72750000000E+04	9.029464E-03	3.694496E+01
7.91437500000E+04	5.117049E-03	-5.447207E+01
8.10125000000E+04	1.559666E-02	2.278026E+01
8.28812500000E+04	7.182783E-03	-7.344103E+00
8.47500000000E+04	1.072376E-02	1.991235E+01
8.66187500000E+04	7.568650E-03	1.687463E+02
8.84875000000E+04	1.233297E-02	-6.044341E+01
9.03562500000E+04	6.608259E-03	3.552215E+00
9.22250000000E+04	5.315381E-03	-8.508414E+01
9.40937500000E+04	1.144403E-02	-7.753796E+01
9.59625000000E+04	1.287487E-02	-9.791036E+01
9.78312500000E+04	1.110743E-02	1.049283E+02
9.97000000000E+04	1.305042E-02	-7.739187E+01
1.01568750000E+05	2.845419E-03	-9.871777E+01
1.03437500000E+05	8.213819E-03	-7.477139E+01
1.05306250000E+05	1.123424E-02	-5.128932E+01
1.07175000000E+05	1.193051E-02	-7.906089E+01
1.09043750000E+05	1.398470E-02	-2.866590E+01
1.10912500000E+05	8.123959E-03	-8.191911E+01
1.12781250000E+05	4.805554E-03	-1.381230E+02
1.14650000000E+05	7.036941E-03	7.042497E+01
1.16518750000E+05	3.709064E-03	1.083434E+02
1.18387500000E+05	4.912473E-03	-8.203080E+01
1.20256250000E+05	3.882154E-03	-1.463577E+02
1.22125000000E+05	5.348340E-03	3.050029E+01
1.23993750000E+05	9.965772E-03	-2.562291E+01
1.25862500000E+05	6.112934E-03	3.887413E+01
1.27731250000E+05	9.027611E-03	1.254662E+02
1.29600000000E+05	1.281389E-02	-3.791371E+01
1.31468750000E+05	3.992465E-03	6.872612E+01
1.33337500000E+05	8.802375E-03	1.528829E+02
1.35206250000E+05	7.439495E-03	-9.894917E+01
1.37075000000E+05	3.458438E-03	-5.353033E+01
1.38943750000E+05	3.090937E-03	-8.337717E+01
1.40812500000E+05	9.089095E-03	-7.030058E+00
1.42681250000E+05	4.214727E-03	9.255757E+01
1.44550000000E+05	4.933126E-03	-7.869342E+01
1.46418750000E+05	4.377635E-03	-6.117190E+01
1.48287500000E+05	1.124776E-02	-6.662166E+01
1.50156250000E+05	1.233184E-02	-2.725232E+01
1.52025000000E+05	8.824939E-03	-1.327428E+01
1.53893750000E+05	2.312178E-03	3.071278E+01
1.55762500000E+05	3.460315E-03	1.728841E+02
1.57631250000E+05	5.686333E-03	-8.039565E+01
1.59500000000E+05	9.856992E-03	-1.425752E+02
1.61368750000E+05	8.243495E-03	-1.268116E+02
1.63237500000E+05	4.252341E-03	7.133024E+00
1.65106250000E+05	5.619472E-03	-4.521706E+01
1.66975000000E+05	6.039131E-03	-6.946061E+01
1.68843750000E+05	3.530888E-03	-9.370257E+01
1.70712500000E+05	3.812898E-03	-5.504108E+01
1.72581250000E+05	1.014141E-02	-1.291371E+02
1.74450000000E+05	6.920979E-03	-7.821219E+01
1.76318750000E+05	6.845166E-03	-1.443577E+02
1.78187500000E+05	7.445540E-03	-1.633437E+01
1.80056250000E+05	2.076714E-03	1.352701E+02
1.81925000000E+05	6.227222E-04	1.515378E+02
1.83793750000E+05	2.590781E-03	-2.379169E+01
1.85662500000E+05	2.193377E-03	6.583773E+01
1.87531250000E+05	5.490194E-03	-6.493784E+01
1.89400000000E+05	6.528325E-03	-2.268871E+01
1.91268750000E+05	8.822067E-03	-4.047808E+01
1.93137500000E+05	5.618963E-03	-5.950069E+01
1.95006250000E+05	3.808646E-03	1.709840E+02
1.96875000000E+05	8.783953E-03	-5.387502E-01
1.98743750000E+05	6.417971E-03	4.031526E+01
2.00612500000E+05	7.570806E-03	-1.069342E+02
2.02481250000E+05	3.540270E-03	-3.510703E+01
2.04350000000E+05	7.651423E-03	-2.572047E+01
2.06218750000E+05	8.100810E-03	-9.262578E+01
2.08087500000E+05	7.504890E-03	-1.072081E+02
2.09956250000E+05	5.846355E-03	-1.342335E+02
2.11825000000E+05	1.695035E-03	-8.108147E+01
2.13693750000E+05	4.506167E-03	-1.373078E+02
2.15562500000E+05	3.685391E-03	1.443262E+01
2.17431250000E+05	6.095139E-03	-1.001395E+02
2.19300000000E+05	1.247756E-02	-5.762472E+01
2.21168750000E+05	7.124696E-03	-6.437601E+01
2.23037500000E+05	8.315780E-04	4.299706E+01
2.24906250000E+05	1.005535E-02	-9.348312E+01
2.26775000000E+05	4.373450E-03	-1.495766E+02
2.28643750000E+05	4.076209E-03	2.583699E+01
2.30512500000E+05	4.904987E-03	2.147740E+01
