"E5100A REV3.14"
"DATE: Jun 24 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	1.774832E-01	-1.697035E+02
1.18687500000E+04	4.035147E-02	-9.886394E+01
1.37375000000E+04	8.449315E-02	-1.591475E+02
1.56062500000E+04	6.847875E-02	1.314410E+02
1.74750000000E+04	3.729583E-02	6.960340E+01
1.93437500000E+04	2.230031E-02	-1.482156E+02
2.12125000000E+04	1.986371E-02	-2.394091E+01
2.30812500000E+04	3.981474E-02	6.324191E+01
2.49500000000E+04	2.859370E-02	-3.823735E+01
2.68187500000E+04	5.263569E-02	1.764579E+02
2.86875000000E+04	1.060899E-02	-1.339567E+02
3.05562500000E+04	1.861955E-02	-8.638966E+01
3.24250000000E+04	2.399782E-02	-1.395583E+02
3.42937500000E+04	1.497272E-02	-6.010670E+01
3.61625000000E+04	1.367429E-02	-3.792830E+00
3.80312500000E+04	2.269793E-02	4.693132E+01
3.99000000000E+04	1.469095E-02	-1.769798E+02
4.17687500000E+04	6.721506E-03	4.850440E+01
4.36375000000E+04	3.740323E-02	1.096309E+02
4.55062500000E+04	2.367168E-02	1.716143E+01
4.73750000000E+04	2.055133E-02	-1.351684E+02
4.92437500000E+04	1.069593E-02	3.252529E+00
5.11125000000E+04	1.136910E-02	3.213394E+01
5.29812500000E+04	1.433431E-02	6.257673E+00
5.48500000000E+04	2.040696E-02	4.186124E+01
5.67187500000E+04	1.837260E-02	2.296595E+01
5.85875000000E+04	1.511949E-02	1.248136E+02
6.04562500000E+04	6.134555E-03	-1.762607E+02
6.23250000000E+04	1.967734E-02	8.908361E+00
6.41937500000E+04	9.033601E-03	-2.930996E+01
6.60625000000E+04	2.866742E-02	4.853966E+01
6.79312500000E+04	2.645669E-02	7.731921E+01
6.98000000000E+04	9.004066E-03	1.666539E+02
7.16687500000E+04	1.179048E-02	8.178601E+01
7.35375000000E+04	6.518561E-03	7.590731E+01
7.54062500000E+04	1.414339E-02	5.687916E+01
7.72750000000E+04	1.170972E-02	7.492860E+01
7.91437500000E+04	5.965257E-03	3.568544E+01
8.10125000000E+04	2.008889E-02	7.501601E+01
8.28812500000E+04	1.238092E-02	5.737043E+01
8.47500000000E+04	2.002455E-02	1.344721E+02
8.66187500000E+04	1.614716E-02	5.979514E+01
8.84875000000E+04	1.684390E-02	1.133437E+02
9.03562500000E+04	1.618753E-02	1.006113E+02
9.22250000000E+04	8.672331E-03	-1.993464E+01
9.40937500000E+04	1.911798E-02	5.914549E+01
9.59625000000E+04	1.692055E-02	1.076271E+02
9.78312500000E+04	1.758587E-02	1.105042E+02
9.97000000000E+04	1.826027E-02	9.746730E+01
1.01568750000E+05	1.680379E-02	1.046543E+02
1.03437500000E+05	1.010023E-02	1.207351E+02
1.05306250000E+05	2.292561E-02	8.848925E+01
1.07175000000E+05	2.588946E-02	8.737130E+01
1.09043750000E+05	2.408349E-02	8.831676E+01
1.10912500000E+05	1.275708E-02	7.728185E+01
1.12781250000E+05	1.771180E-02	8.406055E+01
1.14650000000E+05	1.001449E-02	6.913926E+01
1.16518750000E+05	3.080837E-02	7.833600E+01
1.18387500000E+05	2.801176E-02	8.648332E+01
1.20256250000E+05	1.322006E-02	5.902183E+01
1.22125000000E+05	1.991238E-02	7.806595E+01
1.23993750000E+05	1.709862E-02	7.325762E+01
1.25862500000E+05	2.506588E-02	9.474976E+01
1.27731250000E+05	2.691174E-02	6.142607E+01
1.29600000000E+05	1.427775E-02	8.400565E+01
1.31468750000E+05	1.120029E-02	6.310373E+01
1.33337500000E+05	1.814525E-02	1.171661E+02
1.35206250000E+05	1.862723E-02	8.792479E+01
1.37075000000E+05	1.463514E-02	1.094288E+02
1.38943750000E+05	2.532115E-02	8.167258E+01
1.40812500000E+05	1.859972E-02	1.293501E+02
1.42681250000E+05	2.288018E-02	7.745640E+01
1.44550000000E+05	2.550380E-02	8.953442E+01
1.46418750000E+05	2.278282E-02	8.670753E+01
1.48287500000E+05	3.223546E-02	8.451711E+01
1.50156250000E+05	2.364324E-02	1.089797E+02
1.52025000000E+05	2.236559E-02	8.640584E+01
1.53893750000E+05	3.073617E-02	9.001463E+01
1.55762500000E+05	2.138495E-02	9.026460E+01
1.57631250000E+05	2.192155E-02	8.763795E+01
1.59500000000E+05	2.639347E-02	9.241553E+01
1.61368750000E+05	2.034646E-02	7.400353E+01
1.63237500000E+05	2.086682E-02	9.915977E+01
1.65106250000E+05	2.855979E-02	8.901748E+01
1.66975000000E+05	2.969018E-02	9.105178E+01
1.68843750000E+05	2.634739E-02	8.829423E+01
1.70712500000E+05	3.199916E-02	8.706403E+01
1.72581250000E+05	2.286237E-02	8.991603E+01
1.74450000000E+05	2.369639E-02	9.158823E+01
1.76318750000E+05	2.806679E-02	8.380614E+01
1.78187500000E+05	2.761762E-02	9.030101E+01
1.80056250000E+05	3.149185E-02	8.314800E+01
1.81925000000E+05	2.416947E-02	1.109639E+02
1.83793750000E+05	3.414112E-02	9.296449E+01
1.85662500000E+05	3.112500E-02	9.313923E+01
1.87531250000E+05	3.518287E-02	8.912267E+01
1.89400000000E+05	3.256537E-02	8.988308E+01
1.91268750000E+05	3.141895E-02	8.948000E+01
1.93137500000E+05	3.324451E-02	8.081599E+01
1.95006250000E+05	3.113023E-02	9.234269E+01
1.96875000000E+05	3.242503E-02	7.656990E+01
1.98743750000E+05	3.116234E-02	8.780669E+01
2.00612500000E+05	3.322972E-02	8.280630E+01
2.02481250000E+05	3.904014E-02	9.333575E+01
2.04350000000E+05	2.872679E-02	1.031350E+02
2.06218750000E+05	3.847653E-02	9.195850E+01
2.08087500000E+05	3.697488E-02	8.900551E+01
2.09956250000E+05	3.342740E-02	9.184927E+01
2.11825000000E+05	3.153437E-02	1.013169E+02
2.13693750000E+05	3.481927E-02	9.491886E+01
2.15562500000E+05	3.863400E-02	9.444305E+01
2.17431250000E+05	3.472326E-02	1.001052E+02
2.19300000000E+05	3.417942E-02	9.364754E+01
2.21168750000E+05	3.345660E-02	9.657117E+01
2.23037500000E+05	2.958978E-02	8.428522E+01
2.24906250000E+05	3.286349E-02	8.645098E+01
2.26775000000E+05	3.891428E-02	8.344746E+01
2.28643750000E+05	4.156630E-02	9.540236E+01
2.30512500000E+05	3.363555E-02	9.329859E+01
2.32381250000E+05	3.698799E-02	9.726016E+01
2.34250000000E+05	3.448892E-02	1.007087E+02
2.36118750000E+05	4.180212E-02	8.202296E+01
2.37987500000E+05	4.118322E-02	9.890907E+01
2.39856250000E+05	3.855433E-02	9.829956E+01
2.41725000000E+05	3.124016E-02	9.081107E+01
2.43593750000E+05	3.820175E-02	8.321770E+01
2.45462500000E+05	4.017549E-02	8.733231E+01
2.47331250000E+05	4.266461E-02	9.144680E+01
2.49200000000E+05	3.424341E-02	8.935272E+01
2.51068750000E+05	3.998366E-02	9.667747E+01
2.52937500000E+05	3.389722E-02	8.677019E+01
2.54806250000E+05	4.277706E-02	9.394794E+01
2.56675000000E+05	3.851834E-02	9.244788E+01
2.58543750000E+05	3.881217E-02	9.112640E+01
2.60412500000E+05	4.064564E-02	9.259408E+01
2.62281250000E+05	4.302865E-02	8.991770E+01
2.64150000000E+05	3.939696E-02	8.569774E+01
2.66018750000E+05	4.412952E-02	9.809595E+01
2.67887500000E+05	4.294122E-02	9.353131E+01
2.69756250000E+05	4.143412E-02	8.898918E+01
2.71625000000E+05	4.806064E-02	8.527638E+01
2.73493750000E+05	4.197454E-02	8.906126E+01
2.75362500000E+05	4.546674E-02	8.878388E+01
2.77231250000E+05	4.946957E-02	9.115675E+01
2.79100000000E+05	4.642642E-02	9.074760E+01
2.80968750000E+05	4.120841E-02	9.461094E+01
2.82837500000E+05	4.905900E-02	9.489706E+01
2.84706250000E+05	4.497594E-02	9.247681E+01
2.86575000000E+05	4.512711E-02	9.271665E+01
2.88443750000E+05	4.360816E-02	9.453729E+01
2.90312500000E+05	4.785523E-02	8.556569E+01
2.92181250000E+05	4.342530E-02	9.213390E+01
2.94050000000E+05	4.477368E-02	8.886401E+01
2.95918750000E+05	4.236286E-02	8.922323E+01
2.97787500000E+05	4.855455E-02	8.538543E+01
2.99656250000E+05	4.814227E-02	8.745805E+01
3.01525000000E+05	4.328042E-02	8.683924E+01
3.03393750000E+05	4.653297E-02	9.378345E+01
3.05262500000E+05	5.141158E-02	9.366254E+01
3.07131250000E+05	4.865160E-02	8.927897E+01
3.09000000000E+05	4.936318E-02	8.400266E+01
3.10868750000E+05	5.177140E-02	9.425722E+01
3.12737500000E+05	4.713816E-02	9.115850E+01
3.14606250000E+05	4.478350E-02	8.822482E+01
3.16475000000E+05	4.242375E-02	8.900999E+01
3.18343750000E+05	5.106888E-02	8.705045E+01
3.20212500000E+05	4.961148E-02	8.970136E+01
3.22081250000E+05	5.144817E-02	9.322042E+01
3.23950000000E+05	5.213498E-02	9.127039E+01
3.25818750000E+05	5.232019E-02	8.971023E+01
3.27687500000E+05	5.395337E-02	9.174074E+01
3.29556250000E+05	5.204414E-02	8.826127E+01
3.31425000000E+05	5.689214E-02	8.788750E+01
3.33293750000E+05	5.083767E-02	8.856646E+01
3.35162500000E+05	4.880828E-02	9.494049E+01
3.37031250000E+05	5.795509E-02	9.340942E+01
3.38900000000E+05	4.605407E-02	9.087784E+01
3.40768750000E+05	5.707475E-02	8.993866E+01
3.42637500000E+05	5.729013E-02	8.829354E+01
3.44506250000E+05	5.582405E-02	9.083131E+01
3.46375000000E+05	5.481035E-02	9.605315E+01
3.48243750000E+05	5.648762E-02	9.199578E+01
3.50112500000E+05	5.853910E-02	8.808659E+01
3.51981250000E+05	5.596600E-02	9.432409E+01
3.53850000000E+05	5.543750E-02	9.212350E+01
3.55718750000E+05	5.580859E-02	9.073589E+01
