"E5100A REV3.14"
"DATE: Jun 24 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	2.689499E-01	-1.201994E+02
1.18687500000E+04	8.177678E-02	1.362903E+02
1.37375000000E+04	3.925138E-02	-2.814921E+01
1.56062500000E+04	5.758366E-02	6.890017E+01
1.74750000000E+04	2.366956E-02	9.818858E+01
1.93437500000E+04	6.672086E-02	1.315894E+02
2.12125000000E+04	7.673053E-02	-1.120124E+02
2.30812500000E+04	4.938503E-02	1.648439E+02
2.49500000000E+04	4.865852E-02	6.407986E+01
2.68187500000E+04	2.170835E-02	5.026964E+01
2.86875000000E+04	1.587542E-02	-5.756528E+01
3.05562500000E+04	1.706516E-02	-1.260047E+02
3.24250000000E+04	3.303878E-02	-9.690105E+01
3.42937500000E+04	4.314809E-02	-4.864569E+01
3.61625000000E+04	1.617628E-02	-6.273596E+01
3.80312500000E+04	4.401935E-03	-1.099293E+02
3.99000000000E+04	3.202887E-02	1.494701E+02
4.17687500000E+04	1.765798E-02	6.214752E+01
4.36375000000E+04	3.829052E-03	1.196657E+02
4.55062500000E+04	5.439109E-03	7.179156E+01
4.73750000000E+04	1.262625E-02	-9.798818E+01
4.92437500000E+04	1.154912E-02	6.284428E+01
5.11125000000E+04	1.181464E-02	-8.319604E+01
5.29812500000E+04	1.161291E-02	5.836513E+01
5.48500000000E+04	1.925217E-02	-2.140580E+01
5.67187500000E+04	1.239327E-02	-9.537972E+00
5.85875000000E+04	6.761239E-03	-7.854873E+01
6.04562500000E+04	9.139060E-03	9.736597E+01
6.23250000000E+04	8.165357E-03	-8.924749E+01
6.41937500000E+04	1.334701E-02	3.372523E+01
6.60625000000E+04	1.132327E-02	-6.387305E+01
